3P,3P%,3PA,3PAr,AST,AST/TOV,Away_Score,BLK,DRB,DRB_Pct_of_TRB,FG,FG%,FG2,FG2%,FG2A,FGA,FT,FT%,FTA,FTr,Game_Date,Game_Result,Game_URL,Home/Away,Home_Score,MP,ORB,ORB_Pct_of_TRB,Opponent,Opponent_1,Opponent_10,Opponent_10_MP,Opponent_11,Opponent_11_MP,Opponent_12,Opponent_12_MP,Opponent_13,Opponent_13_MP,Opponent_14,Opponent_14_MP,Opponent_15,Opponent_15_MP,Opponent_1_MP,Opponent_2,Opponent_2_MP,Opponent_3,Opponent_3_MP,Opponent_4,Opponent_4_MP,Opponent_5,Opponent_5_MP,Opponent_6,Opponent_6_MP,Opponent_7,Opponent_7_MP,Opponent_8,Opponent_8_MP,Opponent_9,Opponent_9_MP,Opponent_Score,PF,PTS,PTS_2P,PTS_2P_Pct,PTS_3P,PTS_3P_Pct,PTS_FT,PTS_FT_Pct,Player,Point_Differential,STL,Season,Stocks,TOV,TRB,Team,Team_Score,Teammate_1,Teammate_10,Teammate_10_MP,Teammate_11,Teammate_11_MP,Teammate_12,Teammate_12_MP,Teammate_13,Teammate_13_MP,Teammate_14,Teammate_14_MP,Teammate_15,Teammate_15_MP,Teammate_1_MP,Teammate_2,Teammate_2_MP,Teammate_3,Teammate_3_MP,Teammate_4,Teammate_4_MP,Teammate_5,Teammate_5_MP,Teammate_6,Teammate_6_MP,Teammate_7,Teammate_7_MP,Teammate_8,Teammate_8_MP,Teammate_9,Teammate_9_MP
0,,0,,0,,81,0,0,,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201411030MEM.html,Home,93,0:45,0,,NOP,Tyreke Evans,Darius Miller,3:58,,,,,,,,,,,38:52,Eric Gordon,37:16,Jrue Holiday,36:11,Anthony Davis,32:01,Ryan Anderson,27:28,Ömer Aşık,26:17,Austin Rivers,17:12,Luke Babbitt,10:31,Alexis Ajinça,10:14,81,0,0,0.0,,0.0,,0.0,,Jordan Adams,12,0,2014-2015,0.0,0,0.0,MEM,93,Marc Gasol,Jon Leuer,6:15,,,,,,,,,,,39:59,Zach Randolph,33:22,Tayshaun Prince,33:01,Mike Conley,30:14,Tony Allen,29:46,Quincy Pondexter,26:15,Beno Udrih,17:23,Vince Carter,15:21,Kosta Koufos,7:39
0,,0,0.000,1,,93,0,0,,0,.000,0.0,0.0,2.0,2,1,.500,2,100.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201411170MEM.html,Home,119,10:00,0,,HOU,James Harden,Troy Daniels,12:00,Joey Dorsey,10:00,Francisco García,1:24,,,,,,,33:32,Trevor Ariza,32:21,Dwight Howard,28:26,Kostas Papanikolaou,23:39,Patrick Beverley,22:23,Isaiah Canaan,20:52,Tarik Black,20:14,Jason Terry,17:35,Donatas Motiejūnas,17:34,93,1,1,0.0,0.0,0.0,0.0,1.0,100.0,Jordan Adams,26,1,2014-2015,1.0,0,0.0,MEM,119,Courtney Lee,Vince Carter,7:53,Jarnell Stokes,6:16,,,,,,,,,30:07,Quincy Pondexter,29:47,Zach Randolph,25:58,Marc Gasol,25:12,Beno Udrih,24:47,Mike Conley,23:23,Jon Leuer,21:00,Tony Allen,18:13,Kosta Koufos,17:24
1,.500,2,100.000,2,2.00,92,0,1,100.0,1,.500,0.0,,0.0,2,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201411190TOR.html,Away,96,17:14,0,0.0,TOR,DeMar DeRozan,Tyler Hansbrough,7:00,Landry Fields,4:39,,,,,,,,,37:56,Kyle Lowry,37:10,Amir Johnson,34:28,Terrence Ross,33:48,Jonas Valančiūnas,22:11,Patrick Patterson,20:44,Lou Williams,17:46,Greivis Vásquez,14:16,Chuck Hayes,10:02,96,3,3,0.0,0.0,3.0,100.0,0.0,0.0,Jordan Adams,4,2,2014-2015,2.0,1,1.0,MEM,92,Mike Conley,,,,,,,,,,,,,42:28,Marc Gasol,41:05,Zach Randolph,38:02,Tayshaun Prince,34:18,Vince Carter,27:54,Quincy Pondexter,24:33,Jarnell Stokes,8:55,Kalin Lucas,5:32,,
0,,0,0.000,2,2.00,100,1,2,100.0,0,.000,0.0,0.0,2.0,2,2,1.000,2,100.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201411210MEM.html,Home,117,12:31,0,0.0,BOS,Jeff Green,Tyler Zeller,16:44,Dwight Powell,2:28,James Young,2:28,,,,,,,33:35,Rajon Rondo,28:21,Kelly Olynyk,27:02,Avery Bradley,25:22,Jared Sullinger,24:53,Evan Turner,22:38,Phil Pressey,19:39,Marcus Thornton,18:54,Brandon Bass,17:56,100,0,2,0.0,0.0,0.0,0.0,2.0,100.0,Jordan Adams,17,0,2014-2015,1.0,1,2.0,MEM,117,Courtney Lee,Jarnell Stokes,1:23,,,,,,,,,,,29:58,Marc Gasol,29:37,Mike Conley,27:30,Zach Randolph,27:17,Tayshaun Prince,26:26,Beno Udrih,25:43,Jon Leuer,22:15,Vince Carter,21:52,Kosta Koufos,15:28
0,.000,1,33.333,0,,91,0,1,100.0,2,.667,2.0,100.0,2.0,3,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201412210CLE.html,Away,105,5:20,0,0.0,CLE,LeBron James,Joe Harris,2:05,,,,,,,,,,,37:33,Kyrie Irving,36:55,Kevin Love,35:27,Dion Waiters,28:06,Anderson Varejão,27:08,Shawn Marion,21:58,Tristan Thompson,20:15,Mike Miller,16:24,Matthew Dellavedova,14:09,105,1,4,4.0,100.0,0.0,0.0,0.0,0.0,Jordan Adams,14,0,2014-2015,0.0,0,1.0,MEM,91,Jon Leuer,Nick Calathes,14:29,Jarnell Stokes,3:55,,,,,,,,,29:59,Marc Gasol,29:43,Mike Conley,24:49,Kosta Koufos,24:26,Courtney Lee,23:25,Quincy Pondexter,22:53,Tayshaun Prince,21:40,Vince Carter,20:17,Beno Udrih,19:04
1,1.000,1,50.000,0,,97,1,2,100.0,2,1.000,1.0,100.0,1.0,2,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201412220MEM.html,Home,91,10:18,0,0.0,UTA,Gordon Hayward,,,,,,,,,,,,,36:18,Derrick Favors,35:30,Alec Burks,34:13,Enes Freedom,30:25,Rudy Gobert,29:30,Trey Burke,26:01,Dante Exum,21:54,Rodney Hood,21:25,Joe Ingles,4:44,97,2,5,2.0,40.0,3.0,60.0,0.0,0.0,Jordan Adams,6,0,2014-2015,1.0,0,2.0,MEM,91,Courtney Lee,,,,,,,,,,,,,37:43,Marc Gasol,36:31,Kosta Koufos,32:44,Mike Conley,31:48,Jon Leuer,26:05,Tayshaun Prince,23:33,Vince Carter,21:54,Beno Udrih,19:25,,
0,,0,,0,,87,0,0,,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201412300MEM.html,Home,95,0:17,0,,SAS,Marco Belinelli,Kyle Anderson,12:00,Boris Diaw,10:33,Aron Baynes,6:09,Austin Daye,2:46,,,,,35:04,Cory Joseph,31:09,Tim Duncan,28:33,Manu Ginóbili,26:40,Danny Green,24:10,Matt Bonner,19:22,Patty Mills,17:42,Jeff Ayres,13:18,Tiago Splitter,12:34,87,0,0,0.0,,0.0,,0.0,,Jordan Adams,8,0,2014-2015,0.0,0,0.0,MEM,95,Marc Gasol,Jon Leuer,9:43,Jarnell Stokes,4:00,,,,,,,,,36:35,Tayshaun Prince,33:44,Mike Conley,32:40,Courtney Lee,30:31,Tony Allen,28:15,Quincy Pondexter,19:27,Vince Carter,17:47,Beno Udrih,15:03,Kosta Koufos,11:58
1,1.000,1,16.667,0,0.00,85,0,1,100.0,5,.833,4.0,80.0,5.0,6,1,.500,2,33.333,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201501030DEN.html,Away,114,6:23,0,0.0,DEN,Ty Lawson,Erick Green,6:23,Gary Harris,6:23,Nate Robinson,4:45,,,,,,,36:52,Wilson Chandler,35:20,Arron Afflalo,32:42,Kenneth Faried,28:23,Timofey Mozgov,24:53,Jusuf Nurkić,23:07,J.J. Hickson,19:37,Darrell Arthur,15:12,Alonzo Gee,6:23,114,0,12,8.0,66.7,3.0,25.0,1.0,8.3,Jordan Adams,29,0,2014-2015,0.0,1,1.0,MEM,85,Marc Gasol,Quincy Pondexter,15:53,Vince Carter,15:24,,,,,,,,,27:20,Mike Conley,25:28,Kosta Koufos,25:18,Courtney Lee,23:45,Tony Allen,23:00,Nick Calathes,22:32,Jon Leuer,19:47,Tayshaun Prince,18:37,Jarnell Stokes,16:33
0,.000,2,40.000,1,,83,0,0,0.0,0,.000,0.0,0.0,3.0,5,1,.250,4,80.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201501050MEM.html,Home,105,9:52,1,100.0,NYK,Tim Hardaway Jr.,,,,,,,,,,,,,33:43,Quincy Acy,31:11,Shane Larkin,30:30,José Calderón,29:53,Cleanthony Early,28:55,Jason Smith,22:00,Pablo Prigioni,21:45,Travis Wear,21:34,Cole Aldrich,20:29,83,1,1,0.0,0.0,0.0,0.0,1.0,100.0,Jordan Adams,22,1,2014-2015,1.0,0,1.0,MEM,105,Marc Gasol,Kosta Koufos,14:28,Vince Carter,12:00,Nick Calathes,5:30,,,,,,,28:02,Mike Conley,27:02,Courtney Lee,26:17,Tony Allen,25:28,Tayshaun Prince,23:06,Quincy Pondexter,20:59,Jarnell Stokes,16:50,Beno Udrih,15:28,Jon Leuer,14:58
0,,0,,0,,103,0,0,,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201501140BRK.html,Away,92,2:25,0,,BRK,Joe Johnson,Jerome Jordan,6:58,Markel Brown,2:36,Sergey Karasev,2:25,,,,,,,38:10,Jarrett Jack,32:37,Mason Plumlee,32:35,Brook Lopez,27:19,Alan Anderson,26:33,Bojan Bogdanović,23:59,Darius Morris,20:13,Mirza Teletović,19:24,Cory Jefferson,7:11,92,1,0,0.0,,0.0,,0.0,,Jordan Adams,11,0,2014-2015,0.0,0,0.0,MEM,103,Zach Randolph,Nick Calathes,12:21,Jon Leuer,4:22,Jarnell Stokes,2:25,,,,,,,32:25,Marc Gasol,30:36,Courtney Lee,30:26,Jeff Green,26:30,Tony Allen,25:02,Mike Conley,24:08,Beno Udrih,17:55,Kosta Koufos,17:24,Vince Carter,14:01
