3P,3P%,3PA,3PAr,AST,AST/TOV,Away_Score,BLK,DRB,DRB_Pct_of_TRB,FG,FG%,FG2,FG2%,FG2A,FGA,FT,FT%,FTA,FTr,Game_Date,Game_Result,Game_URL,Home/Away,Home_Score,MP,ORB,ORB_Pct_of_TRB,Opponent,Opponent_1,Opponent_10,Opponent_10_MP,Opponent_11,Opponent_11_MP,Opponent_12,Opponent_12_MP,Opponent_13,Opponent_13_MP,Opponent_14,Opponent_14_MP,Opponent_15,Opponent_15_MP,Opponent_1_MP,Opponent_2,Opponent_2_MP,Opponent_3,Opponent_3_MP,Opponent_4,Opponent_4_MP,Opponent_5,Opponent_5_MP,Opponent_6,Opponent_6_MP,Opponent_7,Opponent_7_MP,Opponent_8,Opponent_8_MP,Opponent_9,Opponent_9_MP,Opponent_Score,PF,PTS,PTS_2P,PTS_2P_Pct,PTS_3P,PTS_3P_Pct,PTS_FT,PTS_FT_Pct,Player,Point_Differential,STL,Season,Stocks,TOV,TRB,Team,Team_Score,Teammate_1,Teammate_10,Teammate_10_MP,Teammate_11,Teammate_11_MP,Teammate_12,Teammate_12_MP,Teammate_13,Teammate_13_MP,Teammate_14,Teammate_14_MP,Teammate_15,Teammate_15_MP,Teammate_1_MP,Teammate_2,Teammate_2_MP,Teammate_3,Teammate_3_MP,Teammate_4,Teammate_4_MP,Teammate_5,Teammate_5_MP,Teammate_6,Teammate_6_MP,Teammate_7,Teammate_7_MP,Teammate_8,Teammate_8_MP,Teammate_9,Teammate_9_MP
1,.500,2,22.222,4,2.00,84,0,2,100.0,4,.444,3.0,42.9,7.0,9,3,.750,4,44.444,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201601290NYK.html,Away,102,25:06,0,0.0,NYK,Carmelo Anthony,Kyle O'Quinn,15:15,Lou Amundson,6:20,Thanasis Antetokounmpo,2:11,,,,,,,30:15,Arron Afflalo,29:10,Langston Galloway,27:38,Robin Lopez,24:13,Kristaps Porziņģis,23:32,Sasha Vujačić,22:18,Jerian Grant,21:13,Lance Thomas,19:14,Derrick Williams,18:41,102,2,12,6.0,50.0,3.0,25.0,3.0,25.0,Jordan McRae,18,1,2015-2016,1.0,2,2.0,PHO,84,P.J. Tucker,Jon Leuer,11:49,,,,,,,,,,,35:28,Markieff Morris,28:39,Devin Booker,26:35,Archie Goodwin,23:19,Tyson Chandler,21:30,T.J. Warren,19:36,Alex Len,16:43,Mirza Teletović,16:32,Sonny Weems,14:43
0,.000,2,66.667,1,0.33,78,0,0,0.0,1,.333,1.0,100.0,1.0,3,2,1.000,2,66.667,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201601310DAL.html,Away,91,13:10,1,100.0,DAL,Zaza Pachulia,Justin Anderson,3:42,Salah Mejri,3:38,,,,,,,,,36:22,Raymond Felton,35:55,Chandler Parsons,35:53,Deron Williams,35:45,Wesley Matthews,34:21,J.J. Barea,24:31,Dwight Powell,11:33,Charlie Villanueva,10:19,JaVale McGee,8:00,91,0,4,2.0,50.0,0.0,0.0,2.0,50.0,Jordan McRae,13,0,2015-2016,0.0,3,1.0,PHO,78,P.J. Tucker,,,,,,,,,,,,,42:01,Devin Booker,41:13,Archie Goodwin,36:24,Tyson Chandler,33:05,Markieff Morris,26:06,Mirza Teletović,20:35,Alex Len,14:55,Sonny Weems,12:31,,
0,.000,1,100.000,0,,104,0,0,,0,.000,0.0,,0.0,1,2,1.000,2,200.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201602020PHO.html,Home,97,1:38,0,,TOR,Kyle Lowry,,,,,,,,,,,,,41:35,DeMar DeRozan,33:41,Bismack Biyombo,28:58,Patrick Patterson,28:31,Cory Joseph,27:16,Terrence Ross,26:34,Luis Scola,19:29,Jonas Valančiūnas,19:02,Norman Powell,14:54,104,0,2,0.0,0.0,0.0,0.0,2.0,100.0,Jordan McRae,7,0,2015-2016,0.0,0,0.0,PHO,97,Archie Goodwin,,,,,,,,,,,,,44:48,Markieff Morris,41:29,P.J. Tucker,39:26,Devin Booker,37:29,Mirza Teletović,24:18,Tyson Chandler,18:16,Alex Len,16:21,Sonny Weems,12:05,Jon Leuer,4:10
1,.500,2,40.000,1,,111,0,2,100.0,3,.600,2.0,66.7,3.0,5,1,1.000,1,20.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201602040PHO.html,Home,105,15:10,0,0.0,HOU,Trevor Ariza,Marcus Thornton,8:09,,,,,,,,,,,37:17,James Harden,36:09,Dwight Howard,32:37,Patrick Beverley,25:39,Corey Brewer,24:32,Ty Lawson,22:21,Josh Smith,21:19,Jason Terry,16:38,Clint Capela,15:19,111,1,8,4.0,50.0,3.0,37.5,1.0,12.5,Jordan McRae,6,1,2015-2016,1.0,0,2.0,PHO,105,Devin Booker,,,,,,,,,,,,,41:02,Archie Goodwin,37:58,P.J. Tucker,31:21,Markieff Morris,28:46,Alex Len,26:59,Tyson Chandler,21:01,Mirza Teletović,19:14,Sonny Weems,18:29,,
0,.000,2,66.667,1,,98,0,1,100.0,1,.333,1.0,100.0,1.0,3,1,.500,2,66.667,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201602060PHO.html,Home,89,10:10,0,0.0,UTA,Gordon Hayward,Trey Lyles,5:01,,,,,,,,,,,38:26,Raul Neto,37:14,Rodney Hood,35:06,Rudy Gobert,34:42,Derrick Favors,30:22,Trevor Booker,25:55,Joe Ingles,12:52,Chris Johnson,10:57,Erick Green,9:25,98,1,3,2.0,66.7,0.0,0.0,1.0,33.3,Jordan McRae,9,0,2015-2016,0.0,0,1.0,PHO,89,P.J. Tucker,,,,,,,,,,,,,37:42,Archie Goodwin,37:04,Markieff Morris,36:22,Devin Booker,33:52,Tyson Chandler,24:47,Mirza Teletović,19:32,Orlando Johnson,19:24,Alex Len,15:19,Sonny Weems,5:48
0,,0,,0,,122,0,0,,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201602080PHO.html,Home,106,2:39,0,,OKC,Dion Waiters,Anthony Morrow,3:29,Steve Novak,1:09,,,,,,,,,40:45,Kevin Durant,38:16,Russell Westbrook,36:14,Serge Ibaka,26:53,Steven Adams,24:32,Enes Freedom,24:25,Cameron Payne,21:09,Kyle Singler,19:14,Nick Collison,3:53,122,0,0,0.0,,0.0,,0.0,,Jordan McRae,16,0,2015-2016,0.0,0,0.0,PHO,106,P.J. Tucker,,,,,,,,,,,,,45:58,Archie Goodwin,42:07,Markieff Morris,32:11,Devin Booker,28:54,Tyson Chandler,25:28,Alex Len,22:32,Mirza Teletović,20:23,Sonny Weems,19:48,,
1,.500,2,40.000,3,3.00,116,0,1,50.0,2,.400,1.0,33.3,3.0,5,3,.750,4,80.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201602190PHO.html,Home,100,14:35,1,50.0,HOU,James Harden,Jason Terry,11:08,Montrezl Harrell,10:56,,,,,,,,,33:24,Trevor Ariza,32:12,Dwight Howard,30:04,Patrick Beverley,28:07,Josh Smith,23:26,Corey Brewer,21:17,Ty Lawson,19:56,Clint Capela,17:56,K.J. McDaniels,11:35,116,3,8,2.0,25.0,3.0,37.5,3.0,37.5,Jordan McRae,16,1,2015-2016,1.0,1,2.0,PHO,100,Mirza Teletović,,,,,,,,,,,,,34:16,P.J. Tucker,33:36,Devin Booker,30:54,Archie Goodwin,30:33,Kris Humphries,27:12,Ronnie Price,23:05,Jon Leuer,21:26,Sonny Weems,16:34,Tyson Chandler,7:49
1,.500,2,50.000,0,,99,0,1,100.0,2,.500,1.0,50.0,2.0,4,3,1.000,3,75.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201602280WAS.html,Away,113,6:59,0,0.0,WAS,John Wall,Alan Anderson,15:21,J.J. Hickson,5:42,Kelly Oubre Jr.,5:42,Drew Gooden,5:29,,,,,29:22,Otto Porter Jr.,26:57,Bradley Beal,25:47,Marcin Gortat,25:29,Garrett Temple,22:01,Jared Dudley,21:54,Markieff Morris,20:37,Ramon Sessions,18:50,Nenê,16:49,113,0,8,2.0,25.0,3.0,37.5,3.0,37.5,Jordan McRae,14,0,2015-2016,0.0,0,1.0,CLE,99,Iman Shumpert,,,,,,,,,,,,,34:18,Richard Jefferson,33:09,Kyrie Irving,32:11,Timofey Mozgov,24:49,Channing Frye,24:27,Kevin Love,23:33,Tristan Thompson,21:28,Matthew Dellavedova,20:53,J.R. Smith,18:13
1,.500,2,50.000,0,0.00,83,0,0,,2,.500,1.0,50.0,2.0,4,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201603040CLE.html,Home,108,5:50,0,,WAS,Bradley Beal,Kelly Oubre Jr.,7:31,J.J. Hickson,6:43,Jarell Eddie,5:50,Drew Gooden,4:56,,,,,28:01,John Wall,27:58,Markieff Morris,27:54,Otto Porter Jr.,27:48,Garrett Temple,26:50,Marcin Gortat,24:59,Ramon Sessions,20:02,Nenê,16:18,Jared Dudley,15:10,83,1,5,2.0,40.0,3.0,60.0,0.0,0.0,Jordan McRae,25,0,2015-2016,0.0,1,0.0,CLE,108,Kyrie Irving,Channing Frye,5:44,Sasha Kaun,4:19,,,,,,,,,31:40,J.R. Smith,30:41,Iman Shumpert,30:25,LeBron James,30:23,Richard Jefferson,25:36,Tristan Thompson,22:26,Matthew Dellavedova,21:17,Timofey Mozgov,19:38,James Jones,12:00
0,,0,,0,,103,0,0,,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201603050CLE.html,Home,120,1:26,0,,BOS,Avery Bradley,Jordan Mickey,1:26,Terry Rozier,1:26,James Young,1:26,,,,,,,37:05,Jae Crowder,36:56,Isaiah Thomas,34:02,Jared Sullinger,31:10,Evan Turner,26:50,Marcus Smart,20:56,Tyler Zeller,16:50,Amir Johnson,16:43,Jonas Jerebko,15:10,103,0,0,0.0,,0.0,,0.0,,Jordan McRae,17,0,2015-2016,0.0,0,0.0,CLE,120,LeBron James,Sasha Kaun,1:26,,,,,,,,,,,36:00,Iman Shumpert,34:42,J.R. Smith,34:13,Kyrie Irving,30:08,Kevin Love,30:04,Matthew Dellavedova,28:05,Tristan Thompson,27:32,Timofey Mozgov,10:43,Richard Jefferson,5:41
