3P,3P%,3PA,3PAr,AST,AST/TOV,Away_Score,BLK,DRB,DRB_Pct_of_TRB,FG,FG%,FG2,FG2%,FG2A,FGA,FT,FT%,FTA,FTr,Game_Date,Game_Result,Game_URL,Home/Away,Home_Score,MP,ORB,ORB_Pct_of_TRB,Opponent,Opponent_1,Opponent_10,Opponent_10_MP,Opponent_11,Opponent_11_MP,Opponent_12,Opponent_12_MP,Opponent_13,Opponent_13_MP,Opponent_14,Opponent_14_MP,Opponent_15,Opponent_15_MP,Opponent_1_MP,Opponent_2,Opponent_2_MP,Opponent_3,Opponent_3_MP,Opponent_4,Opponent_4_MP,Opponent_5,Opponent_5_MP,Opponent_6,Opponent_6_MP,Opponent_7,Opponent_7_MP,Opponent_8,Opponent_8_MP,Opponent_9,Opponent_9_MP,Opponent_Score,PF,PTS,PTS_2P,PTS_2P_Pct,PTS_3P,PTS_3P_Pct,PTS_FT,PTS_FT_Pct,Player,Point_Differential,STL,Season,Stocks,TOV,TRB,Team,Team_Score,Teammate_1,Teammate_10,Teammate_10_MP,Teammate_11,Teammate_11_MP,Teammate_12,Teammate_12_MP,Teammate_13,Teammate_13_MP,Teammate_14,Teammate_14_MP,Teammate_15,Teammate_15_MP,Teammate_1_MP,Teammate_2,Teammate_2_MP,Teammate_3,Teammate_3_MP,Teammate_4,Teammate_4_MP,Teammate_5,Teammate_5_MP,Teammate_6,Teammate_6_MP,Teammate_7,Teammate_7_MP,Teammate_8,Teammate_8_MP,Teammate_9,Teammate_9_MP
0,.000,1,100.000,0,,99,0,0,,0,.000,0.0,,0.0,1,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201311170LAL.html,Away,114,0:49,0,,LAL,Jordan Hill,Chris Kaman,5:24,,,,,,,,,,,35:44,Steve Blake,35:07,Pau Gasol,34:17,Jodie Meeks,28:12,Nick Young,26:39,Wesley Johnson,21:21,Shawne Williams,20:35,Xavier Henry,19:48,Jordan Farmar,12:53,114,0,0,0.0,,0.0,,0.0,,Josh Harrellson,15,0,2013-2014,0.0,0,0.0,DET,99,Brandon Jennings,Tony Mitchell,0:49,Peyton Siva,0:28,,,,,,,,,39:00,Josh Smith,38:21,Andre Drummond,37:35,Greg Monroe,37:28,Rodney Stuckey,30:07,Kentavious Caldwell-Pope,26:25,Kyle Singler,19:42,Gigi Datome,6:03,Jonas Jerebko,3:13
1,1.000,1,100.000,0,0.00,85,1,0,0.0,1,1.000,0.0,,0.0,1,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201311200ATL.html,Away,93,6:10,1,100.0,ATL,DeMarre Carroll,Cartier Martin,9:45,,,,,,,,,,,35:56,Jeff Teague,34:20,Kyle Korver,32:10,Al Horford,31:43,Paul Millsap,28:17,Mike Scott,18:36,Gustavo Ayón,17:24,Shelvin Mack,17:10,Lou Williams,14:39,93,2,3,0.0,0.0,3.0,100.0,0.0,0.0,Josh Harrellson,8,0,2013-2014,1.0,1,1.0,DET,85,Brandon Jennings,,,,,,,,,,,,,40:34,Josh Smith,35:39,Andre Drummond,35:08,Greg Monroe,33:55,Rodney Stuckey,26:11,Kentavious Caldwell-Pope,22:47,Kyle Singler,22:26,Gigi Datome,10:42,Peyton Siva,6:28
1,1.000,1,33.333,0,,96,0,4,80.0,3,1.000,2.0,100.0,2.0,3,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201311220DET.html,Home,89,11:13,1,20.0,ATL,Paul Millsap,Cartier Martin,12:56,,,,,,,,,,,34:24,Jeff Teague,33:48,Kyle Korver,32:54,Al Horford,32:36,DeMarre Carroll,27:32,Shelvin Mack,18:37,John Jenkins,18:13,Gustavo Ayón,15:24,Mike Scott,13:36,96,1,7,4.0,57.1,3.0,42.9,0.0,0.0,Josh Harrellson,7,0,2013-2014,0.0,0,5.0,DET,89,Kyle Singler,,,,,,,,,,,,,41:14,Brandon Jennings,38:12,Andre Drummond,35:17,Rodney Stuckey,30:48,Greg Monroe,28:45,Kentavious Caldwell-Pope,28:13,Josh Smith,19:32,Peyton Siva,4:24,Jonas Jerebko,2:22
0,.000,2,50.000,0,,109,0,0,,2,.500,2.0,100.0,2.0,4,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201311240BRK.html,Away,97,11:15,0,,BRK,Joe Johnson,Tyshawn Taylor,11:53,Tornike Shengelia,4:13,,,,,,,,,43:47,Shaun Livingston,34:40,Paul Pierce,27:41,Alan Anderson,26:30,Andray Blatche,25:43,Kevin Garnett,22:33,Reggie Evans,15:35,Mirza Teletović,14:18,Mason Plumlee,13:07,97,2,4,4.0,100.0,0.0,0.0,0.0,0.0,Josh Harrellson,12,0,2013-2014,0.0,0,0.0,DET,109,Brandon Jennings,Tony Mitchell,0:24,,,,,,,,,,,40:43,Greg Monroe,33:57,Josh Smith,32:43,Rodney Stuckey,30:44,Andre Drummond,27:07,Kyle Singler,26:17,Kentavious Caldwell-Pope,23:59,Charlie Villanueva,12:16,Peyton Siva,0:35
1,.500,2,100.000,0,,94,0,3,100.0,1,.500,0.0,,0.0,2,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201311250DET.html,Home,113,8:59,0,0.0,MIL,Caron Butler,Ersan İlyasova,16:28,Giannis Antetokounmpo,12:00,Luke Ridnour,10:07,Miroslav Raduljica,4:43,,,,,27:21,O.J. Mayo,24:45,Ekpe Udoh,23:26,Gary Neal,23:15,John Henson,21:58,Brandon Knight,21:16,Khris Middleton,20:39,Zaza Pachulia,17:25,Nate Wolters,16:37,94,1,3,0.0,0.0,3.0,100.0,0.0,0.0,Josh Harrellson,19,0,2013-2014,0.0,0,3.0,DET,113,Kentavious Caldwell-Pope,Kyle Singler,2:25,Tony Mitchell,2:16,Gigi Datome,2:15,,,,,,,35:51,Brandon Jennings,35:50,Josh Smith,35:20,Greg Monroe,31:57,Rodney Stuckey,30:17,Andre Drummond,24:34,Charlie Villanueva,12:55,Will Bynum,12:38,Jonas Jerebko,4:43
0,.000,1,33.333,0,,99,0,0,0.0,2,.667,2.0,100.0,2.0,3,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201311270DET.html,Home,79,8:26,1,100.0,CHI,Luol Deng,Erik Murphy,1:40,,,,,,,,,,,40:47,Kirk Hinrich,37:08,Tony Snell,36:58,Joakim Noah,33:30,Carlos Boozer,26:53,Taj Gibson,26:52,Mike Dunleavy,18:15,Marquis Teague,10:52,Nazr Mohammed,7:05,99,2,4,4.0,100.0,0.0,0.0,0.0,0.0,Josh Harrellson,20,1,2013-2014,1.0,0,1.0,DET,79,Andre Drummond,Charlie Villanueva,4:12,Gigi Datome,2:05,Tony Mitchell,2:05,,,,,,,39:01,Josh Smith,33:41,Brandon Jennings,33:22,Rodney Stuckey,29:09,Greg Monroe,22:25,Kyle Singler,21:32,Kentavious Caldwell-Pope,18:51,Will Bynum,14:38,Jonas Jerebko,10:33
0,,0,0.000,2,,106,0,0,0.0,2,.500,2.0,50.0,4.0,4,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201311290DET.html,Home,102,11:47,3,100.0,LAL,Wesley Johnson,Robert Sacre,13:11,,,,,,,,,,,33:23,Pau Gasol,32:54,Shawne Williams,30:46,Nick Young,27:51,Jodie Meeks,26:39,Jordan Farmar,24:03,Steve Blake,23:57,Jordan Hill,13:50,Xavier Henry,13:26,106,1,4,4.0,100.0,0.0,0.0,0.0,0.0,Josh Harrellson,4,1,2013-2014,1.0,0,3.0,DET,102,Josh Smith,,,,,,,,,,,,,44:24,Brandon Jennings,41:11,Greg Monroe,34:47,Rodney Stuckey,33:27,Kyle Singler,33:22,Andre Drummond,16:04,Kentavious Caldwell-Pope,14:33,Peyton Siva,6:49,Charlie Villanueva,3:36
0,.000,1,100.000,0,0.00,100,0,0,,0,.000,0.0,,0.0,1,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201312010DET.html,Home,115,5:11,0,,PHI,Michael Carter-Williams,Daniel Orton,5:52,Elliot Williams,5:05,Lorenzo Brown,3:06,,,,,,,34:04,Evan Turner,31:23,Spencer Hawes,30:52,Thaddeus Young,29:27,Hollis Thompson,27:57,James Anderson,21:50,Tony Wroten,20:41,Lavoy Allen,15:21,Brandon Davies,14:22,100,1,0,0.0,,0.0,,0.0,,Josh Harrellson,15,0,2013-2014,0.0,1,0.0,DET,115,Brandon Jennings,Gigi Datome,3:12,Tony Mitchell,2:35,,,,,,,,,37:45,Josh Smith,35:24,Andre Drummond,32:59,Rodney Stuckey,31:47,Kentavious Caldwell-Pope,28:56,Greg Monroe,26:05,Kyle Singler,16:26,Jonas Jerebko,12:21,Peyton Siva,7:19
0,,0,0.000,0,,107,1,0,,0,.000,0.0,0.0,2.0,2,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201312030MIA.html,Away,97,8:33,0,,MIA,LeBron James,James Jones,11:10,,,,,,,,,,,36:58,Chris Bosh,32:02,Michael Beasley,30:54,Mario Chalmers,29:27,Ray Allen,28:58,Norris Cole,26:25,Chris Andersen,15:58,Shane Battier,15:26,Rashard Lewis,12:42,97,0,0,0.0,,0.0,,0.0,,Josh Harrellson,10,0,2013-2014,1.0,0,0.0,DET,107,Brandon Jennings,,,,,,,,,,,,,43:39,Josh Smith,39:08,Greg Monroe,37:08,Rodney Stuckey,32:42,Kyle Singler,26:38,Andre Drummond,22:37,Kentavious Caldwell-Pope,19:39,Jonas Jerebko,9:56,,
0,,0,0.000,0,,105,0,0,0.0,0,.000,0.0,0.0,2.0,2,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201312040MIL.html,Away,98,3:16,1,100.0,MIL,Ersan İlyasova,Zaza Pachulia,6:12,Miroslav Raduljica,1:58,,,,,,,,,36:33,John Henson,29:33,Luke Ridnour,28:24,Giannis Antetokounmpo,27:39,Gary Neal,24:38,O.J. Mayo,23:22,Ekpe Udoh,21:44,Khris Middleton,20:21,Brandon Knight,19:36,98,0,0,0.0,,0.0,,0.0,,Josh Harrellson,7,0,2013-2014,0.0,0,1.0,DET,105,Brandon Jennings,,,,,,,,,,,,,41:38,Josh Smith,41:33,Andre Drummond,37:37,Greg Monroe,31:20,Kentavious Caldwell-Pope,27:54,Rodney Stuckey,25:06,Kyle Singler,20:37,Jonas Jerebko,7:21,Peyton Siva,3:38
