3P,3P%,3PA,3PAr,AST,AST/TOV,Away_Score,BLK,DRB,DRB_Pct_of_TRB,FG,FG%,FG2,FG2%,FG2A,FGA,FT,FT%,FTA,FTr,Game_Date,Game_Result,Game_URL,Home/Away,Home_Score,MP,ORB,ORB_Pct_of_TRB,Opponent,Opponent_1,Opponent_10,Opponent_10_MP,Opponent_11,Opponent_11_MP,Opponent_12,Opponent_12_MP,Opponent_13,Opponent_13_MP,Opponent_14,Opponent_14_MP,Opponent_15,Opponent_15_MP,Opponent_1_MP,Opponent_2,Opponent_2_MP,Opponent_3,Opponent_3_MP,Opponent_4,Opponent_4_MP,Opponent_5,Opponent_5_MP,Opponent_6,Opponent_6_MP,Opponent_7,Opponent_7_MP,Opponent_8,Opponent_8_MP,Opponent_9,Opponent_9_MP,Opponent_Score,PF,PTS,PTS_2P,PTS_2P_Pct,PTS_3P,PTS_3P_Pct,PTS_FT,PTS_FT_Pct,Player,Point_Differential,STL,Season,Stocks,TOV,TRB,Team,Team_Score,Teammate_1,Teammate_10,Teammate_10_MP,Teammate_11,Teammate_11_MP,Teammate_12,Teammate_12_MP,Teammate_13,Teammate_13_MP,Teammate_14,Teammate_14_MP,Teammate_15,Teammate_15_MP,Teammate_1_MP,Teammate_2,Teammate_2_MP,Teammate_3,Teammate_3_MP,Teammate_4,Teammate_4_MP,Teammate_5,Teammate_5_MP,Teammate_6,Teammate_6_MP,Teammate_7,Teammate_7_MP,Teammate_8,Teammate_8_MP,Teammate_9,Teammate_9_MP
3,.750,4,44.444,3,3.00,83,1,3,75.0,5,.556,2.0,40.0,5.0,9,2,1.000,2,22.222,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201310300HOU.html,Away,96,29:47,1,25.0,HOU,Chandler Parsons,,,,,,,,,,,,,39:28,James Harden,36:51,Dwight Howard,34:41,Jeremy Lin,30:56,Francisco García,30:03,Ömer Aşık,26:09,Omri Casspi,20:24,Aaron Brooks,11:05,Patrick Beverley,10:23,96,3,15,4.0,26.7,9.0,60.0,2.0,13.3,Josh McRoberts,13,1,2013-2014,2.0,1,4.0,CHA,83,Kemba Walker,Jeff Adrien,1:02,,,,,,,,,,,34:43,Gerald Henderson,31:35,Michael Kidd-Gilchrist,30:36,Al Jefferson,30:23,Jeff Taylor,27:46,Ramon Sessions,19:20,Bismack Biyombo,16:35,Cody Zeller,15:31,Anthony Tolliver,2:42
0,.000,1,33.333,8,4.00,84,1,2,50.0,0,.000,0.0,0.0,2.0,3,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201311010CHA.html,Home,90,29:08,2,50.0,CLE,Tristan Thompson,Andrew Bynum,10:46,Tyler Zeller,8:36,,,,,,,,,34:40,Kyrie Irving,30:53,Anderson Varejão,29:25,C.J. Miles,29:25,Jarrett Jack,27:40,Alonzo Gee,24:41,Earl Clark,16:59,Dion Waiters,14:23,Anthony Bennett,12:32,84,5,0,0.0,,0.0,,0.0,,Josh McRoberts,6,2,2013-2014,3.0,2,4.0,CHA,90,Kemba Walker,,,,,,,,,,,,,37:31,Michael Kidd-Gilchrist,37:06,Bismack Biyombo,36:49,Gerald Henderson,28:11,Jeff Taylor,21:36,Ramon Sessions,19:36,Cody Zeller,18:52,Jeff Adrien,11:11,,
1,1.000,1,25.000,2,2.00,84,0,5,83.3,3,.750,2.0,66.7,3.0,4,2,1.000,2,50.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201311020NOP.html,Away,105,14:54,1,16.7,NOP,Anthony Davis,Lance Thomas,13:49,Jeff Withey,1:42,,,,,,,,,36:40,Jrue Holiday,32:28,Tyreke Evans,31:07,Jason Smith,27:09,Al-Farouq Aminu,22:14,Anthony Morrow,21:32,Eric Gordon,21:06,Greg Stiemsma,16:41,Brian Roberts,15:32,105,2,9,4.0,44.4,3.0,33.3,2.0,22.2,Josh McRoberts,21,2,2013-2014,2.0,1,6.0,CHA,84,Ramon Sessions,Ben Gordon,8:46,Jannero Pargo,4:42,,,,,,,,,34:16,Kemba Walker,27:09,Gerald Henderson,26:59,Bismack Biyombo,25:30,Jeff Taylor,24:59,Anthony Tolliver,23:32,Jeff Adrien,22:30,Michael Kidd-Gilchrist,17:09,Cody Zeller,9:34
0,.000,3,75.000,1,0.50,102,0,0,0.0,0,.000,0.0,0.0,1.0,4,2,1.000,2,50.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201311050NYK.html,Away,97,21:31,1,100.0,NYK,Carmelo Anthony,Tyson Chandler,6:35,Beno Udrih,3:36,,,,,,,,,44:37,Raymond Felton,37:18,Iman Shumpert,32:40,Metta World Peace,32:29,Andrea Bargnani,23:02,Pablo Prigioni,18:30,Kenyon Martin,18:17,Tim Hardaway Jr.,11:43,Amar'e Stoudemire,11:13,97,3,2,0.0,0.0,0.0,0.0,2.0,100.0,Josh McRoberts,5,1,2013-2014,1.0,2,1.0,CHA,102,Gerald Henderson,,,,,,,,,,,,,35:40,Kemba Walker,35:20,Michael Kidd-Gilchrist,25:59,Ramon Sessions,22:29,Anthony Tolliver,22:11,Jeff Adrien,21:51,Bismack Biyombo,18:35,Jeff Taylor,18:24,Cody Zeller,18:00
1,.250,4,28.571,5,5.00,90,1,6,100.0,5,.357,4.0,40.0,10.0,14,2,.500,4,28.571,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201311060CHA.html,Home,92,30:07,0,0.0,TOR,DeMar DeRozan,D.J. Augustin,6:12,Austin Daye,3:01,,,,,,,,,37:57,Rudy Gay,36:31,Amir Johnson,36:30,Kyle Lowry,33:11,Jonas Valančiūnas,27:34,Tyler Hansbrough,21:41,Landry Fields,16:55,Terrence Ross,11:51,Julyan Stone,8:37,90,1,13,8.0,61.5,3.0,23.1,2.0,15.4,Josh McRoberts,2,1,2013-2014,2.0,1,6.0,CHA,92,Bismack Biyombo,,,,,,,,,,,,,39:49,Kemba Walker,38:31,Gerald Henderson,34:14,Michael Kidd-Gilchrist,28:37,Jeff Taylor,28:04,Cody Zeller,17:53,Ramon Sessions,14:34,Jeff Adrien,8:11,,
1,.333,3,60.000,3,1.50,101,0,2,100.0,2,.400,1.0,50.0,2.0,5,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201311080CHA.html,Home,91,33:01,0,0.0,NYK,Carmelo Anthony,Beno Udrih,3:56,Cole Aldrich,1:29,Toure' Murry,1:29,,,,,,,39:15,Iman Shumpert,38:44,Raymond Felton,37:47,Andrea Bargnani,34:48,Metta World Peace,28:37,Pablo Prigioni,21:31,Tim Hardaway Jr.,13:50,Kenyon Martin,10:06,Amar'e Stoudemire,8:28,101,1,5,2.0,40.0,3.0,60.0,0.0,0.0,Josh McRoberts,10,0,2013-2014,0.0,2,2.0,CHA,91,Kemba Walker,,,,,,,,,,,,,38:07,Gerald Henderson,35:46,Michael Kidd-Gilchrist,34:15,Bismack Biyombo,26:06,Cody Zeller,23:08,Jeff Taylor,17:12,Ramon Sessions,14:54,Anthony Tolliver,14:46,Jeff Adrien,2:45
5,.625,8,61.538,7,3.50,103,0,5,83.3,7,.538,2.0,40.0,5.0,13,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201311110CHA.html,Home,94,30:43,1,16.7,ATL,DeMarre Carroll,Shelvin Mack,8:20,John Jenkins,7:25,,,,,,,,,34:09,Kyle Korver,32:59,Jeff Teague,31:16,Al Horford,31:04,Paul Millsap,26:17,Cartier Martin,20:13,Mike Scott,19:28,Elton Brand,19:11,Dennis Schröder,9:38,103,5,19,4.0,21.1,15.0,78.9,0.0,0.0,Josh McRoberts,9,0,2013-2014,0.0,2,6.0,CHA,94,Gerald Henderson,,,,,,,,,,,,,33:06,Michael Kidd-Gilchrist,32:58,Kemba Walker,32:21,Al Jefferson,27:39,Jeff Taylor,25:24,Ramon Sessions,20:11,Cody Zeller,17:20,Bismack Biyombo,16:55,Anthony Tolliver,3:23
3,.375,8,66.667,4,2.00,86,0,4,80.0,4,.333,1.0,25.0,4.0,12,2,.667,3,25.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201311150CLE.html,Away,80,31:00,1,20.0,CLE,Tristan Thompson,Anthony Bennett,7:47,Henry Sims,1:11,,,,,,,,,40:13,Kyrie Irving,38:09,C.J. Miles,33:00,Anderson Varejão,32:42,Earl Clark,24:44,Jarrett Jack,23:49,Alonzo Gee,15:48,Tyler Zeller,13:57,Sergey Karasev,8:40,80,2,13,2.0,15.4,9.0,69.2,2.0,15.4,Josh McRoberts,6,0,2013-2014,0.0,2,5.0,CHA,86,Kemba Walker,,,,,,,,,,,,,36:03,Bismack Biyombo,31:39,Gerald Henderson,31:10,Michael Kidd-Gilchrist,29:12,Jeff Taylor,28:34,Cody Zeller,21:56,Ramon Sessions,19:12,Anthony Tolliver,11:14,,
0,.000,6,60.000,8,4.00,97,0,4,57.1,3,.300,3.0,75.0,4.0,10,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201311160CHA.html,Home,81,36:40,3,42.9,MIA,Norris Cole,Joel Anthony,8:34,,,,,,,,,,,35:46,Rashard Lewis,33:15,LeBron James,31:55,Shane Battier,24:41,Chris Andersen,23:52,Michael Beasley,23:19,Dwyane Wade,22:58,Roger Mason,20:06,Chris Bosh,15:34,97,1,6,6.0,100.0,0.0,0.0,0.0,0.0,Josh McRoberts,16,1,2013-2014,1.0,2,7.0,CHA,81,Kemba Walker,,,,,,,,,,,,,33:47,Gerald Henderson,32:34,Anthony Tolliver,31:40,Jeff Taylor,30:14,Michael Kidd-Gilchrist,25:36,Ramon Sessions,21:49,Bismack Biyombo,20:53,Cody Zeller,6:47,,
3,.429,7,50.000,5,5.00,81,2,3,50.0,4,.286,1.0,14.3,7.0,14,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201311180CHI.html,Away,86,29:04,3,50.0,CHI,Luol Deng,,,,,,,,,,,,,39:06,Joakim Noah,35:11,Carlos Boozer,33:38,Derrick Rose,30:36,Mike Dunleavy,26:37,Kirk Hinrich,25:36,Jimmy Butler,22:12,Taj Gibson,19:51,Nazr Mohammed,7:13,86,2,11,2.0,18.2,9.0,81.8,0.0,0.0,Josh McRoberts,5,0,2013-2014,2.0,1,6.0,CHA,81,Kemba Walker,,,,,,,,,,,,,34:46,Jeff Taylor,33:05,Gerald Henderson,31:20,Jeff Adrien,27:13,Michael Kidd-Gilchrist,25:36,Bismack Biyombo,20:47,Ramon Sessions,19:13,Cody Zeller,18:56,,
