3P,3P%,3PA,3PAr,AST,AST/TOV,Away_Score,BLK,DRB,DRB_Pct_of_TRB,FG,FG%,FG2,FG2%,FG2A,FGA,FT,FT%,FTA,FTr,Game_Date,Game_Result,Game_URL,Home/Away,Home_Score,MP,ORB,ORB_Pct_of_TRB,Opponent,Opponent_1,Opponent_10,Opponent_10_MP,Opponent_11,Opponent_11_MP,Opponent_12,Opponent_12_MP,Opponent_13,Opponent_13_MP,Opponent_14,Opponent_14_MP,Opponent_15,Opponent_15_MP,Opponent_1_MP,Opponent_2,Opponent_2_MP,Opponent_3,Opponent_3_MP,Opponent_4,Opponent_4_MP,Opponent_5,Opponent_5_MP,Opponent_6,Opponent_6_MP,Opponent_7,Opponent_7_MP,Opponent_8,Opponent_8_MP,Opponent_9,Opponent_9_MP,Opponent_Score,PF,PTS,PTS_2P,PTS_2P_Pct,PTS_3P,PTS_3P_Pct,PTS_FT,PTS_FT_Pct,Player,Point_Differential,STL,Season,Stocks,TOV,TRB,Team,Team_Score,Teammate_1,Teammate_10,Teammate_10_MP,Teammate_11,Teammate_11_MP,Teammate_12,Teammate_12_MP,Teammate_13,Teammate_13_MP,Teammate_14,Teammate_14_MP,Teammate_15,Teammate_15_MP,Teammate_1_MP,Teammate_2,Teammate_2_MP,Teammate_3,Teammate_3_MP,Teammate_4,Teammate_4_MP,Teammate_5,Teammate_5_MP,Teammate_6,Teammate_6_MP,Teammate_7,Teammate_7_MP,Teammate_8,Teammate_8_MP,Teammate_9,Teammate_9_MP
0,,0,,0,,124,0,0,,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202310250CHI.html,Home,104,3:40,0,,OKC,Shai Gilgeous-Alexander,Olivier Sarr,10:30,Lindy Waters III,2:42,Tre Mann,1:54,Aleksej Pokusevski,1:54,,,,,36:01,Luguentz Dort,32:35,Jalen Williams,31:48,Josh Giddey,31:47,Chet Holmgren,25:07,Isaiah Joe,21:37,Cason Wallace,19:02,Ousmane Dieng,14:15,Aaron Wiggins,10:48,124,0,0,0.0,,0.0,,0.0,,Julian Phillips,20,0,2023-2024,0.0,0,0.0,CHI,104,DeMar DeRozan,Ayo Dosunmu,9:18,Dalen Terry,3:40,,,,,,,,,32:53,Nikola Vučević,31:57,Coby White,30:35,Patrick Williams,30:02,Zach LaVine,24:43,Torrey Craig,21:41,Alex Caruso,19:37,Andre Drummond,15:58,Jevon Carter,15:56
0,,0,,0,,102,0,0,,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202310280DET.html,Away,118,1:11,0,,DET,Cade Cunningham,Marcus Sasser,5:58,Stanley Umude,0:42,,,,,,,,,39:37,Isaiah Stewart,33:46,Jalen Duren,33:13,Ausar Thompson,31:15,Alec Burks,25:33,Killian Hayes,22:40,Jaden Ivey,21:58,Marvin Bagley III,14:47,Joe Harris,10:31,118,0,0,0.0,,0.0,,0.0,,Julian Phillips,16,0,2023-2024,0.0,0,0.0,CHI,102,Zach LaVine,Jevon Carter,12:44,Dalen Terry,1:11,Terry Taylor,1:11,,,,,,,37:26,Nikola Vučević,32:21,DeMar DeRozan,31:49,Coby White,27:55,Torrey Craig,22:52,Patrick Williams,21:19,Alex Caruso,20:34,Ayo Dosunmu,14:59,Andre Drummond,14:28
0,,0,,0,,101,0,0,,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202311040DEN.html,Away,123,3:11,0,,DEN,Aaron Gordon,Jamal Murray,9:30,Julian Strawther,9:08,Zeke Nnaji,2:23,Jalen Pickett,2:21,Hunter Tyson,2:21,,,34:41,Nikola Jokić,33:21,Michael Porter Jr.,30:49,Kentavious Caldwell-Pope,29:45,Reggie Jackson,25:18,Peyton Watson,18:23,Christian Braun,17:59,DeAndre Jordan,12:15,Collin Gillespie,11:44,123,0,0,0.0,,0.0,,0.0,,Julian Phillips,22,0,2023-2024,0.0,0,0.0,CHI,101,DeMar DeRozan,Terry Taylor,3:11,Dalen Terry,3:11,Onuralp Bitim,3:11,,,,,,,33:46,Zach LaVine,30:38,Coby White,30:38,Nikola Vučević,29:44,Patrick Williams,28:02,Torrey Craig,27:23,Jevon Carter,17:44,Andre Drummond,15:05,Alex Caruso,14:16
0,.000,1,100.000,0,,113,0,1,100.0,0,.000,0.0,,0.0,1,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202311060CHI.html,Home,130,1:55,0,0.0,UTA,Lauri Markkanen,Kris Dunn,10:30,Luka Šamanić,3:58,Omer Yurtseven,3:58,Simone Fontecchio,3:58,,,,,34:26,Walker Kessler,30:39,Jordan Clarkson,29:05,John Collins,28:40,Talen Horton-Tucker,23:25,Kelly Olynyk,23:19,Keyonte George,20:37,Collin Sexton,16:49,Ochai Agbaji,10:35,113,0,0,0.0,,0.0,,0.0,,Julian Phillips,17,0,2023-2024,0.0,0,1.0,CHI,130,Zach LaVine,Andre Drummond,13:48,Dalen Terry,3:13,Terry Taylor,1:55,,,,,,,30:59,Nikola Vučević,30:59,DeMar DeRozan,29:50,Coby White,29:18,Patrick Williams,24:53,Alex Caruso,20:20,Torrey Craig,19:37,Jevon Carter,16:47,Ayo Dosunmu,16:26
0,.000,1,50.000,0,,96,0,0,,0,.000,0.0,0.0,1.0,2,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202311150CHI.html,Home,94,4:26,0,,ORL,Paolo Banchero,Jonathan Isaac,16:47,,,,,,,,,,,32:40,Franz Wagner,30:31,Anthony Black,26:39,Jalen Suggs,26:32,Goga Bitadze,26:10,Cole Anthony,21:47,Gary Harris,20:55,Moritz Wagner,20:23,Joe Ingles,17:36,96,1,0,0.0,,0.0,,0.0,,Julian Phillips,2,0,2023-2024,0.0,0,0.0,CHI,94,Zach LaVine,,,,,,,,,,,,,36:01,Nikola Vučević,35:36,Coby White,32:55,Patrick Williams,32:09,Torrey Craig,28:06,Alex Caruso,24:24,Ayo Dosunmu,18:27,Jevon Carter,15:32,Andre Drummond,12:24
0,,0,0.000,0,,118,0,1,100.0,1,.500,1.0,50.0,2.0,2,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202311200CHI.html,Home,100,2:28,0,0.0,MIA,Jaime Jaquez Jr.,Orlando Robinson,2:28,Dru Smith,2:28,,,,,,,,,32:42,Bam Adebayo,30:27,Duncan Robinson,29:46,Josh Richardson,29:45,Jimmy Butler,29:15,Kyle Lowry,26:34,Caleb Martin,21:26,Haywood Highsmith,20:03,Kevin Love,15:04,118,1,2,2.0,100.0,0.0,0.0,0.0,0.0,Julian Phillips,18,0,2023-2024,0.0,0,1.0,CHI,100,Zach LaVine,Ayo Dosunmu,12:02,Terry Taylor,2:28,,,,,,,,,34:58,DeMar DeRozan,34:17,Coby White,33:46,Nikola Vučević,31:55,Alex Caruso,26:59,Patrick Williams,17:28,Torrey Craig,15:40,Jevon Carter,14:22,Andre Drummond,13:37
0,.000,1,50.000,0,,108,0,0,,1,.500,1.0,100.0,1.0,2,0,.000,2,100.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202311240TOR.html,Away,121,4:27,0,,TOR,Pascal Siakam,Gradey Dick,9:01,,,,,,,,,,,37:29,OG Anunoby,33:56,Dennis Schröder,33:56,Scottie Barnes,32:34,Jakob Poeltl,30:34,Gary Trent Jr.,20:30,Precious Achiuwa,17:35,Malachi Flynn,14:04,Chris Boucher,10:20,121,1,2,2.0,100.0,0.0,0.0,0.0,0.0,Julian Phillips,13,0,2023-2024,0.0,0,0.0,CHI,108,DeMar DeRozan,Andre Drummond,6:09,,,,,,,,,,,38:39,Zach LaVine,38:17,Nikola Vučević,35:51,Coby White,33:56,Patrick Williams,21:50,Torrey Craig,19:27,Alex Caruso,17:44,Ayo Dosunmu,12:31,Jevon Carter,11:08
0,.000,1,50.000,1,1.00,97,0,2,100.0,0,.000,0.0,0.0,1.0,2,1,.500,2,100.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202311280BOS.html,Away,124,9:50,0,0.0,BOS,Jayson Tatum,Svi Mykhailiuk,1:52,Lamar Stevens,0:07,,,,,,,,,35:33,Jaylen Brown,34:47,Jrue Holiday,33:11,Derrick White,28:30,Al Horford,28:24,Payton Pritchard,22:50,Sam Hauser,20:43,Luke Kornet,19:27,Dalano Banton,14:36,124,0,1,0.0,0.0,0.0,0.0,1.0,100.0,Julian Phillips,27,0,2023-2024,0.0,1,2.0,CHI,97,Coby White,Andre Drummond,12:58,Dalen Terry,7:34,Terry Taylor,3:05,,,,,,,29:35,Patrick Williams,28:22,DeMar DeRozan,25:41,Nikola Vučević,25:20,Zach LaVine,24:37,Ayo Dosunmu,23:55,Alex Caruso,19:05,Jevon Carter,16:42,Torrey Craig,13:16
0,.000,2,66.667,3,,113,0,2,66.7,0,.000,0.0,0.0,1.0,3,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202311300CHI.html,Home,120,13:35,1,33.3,MIL,Damian Lillard,,,,,,,,,,,,,42:33,Malik Beasley,41:02,Brook Lopez,38:54,Giannis Antetokounmpo,38:52,Bobby Portis,31:13,Khris Middleton,26:40,MarJon Beauchamp,22:18,Andre Jackson Jr.,11:58,Cameron Payne,11:30,113,3,0,0.0,,0.0,,0.0,,Julian Phillips,7,0,2023-2024,0.0,0,3.0,CHI,120,Coby White,,,,,,,,,,,,,44:42,Nikola Vučević,39:31,Ayo Dosunmu,38:48,Patrick Williams,36:10,Alex Caruso,29:24,Torrey Craig,26:51,Jevon Carter,18:01,Andre Drummond,13:29,Dalen Terry,4:28
0,,0,0.000,0,,118,0,0,,1,1.000,1.0,100.0,1.0,1,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202312020CHI.html,Home,124,3:43,0,,NOP,Brandon Ingram,Jeremiah Robinson-Earl,0:04,,,,,,,,,,,35:45,Jonas Valančiūnas,35:45,Herbert Jones,35:34,Zion Williamson,29:58,Naji Marshall,26:40,Jordan Hawkins,24:38,Dyson Daniels,21:48,Jose Alvarado,17:47,Cody Zeller,11:58,118,0,2,2.0,100.0,0.0,0.0,0.0,0.0,Julian Phillips,6,1,2023-2024,1.0,0,0.0,CHI,124,Coby White,,,,,,,,,,,,,40:12,DeMar DeRozan,39:59,Ayo Dosunmu,32:42,Nikola Vučević,32:39,Patrick Williams,29:17,Torrey Craig,18:51,Andre Drummond,15:02,Jevon Carter,14:59,Alex Caruso,12:35
