3P,3P%,3PA,3PAr,AST,AST/TOV,Away_Score,BLK,DRB,DRB_Pct_of_TRB,FG,FG%,FG2,FG2%,FG2A,FGA,FT,FT%,FTA,FTr,Game_Date,Game_Result,Game_URL,Home/Away,Home_Score,MP,ORB,ORB_Pct_of_TRB,Opponent,Opponent_1,Opponent_10,Opponent_10_MP,Opponent_11,Opponent_11_MP,Opponent_12,Opponent_12_MP,Opponent_13,Opponent_13_MP,Opponent_14,Opponent_14_MP,Opponent_15,Opponent_15_MP,Opponent_1_MP,Opponent_2,Opponent_2_MP,Opponent_3,Opponent_3_MP,Opponent_4,Opponent_4_MP,Opponent_5,Opponent_5_MP,Opponent_6,Opponent_6_MP,Opponent_7,Opponent_7_MP,Opponent_8,Opponent_8_MP,Opponent_9,Opponent_9_MP,Opponent_Score,PF,PTS,PTS_2P,PTS_2P_Pct,PTS_3P,PTS_3P_Pct,PTS_FT,PTS_FT_Pct,Player,Point_Differential,STL,Season,Stocks,TOV,TRB,Team,Team_Score,Teammate_1,Teammate_10,Teammate_10_MP,Teammate_11,Teammate_11_MP,Teammate_12,Teammate_12_MP,Teammate_13,Teammate_13_MP,Teammate_14,Teammate_14_MP,Teammate_15,Teammate_15_MP,Teammate_1_MP,Teammate_2,Teammate_2_MP,Teammate_3,Teammate_3_MP,Teammate_4,Teammate_4_MP,Teammate_5,Teammate_5_MP,Teammate_6,Teammate_6_MP,Teammate_7,Teammate_7_MP,Teammate_8,Teammate_8_MP,Teammate_9,Teammate_9_MP
0,,0,0.000,0,,122,0,0,,1,1.000,1.0,100.0,1.0,1,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201910250SAC.html,Home,112,2:34,0,,POR,Damian Lillard,Skal Labissière,6:10,Nassir Little,2:03,Gary Trent Jr.,2:03,,,,,,,34:02,CJ McCollum,33:44,Zach Collins,31:52,Rodney Hood,30:23,Hassan Whiteside,26:19,Kent Bazemore,23:32,Anfernee Simons,21:09,Mario Hezonja,17:31,Anthony Tolliver,11:12,122,0,2,2.0,100.0,0.0,0.0,0.0,0.0,Justin James,10,0,2019-2020,0.0,0,0.0,SAC,112,De'Aaron Fox,Yogi Ferrell,2:34,Wenyen Gabriel,2:34,Caleb Swanigan,2:34,,,,,,,34:07,Harrison Barnes,33:29,Buddy Hield,31:39,Bogdan Bogdanović,28:42,Nemanja Bjelica,27:58,Trevor Ariza,21:13,Dewayne Dedmon,20:54,Richaun Holmes,17:14,Cory Joseph,14:28
0,.000,2,33.333,0,,81,1,1,100.0,2,.333,2.0,50.0,4.0,6,1,.500,2,33.333,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201910260UTA.html,Away,113,7:25,0,0.0,UTA,Donovan Mitchell,Georges Niang,15:30,Stanton Kidd,7:25,Tony Bradley,4:42,Nigel Williams-Goss,4:42,,,,,25:35,Joe Ingles,25:27,Rudy Gobert,25:03,Bojan Bogdanović,24:19,Mike Conley,24:12,Emmanuel Mudiay,23:48,Royce O'Neale,22:57,Ed Davis,18:15,Jeff Green,18:05,113,0,5,4.0,80.0,0.0,0.0,1.0,20.0,Justin James,32,0,2019-2020,1.0,0,1.0,SAC,81,Dewayne Dedmon,Richaun Holmes,15:17,Yogi Ferrell,12:11,Caleb Swanigan,4:42,,,,,,,28:01,Cory Joseph,25:01,Bogdan Bogdanović,24:21,Trevor Ariza,23:34,Harrison Barnes,21:56,Wenyen Gabriel,20:39,De'Aaron Fox,20:00,Buddy Hield,20:00,Nemanja Bjelica,16:53
0,,0,,1,,113,0,1,100.0,0,,0.0,,0.0,0,0,.000,2,,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201911030NYK.html,Away,92,1:56,0,0.0,NYK,RJ Barrett,Ignas Brazdeikis,4:11,Damyean Dotson,4:11,,,,,,,,,40:44,Marcus Morris,34:54,Julius Randle,26:56,Wayne Ellington,24:54,Mitchell Robinson,24:34,Allonzo Trier,24:00,Kevin Knox,20:40,Bobby Portis,20:00,Frank Ntilikina,14:56,92,0,0,0.0,,0.0,,0.0,,Justin James,21,1,2019-2020,1.0,0,1.0,SAC,113,Harrison Barnes,Wenyen Gabriel,5:41,Caleb Swanigan,1:56,Yogi Ferrell,1:56,,,,,,,39:35,De'Aaron Fox,34:47,Buddy Hield,30:29,Richaun Holmes,29:40,Trevor Ariza,24:46,Nemanja Bjelica,24:08,Bogdan Bogdanović,19:09,Dewayne Dedmon,14:40,Cory Joseph,11:17
0,.000,1,50.000,0,,116,1,0,,1,.500,1.0,100.0,1.0,2,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201911190SAC.html,Home,120,3:23,0,,PHO,Devin Booker,Cheick Diallo,15:10,,,,,,,,,,,38:45,Kelly Oubre Jr.,37:28,Cameron Johnson,26:17,Mikal Bridges,25:49,Frank Kaminsky,23:24,Dario Šarić,20:54,Elie Okobo,18:19,Tyler Johnson,17:49,Ricky Rubio,16:05,116,0,2,2.0,100.0,0.0,0.0,0.0,0.0,Justin James,4,0,2019-2020,1.0,0,0.0,SAC,120,Cory Joseph,,,,,,,,,,,,,39:18,Harrison Barnes,37:10,Bogdan Bogdanović,35:48,Richaun Holmes,34:21,Nemanja Bjelica,30:38,Buddy Hield,28:40,Yogi Ferrell,17:58,Dewayne Dedmon,12:44,,
2,.500,4,28.571,3,1.50,97,0,3,100.0,6,.429,4.0,40.0,10.0,14,0,.000,2,14.286,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201911220BRK.html,Away,116,32:39,0,0.0,BRK,Garrett Temple,Nic Claxton,3:20,David Nwaba,3:20,Henry Ellenson,3:20,,,,,,,34:33,Joe Harris,28:21,Spencer Dinwiddie,27:41,Jarrett Allen,25:19,Taurean Prince,25:13,Iman Shumpert,24:44,Theo Pinson,24:41,Džanan Musa,20:07,DeAndre Jordan,19:21,116,1,14,8.0,57.1,6.0,42.9,0.0,0.0,Justin James,19,1,2019-2020,1.0,2,3.0,SAC,97,Harrison Barnes,Wenyen Gabriel,7:57,,,,,,,,,,,32:45,Buddy Hield,32:13,Nemanja Bjelica,31:24,Richaun Holmes,26:17,Cory Joseph,22:59,Yogi Ferrell,20:03,Dewayne Dedmon,13:57,Harry Giles,10:27,DaQuan Jeffries,9:19
1,.500,2,66.667,1,,113,0,1,100.0,2,.667,1.0,100.0,1.0,3,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201911240WAS.html,Away,106,16:11,0,0.0,WAS,Bradley Beal,C.J. Miles,5:06,Isaac Bonga,0:36,Justin Robinson,0:36,Admiral Schofield,0:36,,,,,41:10,Dāvis Bertāns,29:21,Isaiah Thomas,29:14,Thomas Bryant,28:24,Ish Smith,24:07,Jordan McRae,23:47,Rui Hachimura,23:24,Moritz Wagner,18:59,Troy Brown Jr.,14:36,106,3,5,2.0,40.0,3.0,60.0,0.0,0.0,Justin James,7,0,2019-2020,0.0,0,1.0,SAC,113,Richaun Holmes,,,,,,,,,,,,,36:24,Buddy Hield,36:10,Cory Joseph,35:45,Harrison Barnes,34:57,Nemanja Bjelica,29:02,Bogdan Bogdanović,27:39,Yogi Ferrell,12:15,Dewayne Dedmon,11:35,,
0,,0,,0,,102,1,2,100.0,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201911250BOS.html,Away,103,13:49,0,0.0,BOS,Marcus Smart,Grant Williams,5:02,,,,,,,,,,,36:42,Jayson Tatum,34:28,Jaylen Brown,34:05,Semi Ojeleye,27:29,Enes Freedom,25:23,Robert Williams,22:37,Brad Wanamaker,21:18,Tremont Waters,19:43,Carsen Edwards,13:13,103,2,0,0.0,,0.0,,0.0,,Justin James,1,0,2019-2020,1.0,0,2.0,SAC,102,Buddy Hield,,,,,,,,,,,,,41:55,Harrison Barnes,34:44,Cory Joseph,34:41,Bogdan Bogdanović,29:03,Richaun Holmes,27:31,Nemanja Bjelica,26:13,Dewayne Dedmon,11:56,Yogi Ferrell,11:35,Harry Giles,8:33
0,.000,1,16.667,1,,91,1,2,100.0,3,.500,3.0,60.0,5.0,6,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201911270PHI.html,Away,97,19:08,0,0.0,PHI,Ben Simmons,Raul Neto,11:05,,,,,,,,,,,36:54,Tobias Harris,32:47,Al Horford,32:29,Joel Embiid,32:19,Mike Scott,23:28,Furkan Korkmaz,21:21,Matisse Thybulle,21:00,Josh Richardson,17:14,James Ennis III,11:20,97,1,6,6.0,100.0,0.0,0.0,0.0,0.0,Justin James,6,0,2019-2020,1.0,0,2.0,SAC,91,Harrison Barnes,,,,,,,,,,,,,39:26,Buddy Hield,37:03,Bogdan Bogdanović,28:15,Cory Joseph,27:54,Nemanja Bjelica,25:50,Dewayne Dedmon,22:32,Richaun Holmes,19:46,Yogi Ferrell,14:49,Harry Giles,5:15
0,.000,3,33.333,2,,97,1,6,85.7,3,.333,3.0,50.0,6.0,9,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201911300SAC.html,Home,100,25:32,1,14.3,DEN,Will Barton,Juancho Hernangómez,7:24,,,,,,,,,,,40:43,Gary Harris,37:34,Jamal Murray,36:53,Nikola Jokić,36:29,Jerami Grant,32:25,Paul Millsap,20:35,Malik Beasley,20:19,Mason Plumlee,16:31,Monte Morris,16:07,97,1,6,6.0,100.0,0.0,0.0,0.0,0.0,Justin James,3,2,2019-2020,3.0,0,7.0,SAC,100,Harrison Barnes,,,,,,,,,,,,,45:26,Cory Joseph,40:36,Buddy Hield,40:28,Richaun Holmes,36:37,Bogdan Bogdanović,28:43,Nemanja Bjelica,25:02,Dewayne Dedmon,12:14,Yogi Ferrell,10:22,,
0,,0,,0,0.00,113,0,0,0.0,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201912020SAC.html,Home,106,9:51,1,100.0,CHI,Wendell Carter Jr.,Daniel Gafford,10:37,,,,,,,,,,,37:23,Zach LaVine,35:07,Tomáš Satoranský,33:35,Kris Dunn,30:12,Lauri Markkanen,29:34,Coby White,21:14,Thaddeus Young,18:26,Ryan Arcidiacono,12:01,Denzel Valentine,11:51,113,2,0,0.0,,0.0,,0.0,,Justin James,7,0,2019-2020,0.0,3,1.0,SAC,106,Buddy Hield,,,,,,,,,,,,,39:14,Harrison Barnes,36:21,Richaun Holmes,32:47,Nemanja Bjelica,30:46,Cory Joseph,25:21,Bogdan Bogdanović,21:51,Yogi Ferrell,20:15,Trevor Ariza,12:12,Dewayne Dedmon,11:22
