3P,3P%,3PA,3PAr,AST,AST/TOV,Away_Score,BLK,DRB,DRB_Pct_of_TRB,FG,FG%,FG2,FG2%,FG2A,FGA,FT,FT%,FTA,FTr,Game_Date,Game_Result,Game_URL,Home/Away,Home_Score,MP,ORB,ORB_Pct_of_TRB,Opponent,Opponent_1,Opponent_10,Opponent_10_MP,Opponent_11,Opponent_11_MP,Opponent_12,Opponent_12_MP,Opponent_13,Opponent_13_MP,Opponent_14,Opponent_14_MP,Opponent_15,Opponent_15_MP,Opponent_1_MP,Opponent_2,Opponent_2_MP,Opponent_3,Opponent_3_MP,Opponent_4,Opponent_4_MP,Opponent_5,Opponent_5_MP,Opponent_6,Opponent_6_MP,Opponent_7,Opponent_7_MP,Opponent_8,Opponent_8_MP,Opponent_9,Opponent_9_MP,Opponent_Score,PF,PTS,PTS_2P,PTS_2P_Pct,PTS_3P,PTS_3P_Pct,PTS_FT,PTS_FT_Pct,Player,Point_Differential,STL,Season,Stocks,TOV,TRB,Team,Team_Score,Teammate_1,Teammate_10,Teammate_10_MP,Teammate_11,Teammate_11_MP,Teammate_12,Teammate_12_MP,Teammate_13,Teammate_13_MP,Teammate_14,Teammate_14_MP,Teammate_15,Teammate_15_MP,Teammate_1_MP,Teammate_2,Teammate_2_MP,Teammate_3,Teammate_3_MP,Teammate_4,Teammate_4_MP,Teammate_5,Teammate_5_MP,Teammate_6,Teammate_6_MP,Teammate_7,Teammate_7_MP,Teammate_8,Teammate_8_MP,Teammate_9,Teammate_9_MP
0,,0,0.000,0,,121,0,0,,1,.500,1.0,50.0,2.0,2,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201804010MIN.html,Home,97,3:44,0,,UTA,Rudy Gobert,Alec Burks,3:44,Georges Niang,3:44,Ekpe Udoh,3:44,David Stockton,3:28,,,,,32:16,Derrick Favors,31:44,Donovan Mitchell,31:33,Joe Ingles,27:36,Ricky Rubio,27:27,Jae Crowder,22:45,Royce O'Neale,18:27,Dante Exum,17:05,Jonas Jerebko,16:27,121,1,2,2.0,100.0,0.0,0.0,0.0,0.0,Justin Patton,24,1,2017-2018,1.0,0,0.0,MIN,97,Karl-Anthony Towns,Anthony Brown,3:44,,,,,,,,,,,36:08,Andrew Wiggins,35:56,Taj Gibson,34:05,Tyus Jones,33:13,Jamal Crawford,27:01,Nemanja Bjelica,26:04,Gorgui Dieng,18:50,Aaron Brooks,16:09,Marcus Georges-Hunt,5:06
0,.000,2,66.667,3,,106,0,3,75.0,0,.000,0.0,0.0,1.0,3,1,.500,2,66.667,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201903050PHI.html,Home,114,8:58,1,25.0,ORL,Aaron Gordon,,,,,,,,,,,,,38:40,Evan Fournier,34:05,Nikola Vučević,33:40,Jonathan Isaac,32:06,D.J. Augustin,28:49,Isaiah Briscoe,26:00,Wes Iwundu,20:27,Khem Birch,14:20,Jarell Martin,11:53,106,2,1,0.0,0.0,0.0,0.0,1.0,100.0,Justin Patton,8,0,2018-2019,0.0,0,4.0,PHI,114,Ben Simmons,,,,,,,,,,,,,40:21,Jimmy Butler,34:29,Tobias Harris,34:09,JJ Redick,30:30,Mike Scott,27:59,Jonathon Simmons,26:30,Amir Johnson,19:51,T.J. McConnell,17:13,,
0,,0,0.000,0,,91,0,1,100.0,2,.667,2.0,66.7,3.0,3,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201903080HOU.html,Away,107,10:29,0,0.0,HOU,James Harden,Gary Clark,7:04,Terrence Jones,3:48,,,,,,,,,32:12,P.J. Tucker,29:42,Clint Capela,29:22,Eric Gordon,28:52,Chris Paul,28:13,Austin Rivers,28:13,Gerald Green,24:20,Iman Shumpert,18:12,Nenê,10:02,107,3,4,4.0,100.0,0.0,0.0,0.0,0.0,Justin Patton,16,2,2018-2019,2.0,0,1.0,PHI,91,Tobias Harris,Jonathon Simmons,4:49,,,,,,,,,,,33:34,Jimmy Butler,33:32,Ben Simmons,33:31,JJ Redick,27:56,T.J. McConnell,24:10,Mike Scott,23:11,Jonah Bolden,22:31,James Ennis III,13:39,Amir Johnson,12:38
0,,0,0.000,0,,89,0,0,0.0,0,.000,0.0,0.0,1.0,1,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201903100PHI.html,Home,106,1:09,1,100.0,IND,Wesley Matthews,Kyle O'Quinn,7:34,T.J. Leaf,5:05,Davon Reed,1:09,Edmond Sumner,1:09,,,,,39:15,Thaddeus Young,37:12,Bojan Bogdanović,33:34,Darren Collison,30:23,Cory Joseph,22:24,Domantas Sabonis,20:11,Myles Turner,19:06,Doug McDermott,14:46,Aaron Holiday,8:12,89,0,0,0.0,,0.0,,0.0,,Justin Patton,17,0,2018-2019,0.0,0,1.0,PHI,106,Tobias Harris,Jonathon Simmons,1:09,Jonah Bolden,1:09,,,,,,,,,35:01,Ben Simmons,34:59,JJ Redick,34:03,Jimmy Butler,31:19,Joel Embiid,27:59,Mike Scott,25:34,Amir Johnson,17:24,James Ennis III,17:13,T.J. McConnell,13:01
0,.000,1,50.000,0,0.00,92,0,2,100.0,0,.000,0.0,0.0,1.0,2,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201910270OKC.html,Home,120,6:21,0,0.0,GSW,Stephen Curry,Damion Lee,17:01,Ky Bowman,12:00,,,,,,,,,30:08,Omari Spellman,24:49,Eric Paschall,24:04,Draymond Green,23:57,Jordan Poole,23:27,Marquese Chriss,23:10,D'Angelo Russell,22:23,Glenn Robinson III,20:46,Jacob Evans,18:15,92,3,0,0.0,,0.0,,0.0,,Justin Patton,28,0,2019-2020,0.0,1,2.0,OKC,120,Terrance Ferguson,Abdel Nader,12:28,Deonte Burton,8:36,Mike Muscala,7:45,,,,,,,29:50,Shai Gilgeous-Alexander,29:40,Darius Bazley,26:19,Steven Adams,25:24,Dennis Schröder,25:20,Danilo Gallinari,21:41,Chris Paul,19:04,Nerlens Noel,14:51,Hamidou Diallo,12:41
0,,0,0.000,0,,119,0,0,,1,1.000,1.0,100.0,1.0,1,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201911270POR.html,Away,136,3:08,0,,POR,Damian Lillard,Anthony Tolliver,9:15,Mario Hezonja,7:33,Moses Brown,6:07,Jaylen Hoard,6:07,,,,,29:38,Carmelo Anthony,28:32,CJ McCollum,28:16,Anfernee Simons,26:37,Rodney Hood,25:18,Hassan Whiteside,22:27,Kent Bazemore,20:31,Skal Labissière,19:26,Nassir Little,10:13,136,1,2,2.0,100.0,0.0,0.0,0.0,0.0,Justin Patton,17,0,2019-2020,0.0,0,0.0,OKC,119,Shai Gilgeous-Alexander,Deonte Burton,14:56,Devon Hall,7:33,Mike Muscala,4:25,,,,,,,29:40,Danilo Gallinari,27:00,Terrance Ferguson,25:13,Chris Paul,25:09,Steven Adams,24:40,Dennis Schröder,24:13,Darius Bazley,21:00,Abdel Nader,17:16,Nerlens Noel,15:47
0,,0,0.000,0,,92,0,1,50.0,0,.000,0.0,0.0,1.0,1,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202001090OKC.html,Home,113,2:34,1,50.0,HOU,Russell Westbrook,Thabo Sefolosha,7:18,Michael Frazier,5:56,,,,,,,,,33:57,P.J. Tucker,32:25,Clint Capela,28:55,Danuel House Jr.,28:41,Austin Rivers,26:46,James Harden,26:33,Ben McLemore,25:34,Isaiah Hartenstein,12:00,Chris Clemons,11:55,92,0,0,0.0,,0.0,,0.0,,Justin Patton,21,0,2019-2020,0.0,0,2.0,OKC,113,Shai Gilgeous-Alexander,Abdel Nader,12:46,Deonte Burton,4:07,,,,,,,,,30:44,Danilo Gallinari,27:56,Chris Paul,27:35,Dennis Schröder,27:08,Steven Adams,24:58,Hamidou Diallo,23:48,Terrance Ferguson,22:11,Mike Muscala,20:28,Darius Bazley,15:45
1,1.000,1,100.000,1,,125,0,0,,1,1.000,0.0,,0.0,1,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202001110OKC.html,Home,110,1:40,0,,LAL,Kyle Kuzma,Jared Dudley,9:47,,,,,,,,,,,39:44,Rajon Rondo,32:53,Kentavious Caldwell-Pope,28:26,Dwight Howard,26:20,Avery Bradley,25:19,JaVale McGee,21:40,Troy Daniels,21:23,Quinn Cook,18:23,Alex Caruso,16:05,125,0,3,0.0,0.0,3.0,100.0,0.0,0.0,Justin Patton,15,0,2019-2020,0.0,0,0.0,OKC,110,Shai Gilgeous-Alexander,Darius Bazley,10:38,Deonte Burton,1:40,,,,,,,,,34:52,Dennis Schröder,33:52,Chris Paul,31:45,Danilo Gallinari,31:37,Steven Adams,29:26,Terrance Ferguson,23:42,Hamidou Diallo,14:29,Abdel Nader,14:22,Mike Muscala,11:57
0,.000,2,40.000,1,1.00,130,0,1,100.0,2,.400,2.0,66.7,3.0,5,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202001150OKC.html,Home,121,10:31,0,0.0,TOR,OG Anunoby,,,,,,,,,,,,,38:35,Kyle Lowry,32:46,Marc Gasol,31:54,Pascal Siakam,30:17,Serge Ibaka,29:28,Norman Powell,26:35,Patrick McCaw,25:29,Terence Davis,17:14,Rondae Hollis-Jefferson,7:42,130,0,4,4.0,100.0,0.0,0.0,0.0,0.0,Justin Patton,9,0,2019-2020,0.0,1,1.0,OKC,121,Shai Gilgeous-Alexander,Hamidou Diallo,6:11,Kevin Hervey,0:30,,,,,,,,,37:44,Dennis Schröder,36:50,Chris Paul,34:00,Mike Muscala,30:56,Danilo Gallinari,30:40,Terrance Ferguson,21:26,Darius Bazley,17:49,Deonte Burton,6:50,Steven Adams,6:33
0,.000,2,33.333,0,,120,3,5,83.3,2,.333,2.0,50.0,4.0,6,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202102220HOU.html,Home,100,21:27,1,16.7,CHI,Patrick Williams,Daniel Gafford,2:33,,,,,,,,,,,34:12,Zach LaVine,31:48,Coby White,30:48,Tomáš Satoranský,29:23,Wendell Carter Jr.,28:49,Garrett Temple,28:35,Thaddeus Young,20:07,Denzel Valentine,18:42,Ryan Arcidiacono,15:03,120,4,4,4.0,100.0,0.0,0.0,0.0,0.0,Justin Patton,20,0,2020-2021,3.0,0,6.0,HOU,100,Jae'Sean Tate,Mason Jones,8:41,,,,,,,,,,,31:27,Eric Gordon,27:59,Sterling Brown,27:41,David Nwaba,26:51,John Wall,26:12,Danuel House Jr.,26:02,P.J. Tucker,22:35,Ben McLemore,11:21,Rodions Kurucs,9:44
