3P,3P%,3PA,3PAr,AST,AST/TOV,Away_Score,BLK,DRB,DRB_Pct_of_TRB,FG,FG%,FG2,FG2%,FG2A,FGA,FT,FT%,FTA,FTr,Game_Date,Game_Result,Game_URL,Home/Away,Home_Score,MP,ORB,ORB_Pct_of_TRB,Opponent,Opponent_1,Opponent_10,Opponent_10_MP,Opponent_11,Opponent_11_MP,Opponent_12,Opponent_12_MP,Opponent_13,Opponent_13_MP,Opponent_14,Opponent_14_MP,Opponent_15,Opponent_15_MP,Opponent_1_MP,Opponent_2,Opponent_2_MP,Opponent_3,Opponent_3_MP,Opponent_4,Opponent_4_MP,Opponent_5,Opponent_5_MP,Opponent_6,Opponent_6_MP,Opponent_7,Opponent_7_MP,Opponent_8,Opponent_8_MP,Opponent_9,Opponent_9_MP,Opponent_Score,PF,PTS,PTS_2P,PTS_2P_Pct,PTS_3P,PTS_3P_Pct,PTS_FT,PTS_FT_Pct,Player,Point_Differential,STL,Season,Stocks,TOV,TRB,Team,Team_Score,Teammate_1,Teammate_10,Teammate_10_MP,Teammate_11,Teammate_11_MP,Teammate_12,Teammate_12_MP,Teammate_13,Teammate_13_MP,Teammate_14,Teammate_14_MP,Teammate_15,Teammate_15_MP,Teammate_1_MP,Teammate_2,Teammate_2_MP,Teammate_3,Teammate_3_MP,Teammate_4,Teammate_4_MP,Teammate_5,Teammate_5_MP,Teammate_6,Teammate_6_MP,Teammate_7,Teammate_7_MP,Teammate_8,Teammate_8_MP,Teammate_9,Teammate_9_MP
0,.000,2,50.000,2,,116,0,1,100.0,0,.000,0.0,0.0,2.0,4,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202112290IND.html,Home,108,10:06,0,0.0,CHO,Terry Rozier,,,,,,,,,,,,,37:59,Gordon Hayward,35:10,LaMelo Ball,33:41,Mason Plumlee,31:30,Jalen McDaniels,30:04,Cody Martin,23:59,Kelly Oubre Jr.,23:44,Nick Richards,13:05,Ish Smith,10:48,116,2,0,0.0,,0.0,,0.0,,Keifer Sykes,8,0,2021-2022,0.0,0,1.0,IND,108,Caris LeVert,,,,,,,,,,,,,39:22,Domantas Sabonis,36:42,Justin Holiday,33:45,Myles Turner,31:43,Torrey Craig,23:55,Chris Duarte,22:59,Oshae Brissett,21:11,Kelan Martin,20:17,,
0,.000,2,66.667,0,0.00,108,0,1,100.0,1,.333,1.0,100.0,1.0,3,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202112310IND.html,Home,106,10:59,0,0.0,CHI,Zach LaVine,Troy Brown Jr.,4:10,,,,,,,,,,,35:57,DeMar DeRozan,35:06,Nikola Vučević,34:06,Coby White,33:29,Javonte Green,27:30,Ayo Dosunmu,21:32,Matt Thomas,19:55,Derrick Jones Jr.,14:20,Tyler Cook,13:54,108,1,2,2.0,100.0,0.0,0.0,0.0,0.0,Keifer Sykes,2,0,2021-2022,0.0,1,1.0,IND,106,Domantas Sabonis,,,,,,,,,,,,,39:45,Caris LeVert,37:01,Justin Holiday,34:58,Torrey Craig,31:43,Oshae Brissett,31:23,Duane Washington Jr.,29:51,Myles Turner,18:11,Goga Bitadze,4:32,Nate Hinton,1:35
2,.286,7,70.000,5,1.67,104,1,3,100.0,4,.400,2.0,66.7,3.0,10,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202201020CLE.html,Away,108,35:04,0,0.0,CLE,Evan Mobley,,,,,,,,,,,,,34:43,Lauri Markkanen,33:37,Jarrett Allen,32:07,Lamar Stevens,31:20,Kevin Love,29:10,Kevin Pangos,26:49,Brandon Goodwin,25:36,Dean Wade,14:23,Isaac Okoro,12:15,108,4,10,4.0,40.0,6.0,60.0,0.0,0.0,Keifer Sykes,4,1,2021-2022,2.0,3,3.0,IND,104,Domantas Sabonis,,,,,,,,,,,,,39:26,Myles Turner,36:48,Justin Holiday,36:40,Duane Washington Jr.,34:22,Torrey Craig,21:00,Oshae Brissett,16:16,Lance Stephenson,12:34,Justin Anderson,7:50,,
4,.500,8,50.000,6,6.00,94,0,3,75.0,8,.500,4.0,50.0,8.0,16,2,.667,3,18.750,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202201040NYK.html,Away,104,37:54,1,25.0,NYK,RJ Barrett,Miles McBride,2:57,,,,,,,,,,,41:43,Julius Randle,38:54,Alec Burks,35:34,Mitchell Robinson,25:23,Taj Gibson,22:37,Immanuel Quickley,22:14,Evan Fournier,21:59,Quentin Grimes,19:33,Obi Toppin,9:06,104,2,22,8.0,36.4,12.0,54.5,2.0,9.1,Keifer Sykes,10,1,2021-2022,1.0,1,4.0,IND,94,Domantas Sabonis,,,,,,,,,,,,,39:01,Duane Washington Jr.,36:31,Myles Turner,32:48,Torrey Craig,26:04,Justin Holiday,20:18,Lance Stephenson,17:16,Justin Anderson,15:30,Oshae Brissett,14:38,,
2,.500,4,40.000,5,5.00,129,0,3,100.0,6,.600,4.0,66.7,6.0,10,4,1.000,4,40.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202201050IND.html,Home,121,39:45,0,0.0,BRK,Kevin Durant,Blake Griffin,5:10,,,,,,,,,,,41:21,James Harden,40:09,Patty Mills,35:09,Kyrie Irving,31:59,Nic Claxton,23:15,DeAndre' Bembry,20:01,David Duke Jr.,17:40,LaMarcus Aldridge,16:06,James Johnson,9:10,129,4,18,8.0,44.4,6.0,33.3,4.0,22.2,Keifer Sykes,8,0,2021-2022,0.0,1,3.0,IND,121,Domantas Sabonis,Terry Taylor,0:50,,,,,,,,,,,37:55,Duane Washington Jr.,37:09,Lance Stephenson,32:23,Myles Turner,31:01,Oshae Brissett,26:14,Justin Holiday,26:06,Justin Anderson,6:57,Ahmad Caver,0:50,Nate Hinton,0:50
1,.500,2,40.000,4,2.00,113,0,4,80.0,2,.400,1.0,33.3,3.0,5,2,1.000,2,40.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202201080IND.html,Home,125,31:15,1,20.0,UTA,Royce O'Neale,Eric Paschall,4:07,,,,,,,,,,,38:12,Bojan Bogdanović,37:29,Donovan Mitchell,37:07,Mike Conley,30:59,Jordan Clarkson,27:54,Hassan Whiteside,25:28,Rudy Gay,16:58,Danuel House Jr.,12:45,Norvel Pelle,9:01,113,3,7,2.0,28.6,3.0,42.9,2.0,28.6,Keifer Sykes,12,1,2021-2022,1.0,2,5.0,IND,125,Domantas Sabonis,,,,,,,,,,,,,37:41,Duane Washington Jr.,32:27,Lance Stephenson,28:44,Justin Holiday,28:35,Myles Turner,28:02,Chris Duarte,18:54,Oshae Brissett,18:14,Jeremy Lamb,16:08,,
1,.125,8,61.538,3,1.50,98,0,2,100.0,5,.385,4.0,80.0,5.0,13,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202201100BOS.html,Away,101,22:44,0,0.0,BOS,Jaylen Brown,,,,,,,,,,,,,43:53,Jayson Tatum,42:12,Robert Williams,41:23,Josh Richardson,37:32,Grant Williams,26:23,Marcus Smart,22:54,Al Horford,22:52,Dennis Schröder,20:46,Enes Freedom,7:05,101,2,11,8.0,72.7,3.0,27.3,0.0,0.0,Keifer Sykes,3,1,2021-2022,1.0,2,2.0,IND,98,Domantas Sabonis,,,,,,,,,,,,,44:32,Oshae Brissett,34:44,Justin Holiday,33:18,Lance Stephenson,31:13,Torrey Craig,31:01,Duane Washington Jr.,23:06,Myles Turner,22:38,Jeremy Lamb,21:44,,
0,,0,0.000,1,,119,0,0,,1,1.000,1.0,100.0,1.0,1,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202201120IND.html,Home,100,4:40,0,,BOS,Jayson Tatum,Romeo Langford,3:06,Bruno Fernando,3:06,Aaron Nesmith,3:06,Brodric Thomas,3:06,,,,,37:02,Jaylen Brown,35:11,Dennis Schröder,34:12,Josh Richardson,29:22,Al Horford,27:35,Grant Williams,22:51,Robert Williams,22:49,Payton Pritchard,11:27,Enes Freedom,7:07,119,0,2,2.0,100.0,0.0,0.0,0.0,0.0,Keifer Sykes,19,1,2021-2022,1.0,0,0.0,IND,100,Domantas Sabonis,Jeremy Lamb,6:07,Goga Bitadze,4:40,Isaiah Jackson,4:40,Terry Taylor,4:40,,,,,31:53,Caris LeVert,28:53,Torrey Craig,27:05,Justin Holiday,26:27,Oshae Brissett,25:18,Myles Turner,23:35,Lance Stephenson,20:52,Malcolm Brogdon,17:03,Duane Washington Jr.,14:07
0,.000,1,16.667,0,0.00,112,0,1,50.0,2,.333,2.0,40.0,5.0,6,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202201140IND.html,Home,94,17:45,1,50.0,PHO,Devin Booker,Elfrid Payton,1:18,Ish Wainright,1:18,,,,,,,,,35:16,Chris Paul,32:56,Jae Crowder,30:55,Mikal Bridges,30:28,Deandre Ayton,29:56,Cameron Payne,23:53,Landry Shamet,20:08,Jalen Smith,17:05,JaVale McGee,16:46,112,2,4,4.0,100.0,0.0,0.0,0.0,0.0,Keifer Sykes,18,0,2021-2022,0.0,1,2.0,IND,94,Caris LeVert,Goga Bitadze,1:18,Isaiah Jackson,1:18,,,,,,,,,38:54,Justin Holiday,36:55,Domantas Sabonis,36:45,Myles Turner,28:06,Chris Duarte,25:18,Torrey Craig,24:45,Oshae Brissett,15:48,Lance Stephenson,10:25,Duane Washington Jr.,2:41
0,,0,,0,0.00,133,0,0,,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202201170LAC.html,Away,139,2:41,0,,LAC,Marcus Morris,Serge Ibaka,7:00,,,,,,,,,,,38:18,Nicolas Batum,36:16,Amir Coffey,35:59,Reggie Jackson,32:26,Ivica Zubac,25:29,Terance Mann,20:18,Eric Bledsoe,19:05,Isaiah Hartenstein,14:40,Brandon Boston Jr.,10:29,139,1,0,0.0,,0.0,,0.0,,Keifer Sykes,6,0,2021-2022,0.0,1,0.0,IND,133,Caris LeVert,,,,,,,,,,,,,34:42,Domantas Sabonis,34:25,Chris Duarte,34:17,Justin Holiday,31:35,Duane Washington Jr.,26:40,Goga Bitadze,24:38,Oshae Brissett,21:59,Torrey Craig,15:00,Lance Stephenson,14:03
2,.400,5,41.667,3,1.50,121,0,2,50.0,4,.333,2.0,28.6,7.0,12,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202201200GSW.html,Away,117,31:01,2,50.0,GSW,Stephen Curry,Nemanja Bjelica,14:08,Damion Lee,14:00,,,,,,,,,43:57,Andrew Wiggins,38:02,Andre Iguodala,31:19,Kevon Looney,28:10,Jordan Poole,24:40,Klay Thompson,23:06,Gary Payton II,17:24,Jonathan Kuminga,15:22,Juan Toscano-Anderson,14:52,117,3,10,4.0,40.0,6.0,60.0,0.0,0.0,Keifer Sykes,4,0,2021-2022,0.0,2,4.0,IND,121,Chris Duarte,,,,,,,,,,,,,38:32,Justin Holiday,34:13,Torrey Craig,34:13,Goga Bitadze,31:21,Oshae Brissett,21:59,Jeremy Lamb,18:53,Isaiah Jackson,18:38,Duane Washington Jr.,18:22,Lance Stephenson,17:48
1,.500,2,25.000,2,0.40,103,0,1,100.0,2,.250,1.0,16.7,6.0,8,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202201220PHO.html,Away,113,25:45,0,0.0,PHO,Chris Paul,Elfrid Payton,6:50,,,,,,,,,,,40:49,Devin Booker,38:52,Mikal Bridges,34:40,Bismack Biyombo,29:31,Cameron Johnson,25:12,Jae Crowder,22:48,JaVale McGee,18:25,Landry Shamet,16:01,Cameron Payne,6:52,113,1,5,2.0,40.0,3.0,60.0,0.0,0.0,Keifer Sykes,10,1,2021-2022,1.0,5,1.0,IND,103,Goga Bitadze,,,,,,,,,,,,,35:08,Chris Duarte,30:32,Torrey Craig,30:10,Jeremy Lamb,28:10,Justin Holiday,27:19,Oshae Brissett,17:53,Lance Stephenson,17:40,Duane Washington Jr.,14:31,Isaiah Jackson,12:52
