3P,3P%,3PA,3PAr,AST,AST/TOV,Away_Score,BLK,DRB,DRB_Pct_of_TRB,FG,FG%,FG2,FG2%,FG2A,FGA,FT,FT%,FTA,FTr,Game_Date,Game_Result,Game_URL,Home/Away,Home_Score,MP,ORB,ORB_Pct_of_TRB,Opponent,Opponent_1,Opponent_10,Opponent_10_MP,Opponent_11,Opponent_11_MP,Opponent_12,Opponent_12_MP,Opponent_13,Opponent_13_MP,Opponent_14,Opponent_14_MP,Opponent_15,Opponent_15_MP,Opponent_1_MP,Opponent_2,Opponent_2_MP,Opponent_3,Opponent_3_MP,Opponent_4,Opponent_4_MP,Opponent_5,Opponent_5_MP,Opponent_6,Opponent_6_MP,Opponent_7,Opponent_7_MP,Opponent_8,Opponent_8_MP,Opponent_9,Opponent_9_MP,Opponent_Score,PF,PTS,PTS_2P,PTS_2P_Pct,PTS_3P,PTS_3P_Pct,PTS_FT,PTS_FT_Pct,Player,Point_Differential,STL,Season,Stocks,TOV,TRB,Team,Team_Score,Teammate_1,Teammate_10,Teammate_10_MP,Teammate_11,Teammate_11_MP,Teammate_12,Teammate_12_MP,Teammate_13,Teammate_13_MP,Teammate_14,Teammate_14_MP,Teammate_15,Teammate_15_MP,Teammate_1_MP,Teammate_2,Teammate_2_MP,Teammate_3,Teammate_3_MP,Teammate_4,Teammate_4_MP,Teammate_5,Teammate_5_MP,Teammate_6,Teammate_6_MP,Teammate_7,Teammate_7_MP,Teammate_8,Teammate_8_MP,Teammate_9,Teammate_9_MP
2,.286,7,36.842,3,3.00,115,0,2,100.0,6,.316,4.0,33.3,12.0,19,9,1.000,9,47.368,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201310300MIN.html,Home,120,43:22,0,0.0,ORL,Nikola Vučević,Kyle O'Quinn,2:27,,,,,,,,,,,45:40,Arron Afflalo,41:04,Jameer Nelson,41:00,Victor Oladipo,36:33,Solomon Jones,22:04,E'Twaun Moore,21:08,Maurice Harkless,19:15,Andrew Nicholson,19:05,Jason Maxiell,16:44,115,1,23,8.0,34.8,6.0,26.1,9.0,39.1,Kevin Martin,5,0,2013-2014,0.0,1,2.0,MIN,120,Kevin Love,,,,,,,,,,,,,40:37,Ricky Rubio,40:07,Corey Brewer,39:40,Nikola Peković,29:41,Dante Cunningham,20:12,J.J. Barea,20:01,Alexey Shved,15:50,Ronny Turiaf,15:30,,
0,,0,0.000,3,1.50,81,0,2,66.7,4,.364,4.0,36.4,11.0,11,1,1.000,1,9.091,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201311010MIN.html,Home,100,24:08,1,33.3,OKC,Serge Ibaka,Nick Collison,16:28,Andre Roberson,9:16,Ryan Gomes,6:16,,,,,,,30:42,Kevin Durant,27:07,Perry Jones,25:07,Reggie Jackson,23:49,Steven Adams,22:53,Thabo Sefolosha,22:31,Jeremy Lamb,21:15,Derek Fisher,17:55,Kendrick Perkins,16:41,81,0,9,8.0,88.9,0.0,0.0,1.0,11.1,Kevin Martin,19,2,2013-2014,2.0,2,3.0,MIN,100,Kevin Love,Robbie Hummel,6:55,Shabazz Muhammad,6:16,Ronny Turiaf,3:07,,,,,,,28:47,Ricky Rubio,28:39,Nikola Peković,27:41,Derrick Williams,27:03,Corey Brewer,20:57,J.J. Barea,19:27,Alexey Shved,17:30,Dante Cunningham,15:05,Gorgui Dieng,14:25
5,1.000,5,41.667,2,,109,0,3,100.0,9,.750,4.0,57.1,7.0,12,7,.778,9,75.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201311030NYK.html,Away,100,35:48,0,0.0,NYK,Carmelo Anthony,,,,,,,,,,,,,44:04,Raymond Felton,38:06,Tyson Chandler,32:04,Iman Shumpert,25:38,Tim Hardaway Jr.,24:56,Metta World Peace,20:33,Pablo Prigioni,19:43,Andrea Bargnani,18:46,Kenyon Martin,16:10,100,1,30,8.0,26.7,15.0,50.0,7.0,23.3,Kevin Martin,9,2,2013-2014,2.0,0,3.0,MIN,109,Nikola Peković,,,,,,,,,,,,,40:48,Kevin Love,40:31,Ricky Rubio,40:30,Corey Brewer,24:03,Derrick Williams,20:39,J.J. Barea,17:50,Dante Cunningham,14:41,Alexey Shved,5:10,,
5,.625,8,50.000,3,1.50,92,0,3,75.0,7,.438,2.0,25.0,8.0,16,4,1.000,4,25.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201311040CLE.html,Away,93,34:03,1,25.0,CLE,Tristan Thompson,Anthony Bennett,9:42,Tyler Zeller,0:51,,,,,,,,,37:27,Alonzo Gee,34:11,Kyrie Irving,32:48,Anderson Varejão,29:20,Jarrett Jack,26:49,Dion Waiters,20:23,Andrew Bynum,18:40,C.J. Miles,18:34,Earl Clark,11:15,93,1,23,4.0,17.4,15.0,65.2,4.0,17.4,Kevin Martin,1,0,2013-2014,0.0,2,4.0,MIN,92,Corey Brewer,,,,,,,,,,,,,37:36,Kevin Love,36:19,Nikola Peković,35:28,Ricky Rubio,25:36,Derrick Williams,22:24,J.J. Barea,22:24,Dante Cunningham,15:04,Alexey Shved,8:28,Gorgui Dieng,2:38
2,.400,5,33.333,2,0.67,106,0,3,100.0,7,.467,5.0,50.0,10.0,15,7,.875,8,53.333,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201311060MIN.html,Home,93,37:53,0,0.0,GSW,Andre Iguodala,Toney Douglas,8:51,Kent Bazemore,1:30,Ognjen Kuzmić,1:27,Nemanja Nedović,1:27,,,,,41:39,Klay Thompson,37:18,David Lee,35:47,Jermaine O'Neal,24:58,Stephen Curry,24:11,Draymond Green,17:07,Andrew Bogut,16:18,Marreese Speights,15:34,Harrison Barnes,13:53,106,2,23,10.0,43.5,6.0,26.1,7.0,30.4,Kevin Martin,13,2,2013-2014,2.0,3,3.0,MIN,93,Kevin Love,Shabazz Muhammad,1:27,Robbie Hummel,1:27,A.J. Price,1:27,,,,,,,37:44,Nikola Peković,37:27,Corey Brewer,33:19,Ricky Rubio,32:59,Derrick Williams,18:58,J.J. Barea,13:34,Dante Cunningham,13:05,Gorgui Dieng,6:17,Alexey Shved,4:23
3,.600,5,26.316,2,1.00,108,0,5,100.0,10,.526,7.0,50.0,14.0,19,9,.900,10,52.632,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201311080MIN.html,Home,116,37:40,0,0.0,DAL,Shawn Marion,Bernard James,7:14,,,,,,,,,,,37:09,Monta Ellis,36:43,José Calderón,33:01,Jae Crowder,32:01,Dirk Nowitzki,31:26,DeJuan Blair,20:46,Gal Mekel,15:25,Wayne Ellington,13:45,Samuel Dalembert,12:30,108,1,32,14.0,43.8,9.0,28.1,9.0,28.1,Kevin Martin,8,2,2013-2014,2.0,2,5.0,MIN,116,Corey Brewer,,,,,,,,,,,,,37:29,Kevin Love,34:39,Ricky Rubio,34:36,Nikola Peković,31:19,Dante Cunningham,29:36,J.J. Barea,16:18,Robbie Hummel,10:57,Alexey Shved,7:26,,
3,.600,5,21.739,1,,113,0,5,100.0,11,.478,8.0,44.4,18.0,23,2,1.000,2,8.696,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201311100LAL.html,Away,90,33:02,0,0.0,LAL,Steve Blake,Xavier Henry,14:15,Steve Nash,13:21,,,,,,,,,34:42,Pau Gasol,29:17,Jodie Meeks,29:12,Shawne Williams,25:03,Wesley Johnson,22:13,Nick Young,19:35,Chris Kaman,19:15,Jordan Hill,18:43,Jordan Farmar,14:24,90,1,27,16.0,59.3,9.0,33.3,2.0,7.4,Kevin Martin,23,2,2013-2014,2.0,0,5.0,MIN,113,Corey Brewer,Gorgui Dieng,2:47,Shabazz Muhammad,2:47,Robbie Hummel,2:22,,,,,,,38:02,Ricky Rubio,38:00,Kevin Love,36:47,Nikola Peković,34:24,J.J. Barea,18:59,Dante Cunningham,18:50,Alexey Shved,7:36,A.J. Price,3:12,Derrick Williams,3:12
4,.500,8,36.364,3,3.00,107,0,1,100.0,9,.409,5.0,35.7,14.0,22,8,1.000,8,36.364,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201311110LAC.html,Away,109,35:23,0,0.0,LAC,Blake Griffin,Byron Mullens,8:42,,,,,,,,,,,39:18,DeAndre Jordan,35:58,Chris Paul,34:36,Jamal Crawford,30:47,JJ Redick,24:02,Matt Barnes,22:29,Jared Dudley,18:09,Darren Collison,13:57,Ryan Hollins,12:02,109,3,30,10.0,33.3,12.0,40.0,8.0,26.7,Kevin Martin,2,1,2013-2014,1.0,1,1.0,MIN,107,Kevin Love,,,,,,,,,,,,,38:48,Corey Brewer,35:41,Nikola Peković,35:32,Ricky Rubio,33:39,J.J. Barea,16:51,Dante Cunningham,16:38,Derrick Williams,11:18,Alexey Shved,11:08,Gorgui Dieng,5:02
2,.286,7,35.000,2,0.50,113,0,3,75.0,9,.450,7.0,53.8,13.0,20,7,.875,8,40.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201311150DEN.html,Away,117,35:18,1,25.0,DEN,Ty Lawson,Jordan Hamilton,16:14,Evan Fournier,12:50,,,,,,,,,35:28,Kenneth Faried,30:27,J.J. Hickson,30:13,Wilson Chandler,21:44,Andre Miller,20:36,Randy Foye,19:55,Darrell Arthur,17:33,Nate Robinson,17:32,Timofey Mozgov,17:28,117,2,27,14.0,51.9,6.0,22.2,7.0,25.9,Kevin Martin,4,1,2013-2014,1.0,4,4.0,MIN,113,Corey Brewer,,,,,,,,,,,,,36:14,Kevin Love,35:21,Ricky Rubio,34:39,Nikola Peković,34:28,Dante Cunningham,25:47,J.J. Barea,24:52,Robbie Hummel,13:21,,,,
1,.143,7,38.889,0,0.00,88,0,5,83.3,6,.333,5.0,45.5,11.0,18,7,.875,8,44.444,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201311160MIN.html,Home,106,34:20,1,16.7,BOS,Avery Bradley,Jared Sullinger,13:42,Kris Humphries,10:52,,,,,,,,,36:21,Brandon Bass,30:28,Jeff Green,29:44,Jordan Crawford,28:41,Vítor Luiz Faverani,26:35,MarShon Brooks,17:36,Gerald Wallace,17:18,Kelly Olynyk,14:23,Phil Pressey,14:20,88,2,20,10.0,50.0,3.0,15.0,7.0,35.0,Kevin Martin,18,2,2013-2014,2.0,2,6.0,MIN,106,Kevin Love,Derrick Williams,2:57,Gorgui Dieng,2:23,,,,,,,,,32:36,Ricky Rubio,31:31,Nikola Peković,30:30,Dante Cunningham,27:34,Corey Brewer,27:33,J.J. Barea,20:39,Robbie Hummel,20:27,Alexey Shved,6:33,A.J. Price,2:57
