3P,3P%,3PA,3PAr,AST,AST/TOV,Away_Score,BLK,DRB,DRB_Pct_of_TRB,FG,FG%,FG2,FG2%,FG2A,FGA,FT,FT%,FTA,FTr,Game_Date,Game_Result,Game_URL,Home/Away,Home_Score,MP,ORB,ORB_Pct_of_TRB,Opponent,Opponent_1,Opponent_10,Opponent_10_MP,Opponent_11,Opponent_11_MP,Opponent_12,Opponent_12_MP,Opponent_13,Opponent_13_MP,Opponent_14,Opponent_14_MP,Opponent_15,Opponent_15_MP,Opponent_1_MP,Opponent_2,Opponent_2_MP,Opponent_3,Opponent_3_MP,Opponent_4,Opponent_4_MP,Opponent_5,Opponent_5_MP,Opponent_6,Opponent_6_MP,Opponent_7,Opponent_7_MP,Opponent_8,Opponent_8_MP,Opponent_9,Opponent_9_MP,Opponent_Score,PF,PTS,PTS_2P,PTS_2P_Pct,PTS_3P,PTS_3P_Pct,PTS_FT,PTS_FT_Pct,Player,Point_Differential,STL,Season,Stocks,TOV,TRB,Team,Team_Score,Teammate_1,Teammate_10,Teammate_10_MP,Teammate_11,Teammate_11_MP,Teammate_12,Teammate_12_MP,Teammate_13,Teammate_13_MP,Teammate_14,Teammate_14_MP,Teammate_15,Teammate_15_MP,Teammate_1_MP,Teammate_2,Teammate_2_MP,Teammate_3,Teammate_3_MP,Teammate_4,Teammate_4_MP,Teammate_5,Teammate_5_MP,Teammate_6,Teammate_6_MP,Teammate_7,Teammate_7_MP,Teammate_8,Teammate_8_MP,Teammate_9,Teammate_9_MP
0,,0,,0,,123,0,0,,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202110220CLE.html,Home,112,5:24,0,,CHO,Miles Bridges,James Bouknight,1:10,Kai Jones,1:10,Jalen McDaniels,1:10,Nick Richards,1:10,JT Thor,1:10,,,34:47,Gordon Hayward,34:35,LaMelo Ball,28:53,Kelly Oubre Jr.,27:05,P.J. Washington,24:18,Terry Rozier,22:49,Mason Plumlee,22:09,Cody Martin,21:37,Ish Smith,17:57,123,1,0,0.0,,0.0,,0.0,,Kevin Pangos,11,0,2021-2022,0.0,0,0.0,CLE,112,Collin Sexton,RJ Nembhard Jr.,1:52,Tacko Fall,1:52,Lamar Stevens,1:52,Denzel Valentine,1:52,,,,,34:33,Lauri Markkanen,34:24,Evan Mobley,32:27,Ricky Rubio,28:04,Jarrett Allen,26:37,Isaac Okoro,25:23,Kevin Love,23:40,Cedi Osman,17:00,Dean Wade,5:00
0,.000,1,100.000,0,0.00,99,0,0,,0,.000,0.0,,0.0,1,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202110250DEN.html,Away,87,1:38,0,,DEN,Nikola Jokić,JaMychal Green,10:18,PJ Dozier,9:56,Zeke Nnaji,2:44,Bol Bol,2:44,Petr Cornelie,2:44,Markus Howard,2:44,34:57,Will Barton,31:29,Aaron Gordon,28:05,Michael Porter Jr.,27:17,Monte Morris,27:09,Jeff Green,18:02,Facundo Campazzo,17:37,Austin Rivers,13:47,Bones Hyland,10:25,87,0,0,0.0,,0.0,,0.0,,Kevin Pangos,12,0,2021-2022,0.0,1,0.0,CLE,99,Jarrett Allen,Lamar Stevens,1:38,Denzel Valentine,1:38,Dean Wade,1:38,Dylan Windler,1:38,,,,,36:37,Darius Garland,31:07,Isaac Okoro,28:29,Lauri Markkanen,27:29,Evan Mobley,26:13,Ricky Rubio,24:52,Collin Sexton,24:39,Kevin Love,20:54,Cedi Osman,11:27
0,,0,0.000,0,,92,0,0,,0,.000,0.0,0.0,1.0,1,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202110270LAC.html,Away,79,0:51,0,,LAC,Paul George,Amir Coffey,2:42,,,,,,,,,,,34:09,Reggie Jackson,33:59,Luke Kennard,32:53,Nicolas Batum,32:14,Eric Bledsoe,26:46,Terance Mann,25:09,Ivica Zubac,24:29,Justise Winslow,14:33,Isaiah Hartenstein,13:06,79,0,0,0.0,,0.0,,0.0,,Kevin Pangos,13,0,2021-2022,0.0,0,0.0,CLE,92,Collin Sexton,Ed Davis,0:51,Denzel Valentine,0:51,Dylan Windler,0:51,,,,,,,37:31,Evan Mobley,34:07,Jarrett Allen,31:12,Lauri Markkanen,28:35,Darius Garland,27:58,Ricky Rubio,27:56,Kevin Love,23:40,Lamar Stevens,21:16,Cedi Osman,4:21
1,1.000,1,100.000,0,,78,0,0,0.0,1,1.000,0.0,,0.0,1,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202111120CLE.html,Home,98,3:39,1,100.0,DET,Saddiq Bey,Luka Garza,13:59,Rodney McGruder,6:07,,,,,,,,,31:55,Cade Cunningham,31:06,Killian Hayes,27:34,Jerami Grant,24:37,Isaiah Stewart,24:13,Frank Jackson,23:20,Josh Jackson,21:27,Cory Joseph,20:23,Trey Lyles,15:18,78,1,3,0.0,0.0,3.0,100.0,0.0,0.0,Kevin Pangos,20,0,2021-2022,0.0,0,1.0,CLE,98,Darius Garland,Tacko Fall,3:39,Ed Davis,3:39,Lamar Stevens,0:51,,,,,,,34:51,Evan Mobley,34:51,Dean Wade,29:55,Jarrett Allen,29:13,Ricky Rubio,27:10,Isaac Okoro,23:28,Cedi Osman,22:46,Dylan Windler,22:17,Denzel Valentine,3:39
0,,0,,0,,104,0,0,,0,,0.0,,0.0,0,1,.500,2,,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202111180CLE.html,Home,89,1:24,0,,GSW,Stephen Curry,Gary Payton II,15:11,Jonathan Kuminga,6:45,Chris Chiozza,2:25,Moses Moody,0:53,,,,,35:23,Draymond Green,29:49,Andrew Wiggins,24:09,Jordan Poole,23:37,Nemanja Bjelica,23:27,Damion Lee,22:59,Otto Porter Jr.,19:57,Kevon Looney,19:27,Juan Toscano-Anderson,15:58,104,0,1,0.0,0.0,0.0,0.0,1.0,100.0,Kevin Pangos,15,0,2021-2022,0.0,0,0.0,CLE,89,Isaac Okoro,RJ Nembhard Jr.,1:24,,,,,,,,,,,43:27,Dean Wade,40:03,Darius Garland,38:01,Ricky Rubio,37:37,Ed Davis,28:10,Kevin Love,21:32,Dylan Windler,18:18,Denzel Valentine,8:40,Tacko Fall,1:24
0,,0,,1,1.00,114,0,0,,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202111290DAL.html,Away,96,4:51,0,,DAL,Luka Dončić,Dwight Powell,8:14,Boban Marjanović,7:56,Trey Burke,7:56,Josh Green,7:56,,,,,33:10,Tim Hardaway Jr.,26:52,Kristaps Porziņģis,26:41,Maxi Kleber,25:21,Dorian Finney-Smith,24:58,Reggie Bullock,22:50,Jalen Brunson,22:22,Sterling Brown,14:45,Moses Brown,10:59,96,0,0,0.0,,0.0,,0.0,,Kevin Pangos,18,0,2021-2022,0.0,1,0.0,CLE,114,Evan Mobley,Denzel Valentine,4:51,Ed Davis,4:09,,,,,,,,,35:24,Jarrett Allen,34:09,Lauri Markkanen,33:18,Darius Garland,32:41,Ricky Rubio,28:03,Isaac Okoro,26:30,Kevin Love,17:27,Dylan Windler,11:33,Lamar Stevens,7:04
0,,0,,1,1.00,111,0,0,,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202112010MIA.html,Away,85,3:39,0,,MIA,Tyler Herro,Omer Yurtseven,3:39,,,,,,,,,,,36:30,Dewayne Dedmon,30:41,Kyle Lowry,28:13,Max Strus,27:56,Caleb Martin,27:38,Gabe Vincent,27:38,P.J. Tucker,23:06,Duncan Robinson,20:04,KZ Okpala,14:35,85,0,0,0.0,,0.0,,0.0,,Kevin Pangos,26,1,2021-2022,1.0,1,0.0,CLE,111,Darius Garland,Ed Davis,3:39,Dylan Windler,3:39,,,,,,,,,37:19,Evan Mobley,31:35,Jarrett Allen,30:41,Isaac Okoro,29:27,Lauri Markkanen,26:16,Ricky Rubio,25:49,Lamar Stevens,23:13,Kevin Love,21:04,Denzel Valentine,3:39
0,,0,,1,,116,0,0,,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202112030WAS.html,Away,101,2:09,0,,WAS,Bradley Beal,Kentavious Caldwell-Pope,19:58,Corey Kispert,7:06,Anthony Gill,5:14,,,,,,,26:59,Spencer Dinwiddie,26:28,Kyle Kuzma,23:13,Deni Avdija,22:48,Daniel Gafford,22:43,Montrezl Harrell,22:15,Raul Neto,21:32,Aaron Holiday,21:01,Dāvis Bertāns,20:43,101,0,0,0.0,,0.0,,0.0,,Kevin Pangos,15,0,2021-2022,0.0,0,0.0,CLE,116,Jarrett Allen,Ed Davis,2:09,Denzel Valentine,2:09,,,,,,,,,36:50,Lauri Markkanen,36:04,Evan Mobley,35:59,Darius Garland,34:15,Isaac Okoro,29:03,Ricky Rubio,28:51,Kevin Love,17:34,Lamar Stevens,12:48,Dylan Windler,2:09
0,,0,0.000,3,3.00,92,0,0,,0,.000,0.0,0.0,1.0,1,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202112080CLE.html,Home,115,4:43,0,,CHI,Lonzo Ball,,,,,,,,,,,,,39:22,Zach LaVine,35:12,Ayo Dosunmu,34:05,Nikola Vučević,30:36,Derrick Jones Jr.,28:03,Troy Brown Jr.,26:38,Devon Dotson,19:21,Tony Bradley,14:50,Alize Johnson,11:53,92,2,0,0.0,,0.0,,0.0,,Kevin Pangos,23,0,2021-2022,0.0,1,0.0,CLE,115,Darius Garland,Lamar Stevens,4:43,Denzel Valentine,4:43,Dylan Windler,4:43,,,,,,,32:45,Jarrett Allen,32:11,Evan Mobley,31:35,Isaac Okoro,27:43,Lauri Markkanen,27:13,Ricky Rubio,23:10,Cedi Osman,21:50,Kevin Love,19:58,Dean Wade,4:43
1,.333,3,75.000,0,,123,0,1,100.0,2,.500,1.0,100.0,1.0,4,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202112100MIN.html,Away,106,5:22,0,0.0,MIN,Anthony Edwards,Taurean Prince,11:15,Jake Layman,4:43,Nathan Knight,3:34,Josh Okogie,3:34,,,,,32:33,Karl-Anthony Towns,30:27,Jarred Vanderbilt,30:18,Malik Beasley,29:12,Patrick Beverley,27:38,Jaden McDaniels,21:33,Leandro Bolmaro,15:39,Jaylen Nowell,15:24,Naz Reid,14:10,106,1,5,2.0,40.0,3.0,60.0,0.0,0.0,Kevin Pangos,17,0,2021-2022,0.0,0,1.0,CLE,123,Darius Garland,Tacko Fall,5:22,Lamar Stevens,5:22,Denzel Valentine,5:22,,,,,,,31:22,Isaac Okoro,30:57,Cedi Osman,27:42,Jarrett Allen,26:30,Evan Mobley,24:20,Ricky Rubio,22:57,Kevin Love,22:50,Lauri Markkanen,21:39,Dean Wade,10:15
