3P,3P%,3PA,3PAr,AST,AST/TOV,Away_Score,BLK,DRB,DRB_Pct_of_TRB,FG,FG%,FG2,FG2%,FG2A,FGA,FT,FT%,FTA,FTr,Game_Date,Game_Result,Game_URL,Home/Away,Home_Score,MP,ORB,ORB_Pct_of_TRB,Opponent,Opponent_1,Opponent_10,Opponent_10_MP,Opponent_11,Opponent_11_MP,Opponent_12,Opponent_12_MP,Opponent_13,Opponent_13_MP,Opponent_14,Opponent_14_MP,Opponent_15,Opponent_15_MP,Opponent_1_MP,Opponent_2,Opponent_2_MP,Opponent_3,Opponent_3_MP,Opponent_4,Opponent_4_MP,Opponent_5,Opponent_5_MP,Opponent_6,Opponent_6_MP,Opponent_7,Opponent_7_MP,Opponent_8,Opponent_8_MP,Opponent_9,Opponent_9_MP,Opponent_Score,PF,PTS,PTS_2P,PTS_2P_Pct,PTS_3P,PTS_3P_Pct,PTS_FT,PTS_FT_Pct,Player,Point_Differential,STL,Season,Stocks,TOV,TRB,Team,Team_Score,Teammate_1,Teammate_10,Teammate_10_MP,Teammate_11,Teammate_11_MP,Teammate_12,Teammate_12_MP,Teammate_13,Teammate_13_MP,Teammate_14,Teammate_14_MP,Teammate_15,Teammate_15_MP,Teammate_1_MP,Teammate_2,Teammate_2_MP,Teammate_3,Teammate_3_MP,Teammate_4,Teammate_4_MP,Teammate_5,Teammate_5_MP,Teammate_6,Teammate_6_MP,Teammate_7,Teammate_7_MP,Teammate_8,Teammate_8_MP,Teammate_9,Teammate_9_MP
0,.000,1,16.667,2,,85,0,1,100.0,0,.000,0.0,0.0,5.0,6,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201910230ORL.html,Away,94,17:10,0,0.0,ORL,Nikola Vučević,Mo Bamba,13:47,,,,,,,,,,,34:13,Al-Farouq Aminu,29:06,Aaron Gordon,28:53,Evan Fournier,28:06,D.J. Augustin,24:34,Jonathan Isaac,23:59,Markelle Fultz,23:26,Terrence Ross,19:28,Michael Carter-Williams,14:28,94,2,0,0.0,,0.0,,0.0,,Kevin Porter Jr.,9,1,2019-2020,1.0,0,1.0,CLE,85,Kevin Love,,,,,,,,,,,,,35:57,Tristan Thompson,33:15,Darius Garland,31:32,Collin Sexton,29:54,Cedi Osman,28:59,Larry Nance Jr.,26:48,Jordan Clarkson,18:19,Matthew Dellavedova,18:06,,
0,.000,3,50.000,2,0.67,99,2,0,,3,.500,3.0,100.0,3.0,6,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201910260CLE.html,Home,110,20:25,0,,IND,Myles Turner,Goga Bitadze,4:26,,,,,,,,,,,39:47,T.J. Warren,36:36,Malcolm Brogdon,34:33,Domantas Sabonis,32:50,Justin Holiday,24:07,T.J. McConnell,20:48,T.J. Leaf,18:03,Edmond Sumner,16:32,Doug McDermott,12:17,99,4,6,6.0,100.0,0.0,0.0,0.0,0.0,Kevin Porter Jr.,11,0,2019-2020,2.0,3,0.0,CLE,110,Tristan Thompson,Tyler Cook,0:20,Alfonzo McKinnie,0:20,,,,,,,,,34:42,Kevin Love,33:06,Collin Sexton,30:23,Darius Garland,29:23,Cedi Osman,27:35,Larry Nance Jr.,19:13,Matthew Dellavedova,18:36,Jordan Clarkson,17:37,John Henson,8:17
0,.000,2,28.571,0,,112,1,2,50.0,1,.143,1.0,20.0,5.0,7,2,1.000,2,28.571,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201910280MIL.html,Away,129,16:26,2,50.0,MIL,Giannis Antetokounmpo,Robin Lopez,17:24,Donte DiVincenzo,2:14,D.J. Wilson,2:14,,,,,,,29:12,Khris Middleton,28:41,Wesley Matthews,28:27,Brook Lopez,27:36,Eric Bledsoe,26:24,Pat Connaughton,20:55,Ersan İlyasova,19:26,George Hill,19:22,Kyle Korver,18:05,129,2,4,2.0,50.0,0.0,0.0,2.0,50.0,Kevin Porter Jr.,17,0,2019-2020,1.0,0,4.0,CLE,112,Tristan Thompson,Alfonzo McKinnie,2:15,,,,,,,,,,,33:25,Kevin Love,33:08,Collin Sexton,30:17,Cedi Osman,27:04,Jordan Clarkson,25:16,Larry Nance Jr.,25:15,Darius Garland,23:02,Matthew Dellavedova,21:37,Tyler Cook,2:15
1,.500,2,50.000,2,2.00,111,1,3,75.0,2,.500,1.0,50.0,2.0,4,4,1.000,4,100.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201910300CLE.html,Home,117,20:17,1,25.0,CHI,Zach LaVine,Ryan Arcidiacono,16:06,,,,,,,,,,,31:54,Otto Porter Jr.,27:29,Lauri Markkanen,27:27,Tomáš Satoranský,27:15,Wendell Carter Jr.,27:10,Thaddeus Young,22:39,Kris Dunn,20:45,Coby White,20:31,Luke Kornet,18:44,111,2,9,2.0,22.2,3.0,33.3,4.0,44.4,Kevin Porter Jr.,6,0,2019-2020,1.0,1,4.0,CLE,117,Tristan Thompson,,,,,,,,,,,,,35:01,Kevin Love,31:12,Cedi Osman,30:44,Larry Nance Jr.,29:47,Collin Sexton,28:16,Jordan Clarkson,25:54,Darius Garland,25:17,Matthew Dellavedova,13:32,,
1,1.000,1,50.000,0,0.00,95,0,4,100.0,1,.500,0.0,0.0,1.0,2,2,1.000,2,100.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201911010IND.html,Away,102,13:55,0,0.0,IND,Domantas Sabonis,T.J. Leaf,8:03,Aaron Holiday,6:21,,,,,,,,,37:17,Jeremy Lamb,34:51,Malcolm Brogdon,33:02,T.J. Warren,27:50,Goga Bitadze,24:55,Justin Holiday,22:57,Doug McDermott,19:24,T.J. McConnell,14:58,JaKarr Sampson,10:22,102,3,5,0.0,0.0,3.0,60.0,2.0,40.0,Kevin Porter Jr.,7,0,2019-2020,0.0,3,4.0,CLE,95,Cedi Osman,,,,,,,,,,,,,37:35,Collin Sexton,37:22,Kevin Love,34:56,Tristan Thompson,31:28,Jordan Clarkson,27:04,Larry Nance Jr.,26:06,Darius Garland,25:31,Brandon Knight,6:03,,
1,.333,3,37.500,2,2.00,131,0,1,100.0,3,.375,2.0,40.0,5.0,8,1,1.000,1,12.500,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201911030CLE.html,Home,111,19:39,0,0.0,DAL,Luka Dončić,Justin Jackson,5:41,Ryan Broekhoff,1:37,,,,,,,,,33:33,Kristaps Porziņģis,31:08,Jalen Brunson,30:19,Delon Wright,28:05,Dwight Powell,27:16,Dorian Finney-Smith,23:04,Seth Curry,22:02,Tim Hardaway Jr.,21:56,Boban Marjanović,15:19,131,3,8,4.0,50.0,3.0,37.5,1.0,12.5,Kevin Porter Jr.,20,0,2019-2020,0.0,1,1.0,CLE,111,Kevin Love,Alfonzo McKinnie,2:39,,,,,,,,,,,35:06,Tristan Thompson,30:56,Cedi Osman,28:21,Larry Nance Jr.,27:19,Darius Garland,26:26,Collin Sexton,25:21,Jordan Clarkson,21:42,Brandon Knight,19:52,Tyler Cook,2:39
0,.000,3,27.273,0,0.00,113,0,3,100.0,5,.455,5.0,62.5,8.0,11,3,1.000,3,27.273,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201911080WAS.html,Away,100,21:06,0,0.0,WAS,Bradley Beal,Jordan McRae,9:01,,,,,,,,,,,38:59,Rui Hachimura,35:18,Thomas Bryant,33:35,Isaiah Thomas,28:46,Dāvis Bertāns,26:20,Ish Smith,19:14,Troy Brown Jr.,19:10,C.J. Miles,15:12,Moritz Wagner,14:25,100,1,13,10.0,76.9,0.0,0.0,3.0,23.1,Kevin Porter Jr.,13,1,2019-2020,1.0,1,3.0,CLE,113,Cedi Osman,,,,,,,,,,,,,37:07,Tristan Thompson,35:58,Darius Garland,31:46,Collin Sexton,31:27,Kevin Love,28:53,Jordan Clarkson,21:40,Larry Nance Jr.,20:56,Matthew Dellavedova,11:07,,
0,.000,3,37.500,0,,108,0,3,75.0,3,.375,3.0,60.0,5.0,8,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201911100NYK.html,Away,87,22:58,1,25.0,NYK,Frank Ntilikina,Wayne Ellington,8:30,Ignas Brazdeikis,4:17,,,,,,,,,34:44,Marcus Morris,31:31,Julius Randle,31:29,Bobby Portis,28:33,RJ Barrett,24:16,Kevin Knox,22:18,Damyean Dotson,21:15,Taj Gibson,17:09,Allonzo Trier,15:58,87,1,6,6.0,100.0,0.0,0.0,0.0,0.0,Kevin Porter Jr.,21,1,2019-2020,1.0,0,4.0,CLE,108,Darius Garland,Alfonzo McKinnie,2:28,,,,,,,,,,,34:07,Kevin Love,31:35,Tristan Thompson,30:46,Collin Sexton,30:27,Larry Nance Jr.,26:11,Cedi Osman,25:02,Jordan Clarkson,19:31,Matthew Dellavedova,11:55,Tyler Cook,5:00
0,,0,0.000,1,,97,0,2,100.0,1,.500,1.0,50.0,2.0,2,2,1.000,2,100.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201911120PHI.html,Away,98,16:20,0,0.0,PHI,Joel Embiid,Kyle O'Quinn,9:23,,,,,,,,,,,35:05,Ben Simmons,34:59,Josh Richardson,34:11,Tobias Harris,32:36,Furkan Korkmaz,31:21,Mike Scott,18:56,James Ennis III,17:45,Raul Neto,13:01,Matisse Thybulle,12:43,98,1,4,2.0,50.0,0.0,0.0,2.0,50.0,Kevin Porter Jr.,1,0,2019-2020,0.0,0,2.0,CLE,97,Collin Sexton,,,,,,,,,,,,,33:18,Tristan Thompson,32:33,Cedi Osman,31:40,Kevin Love,31:29,Darius Garland,28:16,Larry Nance Jr.,28:07,Jordan Clarkson,26:13,Matthew Dellavedova,12:02,,
1,.333,3,42.857,4,1.33,108,0,3,100.0,4,.571,3.0,75.0,4.0,7,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201911140CLE.html,Home,97,23:46,0,0.0,MIA,Bam Adebayo,,,,,,,,,,,,,39:51,Jimmy Butler,38:49,Kendrick Nunn,37:10,Meyers Leonard,28:07,Duncan Robinson,26:27,Goran Dragić,25:03,Tyler Herro,22:26,Kelly Olynyk,13:58,Chris Silva,8:09,108,4,9,6.0,66.7,3.0,33.3,0.0,0.0,Kevin Porter Jr.,11,3,2019-2020,3.0,3,3.0,CLE,97,Kevin Love,,,,,,,,,,,,,38:44,Cedi Osman,33:51,Collin Sexton,27:13,Jordan Clarkson,26:49,Darius Garland,24:41,Tristan Thompson,22:49,Larry Nance Jr.,22:35,Matthew Dellavedova,19:32,,
