3P,3P%,3PA,3PAr,AST,AST/TOV,Away_Score,BLK,DRB,DRB_Pct_of_TRB,FG,FG%,FG2,FG2%,FG2A,FGA,FT,FT%,FTA,FTr,Game_Date,Game_Result,Game_URL,Home/Away,Home_Score,MP,ORB,ORB_Pct_of_TRB,Opponent,Opponent_1,Opponent_10,Opponent_10_MP,Opponent_11,Opponent_11_MP,Opponent_12,Opponent_12_MP,Opponent_13,Opponent_13_MP,Opponent_14,Opponent_14_MP,Opponent_15,Opponent_15_MP,Opponent_1_MP,Opponent_2,Opponent_2_MP,Opponent_3,Opponent_3_MP,Opponent_4,Opponent_4_MP,Opponent_5,Opponent_5_MP,Opponent_6,Opponent_6_MP,Opponent_7,Opponent_7_MP,Opponent_8,Opponent_8_MP,Opponent_9,Opponent_9_MP,Opponent_Score,PF,PTS,PTS_2P,PTS_2P_Pct,PTS_3P,PTS_3P_Pct,PTS_FT,PTS_FT_Pct,Player,Point_Differential,STL,Season,Stocks,TOV,TRB,Team,Team_Score,Teammate_1,Teammate_10,Teammate_10_MP,Teammate_11,Teammate_11_MP,Teammate_12,Teammate_12_MP,Teammate_13,Teammate_13_MP,Teammate_14,Teammate_14_MP,Teammate_15,Teammate_15_MP,Teammate_1_MP,Teammate_2,Teammate_2_MP,Teammate_3,Teammate_3_MP,Teammate_4,Teammate_4_MP,Teammate_5,Teammate_5_MP,Teammate_6,Teammate_6_MP,Teammate_7,Teammate_7_MP,Teammate_8,Teammate_8_MP,Teammate_9,Teammate_9_MP
0,.000,2,28.571,1,,86,0,0,,2,.286,2.0,40.0,5.0,7,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202012290PHO.html,Away,111,9:38,0,,PHO,Mikal Bridges,Langston Galloway,11:51,Frank Kaminsky,7:17,Damian Jones,6:06,E'Twaun Moore,6:06,Ty-Shon Alexander,3:54,,,30:03,Deandre Ayton,26:27,Devin Booker,25:36,Chris Paul,23:11,Cameron Payne,23:07,Cameron Johnson,22:23,Jae Crowder,20:59,Jevon Carter,18:44,Dario Šarić,14:16,111,0,4,4.0,100.0,0.0,0.0,0.0,0.0,Kira Lewis Jr.,25,1,2020-2021,1.0,0,0.0,NOP,86,Zion Williamson,Jaxson Hayes,11:46,Sindarius Thornwell,7:17,Willy Hernangómez,7:07,,,,,,,28:49,Brandon Ingram,28:14,Eric Bledsoe,24:12,Steven Adams,23:10,Lonzo Ball,23:05,Josh Hart,21:56,Nickeil Alexander-Walker,21:31,JJ Redick,17:34,Nicolò Melli,15:41
0,,0,,0,,113,0,0,,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202012310OKC.html,Away,80,3:08,0,,OKC,Shai Gilgeous-Alexander,Mike Muscala,15:37,Josh Hall,10:19,Kenrich Williams,7:18,Moses Brown,3:08,,,,,28:30,Darius Bazley,26:44,Théo Maledon,26:21,Al Horford,24:13,George Hill,24:13,Aleksej Pokusevski,20:42,Isaiah Roby,18:17,Hamidou Diallo,17:47,Luguentz Dort,16:51,80,0,0,0.0,,0.0,,0.0,,Kira Lewis Jr.,33,0,2020-2021,0.0,0,0.0,NOP,113,Josh Hart,Jaxson Hayes,14:10,Sindarius Thornwell,3:08,,,,,,,,,34:20,Lonzo Ball,32:27,Steven Adams,31:27,Brandon Ingram,26:01,Eric Bledsoe,25:11,Nickeil Alexander-Walker,19:05,Zion Williamson,17:25,JJ Redick,17:01,Nicolò Melli,16:37
2,.667,3,50.000,0,0.00,106,1,2,100.0,3,.500,1.0,33.3,3.0,6,2,1.000,2,33.333,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202101130LAC.html,Away,111,15:34,0,0.0,LAC,Kawhi Leonard,,,,,,,,,,,,,38:51,Paul George,38:22,Patrick Beverley,36:38,Nicolas Batum,27:30,Serge Ibaka,26:12,Ivica Zubac,21:48,Luke Kennard,20:55,Marcus Morris,20:30,Lou Williams,9:14,111,2,10,2.0,20.0,6.0,60.0,2.0,20.0,Kira Lewis Jr.,5,0,2020-2021,1.0,1,2.0,NOP,106,Brandon Ingram,,,,,,,,,,,,,38:21,Josh Hart,38:17,Nickeil Alexander-Walker,33:14,Steven Adams,28:59,JJ Redick,28:08,Nicolò Melli,19:22,Sindarius Thornwell,19:04,Jaxson Hayes,19:01,,
0,.000,3,37.500,2,,95,0,0,,2,.250,2.0,40.0,5.0,8,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202101150LAL.html,Away,112,10:42,0,,LAL,Anthony Davis,Wesley Matthews,14:03,Quinn Cook,3:22,Talen Horton-Tucker,3:22,Alfonzo McKinnie,3:22,,,,,33:06,LeBron James,30:30,Dennis Schröder,29:49,Kentavious Caldwell-Pope,24:42,Kyle Kuzma,22:23,Montrezl Harrell,20:52,Marc Gasol,20:11,Alex Caruso,17:52,Markieff Morris,16:26,112,1,4,4.0,100.0,0.0,0.0,0.0,0.0,Kira Lewis Jr.,17,0,2020-2021,0.0,0,0.0,NOP,95,Brandon Ingram,Naji Marshall,3:22,,,,,,,,,,,34:49,Zion Williamson,34:07,Steven Adams,33:04,Josh Hart,28:50,JJ Redick,25:37,Nicolò Melli,20:52,Eric Bledsoe,20:30,Nickeil Alexander-Walker,20:10,Jaxson Hayes,7:57
0,,0,0.000,5,,128,0,2,100.0,1,.200,1.0,20.0,5.0,5,1,.500,2,40.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202101170SAC.html,Away,123,15:06,0,0.0,SAC,Richaun Holmes,,,,,,,,,,,,,42:11,Harrison Barnes,41:00,De'Aaron Fox,39:02,Marvin Bagley III,36:14,Buddy Hield,35:45,Tyrese Haliburton,22:58,Cory Joseph,9:27,Glenn Robinson III,8:09,Chimezie Metu,5:14,123,3,3,2.0,66.7,0.0,0.0,1.0,33.3,Kira Lewis Jr.,5,0,2020-2021,0.0,0,2.0,NOP,128,Brandon Ingram,,,,,,,,,,,,,35:25,Zion Williamson,35:19,Nickeil Alexander-Walker,33:23,Steven Adams,31:59,Eric Bledsoe,29:49,Josh Hart,24:46,JJ Redick,18:21,Jaxson Hayes,15:52,,
0,,0,0.000,0,,102,0,0,,1,.333,1.0,33.3,3.0,3,2,1.000,2,66.667,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202101190UTA.html,Away,118,3:39,0,,UTA,Royce O'Neale,Miye Oni,2:00,Shaquille Harrison,1:49,Udoka Azubuike,1:49,Jarrell Brantley,1:49,,,,,35:19,Donovan Mitchell,33:24,Rudy Gobert,29:50,Jordan Clarkson,29:26,Bojan Bogdanović,28:41,Mike Conley,28:13,Joe Ingles,18:38,Derrick Favors,16:21,Georges Niang,12:41,118,0,4,2.0,50.0,0.0,0.0,2.0,50.0,Kira Lewis Jr.,16,0,2020-2021,0.0,0,0.0,NOP,102,Zion Williamson,Willy Hernangómez,2:57,Naji Marshall,2:57,Sindarius Thornwell,2:57,,,,,,,35:22,Brandon Ingram,35:19,Nickeil Alexander-Walker,30:39,Josh Hart,25:06,Eric Bledsoe,24:06,Steven Adams,23:40,Lonzo Ball,23:01,JJ Redick,15:16,Jaxson Hayes,15:01
0,,0,,1,,118,0,0,,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202101210UTA.html,Away,129,1:59,0,,UTA,Donovan Mitchell,Udoka Azubuike,1:59,Shaquille Harrison,1:59,Juwan Morgan,1:59,Miye Oni,1:59,,,,,34:09,Royce O'Neale,33:05,Mike Conley,31:04,Rudy Gobert,29:36,Bojan Bogdanović,29:25,Jordan Clarkson,23:55,Joe Ingles,19:30,Derrick Favors,16:25,Georges Niang,14:55,129,0,0,0.0,,0.0,,0.0,,Kira Lewis Jr.,11,0,2020-2021,0.0,0,0.0,NOP,118,Zion Williamson,Sindarius Thornwell,1:59,Willy Hernangómez,1:59,Naji Marshall,1:59,Nicolò Melli,1:59,,,,,34:26,Brandon Ingram,33:05,Steven Adams,30:24,Eric Bledsoe,28:04,Lonzo Ball,27:28,Josh Hart,24:31,JJ Redick,18:33,Nickeil Alexander-Walker,17:57,Jaxson Hayes,15:37
2,1.000,2,40.000,1,,126,0,0,,3,.600,1.0,33.3,3.0,5,2,.500,4,80.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202101300NOP.html,Home,112,9:53,0,,HOU,Danuel House Jr.,DeMarcus Cousins,13:50,Ben McLemore,5:01,Mason Jones,5:01,Rodions Kurucs,5:01,,,,,27:41,Christian Wood,27:02,John Wall,26:05,P.J. Tucker,24:53,Victor Oladipo,24:42,Jae'Sean Tate,23:56,Eric Gordon,22:52,Sterling Brown,18:12,David Nwaba,15:44,126,0,10,2.0,20.0,6.0,60.0,2.0,20.0,Kira Lewis Jr.,14,0,2020-2021,0.0,0,0.0,NOP,112,Nickeil Alexander-Walker,Sindarius Thornwell,6:42,Wenyen Gabriel,6:42,,,,,,,,,32:45,Brandon Ingram,31:40,Zion Williamson,29:14,Eric Bledsoe,28:44,Lonzo Ball,27:49,Steven Adams,23:38,Josh Hart,18:55,Jaxson Hayes,13:26,Nicolò Melli,10:32
0,,0,0.000,1,,118,0,1,100.0,1,.167,1.0,16.7,6.0,6,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202102010NOP.html,Home,109,15:37,0,0.0,SAC,Harrison Barnes,Chimezie Metu,0:08,,,,,,,,,,,40:23,De'Aaron Fox,39:41,Buddy Hield,39:00,Richaun Holmes,33:07,Tyrese Haliburton,32:26,Marvin Bagley III,21:36,Hassan Whiteside,14:29,Cory Joseph,14:26,Kyle Guy,4:44,118,1,2,2.0,100.0,0.0,0.0,0.0,0.0,Kira Lewis Jr.,9,1,2020-2021,1.0,0,1.0,NOP,109,Eric Bledsoe,,,,,,,,,,,,,36:17,Brandon Ingram,35:36,Lonzo Ball,32:02,Josh Hart,31:34,Zion Williamson,30:55,Willy Hernangómez,28:34,Nickeil Alexander-Walker,18:07,Jaxson Hayes,11:18,,
0,.000,1,50.000,0,,101,0,0,,1,.500,1.0,100.0,1.0,2,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202102030NOP.html,Home,123,2:33,0,,PHO,Mikal Bridges,Jae Crowder,12:51,Damian Jones,6:09,Jevon Carter,6:09,Jalen Smith,6:09,,,,,32:57,Devin Booker,31:50,Deandre Ayton,29:06,Cameron Johnson,26:14,Chris Paul,25:01,Frank Kaminsky,17:07,E'Twaun Moore,16:50,Langston Galloway,16:10,Abdel Nader,13:27,101,0,2,2.0,100.0,0.0,0.0,0.0,0.0,Kira Lewis Jr.,22,0,2020-2021,0.0,0,0.0,NOP,123,Brandon Ingram,Nicolò Melli,5:39,Sindarius Thornwell,2:33,Wenyen Gabriel,1:31,,,,,,,32:58,Zion Williamson,32:20,Eric Bledsoe,29:12,Steven Adams,28:35,Lonzo Ball,24:23,Josh Hart,22:30,Nickeil Alexander-Walker,20:25,Willy Hernangómez,19:25,JJ Redick,17:56
