3P,3P%,3PA,3PAr,AST,AST/TOV,Away_Score,BLK,DRB,DRB_Pct_of_TRB,FG,FG%,FG2,FG2%,FG2A,FGA,FT,FT%,FTA,FTr,Game_Date,Game_Result,Game_URL,Home/Away,Home_Score,MP,ORB,ORB_Pct_of_TRB,Opponent,Opponent_1,Opponent_10,Opponent_10_MP,Opponent_11,Opponent_11_MP,Opponent_12,Opponent_12_MP,Opponent_13,Opponent_13_MP,Opponent_14,Opponent_14_MP,Opponent_15,Opponent_15_MP,Opponent_1_MP,Opponent_2,Opponent_2_MP,Opponent_3,Opponent_3_MP,Opponent_4,Opponent_4_MP,Opponent_5,Opponent_5_MP,Opponent_6,Opponent_6_MP,Opponent_7,Opponent_7_MP,Opponent_8,Opponent_8_MP,Opponent_9,Opponent_9_MP,Opponent_Score,PF,PTS,PTS_2P,PTS_2P_Pct,PTS_3P,PTS_3P_Pct,PTS_FT,PTS_FT_Pct,Player,Point_Differential,STL,Season,Stocks,TOV,TRB,Team,Team_Score,Teammate_1,Teammate_10,Teammate_10_MP,Teammate_11,Teammate_11_MP,Teammate_12,Teammate_12_MP,Teammate_13,Teammate_13_MP,Teammate_14,Teammate_14_MP,Teammate_15,Teammate_15_MP,Teammate_1_MP,Teammate_2,Teammate_2_MP,Teammate_3,Teammate_3_MP,Teammate_4,Teammate_4_MP,Teammate_5,Teammate_5_MP,Teammate_6,Teammate_6_MP,Teammate_7,Teammate_7_MP,Teammate_8,Teammate_8_MP,Teammate_9,Teammate_9_MP
0,.000,3,33.333,4,0.50,106,0,7,87.5,2,.222,2.0,33.3,6.0,9,5,.714,7,77.778,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201312080LAL.html,Home,94,27:56,1,12.5,TOR,DeMar DeRozan,,,,,,,,,,,,,41:18,Kyle Lowry,36:38,Amir Johnson,35:36,Landry Fields,30:52,Jonas Valančiūnas,28:14,Terrence Ross,28:03,Steve Novak,27:57,Julyan Stone,11:22,,,106,3,9,4.0,44.4,0.0,0.0,5.0,55.6,Kobe Bryant,12,2,2013-2014,2.0,8,8.0,LAL,94,Jodie Meeks,,,,,,,,,,,,,35:20,Steve Blake,30:18,Nick Young,29:57,Wesley Johnson,24:40,Pau Gasol,24:28,Shawne Williams,23:18,Jordan Hill,20:00,Xavier Henry,14:08,Robert Sacre,9:55
0,.000,2,18.182,3,1.00,114,0,2,100.0,6,.545,6.0,66.7,9.0,11,8,1.000,8,72.727,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201312100LAL.html,Home,108,29:10,0,0.0,PHO,Goran Dragić,,,,,,,,,,,,,37:53,Eric Bledsoe,36:58,P.J. Tucker,31:19,Markieff Morris,28:37,Marcus Morris,26:52,Channing Frye,26:37,Miles Plumlee,19:23,Gerald Green,17:09,Archie Goodwin,15:12,114,2,20,12.0,60.0,0.0,0.0,8.0,40.0,Kobe Bryant,6,0,2013-2014,0.0,3,2.0,LAL,108,Steve Blake,,,,,,,,,,,,,39:13,Jodie Meeks,32:40,Pau Gasol,28:45,Xavier Henry,28:44,Nick Young,27:33,Wesley Johnson,20:00,Jordan Hill,19:15,Shawne Williams,14:40,,
0,,0,0.000,13,1.86,97,0,1,100.0,2,.333,2.0,33.3,6.0,6,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201312130OKC.html,Away,122,23:09,0,0.0,OKC,Kevin Durant,Derek Fisher,14:19,Hasheem Thabeet,7:22,Nick Collison,5:32,,,,,,,31:08,Russell Westbrook,30:54,Jeremy Lamb,26:38,Reggie Jackson,25:46,Serge Ibaka,24:39,Andre Roberson,22:15,Perry Jones,19:19,Kendrick Perkins,16:55,Steven Adams,15:13,122,1,4,4.0,100.0,0.0,0.0,0.0,0.0,Kobe Bryant,25,2,2013-2014,2.0,7,1.0,LAL,97,Jodie Meeks,Ryan Kelly,5:21,,,,,,,,,,,36:01,Wesley Johnson,34:22,Nick Young,30:47,Xavier Henry,27:05,Pau Gasol,23:09,Shawne Williams,18:56,Robert Sacre,16:53,Jordan Hill,12:17,Chris Kaman,12:00
2,.400,5,33.333,8,1.14,88,0,7,100.0,8,.533,6.0,60.0,10.0,15,3,1.000,3,20.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201312140CHA.html,Away,85,32:14,0,0.0,CHA,Kemba Walker,,,,,,,,,,,,,35:08,Al Jefferson,33:56,Gerald Henderson,33:33,Josh McRoberts,29:41,Jeff Taylor,27:32,Ben Gordon,24:59,Ramon Sessions,22:48,Cody Zeller,18:19,Bismack Biyombo,14:04,85,1,21,12.0,57.1,6.0,28.6,3.0,14.3,Kobe Bryant,3,0,2013-2014,0.0,7,7.0,LAL,88,Wesley Johnson,,,,,,,,,,,,,35:37,Nick Young,32:20,Pau Gasol,32:14,Jordan Hill,30:59,Jodie Meeks,22:56,Xavier Henry,20:59,Shawne Williams,16:55,Robert Sacre,15:46,,
0,.000,5,35.714,6,1.20,100,0,3,100.0,4,.286,4.0,44.4,9.0,14,0,.000,1,7.143,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201312160ATL.html,Away,114,32:10,0,0.0,ATL,Jeff Teague,,,,,,,,,,,,,38:42,Kyle Korver,38:24,Paul Millsap,33:03,Al Horford,32:40,DeMarre Carroll,28:08,Lou Williams,21:58,Elton Brand,17:25,Shelvin Mack,16:48,Mike Scott,12:52,114,1,8,8.0,100.0,0.0,0.0,0.0,0.0,Kobe Bryant,14,2,2013-2014,2.0,5,3.0,LAL,100,Nick Young,,,,,,,,,,,,,32:43,Pau Gasol,32:10,Jordan Hill,28:13,Wesley Johnson,27:42,Xavier Henry,26:46,Jodie Meeks,24:39,Robert Sacre,15:50,Shawne Williams,13:02,Ryan Kelly,6:45
1,1.000,1,5.556,4,1.00,96,1,4,80.0,9,.500,8.0,47.1,17.0,18,2,1.000,2,11.111,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201312170MEM.html,Away,92,32:38,1,20.0,MEM,Zach Randolph,Tayshaun Prince,9:09,James Johnson,4:14,,,,,,,,,34:53,Tony Allen,30:20,Mike Miller,29:50,Jerryd Bayless,28:14,Jon Leuer,27:28,Ed Davis,21:43,Jamaal Franklin,21:19,Nick Calathes,19:47,Kosta Koufos,13:03,92,1,21,16.0,76.2,3.0,14.3,2.0,9.5,Kobe Bryant,4,1,2013-2014,2.0,4,5.0,LAL,96,Jodie Meeks,,,,,,,,,,,,,33:45,Nick Young,33:33,Pau Gasol,32:38,Wesley Johnson,31:42,Shawne Williams,30:26,Xavier Henry,19:40,Robert Sacre,18:07,Jordan Hill,7:31,,
0,.000,1,5.882,2,2.00,108,0,3,100.0,6,.353,6.0,37.5,16.0,17,7,.875,8,47.059,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201410280LAL.html,Home,90,29:00,0,0.0,HOU,Patrick Beverley,Troy Daniels,8:43,Isaiah Canaan,7:07,,,,,,,,,30:55,James Harden,30:46,Terrence Jones,30:31,Trevor Ariza,29:34,Tarik Black,24:13,Jason Terry,21:23,Dwight Howard,20:34,Kostas Papanikolaou,19:52,Donatas Motiejūnas,16:22,108,5,19,12.0,63.2,0.0,0.0,7.0,36.8,Kobe Bryant,18,1,2014-2015,1.0,1,3.0,LAL,90,Jeremy Lin,Robert Sacre,7:07,,,,,,,,,,,29:08,Carlos Boozer,27:35,Ronnie Price,26:56,Jordan Hill,23:23,Wesley Johnson,22:52,Ed Davis,21:35,Jordan Clarkson,20:22,Xavier Henry,18:28,Julius Randle,13:34
2,.500,4,16.000,3,1.50,99,0,3,75.0,11,.440,9.0,42.9,21.0,25,7,1.000,7,28.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201410290PHO.html,Away,119,27:53,1,25.0,PHO,Marcus Morris,Tyler Ennis,12:30,Anthony Tolliver,11:46,Archie Goodwin,9:48,,,,,,,29:07,Goran Dragić,26:12,Eric Bledsoe,26:08,Markieff Morris,25:52,Miles Plumlee,24:48,Gerald Green,22:00,Isaiah Thomas,20:17,Alex Len,18:42,Shavlik Randolph,12:50,119,2,31,18.0,58.1,6.0,19.4,7.0,22.6,Kobe Bryant,20,2,2014-2015,2.0,2,4.0,LAL,99,Ed Davis,,,,,,,,,,,,,32:38,Ronnie Price,29:37,Wesley Johnson,28:21,Jordan Hill,25:26,Wayne Ellington,24:35,Carlos Boozer,23:01,Jeremy Lin,21:06,Jordan Clarkson,15:23,Robert Sacre,12:00
1,.200,5,33.333,7,2.33,118,0,4,100.0,6,.400,5.0,50.0,10.0,15,8,.727,11,73.333,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201410310LAL.html,Home,111,35:16,0,0.0,LAC,Blake Griffin,Hedo Türkoğlu,4:13,,,,,,,,,,,38:54,DeAndre Jordan,38:28,Chris Paul,37:01,JJ Redick,33:24,Jamal Crawford,26:48,Matt Barnes,22:08,Spencer Hawes,14:20,Chris Douglas-Roberts,13:45,Jordan Farmar,10:59,118,5,21,10.0,47.6,3.0,14.3,8.0,38.1,Kobe Bryant,7,2,2014-2015,2.0,3,4.0,LAL,111,Jeremy Lin,Xavier Henry,5:18,,,,,,,,,,,34:47,Jordan Hill,33:30,Wesley Johnson,30:02,Carlos Boozer,28:31,Ed Davis,20:08,Wayne Ellington,19:39,Robert Sacre,13:46,Ronnie Price,13:18,Jordan Clarkson,5:45
1,.167,6,21.429,1,0.14,104,0,5,83.3,12,.429,11.0,50.0,22.0,28,3,.500,6,21.429,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201411010GSW.html,Away,127,35:53,1,16.7,GSW,Klay Thompson,Marreese Speights,4:55,Justin Holiday,1:43,,,,,,,,,34:08,Stephen Curry,34:06,Andre Iguodala,32:40,Draymond Green,30:29,Andrew Bogut,30:23,Harrison Barnes,30:09,Leandro Barbosa,17:26,Festus Ezeli,12:57,Shaun Livingston,11:03,127,3,28,22.0,78.6,3.0,10.7,3.0,10.7,Kobe Bryant,23,2,2014-2015,2.0,7,6.0,LAL,104,Wesley Johnson,Jordan Clarkson,4:46,,,,,,,,,,,33:03,Jordan Hill,32:52,Jeremy Lin,31:55,Carlos Boozer,23:41,Ronnie Price,22:21,Ed Davis,20:50,Wayne Ellington,18:17,Xavier Henry,9:25,Robert Sacre,6:57
