3P,3P%,3PA,3PAr,AST,AST/TOV,Away_Score,BLK,DRB,DRB_Pct_of_TRB,FG,FG%,FG2,FG2%,FG2A,FGA,FT,FT%,FTA,FTr,Game_Date,Game_Result,Game_URL,Home/Away,Home_Score,MP,ORB,ORB_Pct_of_TRB,Opponent,Opponent_1,Opponent_10,Opponent_10_MP,Opponent_11,Opponent_11_MP,Opponent_12,Opponent_12_MP,Opponent_13,Opponent_13_MP,Opponent_14,Opponent_14_MP,Opponent_15,Opponent_15_MP,Opponent_1_MP,Opponent_2,Opponent_2_MP,Opponent_3,Opponent_3_MP,Opponent_4,Opponent_4_MP,Opponent_5,Opponent_5_MP,Opponent_6,Opponent_6_MP,Opponent_7,Opponent_7_MP,Opponent_8,Opponent_8_MP,Opponent_9,Opponent_9_MP,Opponent_Score,PF,PTS,PTS_2P,PTS_2P_Pct,PTS_3P,PTS_3P_Pct,PTS_FT,PTS_FT_Pct,Player,Point_Differential,STL,Season,Stocks,TOV,TRB,Team,Team_Score,Teammate_1,Teammate_10,Teammate_10_MP,Teammate_11,Teammate_11_MP,Teammate_12,Teammate_12_MP,Teammate_13,Teammate_13_MP,Teammate_14,Teammate_14_MP,Teammate_15,Teammate_15_MP,Teammate_1_MP,Teammate_2,Teammate_2_MP,Teammate_3,Teammate_3_MP,Teammate_4,Teammate_4_MP,Teammate_5,Teammate_5_MP,Teammate_6,Teammate_6_MP,Teammate_7,Teammate_7_MP,Teammate_8,Teammate_8_MP,Teammate_9,Teammate_9_MP
0,.000,1,50.000,0,,127,0,1,50.0,0,.000,0.0,0.0,1.0,2,1,.500,2,100.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202310290MIL.html,Away,110,3:14,1,50.0,MIL,Malik Beasley,Thanasis Antetokounmpo,7:33,Andre Jackson Jr.,6:37,A.J. Green,5:37,Robin Lopez,5:37,TyTy Washington Jr.,3:14,,,31:38,Giannis Antetokounmpo,29:28,Damian Lillard,29:02,Jae Crowder,25:57,Pat Connaughton,23:19,Bobby Portis,21:01,Brook Lopez,20:25,MarJon Beauchamp,16:08,Cameron Payne,14:24,110,0,1,0.0,0.0,0.0,0.0,1.0,100.0,Kobe Bufkin,17,0,2023-2024,0.0,0,2.0,ATL,127,Trae Young,Bruno Fernando,4:41,Trent Forrest,4:41,Mouhamed Gueye,3:12,,,,,,,32:02,Saddiq Bey,30:59,Dejounte Murray,29:44,Bogdan Bogdanović,26:19,Jalen Johnson,25:42,De'Andre Hunter,24:16,Clint Capela,23:02,Onyeka Okongwu,22:38,AJ Griffin,9:30
0,,0,0.000,0,,113,0,0,,0,.000,0.0,0.0,1.0,1,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202310300ATL.html,Home,127,1:11,0,,MIN,Anthony Edwards,Luka Garza,1:11,Josh Minott,1:11,Jordan McLaughlin,1:11,Daishen Nix,1:11,,,,,37:47,Karl-Anthony Towns,36:11,Rudy Gobert,30:41,Mike Conley,28:02,Kyle Anderson,24:47,Naz Reid,23:58,Jaden McDaniels,23:56,Shake Milton,16:33,Nickeil Alexander-Walker,13:21,113,0,0,0.0,,0.0,,0.0,,Kobe Bufkin,14,0,2023-2024,0.0,0,0.0,ATL,127,Dejounte Murray,Bruno Fernando,1:11,Mouhamed Gueye,1:11,,,,,,,,,39:22,Trae Young,35:00,Jalen Johnson,33:06,De'Andre Hunter,30:21,Saddiq Bey,25:10,Onyeka Okongwu,24:15,Clint Capela,22:34,Bogdan Bogdanović,20:27,AJ Griffin,6:12
1,1.000,1,100.000,1,,122,0,1,100.0,1,1.000,0.0,,0.0,1,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202401300ATL.html,Home,138,1:52,0,0.0,LAL,LeBron James,Dylan Windler,3:21,Jalen Hood-Schifino,3:21,Maxwell Lewis,3:21,Skylar Mays,3:21,,,,,35:49,Austin Reaves,32:21,D'Angelo Russell,27:08,Jarred Vanderbilt,25:41,Taurean Prince,24:48,Jaxson Hayes,24:28,Rui Hachimura,23:29,Christian Wood,22:07,Max Christie,10:45,122,0,3,0.0,0.0,3.0,100.0,0.0,0.0,Kobe Bufkin,16,0,2023-2024,0.0,0,1.0,ATL,138,Saddiq Bey,AJ Griffin,1:52,Patty Mills,1:52,,,,,,,,,35:08,Jalen Johnson,34:54,Trae Young,34:16,Dejounte Murray,33:20,Onyeka Okongwu,25:42,Bogdan Bogdanović,24:40,Clint Capela,24:21,De'Andre Hunter,16:24,Garrison Mathews,5:39
1,.250,4,100.000,0,,113,0,2,66.7,1,.250,0.0,,0.0,4,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202402100ATL.html,Home,122,15:46,1,33.3,HOU,Jalen Green,Jeenathan Williams,8:33,,,,,,,,,,,37:14,Jabari Smith Jr.,36:55,Dillon Brooks,34:47,Amen Thompson,32:34,Jeff Green,31:29,Aaron Holiday,22:26,Reggie Bullock,14:36,Jock Landale,12:46,Jae'Sean Tate,8:40,113,1,3,0.0,0.0,3.0,100.0,0.0,0.0,Kobe Bufkin,9,0,2023-2024,0.0,0,3.0,ATL,122,Jalen Johnson,,,,,,,,,,,,,39:53,Dejounte Murray,39:52,Saddiq Bey,39:17,Trae Young,32:54,Onyeka Okongwu,32:21,Bogdan Bogdanović,30:41,Garrison Mathews,9:16,,,,
0,.000,1,50.000,0,0.00,99,0,0,,1,.500,1.0,100.0,1.0,2,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202402140CHO.html,Away,122,2:27,0,,CHO,Brandon Miller,Bryce McGowens,1:11,Nick Smith Jr.,1:11,JT Thor,1:11,,,,,,,36:04,Miles Bridges,34:14,Tre Mann,29:44,Cody Martin,29:43,Nick Richards,29:06,Grant Williams,27:17,Vasilije Micić,19:58,Seth Curry,17:06,Dāvis Bertāns,13:15,122,0,2,2.0,100.0,0.0,0.0,0.0,0.0,Kobe Bufkin,23,0,2023-2024,0.0,1,0.0,ATL,99,Jalen Johnson,,,,,,,,,,,,,37:59,Trae Young,34:26,Saddiq Bey,31:39,Dejounte Murray,31:39,Bogdan Bogdanović,28:57,De'Andre Hunter,28:16,Bruno Fernando,25:49,Garrison Mathews,16:21,Vit Krejci,2:27
0,.000,2,50.000,3,3.00,92,1,1,100.0,1,.250,1.0,50.0,2.0,4,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202402250ATL.html,Home,109,10:45,0,0.0,ORL,Wendell Carter Jr.,Markelle Fultz,11:48,Jonathan Isaac,2:13,Chuma Okeke,1:47,,,,,,,33:53,Franz Wagner,33:28,Cole Anthony,30:28,Jalen Suggs,28:08,Anthony Black,27:23,Caleb Houstan,20:30,Joe Ingles,19:10,Goga Bitadze,18:30,Moritz Wagner,12:42,92,1,2,2.0,100.0,0.0,0.0,0.0,0.0,Kobe Bufkin,17,1,2023-2024,2.0,1,1.0,ATL,109,Jalen Johnson,,,,,,,,,,,,,38:54,Dejounte Murray,38:49,Bogdan Bogdanović,35:33,Saddiq Bey,34:30,De'Andre Hunter,28:29,Bruno Fernando,19:25,Clint Capela,17:05,Garrison Mathews,16:30,,
1,.500,2,28.571,5,,97,0,2,100.0,3,.429,2.0,40.0,5.0,7,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202402270ATL.html,Home,124,21:06,0,0.0,UTA,Keyonte George,Talen Horton-Tucker,10:07,,,,,,,,,,,33:30,Walker Kessler,29:51,Collin Sexton,29:17,Taylor Hendricks,28:38,Jordan Clarkson,27:00,Lauri Markkanen,26:03,John Collins,22:23,Brice Sensabaugh,17:24,Kris Dunn,15:47,97,1,7,4.0,57.1,3.0,42.9,0.0,0.0,Kobe Bufkin,27,2,2023-2024,2.0,0,2.0,ATL,124,Jalen Johnson,,,,,,,,,,,,,35:23,Bogdan Bogdanović,33:10,Dejounte Murray,31:55,Saddiq Bey,30:29,De'Andre Hunter,27:57,Clint Capela,24:32,Bruno Fernando,18:19,Garrison Mathews,17:09,,
2,.400,5,45.455,3,1.50,97,0,3,100.0,5,.455,3.0,50.0,6.0,11,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202402290BRK.html,Away,124,18:40,0,0.0,BRK,Mikal Bridges,Trendon Watford,6:53,Keita Bates-Diop,6:12,,,,,,,,,33:51,Cameron Johnson,30:18,Nic Claxton,28:09,Dennis Schröder,27:06,Dorian Finney-Smith,26:45,Jalen Wilson,24:31,Dennis Smith Jr.,20:54,Day'Ron Sharpe,19:51,Lonnie Walker IV,15:30,124,1,12,6.0,50.0,6.0,50.0,0.0,0.0,Kobe Bufkin,27,0,2023-2024,0.0,2,3.0,ATL,97,Jalen Johnson,Trent Forrest,5:11,,,,,,,,,,,32:38,Bogdan Bogdanović,32:18,Dejounte Murray,31:50,Saddiq Bey,30:02,De'Andre Hunter,25:46,Clint Capela,21:09,Bruno Fernando,18:06,Wesley Matthews,13:34,Garrison Mathews,10:46
0,.000,1,20.000,3,3.00,102,0,2,100.0,1,.200,1.0,25.0,4.0,5,1,.500,2,40.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202403020BRK.html,Away,114,14:02,0,0.0,BRK,Mikal Bridges,Trendon Watford,2:18,Keita Bates-Diop,2:18,,,,,,,,,38:33,Dorian Finney-Smith,35:20,Dennis Schröder,34:09,Nic Claxton,33:49,Cameron Johnson,30:48,Dennis Smith Jr.,21:20,Jalen Wilson,16:21,Day'Ron Sharpe,13:59,Lonnie Walker IV,11:05,114,2,3,2.0,66.7,0.0,0.0,1.0,33.3,Kobe Bufkin,12,0,2023-2024,0.0,1,2.0,ATL,102,Bogdan Bogdanović,,,,,,,,,,,,,35:08,Saddiq Bey,34:54,Dejounte Murray,34:41,Jalen Johnson,34:36,De'Andre Hunter,29:14,Clint Capela,24:00,Bruno Fernando,18:32,Garrison Mathews,13:08,Trent Forrest,1:45
1,.333,3,75.000,3,3.00,113,1,2,100.0,1,.250,0.0,0.0,1.0,4,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202404010CHI.html,Away,101,17:11,0,0.0,CHI,Coby White,Jevon Carter,6:58,Onuralp Bitim,2:04,Adama Sanogo,2:04,,,,,,,39:19,DeMar DeRozan,39:05,Ayo Dosunmu,35:37,Alex Caruso,32:55,Nikola Vučević,31:09,Andre Drummond,20:04,Torrey Craig,12:38,Terry Taylor,9:45,Dalen Terry,8:22,101,1,3,0.0,0.0,3.0,100.0,0.0,0.0,Kobe Bufkin,12,0,2023-2024,1.0,1,2.0,ATL,113,Bogdan Bogdanović,,,,,,,,,,,,,33:58,Dejounte Murray,33:25,De'Andre Hunter,32:48,Clint Capela,26:04,Jalen Johnson,24:58,Vit Krejci,24:54,Bruno Fernando,21:56,Garrison Mathews,17:12,Wesley Matthews,7:33
