3P,3P%,3PA,3PAr,AST,AST/TOV,Away_Score,BLK,DRB,DRB_Pct_of_TRB,FG,FG%,FG2,FG2%,FG2A,FGA,FT,FT%,FTA,FTr,Game_Date,Game_Result,Game_URL,Home/Away,Home_Score,MP,ORB,ORB_Pct_of_TRB,Opponent,Opponent_1,Opponent_10,Opponent_10_MP,Opponent_11,Opponent_11_MP,Opponent_12,Opponent_12_MP,Opponent_13,Opponent_13_MP,Opponent_14,Opponent_14_MP,Opponent_15,Opponent_15_MP,Opponent_1_MP,Opponent_2,Opponent_2_MP,Opponent_3,Opponent_3_MP,Opponent_4,Opponent_4_MP,Opponent_5,Opponent_5_MP,Opponent_6,Opponent_6_MP,Opponent_7,Opponent_7_MP,Opponent_8,Opponent_8_MP,Opponent_9,Opponent_9_MP,Opponent_Score,PF,PTS,PTS_2P,PTS_2P_Pct,PTS_3P,PTS_3P_Pct,PTS_FT,PTS_FT_Pct,Player,Point_Differential,STL,Season,Stocks,TOV,TRB,Team,Team_Score,Teammate_1,Teammate_10,Teammate_10_MP,Teammate_11,Teammate_11_MP,Teammate_12,Teammate_12_MP,Teammate_13,Teammate_13_MP,Teammate_14,Teammate_14_MP,Teammate_15,Teammate_15_MP,Teammate_1_MP,Teammate_2,Teammate_2_MP,Teammate_3,Teammate_3_MP,Teammate_4,Teammate_4_MP,Teammate_5,Teammate_5_MP,Teammate_6,Teammate_6_MP,Teammate_7,Teammate_7_MP,Teammate_8,Teammate_8_MP,Teammate_9,Teammate_9_MP
0,.000,3,60.000,3,1.00,114,0,1,100.0,0,.000,0.0,0.0,2.0,5,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202012230CLE.html,Away,121,15:48,0,0.0,CLE,Collin Sexton,Dylan Windler,9:29,Marques Bolden,0:01,,,,,,,,,37:05,Larry Nance Jr.,33:34,Isaac Okoro,33:32,Darius Garland,32:33,Andre Drummond,27:13,JaVale McGee,19:12,Cedi Osman,17:57,Dean Wade,15:52,Damyean Dotson,13:32,121,2,0,0.0,,0.0,,0.0,,LaMelo Ball,7,2,2020-2021,2.0,3,1.0,CHO,114,Terry Rozier,,,,,,,,,,,,,37:31,Devonte' Graham,37:07,Gordon Hayward,36:13,Bismack Biyombo,24:21,Miles Bridges,22:05,P.J. Washington,21:23,Cody Martin,21:01,Cody Zeller,18:57,Jalen McDaniels,5:34
2,.500,4,40.000,1,0.50,109,0,3,60.0,5,.500,3.0,50.0,6.0,10,1,.500,2,20.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202012260CHO.html,Home,107,15:19,2,40.0,OKC,Luguentz Dort,Aleksej Pokusevski,10:56,,,,,,,,,,,34:34,Shai Gilgeous-Alexander,34:22,Darius Bazley,32:56,Al Horford,28:33,George Hill,24:03,Théo Maledon,20:26,Hamidou Diallo,19:40,Mike Muscala,18:10,Kenrich Williams,16:20,109,1,13,6.0,46.2,6.0,46.2,1.0,7.7,LaMelo Ball,2,1,2020-2021,1.0,2,5.0,CHO,107,Gordon Hayward,,,,,,,,,,,,,34:41,Devonte' Graham,33:50,Terry Rozier,31:18,Bismack Biyombo,30:19,P.J. Washington,29:09,Miles Bridges,23:07,Cody Martin,16:11,Caleb Martin,15:23,Jalen McDaniels,10:43
2,.667,3,50.000,5,1.67,104,0,5,100.0,2,.333,0.0,0.0,3.0,6,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202012270CHO.html,Home,106,20:01,0,0.0,BRK,Kevin Durant,Timothé Luwawu-Cabarrot,12:00,Taurean Prince,11:39,,,,,,,,,36:21,Kyrie Irving,36:21,Joe Harris,32:19,Caris LeVert,25:49,Jarrett Allen,25:21,DeAndre Jordan,18:58,Spencer Dinwiddie,15:11,Landry Shamet,13:18,Jeff Green,12:43,104,4,6,0.0,0.0,6.0,100.0,0.0,0.0,LaMelo Ball,2,1,2020-2021,1.0,3,5.0,CHO,106,Gordon Hayward,,,,,,,,,,,,,35:35,Devonte' Graham,35:29,P.J. Washington,34:35,Terry Rozier,30:27,Bismack Biyombo,29:38,Miles Bridges,27:42,Cody Martin,17:43,Caleb Martin,4:45,Jalen McDaniels,4:05
4,.800,5,50.000,5,2.50,118,1,4,50.0,7,.700,3.0,60.0,5.0,10,4,1.000,4,40.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202012300DAL.html,Away,99,29:25,4,50.0,DAL,Tim Hardaway Jr.,Josh Green,12:44,Willie Cauley-Stein,9:21,Wes Iwundu,3:40,Boban Marjanović,3:40,Tyrell Terry,3:40,,,27:31,Josh Richardson,26:47,Dwight Powell,24:16,Dorian Finney-Smith,24:05,Luka Dončić,24:04,Maxi Kleber,20:55,Jalen Brunson,20:16,Trey Burke,19:46,James Johnson,19:15,99,3,22,6.0,27.3,12.0,54.5,4.0,18.2,LaMelo Ball,19,1,2020-2021,2.0,2,8.0,CHO,118,Gordon Hayward,Vernon Carey Jr.,3:40,Nick Richards,1:07,,,,,,,,,30:59,Terry Rozier,30:11,Bismack Biyombo,29:53,Miles Bridges,29:43,Devonte' Graham,29:19,P.J. Washington,17:35,Jalen McDaniels,16:11,Caleb Martin,14:21,Cody Martin,7:36
2,.286,7,50.000,6,3.00,108,0,2,66.7,6,.429,4.0,57.1,7.0,14,1,.500,2,14.286,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202101010CHO.html,Home,93,26:42,1,33.3,MEM,Brandon Clarke,,,,,,,,,,,,,31:35,Kyle Anderson,29:10,Tyus Jones,28:59,Dillon Brooks,28:12,Desmond Bane,28:08,John Konchar,26:33,Jonas Valančiūnas,25:47,Gorgui Dieng,22:13,Sean McDermott,19:23,108,2,15,8.0,53.3,6.0,40.0,1.0,6.7,LaMelo Ball,15,2,2020-2021,2.0,2,3.0,CHO,93,Bismack Biyombo,Nick Richards,3:26,,,,,,,,,,,28:22,Terry Rozier,27:35,Gordon Hayward,27:01,Miles Bridges,25:47,Devonte' Graham,24:44,Caleb Martin,22:45,P.J. Washington,22:38,Jalen McDaniels,15:47,Cody Martin,15:13
1,.250,4,33.333,5,2.50,112,2,2,50.0,4,.333,3.0,37.5,8.0,12,4,.667,6,50.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202101020PHI.html,Away,127,30:41,2,50.0,PHI,Tobias Harris,,,,,,,,,,,,,36:52,Joel Embiid,36:44,Ben Simmons,36:32,Seth Curry,34:15,Danny Green,25:47,Shake Milton,25:14,Tyrese Maxey,17:55,Matisse Thybulle,15:25,Dwight Howard,11:16,127,4,13,6.0,46.2,3.0,23.1,4.0,30.8,LaMelo Ball,15,4,2020-2021,6.0,2,4.0,CHO,112,Gordon Hayward,,,,,,,,,,,,,38:30,Terry Rozier,33:54,Bismack Biyombo,30:35,Devonte' Graham,29:34,Miles Bridges,24:08,P.J. Washington,21:31,Caleb Martin,19:06,Jalen McDaniels,12:01,,
0,.000,5,31.250,9,4.50,101,0,5,71.4,5,.313,5.0,45.5,11.0,16,2,.667,3,18.750,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202101040PHI.html,Away,118,30:25,2,28.6,PHI,Ben Simmons,Vincent Poirier,5:35,Isaiah Joe,5:35,Dakota Mathias,4:00,Terrance Ferguson,3:45,Paul Reed,1:24,,,34:59,Tobias Harris,29:37,Shake Milton,26:43,Seth Curry,25:34,Joel Embiid,24:54,Danny Green,22:53,Tyrese Maxey,21:13,Dwight Howard,17:31,Matisse Thybulle,16:17,118,2,12,10.0,83.3,0.0,0.0,2.0,16.7,LaMelo Ball,17,2,2020-2021,2.0,2,7.0,CHO,101,Gordon Hayward,Nick Richards,6:02,,,,,,,,,,,32:36,Terry Rozier,29:24,P.J. Washington,26:49,Devonte' Graham,24:28,Miles Bridges,23:56,Bismack Biyombo,22:44,Caleb Martin,17:24,Jalen McDaniels,16:29,Malik Monk,9:43
1,.250,4,36.364,5,5.00,102,0,6,75.0,5,.455,4.0,57.1,7.0,11,2,1.000,2,18.182,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202101060ATL.html,Away,94,23:40,2,25.0,ATL,Trae Young,Nathan Knight,2:45,,,,,,,,,,,35:04,De'Andre Hunter,33:50,Kevin Huerter,32:57,John Collins,31:47,Cam Reddish,27:22,Clint Capela,26:23,Brandon Goodwin,20:14,Bogdan Bogdanović,18:18,Solomon Hill,11:17,94,2,13,8.0,61.5,3.0,23.1,2.0,15.4,LaMelo Ball,8,0,2020-2021,0.0,1,8.0,CHO,102,Gordon Hayward,,,,,,,,,,,,,39:07,Devonte' Graham,39:03,P.J. Washington,37:33,Terry Rozier,28:05,Bismack Biyombo,24:18,Miles Bridges,22:22,Caleb Martin,14:49,Cody Martin,11:01,,
1,.200,5,45.455,9,3.00,118,0,6,60.0,4,.364,3.0,50.0,6.0,11,3,.750,4,36.364,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202101080NOP.html,Away,110,25:34,4,40.0,NOP,Lonzo Ball,Nicolò Melli,1:36,,,,,,,,,,,36:30,Brandon Ingram,36:28,Steven Adams,34:49,Zion Williamson,33:42,Eric Bledsoe,33:13,Josh Hart,26:43,JJ Redick,19:06,Nickeil Alexander-Walker,14:36,Jaxson Hayes,3:17,110,3,12,6.0,50.0,3.0,25.0,3.0,25.0,LaMelo Ball,8,1,2020-2021,1.0,3,10.0,CHO,118,Gordon Hayward,,,,,,,,,,,,,37:51,Devonte' Graham,36:50,Terry Rozier,34:45,Miles Bridges,30:28,P.J. Washington,27:35,Bismack Biyombo,27:00,Caleb Martin,11:22,Cody Martin,8:35,,
3,.600,5,38.462,11,11.00,105,0,9,75.0,9,.692,6.0,75.0,8.0,13,1,.500,2,15.385,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202101090CHO.html,Home,113,31:10,3,25.0,ATL,Trae Young,Nathan Knight,2:07,,,,,,,,,,,37:08,De'Andre Hunter,33:41,Cam Reddish,33:37,Kevin Huerter,32:34,John Collins,30:16,Clint Capela,27:17,Solomon Hill,19:37,Brandon Goodwin,12:52,Bogdan Bogdanović,10:50,105,4,22,12.0,54.5,9.0,40.9,1.0,4.5,LaMelo Ball,8,1,2020-2021,1.0,1,12.0,CHO,113,P.J. Washington,,,,,,,,,,,,,36:29,Gordon Hayward,35:52,Terry Rozier,35:28,Devonte' Graham,32:06,Miles Bridges,25:16,Bismack Biyombo,21:10,Caleb Martin,17:17,Cody Martin,5:10,,
