3P,3P%,3PA,3PAr,AST,AST/TOV,Away_Score,BLK,DRB,DRB_Pct_of_TRB,FG,FG%,FG2,FG2%,FG2A,FGA,FT,FT%,FTA,FTr,Game_Date,Game_Result,Game_URL,Home/Away,Home_Score,MP,ORB,ORB_Pct_of_TRB,Opponent,Opponent_1,Opponent_10,Opponent_10_MP,Opponent_11,Opponent_11_MP,Opponent_12,Opponent_12_MP,Opponent_13,Opponent_13_MP,Opponent_14,Opponent_14_MP,Opponent_15,Opponent_15_MP,Opponent_1_MP,Opponent_2,Opponent_2_MP,Opponent_3,Opponent_3_MP,Opponent_4,Opponent_4_MP,Opponent_5,Opponent_5_MP,Opponent_6,Opponent_6_MP,Opponent_7,Opponent_7_MP,Opponent_8,Opponent_8_MP,Opponent_9,Opponent_9_MP,Opponent_Score,PF,PTS,PTS_2P,PTS_2P_Pct,PTS_3P,PTS_3P_Pct,PTS_FT,PTS_FT_Pct,Player,Point_Differential,STL,Season,Stocks,TOV,TRB,Team,Team_Score,Teammate_1,Teammate_10,Teammate_10_MP,Teammate_11,Teammate_11_MP,Teammate_12,Teammate_12_MP,Teammate_13,Teammate_13_MP,Teammate_14,Teammate_14_MP,Teammate_15,Teammate_15_MP,Teammate_1_MP,Teammate_2,Teammate_2_MP,Teammate_3,Teammate_3_MP,Teammate_4,Teammate_4_MP,Teammate_5,Teammate_5_MP,Teammate_6,Teammate_6_MP,Teammate_7,Teammate_7_MP,Teammate_8,Teammate_8_MP,Teammate_9,Teammate_9_MP
0,,0,0.000,0,0.00,83,1,3,75.0,0,.000,0.0,0.0,3.0,3,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201310300NYK.html,Away,90,12:21,1,25.0,NYK,Carmelo Anthony,Kenyon Martin,4:58,,,,,,,,,,,37:39,Pablo Prigioni,37:27,Raymond Felton,34:18,Iman Shumpert,33:07,Tyson Chandler,31:47,Metta World Peace,17:57,Andrea Bargnani,17:09,Tim Hardaway Jr.,15:05,Beno Udrih,10:33,90,5,0,0.0,,0.0,,0.0,,Larry Sanders,7,0,2013-2014,1.0,2,4.0,MIL,83,O.J. Mayo,Brandon Knight,1:45,,,,,,,,,,,35:57,Zaza Pachulia,33:53,Caron Butler,33:26,Gary Neal,31:49,Nate Wolters,29:41,Ersan İlyasova,19:43,Khris Middleton,19:15,John Henson,17:27,Giannis Antetokounmpo,4:43
0,,0,0.000,1,1.00,105,4,2,66.7,2,.400,2.0,40.0,5.0,5,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201311010BOS.html,Away,98,18:24,1,33.3,BOS,Jeff Green,,,,,,,,,,,,,38:10,Vítor Luiz Faverani,37:07,Gerald Wallace,36:01,Brandon Bass,34:40,Avery Bradley,32:35,Courtney Lee,25:42,Kelly Olynyk,13:50,Jordan Crawford,11:32,Jared Sullinger,10:23,98,2,4,4.0,100.0,0.0,0.0,0.0,0.0,Larry Sanders,7,0,2013-2014,4.0,1,3.0,MIL,105,Zaza Pachulia,,,,,,,,,,,,,29:36,Nate Wolters,29:17,Caron Butler,27:00,Khris Middleton,26:59,Gary Neal,25:31,John Henson,25:05,Ersan İlyasova,22:55,O.J. Mayo,22:46,Giannis Antetokounmpo,12:27
0,,0,0.000,1,,97,1,3,75.0,2,.250,2.0,25.0,8.0,8,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201311020MIL.html,Home,90,21:37,1,25.0,TOR,Rudy Gay,Aaron Gray,6:03,,,,,,,,,,,35:21,DeMar DeRozan,34:56,Kyle Lowry,34:08,Amir Johnson,32:36,Landry Fields,28:25,Terrence Ross,22:19,Jonas Valančiūnas,16:16,Tyler Hansbrough,16:04,D.J. Augustin,13:52,97,2,4,4.0,100.0,0.0,0.0,0.0,0.0,Larry Sanders,7,0,2013-2014,1.0,0,4.0,MIL,90,Nate Wolters,,,,,,,,,,,,,36:28,O.J. Mayo,32:35,Gary Neal,25:56,Caron Butler,25:04,John Henson,24:30,Ersan İlyasova,23:30,Khris Middleton,19:00,Giannis Antetokounmpo,16:57,Zaza Pachulia,14:23
0,,0,0.000,1,1.00,93,2,5,71.4,4,.800,4.0,80.0,5.0,5,2,.333,6,120.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201312270BRK.html,Away,104,22:11,2,28.6,BRK,Joe Johnson,Mason Plumlee,9:01,Tyshawn Taylor,1:03,Tornike Shengelia,0:34,,,,,,,36:23,Mirza Teletović,31:22,Shaun Livingston,30:15,Deron Williams,29:28,Paul Pierce,28:39,Reggie Evans,20:24,Jason Terry,19:07,Kevin Garnett,17:37,Alan Anderson,16:07,104,6,10,8.0,80.0,0.0,0.0,2.0,20.0,Larry Sanders,11,1,2013-2014,3.0,1,7.0,MIL,93,Giannis Antetokounmpo,Miroslav Raduljica,6:01,,,,,,,,,,,33:45,Khris Middleton,33:15,Brandon Knight,28:16,O.J. Mayo,26:55,Ersan İlyasova,22:06,John Henson,19:48,Luke Ridnour,19:44,Caron Butler,16:30,Nate Wolters,11:29
0,,0,0.000,0,0.00,117,0,7,70.0,4,.571,4.0,57.1,7.0,7,1,.250,4,57.143,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201312280MIL.html,Home,95,33:31,3,30.0,MIN,Kevin Love,Robbie Hummel,5:18,Gorgui Dieng,1:37,Shabazz Muhammad,1:37,A.J. Price,1:37,,,,,34:44,Corey Brewer,33:06,Nikola Peković,32:47,Kevin Martin,28:43,Ricky Rubio,27:19,Alexey Shved,19:55,J.J. Barea,19:04,Dante Cunningham,18:47,Luc Mbah a Moute,15:26,117,3,9,8.0,88.9,0.0,0.0,1.0,11.1,Larry Sanders,22,2,2013-2014,2.0,3,10.0,MIL,95,Khris Middleton,,,,,,,,,,,,,40:55,Brandon Knight,33:38,Giannis Antetokounmpo,31:10,Caron Butler,24:17,O.J. Mayo,23:55,Ersan İlyasova,20:32,Nate Wolters,14:22,Miroslav Raduljica,13:32,Ekpe Udoh,4:08
0,,0,0.000,5,,94,4,7,63.6,3,.375,3.0,37.5,8.0,8,1,.250,4,50.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201312310LAL.html,Away,79,34:32,4,36.4,LAL,Jodie Meeks,,,,,,,,,,,,,42:22,Nick Young,41:33,Shawne Williams,36:24,Pau Gasol,36:08,Kendall Marshall,27:53,Jordan Farmar,20:07,Ryan Kelly,19:05,Jordan Hill,11:33,Robert Sacre,4:55,79,4,7,6.0,85.7,0.0,0.0,1.0,14.3,Larry Sanders,15,2,2013-2014,6.0,0,11.0,MIL,94,Brandon Knight,,,,,,,,,,,,,38:48,Giannis Antetokounmpo,37:30,Luke Ridnour,34:55,Ersan İlyasova,33:14,Khris Middleton,17:26,Gary Neal,13:45,Miroslav Raduljica,12:56,O.J. Mayo,8:32,Caron Butler,8:22
0,,0,0.000,2,2.00,87,2,8,100.0,7,1.000,7.0,100.0,7.0,7,2,1.000,2,28.571,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201401020UTA.html,Away,96,34:37,0,0.0,UTA,Gordon Hayward,,,,,,,,,,,,,40:05,Alec Burks,30:41,Derrick Favors,28:43,Marvin Williams,28:43,Trey Burke,28:13,Richard Jefferson,25:14,Diante Garrett,19:47,Enes Freedom,19:17,Jeremy Evans,19:17,96,3,16,14.0,87.5,0.0,0.0,2.0,12.5,Larry Sanders,9,2,2013-2014,4.0,1,8.0,MIL,87,Luke Ridnour,,,,,,,,,,,,,37:03,Giannis Antetokounmpo,33:39,Brandon Knight,32:02,Khris Middleton,19:47,O.J. Mayo,18:10,Ersan İlyasova,17:59,Caron Butler,16:46,Gary Neal,16:34,Miroslav Raduljica,13:23
0,,0,0.000,0,0.00,100,1,2,100.0,3,.600,3.0,60.0,5.0,5,1,.500,2,40.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201401040PHO.html,Away,116,26:28,0,0.0,PHO,Gerald Green,Dionte Christmas,3:11,Viacheslav Kravtsov,3:11,,,,,,,,,33:03,Channing Frye,32:46,Marcus Morris,30:03,Goran Dragić,28:40,P.J. Tucker,27:43,Markieff Morris,26:17,Miles Plumlee,20:49,Ish Smith,19:20,Archie Goodwin,14:57,116,4,7,6.0,85.7,0.0,0.0,1.0,14.3,Larry Sanders,16,0,2013-2014,1.0,3,2.0,MIL,100,Brandon Knight,Miroslav Raduljica,3:11,Nate Wolters,3:11,,,,,,,,,35:33,O.J. Mayo,30:35,Caron Butler,27:05,Khris Middleton,22:25,Ersan İlyasova,20:55,Luke Ridnour,20:55,Ekpe Udoh,18:21,Gary Neal,17:47,Giannis Antetokounmpo,13:34
0,,0,0.000,2,2.00,101,0,3,50.0,2,.200,2.0,20.0,10.0,10,1,.500,2,20.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201401070MIL.html,Home,80,29:51,3,50.0,GSW,Stephen Curry,Toney Douglas,11:46,Ognjen Kuzmić,2:18,,,,,,,,,36:14,David Lee,35:11,Andre Iguodala,29:04,Klay Thompson,26:20,Harrison Barnes,26:19,Andrew Bogut,24:22,Draymond Green,19:45,Marreese Speights,14:34,Kent Bazemore,14:07,101,3,5,4.0,80.0,0.0,0.0,1.0,20.0,Larry Sanders,21,0,2013-2014,0.0,1,6.0,MIL,80,Brandon Knight,Nate Wolters,2:18,,,,,,,,,,,35:54,Ersan İlyasova,30:57,Khris Middleton,30:40,Luke Ridnour,25:38,O.J. Mayo,25:02,Giannis Antetokounmpo,24:28,Caron Butler,17:03,Ekpe Udoh,15:51,Miroslav Raduljica,2:18
0,,0,0.000,0,0.00,81,2,6,66.7,0,.000,0.0,0.0,2.0,2,1,.500,2,100.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201401100MIL.html,Home,72,22:55,3,33.3,CHI,Jimmy Butler,,,,,,,,,,,,,40:17,Joakim Noah,35:01,Mike Dunleavy,34:42,Kirk Hinrich,33:16,Carlos Boozer,30:35,Taj Gibson,23:52,D.J. Augustin,23:35,Tony Snell,12:20,Nazr Mohammed,6:22,81,6,1,0.0,0.0,0.0,0.0,1.0,100.0,Larry Sanders,9,0,2013-2014,2.0,1,9.0,MIL,72,Luke Ridnour,,,,,,,,,,,,,40:20,Brandon Knight,30:31,Ersan İlyasova,29:54,Khris Middleton,29:20,O.J. Mayo,27:07,Miroslav Raduljica,20:37,Ekpe Udoh,19:27,Giannis Antetokounmpo,11:42,Caron Butler,8:07
