3P,3P%,3PA,3PAr,AST,AST/TOV,Away_Score,BLK,DRB,DRB_Pct_of_TRB,FG,FG%,FG2,FG2%,FG2A,FGA,FT,FT%,FTA,FTr,Game_Date,Game_Result,Game_URL,Home/Away,Home_Score,MP,ORB,ORB_Pct_of_TRB,Opponent,Opponent_1,Opponent_10,Opponent_10_MP,Opponent_11,Opponent_11_MP,Opponent_12,Opponent_12_MP,Opponent_13,Opponent_13_MP,Opponent_14,Opponent_14_MP,Opponent_15,Opponent_15_MP,Opponent_1_MP,Opponent_2,Opponent_2_MP,Opponent_3,Opponent_3_MP,Opponent_4,Opponent_4_MP,Opponent_5,Opponent_5_MP,Opponent_6,Opponent_6_MP,Opponent_7,Opponent_7_MP,Opponent_8,Opponent_8_MP,Opponent_9,Opponent_9_MP,Opponent_Score,PF,PTS,PTS_2P,PTS_2P_Pct,PTS_3P,PTS_3P_Pct,PTS_FT,PTS_FT_Pct,Player,Point_Differential,STL,Season,Stocks,TOV,TRB,Team,Team_Score,Teammate_1,Teammate_10,Teammate_10_MP,Teammate_11,Teammate_11_MP,Teammate_12,Teammate_12_MP,Teammate_13,Teammate_13_MP,Teammate_14,Teammate_14_MP,Teammate_15,Teammate_15_MP,Teammate_1_MP,Teammate_2,Teammate_2_MP,Teammate_3,Teammate_3_MP,Teammate_4,Teammate_4_MP,Teammate_5,Teammate_5_MP,Teammate_6,Teammate_6_MP,Teammate_7,Teammate_7_MP,Teammate_8,Teammate_8_MP,Teammate_9,Teammate_9_MP
0,,0,0.000,0,0.00,106,0,0,,0,.000,0.0,0.0,1.0,1,2,1.000,2,200.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202110200MIN.html,Home,124,4:40,0,,HOU,Jalen Green,KJ Martin,9:09,Armoni Brooks,8:22,Josh Christopher,8:22,Usman Garuba,8:22,,,,,32:11,Christian Wood,32:02,Kevin Porter Jr.,24:45,Eric Gordon,22:47,Jae'Sean Tate,21:10,Daniel Theis,20:34,Alperen Sengun,18:34,David Nwaba,17:02,D.J. Augustin,16:40,106,0,2,0.0,0.0,0.0,0.0,2.0,100.0,Leandro Bolmaro,18,0,2021-2022,0.0,1,0.0,MIN,124,Anthony Edwards,Jarred Vanderbilt,15:07,Jaylen Nowell,5:33,Jake Layman,4:40,McKinley Wright IV,4:08,,,,,31:11,Karl-Anthony Towns,29:23,Jaden McDaniels,25:31,D'Angelo Russell,24:41,Josh Okogie,21:11,Malik Beasley,20:31,Jordan McLaughlin,18:39,Naz Reid,18:37,Taurean Prince,16:08
0,,0,,0,,115,0,0,0.0,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202111010MIN.html,Home,97,1:10,1,100.0,ORL,Cole Anthony,,,,,,,,,,,,,38:18,Wendell Carter Jr.,35:36,Mo Bamba,33:54,Jalen Suggs,32:26,Franz Wagner,30:36,Terrence Ross,28:08,Chuma Okeke,20:37,R.J. Hampton,14:32,Moritz Wagner,5:52,115,0,0,0.0,,0.0,,0.0,,Leandro Bolmaro,18,0,2021-2022,0.0,0,1.0,MIN,97,Karl-Anthony Towns,Josh Okogie,12:20,Nathan Knight,1:10,,,,,,,,,37:24,Anthony Edwards,36:43,Malik Beasley,32:26,Jarred Vanderbilt,29:23,Taurean Prince,21:16,Jordan McLaughlin,20:14,Jaden McDaniels,17:19,D'Angelo Russell,16:55,Naz Reid,13:39
0,.000,2,100.000,0,0.00,104,0,1,100.0,0,.000,0.0,,0.0,2,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202111050MIN.html,Home,84,3:17,0,0.0,LAC,Paul George,Amir Coffey,3:17,Justise Winslow,3:17,,,,,,,,,37:50,Reggie Jackson,36:54,Ivica Zubac,30:54,Terance Mann,30:08,Eric Bledsoe,29:14,Nicolas Batum,29:06,Luke Kennard,20:57,Isaiah Hartenstein,15:06,Brandon Boston Jr.,3:17,104,0,0,0.0,,0.0,,0.0,,Leandro Bolmaro,20,0,2021-2022,0.0,1,1.0,MIN,84,Malik Beasley,Jaylen Nowell,9:16,Nathan Knight,3:17,Jake Layman,3:17,,,,,,,35:54,Karl-Anthony Towns,31:49,Anthony Edwards,31:38,Patrick Beverley,27:21,Taurean Prince,24:10,Jarred Vanderbilt,22:19,Jordan McLaughlin,18:35,Naz Reid,16:11,Jaden McDaniels,12:56
0,,0,,0,,107,0,1,100.0,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202111120LAL.html,Away,83,1:51,0,0.0,LAL,Anthony Davis,Sekou Doumbouya,8:20,,,,,,,,,,,30:58,Russell Westbrook,30:53,Malik Monk,28:53,Wayne Ellington,27:51,Avery Bradley,26:47,Rajon Rondo,24:20,Carmelo Anthony,23:30,Dwight Howard,22:56,Kent Bazemore,15:32,83,0,0,0.0,,0.0,,0.0,,Leandro Bolmaro,24,0,2021-2022,0.0,0,1.0,MIN,107,D'Angelo Russell,Taurean Prince,6:04,Jordan McLaughlin,5:52,Jaylen Nowell,3:32,Jake Layman,3:32,Nathan Knight,1:51,,,33:58,Anthony Edwards,32:00,Karl-Anthony Towns,30:22,Malik Beasley,24:43,Patrick Beverley,23:42,Jaden McDaniels,21:11,Naz Reid,18:58,Jarred Vanderbilt,18:01,Josh Okogie,14:23
0,.000,1,50.000,0,0.00,102,0,1,100.0,1,.500,1.0,100.0,1.0,2,1,1.000,1,50.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202111130LAC.html,Away,129,5:23,0,0.0,LAC,Terance Mann,Jay Scrubb,9:07,Amir Coffey,7:38,,,,,,,,,30:17,Reggie Jackson,27:12,Paul George,26:52,Luke Kennard,25:39,Eric Bledsoe,25:31,Isaiah Hartenstein,25:18,Ivica Zubac,22:42,Justise Winslow,20:51,Nicolas Batum,18:52,129,0,3,2.0,66.7,0.0,0.0,1.0,33.3,Leandro Bolmaro,27,0,2021-2022,0.0,1,1.0,MIN,102,Anthony Edwards,Taurean Prince,7:15,Jaylen Nowell,5:23,Jake Layman,5:23,,,,,,,34:00,Jaden McDaniels,32:23,Karl-Anthony Towns,31:28,D'Angelo Russell,30:01,Malik Beasley,23:38,Patrick Beverley,23:13,Jarred Vanderbilt,14:21,Naz Reid,14:15,Josh Okogie,13:17
1,1.000,1,50.000,0,0.00,95,0,4,100.0,2,1.000,1.0,100.0,1.0,2,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202111200MIN.html,Home,138,6:52,0,0.0,MEM,Ja Morant,Brandon Clarke,17:49,Santi Aldama,12:00,Jarrett Culver,7:52,Killian Tillie,6:52,,,,,26:35,Jaren Jackson Jr.,25:51,Desmond Bane,25:27,John Konchar,21:25,Ziaire Williams,20:57,Kyle Anderson,20:11,Xavier Tillman Sr.,19:18,Tyus Jones,17:52,Steven Adams,17:51,95,0,5,2.0,40.0,3.0,60.0,0.0,0.0,Leandro Bolmaro,43,0,2021-2022,0.0,1,4.0,MIN,138,D'Angelo Russell,Jordan McLaughlin,15:13,Nathan Knight,8:55,Jaylen Nowell,7:52,Jake Layman,7:52,,,,,27:05,Anthony Edwards,26:02,Jarred Vanderbilt,24:52,Karl-Anthony Towns,23:40,Patrick Beverley,22:04,Malik Beasley,21:18,Jaden McDaniels,16:45,Taurean Prince,16:05,Naz Reid,15:25
0,,0,0.000,1,1.00,110,0,0,0.0,0,.000,0.0,0.0,1.0,1,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202111220NOP.html,Away,96,2:45,1,100.0,NOP,Brandon Ingram,Naji Marshall,6:04,Trey Murphy III,3:51,Jose Alvarado,3:04,,,,,,,36:33,Josh Hart,32:15,Kira Lewis Jr.,32:03,Herbert Jones,30:40,Nickeil Alexander-Walker,27:09,Willy Hernangómez,22:21,Jonas Valančiūnas,18:52,Garrett Temple,14:15,Tomáš Satoranský,12:53,96,1,0,0.0,,0.0,,0.0,,Leandro Bolmaro,14,0,2021-2022,0.0,1,1.0,MIN,110,Karl-Anthony Towns,Nathan Knight,2:45,Jake Layman,2:45,Jordan McLaughlin,2:45,Jaylen Nowell,2:45,,,,,34:49,Anthony Edwards,33:07,D'Angelo Russell,30:56,Jaden McDaniels,30:05,Patrick Beverley,25:37,Jarred Vanderbilt,25:07,Malik Beasley,22:27,Taurean Prince,13:41,Naz Reid,10:26
0,.000,1,33.333,2,,115,0,0,0.0,1,.333,1.0,50.0,2.0,3,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202111260CHO.html,Away,133,3:55,2,100.0,CHO,LaMelo Ball,Ish Smith,5:37,James Bouknight,3:55,Kai Jones,3:05,,,,,,,29:07,Terry Rozier,28:51,Cody Martin,27:31,Gordon Hayward,27:14,Kelly Oubre Jr.,26:53,Miles Bridges,25:53,P.J. Washington,24:15,Jalen McDaniels,23:06,Nick Richards,14:30,133,2,2,2.0,100.0,0.0,0.0,0.0,0.0,Leandro Bolmaro,18,0,2021-2022,0.0,0,2.0,MIN,115,Karl-Anthony Towns,Josh Okogie,12:28,Jaylen Nowell,6:53,Jake Layman,6:53,Nathan Knight,1:54,,,,,30:57,D'Angelo Russell,28:28,Anthony Edwards,27:31,Malik Beasley,27:03,Jarred Vanderbilt,24:04,Jaden McDaniels,21:32,Taurean Prince,19:31,Jordan McLaughlin,15:07,Naz Reid,13:39
0,,0,0.000,1,1.00,121,0,2,66.7,1,.500,1.0,50.0,2.0,2,1,.500,2,100.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202111270PHI.html,Away,120,17:00,1,33.3,PHI,Seth Curry,Isaiah Joe,6:17,,,,,,,,,,,46:15,Joel Embiid,45:26,Tobias Harris,45:15,Tyrese Maxey,43:30,Matisse Thybulle,29:22,Georges Niang,22:29,Danny Green,21:59,Furkan Korkmaz,16:51,Andre Drummond,12:36,120,1,3,2.0,66.7,0.0,0.0,1.0,33.3,Leandro Bolmaro,1,0,2021-2022,0.0,1,3.0,MIN,121,Anthony Edwards,,,,,,,,,,,,,47:40,D'Angelo Russell,43:51,Karl-Anthony Towns,37:24,Jarred Vanderbilt,36:30,Jaden McDaniels,31:42,Taurean Prince,31:16,Malik Beasley,24:01,Naz Reid,20:36,,
0,.000,1,100.000,0,0.00,98,0,4,80.0,0,.000,0.0,,0.0,1,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202111290MIN.html,Home,100,14:58,1,20.0,IND,Malcolm Brogdon,Isaiah Jackson,4:53,,,,,,,,,,,40:13,Justin Holiday,38:33,Domantas Sabonis,36:01,T.J. McConnell,34:26,Caris LeVert,34:14,Chris Duarte,21:26,Kelan Martin,17:45,Torrey Craig,6:44,Goga Bitadze,5:45,98,1,0,0.0,,0.0,,0.0,,Leandro Bolmaro,2,1,2021-2022,1.0,1,5.0,MIN,100,Anthony Edwards,,,,,,,,,,,,,39:22,D'Angelo Russell,38:41,Josh Okogie,33:24,Karl-Anthony Towns,32:19,Malik Beasley,28:42,Naz Reid,22:52,Taurean Prince,22:51,Jaylen Nowell,6:51,,
