3P,3P%,3PA,3PAr,AST,AST/TOV,Away_Score,BLK,DRB,DRB_Pct_of_TRB,FG,FG%,FG2,FG2%,FG2A,FGA,FT,FT%,FTA,FTr,Game_Date,Game_Result,Game_URL,Home/Away,Home_Score,MP,ORB,ORB_Pct_of_TRB,Opponent,Opponent_1,Opponent_10,Opponent_10_MP,Opponent_11,Opponent_11_MP,Opponent_12,Opponent_12_MP,Opponent_13,Opponent_13_MP,Opponent_14,Opponent_14_MP,Opponent_15,Opponent_15_MP,Opponent_1_MP,Opponent_2,Opponent_2_MP,Opponent_3,Opponent_3_MP,Opponent_4,Opponent_4_MP,Opponent_5,Opponent_5_MP,Opponent_6,Opponent_6_MP,Opponent_7,Opponent_7_MP,Opponent_8,Opponent_8_MP,Opponent_9,Opponent_9_MP,Opponent_Score,PF,PTS,PTS_2P,PTS_2P_Pct,PTS_3P,PTS_3P_Pct,PTS_FT,PTS_FT_Pct,Player,Point_Differential,STL,Season,Stocks,TOV,TRB,Team,Team_Score,Teammate_1,Teammate_10,Teammate_10_MP,Teammate_11,Teammate_11_MP,Teammate_12,Teammate_12_MP,Teammate_13,Teammate_13_MP,Teammate_14,Teammate_14_MP,Teammate_15,Teammate_15_MP,Teammate_1_MP,Teammate_2,Teammate_2_MP,Teammate_3,Teammate_3_MP,Teammate_4,Teammate_4_MP,Teammate_5,Teammate_5_MP,Teammate_6,Teammate_6_MP,Teammate_7,Teammate_7_MP,Teammate_8,Teammate_8_MP,Teammate_9,Teammate_9_MP
0,,0,0.000,0,,114,0,0,,0,.000,0.0,0.0,1.0,1,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201712120CLE.html,Home,123,2:34,0,,ATL,Taurean Prince,Miles Plumlee,14:33,Malcolm Delaney,5:17,Tyler Dorsey,2:40,,,,,,,29:54,Tyler Cavanaugh,28:31,Kent Bazemore,27:48,Dennis Schröder,27:17,Ersan İlyasova,22:35,Luke Babbitt,21:34,DeAndre' Bembry,21:31,Marco Belinelli,20:14,Isaiah Taylor,18:06,114,1,0,0.0,,0.0,,0.0,,London Perrantes,9,0,2017-2018,0.0,0,0.0,CLE,123,LeBron James,Tristan Thompson,5:49,Ante Žižić,2:34,,,,,,,,,35:01,José Calderón,31:37,Kevin Love,28:27,Jae Crowder,26:43,J.R. Smith,25:48,Jeff Green,25:39,Kyle Korver,23:02,Cedi Osman,17:37,Channing Frye,15:09
0,,0,,1,,123,0,0,,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201802090ATL.html,Away,107,1:10,0,,ATL,Dennis Schröder,Mike Muscala,13:07,Miles Plumlee,12:49,,,,,,,,,26:29,Kent Bazemore,26:24,Ersan İlyasova,26:20,Taurean Prince,24:59,Tyler Dorsey,23:24,Dewayne Dedmon,23:21,Malcolm Delaney,21:51,Isaiah Taylor,20:53,John Collins,20:23,107,0,0,0.0,,0.0,,0.0,,London Perrantes,16,0,2017-2018,0.0,0,0.0,CLE,123,LeBron James,,,,,,,,,,,,,40:43,Cedi Osman,38:30,Kyle Korver,32:20,Jeff Green,32:03,Tristan Thompson,30:45,J.R. Smith,28:54,José Calderón,20:29,John Holland,13:56,Ante Žižić,1:10
0,.000,1,100.000,0,,108,0,0,,0,.000,0.0,,0.0,1,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201803010CLE.html,Home,97,0:12,0,,PHI,Robert Covington,,,,,,,,,,,,,40:47,Joel Embiid,34:03,Ben Simmons,31:49,Dario Šarić,29:37,JJ Redick,29:07,Marco Belinelli,23:22,T.J. McConnell,19:19,Ersan İlyasova,18:11,Amir Johnson,13:45,108,0,0,0.0,,0.0,,0.0,,London Perrantes,11,0,2017-2018,0.0,0,0.0,CLE,97,LeBron James,,,,,,,,,,,,,39:02,Rodney Hood,38:50,Kyle Korver,27:56,Larry Nance Jr.,26:17,Jordan Clarkson,26:05,George Hill,22:29,Jeff Green,22:00,Tristan Thompson,21:43,Cedi Osman,15:26
0,,0,,0,,126,0,0,,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201803030CLE.html,Home,117,0:21,0,,DEN,Gary Harris,Malik Beasley,5:16,,,,,,,,,,,36:45,Will Barton,33:24,Nikola Jokić,32:13,Jamal Murray,31:01,Wilson Chandler,27:17,Paul Millsap,26:13,Devin Harris,16:39,Mason Plumlee,15:47,Richard Jefferson,15:25,126,0,0,0.0,,0.0,,0.0,,London Perrantes,9,0,2017-2018,0.0,0,0.0,CLE,117,LeBron James,John Holland,0:21,,,,,,,,,,,42:23,J.R. Smith,34:36,George Hill,33:39,Tristan Thompson,27:58,Rodney Hood,26:19,Cedi Osman,23:39,Jordan Clarkson,23:26,Larry Nance Jr.,20:02,Kyle Korver,7:16
0,,0,,1,,90,0,0,,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201803050CLE.html,Home,112,1:53,0,,DET,Ish Smith,Langston Galloway,10:19,Henry Ellenson,5:13,Luke Kennard,4:42,,,,,,,30:04,Andre Drummond,29:47,Blake Griffin,29:00,Reggie Bullock,29:00,James Ennis III,28:27,Stanley Johnson,28:19,Anthony Tolliver,19:17,Dwight Buycks,13:09,Eric Moreland,12:43,90,0,0,0.0,,0.0,,0.0,,London Perrantes,22,0,2017-2018,0.0,0,0.0,CLE,112,Larry Nance Jr.,José Calderón,15:33,John Holland,4:42,,,,,,,,,31:54,Rodney Hood,30:04,LeBron James,28:44,George Hill,23:25,Kyle Korver,23:20,Cedi Osman,22:44,J.R. Smith,21:42,Jordan Clarkson,19:53,Ante Žižić,16:06
0,,0,,0,,102,0,0,,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201803090LAC.html,Away,116,1:46,0,,LAC,Lou Williams,,,,,,,,,,,,,41:08,Austin Rivers,37:48,Sindarius Thornwell,37:15,DeAndre Jordan,33:35,Tobias Harris,32:44,Montrezl Harrell,20:05,Miloš Teodosić,18:27,Boban Marjanović,9:36,Jawun Evans,9:22,116,0,0,0.0,,0.0,,0.0,,London Perrantes,14,0,2017-2018,0.0,0,0.0,CLE,102,LeBron James,Rodney Hood,6:46,José Calderón,1:48,John Holland,1:46,,,,,,,38:53,J.R. Smith,34:32,George Hill,32:29,Larry Nance Jr.,29:50,Jordan Clarkson,25:22,Jeff Green,24:30,Kyle Korver,23:39,Cedi Osman,10:50,Ante Žižić,7:49
0,,0,,1,,113,0,0,,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201803110LAL.html,Away,127,6:24,0,,LAL,Kyle Kuzma,Derrick Williams,0:25,,,,,,,,,,,38:48,Julius Randle,37:59,Kentavious Caldwell-Pope,37:40,Brook Lopez,32:46,Lonzo Ball,31:31,Isaiah Thomas,30:44,Alex Caruso,12:18,Travis Wear,12:08,Ivica Zubac,5:41,127,0,0,0.0,,0.0,,0.0,,London Perrantes,14,0,2017-2018,0.0,0,0.0,CLE,113,LeBron James,Jordan Clarkson,16:23,,,,,,,,,,,31:27,Kyle Korver,28:29,George Hill,27:08,Larry Nance Jr.,26:06,J.R. Smith,22:50,Jeff Green,22:02,José Calderón,20:39,Ante Žižić,19:47,John Holland,18:45
0,,0,0.000,0,,129,0,1,100.0,1,1.000,1.0,100.0,1.0,1,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201803130PHO.html,Away,107,6:13,0,0.0,PHO,Josh Jackson,Shaquille Harrison,11:04,Davon Reed,6:13,Alex Len,4:45,,,,,,,34:50,Devin Booker,33:59,T.J. Warren,32:30,Dragan Bender,23:34,Elfrid Payton,23:21,Jared Dudley,20:13,Troy Daniels,17:22,Marquese Chriss,17:19,Tyler Ulis,14:50,107,1,2,2.0,100.0,0.0,0.0,0.0,0.0,London Perrantes,22,0,2017-2018,0.0,0,1.0,CLE,129,LeBron James,Larry Nance Jr.,14:28,,,,,,,,,,,33:13,John Holland,28:04,Jeff Green,27:29,George Hill,26:51,Jordan Clarkson,26:46,Kyle Korver,23:15,J.R. Smith,22:04,José Calderón,17:05,Ante Žižić,14:32
0,,0,,2,2.00,114,0,0,,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201803170CHI.html,Away,109,4:12,0,,CHI,Denzel Valentine,,,,,,,,,,,,,38:34,Bobby Portis,34:53,Cameron Payne,31:48,Cristiano Felício,30:13,Antonio Blakeney,27:22,Paul Zipser,23:55,David Nwaba,19:52,Justin Holiday,17:12,Jerian Grant,16:11,109,1,0,0.0,,0.0,,0.0,,London Perrantes,5,0,2017-2018,0.0,1,0.0,CLE,114,Jeff Green,,,,,,,,,,,,,42:46,LeBron James,39:53,José Calderón,36:10,George Hill,32:52,Jordan Clarkson,31:31,J.R. Smith,21:48,Ante Žižić,20:12,John Holland,10:36,,
0,,0,0.000,0,,95,0,1,100.0,0,.000,0.0,0.0,1.0,1,1,.333,3,300.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201803230CLE.html,Home,120,3:10,0,0.0,PHO,Marquese Chriss,Shaquille Harrison,7:49,,,,,,,,,,,35:19,Troy Daniels,33:28,Tyler Ulis,30:19,Dragan Bender,28:16,Josh Jackson,27:44,Alex Len,25:06,Elfrid Payton,22:01,Jared Dudley,19:37,Davon Reed,10:21,95,1,1,0.0,0.0,0.0,0.0,1.0,100.0,London Perrantes,25,0,2017-2018,0.0,0,1.0,CLE,120,Kevin Love,Jeff Green,11:37,Ante Žižić,5:25,John Holland,3:10,,,,,,,29:58,LeBron James,29:16,J.R. Smith,27:19,George Hill,26:14,Jordan Clarkson,25:53,Larry Nance Jr.,22:25,Rodney Hood,20:29,José Calderón,18:59,Tristan Thompson,16:05
