3P,3P%,3PA,3PAr,AST,AST/TOV,Away_Score,BLK,DRB,DRB_Pct_of_TRB,FG,FG%,FG2,FG2%,FG2A,FGA,FT,FT%,FTA,FTr,Game_Date,Game_Result,Game_URL,Home/Away,Home_Score,MP,ORB,ORB_Pct_of_TRB,Opponent,Opponent_1,Opponent_10,Opponent_10_MP,Opponent_11,Opponent_11_MP,Opponent_12,Opponent_12_MP,Opponent_13,Opponent_13_MP,Opponent_14,Opponent_14_MP,Opponent_15,Opponent_15_MP,Opponent_1_MP,Opponent_2,Opponent_2_MP,Opponent_3,Opponent_3_MP,Opponent_4,Opponent_4_MP,Opponent_5,Opponent_5_MP,Opponent_6,Opponent_6_MP,Opponent_7,Opponent_7_MP,Opponent_8,Opponent_8_MP,Opponent_9,Opponent_9_MP,Opponent_Score,PF,PTS,PTS_2P,PTS_2P_Pct,PTS_3P,PTS_3P_Pct,PTS_FT,PTS_FT_Pct,Player,Point_Differential,STL,Season,Stocks,TOV,TRB,Team,Team_Score,Teammate_1,Teammate_10,Teammate_10_MP,Teammate_11,Teammate_11_MP,Teammate_12,Teammate_12_MP,Teammate_13,Teammate_13_MP,Teammate_14,Teammate_14_MP,Teammate_15,Teammate_15_MP,Teammate_1_MP,Teammate_2,Teammate_2_MP,Teammate_3,Teammate_3_MP,Teammate_4,Teammate_4_MP,Teammate_5,Teammate_5_MP,Teammate_6,Teammate_6_MP,Teammate_7,Teammate_7_MP,Teammate_8,Teammate_8_MP,Teammate_9,Teammate_9_MP
0,.000,1,33.333,0,,102,0,1,100.0,1,.333,1.0,50.0,2.0,3,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201912260DET.html,Home,132,3:43,0,0.0,WAS,Johnathan Williams,Justin Robinson,9:24,Garrison Mathews,8:24,Isaac Bonga,7:20,,,,,,,32:37,Gary Payton II,30:51,Troy Brown Jr.,27:35,Bradley Beal,23:54,Anžejs Pasečņiks,23:41,Ish Smith,22:51,Admiral Schofield,19:16,Ian Mahinmi,19:05,Jordan McRae,15:02,102,0,2,2.0,100.0,0.0,0.0,0.0,0.0,Louis King,30,1,2019-2020,1.0,0,1.0,DET,132,Bruce Brown,Thon Maker,13:03,Markieff Morris,8:38,,,,,,,,,27:22,Tim Frazier,26:55,Blake Griffin,26:19,Svi Mykhailiuk,24:33,Andre Drummond,24:30,Christian Wood,23:30,Tony Snell,22:36,Derrick Rose,21:05,Langston Galloway,17:46
1,.500,2,66.667,1,1.00,109,0,0,0.0,2,.667,1.0,100.0,1.0,3,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201912280SAS.html,Away,136,3:07,1,100.0,SAS,DeMar DeRozan,Patty Mills,15:11,Drew Eubanks,3:07,Marco Belinelli,3:07,,,,,,,31:45,LaMarcus Aldridge,29:57,Bryn Forbes,29:42,Dejounte Murray,27:56,Jakob Poeltl,22:50,Rudy Gay,20:04,Derrick White,20:04,Trey Lyles,20:02,Lonnie Walker IV,16:15,136,0,5,2.0,40.0,3.0,60.0,0.0,0.0,Louis King,27,0,2019-2020,0.0,1,1.0,DET,109,Andre Drummond,Thon Maker,5:21,,,,,,,,,,,37:26,Bruce Brown,32:38,Blake Griffin,28:53,Derrick Rose,27:19,Langston Galloway,27:00,Christian Wood,22:44,Tim Frazier,22:17,Tony Snell,19:29,Svi Mykhailiuk,13:46
0,,0,0.000,0,,81,0,0,,0,.000,0.0,0.0,1.0,1,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201912300UTA.html,Away,104,2:29,0,,UTA,Bojan Bogdanović,Juwan Morgan,6:52,Rayjon Tucker,2:29,Nigel Williams-Goss,2:28,,,,,,,34:48,Rudy Gobert,34:48,Donovan Mitchell,31:36,Joe Ingles,29:41,Jordan Clarkson,26:49,Royce O'Neale,24:34,Emmanuel Mudiay,19:12,Georges Niang,13:31,Tony Bradley,13:12,104,1,0,0.0,,0.0,,0.0,,Louis King,23,0,2019-2020,0.0,0,0.0,DET,81,Bruce Brown,Sekou Doumbouya,1:59,,,,,,,,,,,36:41,Andre Drummond,36:30,Svi Mykhailiuk,31:41,Christian Wood,28:15,Tony Snell,28:12,Derrick Rose,26:16,Langston Galloway,19:18,Tim Frazier,17:09,Thon Maker,11:30
0,,0,,0,,112,0,0,,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202001020LAC.html,Away,126,2:16,0,,LAC,Lou Williams,Rodney McGruder,14:19,Derrick Walton,12:46,Johnathan Motley,0:39,,,,,,,30:19,Landry Shamet,28:00,Montrezl Harrell,27:43,JaMychal Green,25:52,Maurice Harkless,25:05,Kawhi Leonard,24:31,Ivica Zubac,18:28,Jerome Robinson,16:32,Paul George,15:46,126,1,0,0.0,,0.0,,0.0,,Louis King,14,0,2019-2020,0.0,0,0.0,DET,112,Bruce Brown,Tim Frazier,11:53,,,,,,,,,,,30:22,Svi Mykhailiuk,28:43,Sekou Doumbouya,27:06,Derrick Rose,27:00,Andre Drummond,26:52,Tony Snell,24:48,Christian Wood,24:30,Langston Galloway,21:56,Thon Maker,14:34
0,,0,,0,,106,0,1,100.0,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202001220DET.html,Home,127,1:32,0,0.0,SAC,Harrison Barnes,Yogi Ferrell,7:52,Anthony Tolliver,6:06,Justin James,1:32,DaQuan Jeffries,1:32,,,,,34:36,Dewayne Dedmon,31:07,De'Aaron Fox,30:18,Nemanja Bjelica,29:13,Buddy Hield,28:53,Bogdan Bogdanović,25:41,Cory Joseph,16:26,Kent Bazemore,16:04,Harry Giles,10:40,106,1,0,0.0,,0.0,,0.0,,Louis King,21,0,2019-2020,0.0,0,1.0,DET,127,Tony Snell,Jordan Bone,1:32,,,,,,,,,,,33:10,Derrick Rose,30:07,Langston Galloway,29:26,Svi Mykhailiuk,29:08,Markieff Morris,26:33,Christian Wood,25:28,Thon Maker,22:32,Sekou Doumbouya,21:27,Reggie Jackson,19:05
1,.500,2,66.667,3,,125,0,4,100.0,1,.333,0.0,0.0,1.0,3,0,.000,2,66.667,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202001240DET.html,Home,112,14:14,0,0.0,MEM,Ja Morant,Solomon Hill,13:08,Grayson Allen,6:15,,,,,,,,,31:42,Jaren Jackson Jr.,30:53,Dillon Brooks,28:52,Jonas Valančiūnas,26:50,Jae Crowder,25:13,Brandon Clarke,25:09,De'Anthony Melton,24:13,Tyus Jones,14:04,Kyle Anderson,13:41,125,2,3,0.0,0.0,3.0,100.0,0.0,0.0,Louis King,13,1,2019-2020,1.0,0,4.0,DET,112,Langston Galloway,,,,,,,,,,,,,34:40,Derrick Rose,33:10,Svi Mykhailiuk,31:55,Markieff Morris,28:21,Christian Wood,28:16,Reggie Jackson,23:10,Sekou Doumbouya,22:42,Thon Maker,19:44,Tim Frazier,3:48
0,.000,1,25.000,0,,121,0,0,,2,.500,2.0,66.7,3.0,4,0,.000,1,25.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202001250DET.html,Home,111,11:50,0,,BRK,Kyrie Irving,,,,,,,,,,,,,40:02,Jarrett Allen,39:56,Spencer Dinwiddie,37:22,Joe Harris,36:29,Wilson Chandler,31:02,Caris LeVert,22:55,Garrett Temple,22:12,Taurean Prince,21:58,Nic Claxton,13:04,121,2,4,4.0,100.0,0.0,0.0,0.0,0.0,Louis King,10,0,2019-2020,0.0,0,0.0,DET,111,Andre Drummond,,,,,,,,,,,,,40:31,Svi Mykhailiuk,37:46,Derrick Rose,36:59,Bruce Brown,36:14,Langston Galloway,33:17,Markieff Morris,26:45,Christian Wood,21:18,Sekou Doumbouya,17:26,Jordan Bone,2:54
1,.500,2,66.667,1,1.00,115,0,1,100.0,1,.333,0.0,0.0,1.0,3,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202001270DET.html,Home,100,11:08,0,0.0,CLE,Collin Sexton,Dante Exum,16:03,Tyler Cook,1:54,Dean Wade,1:54,,,,,,,38:29,Tristan Thompson,26:29,Darius Garland,25:02,Alfonzo McKinnie,24:54,Kevin Love,24:18,Larry Nance Jr.,23:37,Cedi Osman,23:18,John Henson,17:36,Kevin Porter Jr.,16:26,115,2,3,0.0,0.0,3.0,100.0,0.0,0.0,Louis King,15,0,2019-2020,0.0,1,1.0,DET,100,Sekou Doumbouya,,,,,,,,,,,,,35:28,Andre Drummond,32:12,Svi Mykhailiuk,26:03,Bruce Brown,25:55,Reggie Jackson,25:04,Markieff Morris,24:09,Langston Galloway,22:49,Christian Wood,20:28,Thon Maker,16:44
1,.500,2,100.000,0,,108,0,0,,1,.500,0.0,,0.0,2,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202002050DET.html,Home,116,4:58,0,,PHO,Kelly Oubre Jr.,,,,,,,,,,,,,41:57,Devin Booker,41:50,Mikal Bridges,41:45,Deandre Ayton,41:01,Ricky Rubio,35:27,Elie Okobo,13:19,Cheick Diallo,13:14,Jevon Carter,11:27,,,108,1,3,0.0,0.0,3.0,100.0,0.0,0.0,Louis King,8,0,2019-2020,0.0,0,0.0,DET,116,Andre Drummond,,,,,,,,,,,,,38:08,Tony Snell,34:32,Reggie Jackson,34:08,Bruce Brown,33:12,Christian Wood,32:17,Langston Galloway,29:36,Sekou Doumbouya,15:58,Thon Maker,9:52,Jordan Bone,7:18
0,.000,1,50.000,0,,101,0,2,100.0,0,.000,0.0,0.0,1.0,2,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202002070OKC.html,Away,108,6:55,0,0.0,OKC,Shai Gilgeous-Alexander,Abdel Nader,6:39,,,,,,,,,,,36:23,Chris Paul,34:02,Danilo Gallinari,32:30,Steven Adams,28:48,Dennis Schröder,27:45,Luguentz Dort,25:12,Nerlens Noel,19:12,Darius Bazley,15:29,Terrance Ferguson,13:59,108,0,0,0.0,,0.0,,0.0,,Louis King,7,0,2019-2020,0.0,0,2.0,DET,101,Christian Wood,,,,,,,,,,,,,35:18,Thon Maker,33:30,Tony Snell,33:04,Bruce Brown,33:01,Reggie Jackson,32:44,Langston Galloway,29:47,Sekou Doumbouya,25:34,Jordan Bone,10:05,,
