3P,3P%,3PA,3PAr,AST,AST/TOV,Away_Score,BLK,DRB,DRB_Pct_of_TRB,FG,FG%,FG2,FG2%,FG2A,FGA,FT,FT%,FTA,FTr,Game_Date,Game_Result,Game_URL,Home/Away,Home_Score,MP,ORB,ORB_Pct_of_TRB,Opponent,Opponent_1,Opponent_10,Opponent_10_MP,Opponent_11,Opponent_11_MP,Opponent_12,Opponent_12_MP,Opponent_13,Opponent_13_MP,Opponent_14,Opponent_14_MP,Opponent_15,Opponent_15_MP,Opponent_1_MP,Opponent_2,Opponent_2_MP,Opponent_3,Opponent_3_MP,Opponent_4,Opponent_4_MP,Opponent_5,Opponent_5_MP,Opponent_6,Opponent_6_MP,Opponent_7,Opponent_7_MP,Opponent_8,Opponent_8_MP,Opponent_9,Opponent_9_MP,Opponent_Score,PF,PTS,PTS_2P,PTS_2P_Pct,PTS_3P,PTS_3P_Pct,PTS_FT,PTS_FT_Pct,Player,Point_Differential,STL,Season,Stocks,TOV,TRB,Team,Team_Score,Teammate_1,Teammate_10,Teammate_10_MP,Teammate_11,Teammate_11_MP,Teammate_12,Teammate_12_MP,Teammate_13,Teammate_13_MP,Teammate_14,Teammate_14_MP,Teammate_15,Teammate_15_MP,Teammate_1_MP,Teammate_2,Teammate_2_MP,Teammate_3,Teammate_3_MP,Teammate_4,Teammate_4_MP,Teammate_5,Teammate_5_MP,Teammate_6,Teammate_6_MP,Teammate_7,Teammate_7_MP,Teammate_8,Teammate_8_MP,Teammate_9,Teammate_9_MP
0,.000,1,100.000,0,,113,0,0,,0,.000,0.0,,0.0,1,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202012230TOR.html,Home,99,1:16,0,,NOP,Brandon Ingram,Nickeil Alexander-Walker,3:53,,,,,,,,,,,37:20,Eric Bledsoe,34:27,Steven Adams,30:37,Zion Williamson,29:34,JJ Redick,28:52,Lonzo Ball,28:48,Josh Hart,26:41,Nicolò Melli,13:31,Jaxson Hayes,6:17,113,0,0,0.0,,0.0,,0.0,,Malachi Flynn,14,0,2020-2021,0.0,0,0.0,TOR,99,Pascal Siakam,Terence Davis,2:35,Stanley Johnson,1:16,,,,,,,,,38:41,Kyle Lowry,38:34,OG Anunoby,36:13,Fred VanVleet,29:36,Aron Baynes,28:06,Norman Powell,23:09,Matt Thomas,20:17,Chris Boucher,14:47,DeAndre' Bembry,5:30
0,.000,1,100.000,0,,83,0,0,,0,.000,0.0,,0.0,1,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202012310TOR.html,Home,100,2:48,0,,NYK,Reggie Bullock,Theo Pinson,3:24,Ignas Brazdeikis,0:45,,,,,,,,,38:05,Julius Randle,37:39,RJ Barrett,36:56,Kevin Knox,31:30,Mitchell Robinson,25:13,Elfrid Payton,23:21,Austin Rivers,21:15,Nerlens Noel,18:28,Jared Harper,3:24,83,0,0,0.0,,0.0,,0.0,,Malachi Flynn,17,0,2020-2021,0.0,0,0.0,TOR,100,Kyle Lowry,Yuta Watanabe,9:27,DeAndre' Bembry,2:48,Paul Watson,2:48,,,,,,,36:49,Fred VanVleet,35:32,OG Anunoby,34:59,Norman Powell,34:09,Chris Boucher,24:23,Terence Davis,16:15,Aron Baynes,14:54,Stanley Johnson,12:35,Alex Len,12:33
0,.000,4,66.667,1,,126,0,0,,0,.000,0.0,0.0,2.0,6,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202101040TOR.html,Home,114,15:45,0,,BOS,Jaylen Brown,Aaron Nesmith,10:28,,,,,,,,,,,33:56,Payton Pritchard,32:22,Jayson Tatum,31:41,Semi Ojeleye,29:49,Tremont Waters,24:17,Grant Williams,23:56,Tristan Thompson,20:08,Robert Williams,19:40,Daniel Theis,13:43,126,1,0,0.0,,0.0,,0.0,,Malachi Flynn,12,1,2020-2021,1.0,0,0.0,TOR,114,Fred VanVleet,Alex Len,8:57,Yuta Watanabe,4:16,Paul Watson,3:03,,,,,,,33:26,Pascal Siakam,32:57,Kyle Lowry,32:52,OG Anunoby,29:35,Chris Boucher,20:59,Terence Davis,17:09,Norman Powell,16:26,Aron Baynes,13:37,Stanley Johnson,10:58
0,.000,1,33.333,0,,115,0,0,,0,.000,0.0,0.0,2.0,3,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202101060PHO.html,Away,123,3:47,0,,PHO,Jae Crowder,Langston Galloway,4:55,,,,,,,,,,,34:57,Devin Booker,34:36,Chris Paul,31:36,Deandre Ayton,31:25,Mikal Bridges,29:09,Cameron Johnson,23:19,Jevon Carter,17:04,Dario Šarić,16:34,Cameron Payne,16:24,123,0,0,0.0,,0.0,,0.0,,Malachi Flynn,8,0,2020-2021,0.0,0,0.0,TOR,115,Fred VanVleet,DeAndre' Bembry,0:44,,,,,,,,,,,38:36,Kyle Lowry,38:26,Pascal Siakam,38:08,OG Anunoby,38:03,Norman Powell,26:06,Yuta Watanabe,15:54,Chris Boucher,15:12,Aron Baynes,13:24,Alex Len,11:39
2,.667,3,50.000,2,2.00,144,0,5,100.0,5,.833,3.0,100.0,3.0,6,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202101080SAC.html,Away,123,16:48,0,0.0,SAC,Buddy Hield,Kyle Guy,5:45,Justin James,5:45,Jahmi'us Ramsey,5:08,Robert Woodard II,3:50,,,,,32:27,Harrison Barnes,30:30,Marvin Bagley III,29:16,Tyrese Haliburton,29:01,De'Aaron Fox,24:54,Richaun Holmes,23:34,Cory Joseph,22:51,Glenn Robinson III,17:10,Nemanja Bjelica,9:49,123,3,12,6.0,50.0,6.0,50.0,0.0,0.0,Malachi Flynn,21,0,2020-2021,0.0,1,5.0,TOR,144,Fred VanVleet,DeAndre' Bembry,3:50,Matt Thomas,2:17,Paul Watson,2:17,Jalen Harris,2:17,,,,,33:14,Pascal Siakam,33:09,Chris Boucher,29:12,OG Anunoby,28:36,Norman Powell,26:42,Terence Davis,22:16,Yuta Watanabe,19:10,Stanley Johnson,15:29,Alex Len,4:43
0,.000,1,33.333,3,,105,0,1,100.0,0,.000,0.0,0.0,2.0,3,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202101100GSW.html,Away,106,12:34,0,0.0,GSW,Stephen Curry,Brad Wanamaker,12:32,Mychal Mulder,11:00,,,,,,,,,38:12,Andrew Wiggins,34:20,Draymond Green,29:22,Kelly Oubre Jr.,29:01,Kent Bazemore,20:44,Eric Paschall,18:38,James Wiseman,16:32,Damion Lee,15:28,Kevon Looney,14:11,106,1,0,0.0,,0.0,,0.0,,Malachi Flynn,1,0,2020-2021,0.0,0,1.0,TOR,105,Pascal Siakam,,,,,,,,,,,,,40:27,Fred VanVleet,39:17,OG Anunoby,37:16,Kyle Lowry,33:31,Chris Boucher,23:49,Norman Powell,22:27,Terence Davis,12:18,Stanley Johnson,9:22,Yuta Watanabe,8:59
1,.500,2,100.000,1,,108,0,0,,1,.500,0.0,,0.0,2,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202101140TOR.html,Home,111,6:28,0,,CHO,Devonte' Graham,,,,,,,,,,,,,37:13,Terry Rozier,37:08,P.J. Washington,33:12,Miles Bridges,28:46,LaMelo Ball,26:05,Bismack Biyombo,24:51,Caleb Martin,24:14,Malik Monk,22:59,Cody Martin,5:32,108,1,3,0.0,0.0,3.0,100.0,0.0,0.0,Malachi Flynn,3,1,2020-2021,1.0,0,0.0,TOR,111,Pascal Siakam,,,,,,,,,,,,,37:42,Fred VanVleet,35:30,Kyle Lowry,34:52,OG Anunoby,33:01,Chris Boucher,29:31,Stanley Johnson,20:49,Norman Powell,19:35,Yuta Watanabe,14:59,Aron Baynes,7:33
1,.333,3,42.857,3,3.00,113,0,1,100.0,2,.286,1.0,25.0,4.0,7,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202101160TOR.html,Home,116,18:12,0,0.0,CHO,Devonte' Graham,,,,,,,,,,,,,38:25,Gordon Hayward,38:09,Terry Rozier,38:03,P.J. Washington,33:43,Bismack Biyombo,33:33,Miles Bridges,25:47,LaMelo Ball,22:59,Caleb Martin,5:29,Malik Monk,3:52,113,1,5,2.0,40.0,3.0,60.0,0.0,0.0,Malachi Flynn,3,1,2020-2021,1.0,1,1.0,TOR,116,Kyle Lowry,,,,,,,,,,,,,36:42,Fred VanVleet,36:23,OG Anunoby,35:33,Pascal Siakam,32:04,Chris Boucher,30:49,Norman Powell,28:24,Stanley Johnson,13:45,Aron Baynes,4:20,Yuta Watanabe,3:48
0,,0,,1,,93,0,0,,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202101180TOR.html,Home,116,2:04,0,,DAL,Luka Dončić,Boban Marjanović,3:20,Tyrell Terry,3:20,Tyler Bey,2:04,Nate Hinton,2:04,,,,,34:34,Kristaps Porziņģis,31:53,Jalen Brunson,27:24,James Johnson,27:20,Tim Hardaway Jr.,26:41,Trey Burke,26:06,Willie Cauley-Stein,19:23,Josh Green,19:03,Wes Iwundu,16:48,93,0,0,0.0,,0.0,,0.0,,Malachi Flynn,23,0,2020-2021,0.0,0,0.0,TOR,116,Kyle Lowry,Paul Watson,2:04,Matt Thomas,2:04,DeAndre' Bembry,2:04,Yuta Watanabe,2:04,,,,,35:07,Pascal Siakam,33:50,Fred VanVleet,33:32,OG Anunoby,32:54,Chris Boucher,27:40,Norman Powell,22:27,Stanley Johnson,21:13,Terence Davis,11:44,Aron Baynes,11:13
1,.250,4,80.000,3,3.00,81,0,1,100.0,1,.200,0.0,0.0,1.0,5,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202101220TOR.html,Home,101,14:08,0,0.0,MIA,Kendrick Nunn,Maurice Harkless,6:22,KZ Okpala,4:20,,,,,,,,,38:38,Duncan Robinson,34:18,Bam Adebayo,34:03,Goran Dragić,29:41,Gabe Vincent,23:34,Andre Iguodala,21:22,Kelly Olynyk,20:40,Max Strus,15:28,Precious Achiuwa,11:32,81,2,3,0.0,0.0,3.0,100.0,0.0,0.0,Malachi Flynn,20,0,2020-2021,0.0,1,1.0,TOR,101,Fred VanVleet,Matt Thomas,2:48,Paul Watson,2:23,DeAndre' Bembry,2:23,Jalen Harris,2:05,,,,,37:31,OG Anunoby,34:59,Pascal Siakam,33:20,Norman Powell,31:41,Aron Baynes,23:09,Chris Boucher,19:30,Terence Davis,16:39,Stanley Johnson,13:45,Yuta Watanabe,5:38
