3P,3P%,3PA,3PAr,AST,AST/TOV,Away_Score,BLK,DRB,DRB_Pct_of_TRB,FG,FG%,FG2,FG2%,FG2A,FGA,FT,FT%,FTA,FTr,Game_Date,Game_Result,Game_URL,Home/Away,Home_Score,MP,ORB,ORB_Pct_of_TRB,Opponent,Opponent_1,Opponent_10,Opponent_10_MP,Opponent_11,Opponent_11_MP,Opponent_12,Opponent_12_MP,Opponent_13,Opponent_13_MP,Opponent_14,Opponent_14_MP,Opponent_15,Opponent_15_MP,Opponent_1_MP,Opponent_2,Opponent_2_MP,Opponent_3,Opponent_3_MP,Opponent_4,Opponent_4_MP,Opponent_5,Opponent_5_MP,Opponent_6,Opponent_6_MP,Opponent_7,Opponent_7_MP,Opponent_8,Opponent_8_MP,Opponent_9,Opponent_9_MP,Opponent_Score,PF,PTS,PTS_2P,PTS_2P_Pct,PTS_3P,PTS_3P_Pct,PTS_FT,PTS_FT_Pct,Player,Point_Differential,STL,Season,Stocks,TOV,TRB,Team,Team_Score,Teammate_1,Teammate_10,Teammate_10_MP,Teammate_11,Teammate_11_MP,Teammate_12,Teammate_12_MP,Teammate_13,Teammate_13_MP,Teammate_14,Teammate_14_MP,Teammate_15,Teammate_15_MP,Teammate_1_MP,Teammate_2,Teammate_2_MP,Teammate_3,Teammate_3_MP,Teammate_4,Teammate_4_MP,Teammate_5,Teammate_5_MP,Teammate_6,Teammate_6_MP,Teammate_7,Teammate_7_MP,Teammate_8,Teammate_8_MP,Teammate_9,Teammate_9_MP
0,,0,,0,,87,0,0,,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202112250NYK.html,Away,101,1:56,0,,NYK,Kemba Walker,Tyler Hall,1:56,Matt Mooney,1:56,,,,,,,,,40:21,Julius Randle,34:19,Evan Fournier,31:10,Mitchell Robinson,30:25,RJ Barrett,25:38,Quentin Grimes,25:29,Taj Gibson,17:35,Alec Burks,17:30,Obi Toppin,13:41,101,0,0,0.0,,0.0,,0.0,,Malcolm Hill,14,0,2021-2022,0.0,0,0.0,ATL,87,Bogdan Bogdanović,Cat Barber,1:56,,,,,,,,,,,35:43,Cam Reddish,34:18,Delon Wright,33:57,John Collins,32:47,Clint Capela,27:46,Skylar Mays,22:33,Gorgui Dieng,20:14,Jalen Johnson,15:13,Lance Stephenson,13:37
0,,0,,0,,130,0,2,66.7,0,,0.0,,0.0,0,4,1.000,4,,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202112270ATL.html,Home,118,14:33,1,33.3,CHI,DeMar DeRozan,,,,,,,,,,,,,37:48,Zach LaVine,37:17,Nikola Vučević,34:09,Javonte Green,29:22,Coby White,25:01,Ayo Dosunmu,24:42,Matt Thomas,19:11,Troy Brown Jr.,18:39,Tyler Cook,13:51,130,2,4,0.0,0.0,0.0,0.0,4.0,100.0,Malcolm Hill,12,1,2021-2022,1.0,0,3.0,ATL,118,Bogdan Bogdanović,,,,,,,,,,,,,41:29,Cam Reddish,40:05,Trae Young,39:47,Chaundee Brown Jr.,30:18,Clint Capela,26:29,Gorgui Dieng,21:31,Skylar Mays,17:26,Lance Stephenson,4:11,Cat Barber,4:11
3,.600,5,62.500,1,,117,1,2,66.7,5,.625,2.0,66.7,3.0,8,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202112290CHI.html,Away,131,29:22,1,33.3,CHI,DeMar DeRozan,Derrick Jones Jr.,4:30,Devon Dotson,3:03,Mac McClung,2:33,,,,,,,35:42,Coby White,35:11,Nikola Vučević,32:38,Zach LaVine,31:53,Troy Brown Jr.,23:18,Javonte Green,23:07,Ayo Dosunmu,19:31,Matt Thomas,16:15,Tyler Cook,12:19,131,5,13,4.0,30.8,9.0,69.2,0.0,0.0,Malcolm Hill,14,3,2021-2022,4.0,0,3.0,ATL,117,Trae Young,,,,,,,,,,,,,33:18,Chaundee Brown Jr.,31:56,Cam Reddish,31:16,Skylar Mays,30:38,Clint Capela,29:32,Cameron Oliver,18:28,Wes Iwundu,16:05,Lance Stephenson,12:41,Cat Barber,6:44
1,.333,3,60.000,1,,112,0,1,100.0,1,.200,0.0,0.0,2.0,5,2,.667,3,60.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202201150BOS.html,Away,114,18:05,0,0.0,BOS,Jayson Tatum,,,,,,,,,,,,,40:17,Dennis Schröder,36:06,Jaylen Brown,35:40,Robert Williams,34:31,Al Horford,30:16,Josh Richardson,29:03,Grant Williams,14:25,Payton Pritchard,11:54,Enes Freedom,7:48,114,2,5,0.0,0.0,3.0,60.0,2.0,40.0,Malcolm Hill,2,0,2021-2022,0.0,0,1.0,CHI,112,Ayo Dosunmu,,,,,,,,,,,,,39:34,Coby White,39:28,DeMar DeRozan,37:12,Nikola Vučević,35:27,Alfonzo McKinnie,27:11,Matt Thomas,17:26,Troy Brown Jr.,13:04,Tony Bradley,12:33,,
2,.500,4,66.667,1,1.00,106,0,4,50.0,4,.667,2.0,100.0,2.0,6,2,.667,3,50.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202201170MEM.html,Away,119,29:35,4,50.0,MEM,Ja Morant,De'Anthony Melton,15:29,Jarrett Culver,3:30,Santi Aldama,3:30,Dakota Mathias,3:30,Xavier Tillman Sr.,3:30,,,31:30,Desmond Bane,28:47,Jaren Jackson Jr.,25:07,John Konchar,23:14,Steven Adams,22:37,Kyle Anderson,20:58,Brandon Clarke,20:17,Tyus Jones,19:50,Ziaire Williams,18:09,119,5,12,4.0,33.3,6.0,50.0,2.0,16.7,Malcolm Hill,13,0,2021-2022,0.0,1,8.0,CHI,106,Ayo Dosunmu,,,,,,,,,,,,,38:19,DeMar DeRozan,32:32,Coby White,31:40,Nikola Vučević,30:15,Matt Thomas,23:29,Troy Brown Jr.,20:59,Alfonzo McKinnie,15:26,Tony Bradley,14:15,Marko Simonovic,3:30
0,,0,,0,,104,0,0,,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202201190CHI.html,Home,117,1:33,0,,CLE,Darius Garland,Ed Davis,1:34,Kevin Pangos,1:34,Dean Wade,1:34,,,,,,,40:19,Jarrett Allen,35:46,Lauri Markkanen,32:33,Evan Mobley,30:55,Isaac Okoro,29:30,Kevin Love,20:58,Dylan Windler,17:06,Cedi Osman,16:53,Brandon Goodwin,11:18,104,1,0,0.0,,0.0,,0.0,,Malcolm Hill,13,0,2021-2022,0.0,0,0.0,CHI,117,Ayo Dosunmu,,,,,,,,,,,,,38:35,Coby White,37:50,Nikola Vučević,37:01,DeMar DeRozan,36:11,Troy Brown Jr.,26:09,Matt Thomas,23:36,Alex Caruso,22:55,Tony Bradley,10:59,Alfonzo McKinnie,5:11
0,.000,1,100.000,0,,90,0,0,,0,.000,0.0,,0.0,1,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202201210MIL.html,Away,94,2:14,0,,MIL,Giannis Antetokounmpo,,,,,,,,,,,,,36:40,Khris Middleton,35:32,Bobby Portis,27:01,Jrue Holiday,26:52,Pat Connaughton,26:52,George Hill,26:26,Donte DiVincenzo,22:05,Grayson Allen,20:23,Wesley Matthews,18:09,94,0,0,0.0,,0.0,,0.0,,Malcolm Hill,4,0,2021-2022,0.0,0,0.0,CHI,90,Ayo Dosunmu,,,,,,,,,,,,,39:23,DeMar DeRozan,38:27,Coby White,36:59,Nikola Vučević,35:10,Tyler Cook,25:32,Alex Caruso,23:34,Troy Brown Jr.,19:24,Matt Thomas,19:14,,
0,.000,1,50.000,0,,95,0,0,,1,.500,1.0,100.0,1.0,2,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202201230ORL.html,Away,114,7:59,0,,ORL,Franz Wagner,,,,,,,,,,,,,38:11,Jalen Suggs,32:46,Cole Anthony,30:55,Chuma Okeke,30:09,Wendell Carter Jr.,28:11,Ignas Brazdeikis,25:19,Moritz Wagner,25:08,Admiral Schofield,22:30,Mo Bamba,6:51,114,0,2,2.0,100.0,0.0,0.0,0.0,0.0,Malcolm Hill,19,0,2021-2022,0.0,0,0.0,CHI,95,Ayo Dosunmu,,,,,,,,,,,,,40:02,DeMar DeRozan,38:16,Coby White,35:18,Troy Brown Jr.,30:22,Nikola Vučević,30:19,Tyler Cook,27:14,Matt Thomas,20:16,Tony Bradley,6:10,Alfonzo McKinnie,4:04
0,.000,2,50.000,1,,111,0,0,0.0,2,.500,2.0,100.0,2.0,4,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202201240OKC.html,Away,110,17:13,1,100.0,OKC,Shai Gilgeous-Alexander,Ty Jerome,12:10,Mamadi Diakite,6:52,,,,,,,,,38:31,Josh Giddey,30:57,Luguentz Dort,30:52,Kenrich Williams,30:19,Jeremiah Robinson-Earl,21:37,Darius Bazley,20:22,Tre Mann,17:06,Aaron Wiggins,16:15,Mike Muscala,14:57,110,2,4,4.0,100.0,0.0,0.0,0.0,0.0,Malcolm Hill,1,1,2021-2022,1.0,0,1.0,CHI,111,Nikola Vučević,Tony Bradley,1:29,,,,,,,,,,,38:39,Zach LaVine,35:01,Ayo Dosunmu,34:42,Troy Brown Jr.,31:18,Coby White,31:12,Javonte Green,24:34,Alfonzo McKinnie,10:50,Tyler Cook,7:51,Matt Thomas,7:09
0,.000,1,100.000,0,,116,0,0,,0,.000,0.0,,0.0,1,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202201300CHI.html,Home,130,1:10,0,,POR,CJ McCollum,Greg Brown III,4:02,Keljin Blevins,4:02,,,,,,,,,35:34,Norman Powell,34:09,Anfernee Simons,32:34,Robert Covington,32:02,Jusuf Nurkić,26:05,Trendon Watford,21:55,Ben McLemore,18:58,Dennis Smith Jr.,15:26,Tony Snell,15:13,116,0,0,0.0,,0.0,,0.0,,Malcolm Hill,14,0,2021-2022,0.0,0,0.0,CHI,130,DeMar DeRozan,Alfonzo McKinnie,1:10,,,,,,,,,,,34:19,Ayo Dosunmu,33:38,Zach LaVine,32:44,Nikola Vučević,32:01,Coby White,30:49,Javonte Green,23:33,Troy Brown Jr.,17:41,Matt Thomas,16:56,Tony Bradley,15:59
