3P,3P%,3PA,3PAr,AST,AST/TOV,Away_Score,BLK,DRB,DRB_Pct_of_TRB,FG,FG%,FG2,FG2%,FG2A,FGA,FT,FT%,FTA,FTr,Game_Date,Game_Result,Game_URL,Home/Away,Home_Score,MP,ORB,ORB_Pct_of_TRB,Opponent,Opponent_1,Opponent_10,Opponent_10_MP,Opponent_11,Opponent_11_MP,Opponent_12,Opponent_12_MP,Opponent_13,Opponent_13_MP,Opponent_14,Opponent_14_MP,Opponent_15,Opponent_15_MP,Opponent_1_MP,Opponent_2,Opponent_2_MP,Opponent_3,Opponent_3_MP,Opponent_4,Opponent_4_MP,Opponent_5,Opponent_5_MP,Opponent_6,Opponent_6_MP,Opponent_7,Opponent_7_MP,Opponent_8,Opponent_8_MP,Opponent_9,Opponent_9_MP,Opponent_Score,PF,PTS,PTS_2P,PTS_2P_Pct,PTS_3P,PTS_3P_Pct,PTS_FT,PTS_FT_Pct,Player,Point_Differential,STL,Season,Stocks,TOV,TRB,Team,Team_Score,Teammate_1,Teammate_10,Teammate_10_MP,Teammate_11,Teammate_11_MP,Teammate_12,Teammate_12_MP,Teammate_13,Teammate_13_MP,Teammate_14,Teammate_14_MP,Teammate_15,Teammate_15_MP,Teammate_1_MP,Teammate_2,Teammate_2_MP,Teammate_3,Teammate_3_MP,Teammate_4,Teammate_4_MP,Teammate_5,Teammate_5_MP,Teammate_6,Teammate_6_MP,Teammate_7,Teammate_7_MP,Teammate_8,Teammate_8_MP,Teammate_9,Teammate_9_MP
0,,0,0.000,0,,100,0,1,100.0,1,.500,1.0,50.0,2.0,2,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201811100GSW.html,Home,116,5:33,0,0.0,BRK,Allen Crabbe,Jared Dudley,16:53,DeMarre Carroll,16:10,Rodions Kurucs,8:17,Kenneth Faried,8:17,,,,,27:35,Jarrett Allen,22:42,D'Angelo Russell,22:29,Spencer Dinwiddie,21:59,Caris LeVert,20:54,Joe Harris,20:52,Shabazz Napier,19:47,Rondae Hollis-Jefferson,17:04,Ed Davis,17:01,100,2,2,2.0,100.0,0.0,0.0,0.0,0.0,Marcus Derrickson,16,0,2018-2019,0.0,0,1.0,GSW,116,Kevin Durant,Damion Lee,5:56,Jacob Evans,4:21,,,,,,,,,30:25,Quinn Cook,29:37,Klay Thompson,28:43,Alfonzo McKinnie,27:57,Jordan Bell,26:59,Jonas Jerebko,26:24,Andre Iguodala,21:30,Damian Jones,19:08,Kevon Looney,13:27
0,,0,,0,0.00,109,0,0,,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201811170DAL.html,Away,112,2:56,0,,DAL,Dorian Finney-Smith,,,,,,,,,,,,,40:15,Harrison Barnes,36:42,Luka Dončić,35:47,DeAndre Jordan,30:55,Dennis Smith Jr.,27:44,J.J. Barea,20:22,Devin Harris,18:57,Dwight Powell,17:04,Maxi Kleber,12:14,112,1,0,0.0,,0.0,,0.0,,Marcus Derrickson,3,0,2018-2019,0.0,1,0.0,GSW,109,Klay Thompson,Jordan Bell,0:16,,,,,,,,,,,37:45,Kevin Durant,36:39,Andre Iguodala,28:16,Kevon Looney,26:51,Jonas Jerebko,25:07,Damian Jones,22:09,Quinn Cook,21:37,Shaun Livingston,19:43,Damion Lee,18:41
1,.500,2,66.667,0,0.00,128,0,1,100.0,1,.333,0.0,0.0,1.0,3,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201812030ATL.html,Away,111,4:12,0,0.0,ATL,Dewayne Dedmon,Omari Spellman,7:41,Justin Anderson,3:43,Miles Plumlee,3:43,Alex Len,3:39,,,,,31:04,John Collins,29:45,Kevin Huerter,27:27,Taurean Prince,27:08,Trae Young,25:22,Jeremy Lin,24:13,DeAndre' Bembry,19:49,Kent Bazemore,19:04,Vince Carter,17:22,111,2,3,0.0,0.0,3.0,100.0,0.0,0.0,Marcus Derrickson,17,0,2018-2019,0.0,1,1.0,GSW,128,Kevin Durant,Damion Lee,12:11,Jacob Evans,4:12,,,,,,,,,33:33,Klay Thompson,32:01,Stephen Curry,29:06,Kevon Looney,28:49,Jonas Jerebko,23:46,Andre Iguodala,21:39,Jordan Bell,19:05,Shaun Livingston,18:24,Quinn Cook,13:02
0,.000,1,100.000,0,,129,0,0,,0,.000,0.0,,0.0,1,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201812050CLE.html,Away,105,5:50,0,,CLE,Collin Sexton,Jaron Blossomgame,3:05,Channing Frye,3:05,,,,,,,,,35:16,Cedi Osman,33:08,Rodney Hood,30:38,Jordan Clarkson,30:02,Tristan Thompson,29:56,George Hill,25:13,Larry Nance Jr.,23:48,Alec Burks,22:44,Jalen Jones,3:05,105,0,0,0.0,,0.0,,0.0,,Marcus Derrickson,24,0,2018-2019,0.0,0,0.0,GSW,129,Kevin Durant,Alfonzo McKinnie,13:04,Jacob Evans,3:05,,,,,,,,,33:59,Stephen Curry,33:47,Klay Thompson,31:49,Kevon Looney,25:00,Jonas Jerebko,22:01,Andre Iguodala,21:51,Jordan Bell,17:30,Shaun Livingston,16:15,Quinn Cook,15:49
0,,0,0.000,0,,132,0,0,0.0,0,.000,0.0,0.0,1.0,1,2,1.000,2,200.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201812310PHO.html,Away,109,3:46,1,100.0,PHO,Deandre Ayton,Troy Daniels,4:57,Eric Moreland,4:57,Elie Okobo,3:46,,,,,,,34:36,T.J. Warren,34:28,Devin Booker,32:46,Mikal Bridges,32:31,De'Anthony Melton,26:43,Kelly Oubre Jr.,21:54,Jamal Crawford,17:31,Josh Jackson,13:38,Dragan Bender,12:13,109,0,2,0.0,0.0,0.0,0.0,2.0,100.0,Marcus Derrickson,23,0,2018-2019,0.0,0,1.0,GSW,132,Draymond Green,Alfonzo McKinnie,13:41,Kevon Looney,13:05,,,,,,,,,32:58,Stephen Curry,31:53,Kevin Durant,29:47,Klay Thompson,24:43,Andre Iguodala,21:41,Jonas Jerebko,19:40,Shaun Livingston,16:48,Quinn Cook,16:27,Jordan Bell,15:31
1,.250,4,50.000,0,0.00,109,1,0,0.0,4,.500,3.0,75.0,4.0,8,1,.500,2,25.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201901110GSW.html,Home,146,12:00,1,100.0,CHI,Chandler Hutchison,Antonio Blakeney,13:26,Robin Lopez,13:20,Cristiano Felício,8:46,,,,,,,29:27,Zach LaVine,26:30,Lauri Markkanen,25:47,Ryan Arcidiacono,24:47,Kris Dunn,24:34,Wayne Selden,21:18,Shaquille Harrison,17:51,Wendell Carter Jr.,17:16,Bobby Portis,16:58,109,3,10,6.0,60.0,3.0,30.0,1.0,10.0,Marcus Derrickson,37,0,2018-2019,1.0,1,1.0,GSW,146,Kevin Durant,Jordan Bell,14:31,Shaun Livingston,9:16,,,,,,,,,28:14,Stephen Curry,27:12,Klay Thompson,25:16,Kevon Looney,22:43,Jonas Jerebko,20:48,Draymond Green,20:40,Alfonzo McKinnie,20:19,Quinn Cook,20:15,Andre Iguodala,18:46
1,.250,4,80.000,0,,132,0,1,100.0,2,.400,1.0,100.0,1.0,5,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201901280IND.html,Away,100,8:57,0,0.0,IND,Edmond Sumner,T.J. Leaf,14:59,Kyle O'Quinn,4:50,Davon Reed,2:45,Alize Johnson,2:45,,,,,28:17,Bojan Bogdanović,27:59,Myles Turner,26:21,Thaddeus Young,26:00,Darren Collison,24:51,Aaron Holiday,22:14,Cory Joseph,20:38,Domantas Sabonis,19:47,Doug McDermott,18:34,100,1,5,2.0,40.0,3.0,60.0,0.0,0.0,Marcus Derrickson,32,0,2018-2019,0.0,0,1.0,GSW,132,Klay Thompson,Alfonzo McKinnie,11:58,Damion Lee,7:01,,,,,,,,,31:09,Kevin Durant,30:14,Andre Iguodala,27:02,Stephen Curry,26:49,DeMarcus Cousins,25:00,Quinn Cook,21:11,Jordan Bell,18:53,Kevon Looney,17:48,Shaun Livingston,13:58
0,,0,,0,,101,0,0,0.0,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201902020GSW.html,Home,115,2:08,1,100.0,LAL,Brandon Ingram,Michael Beasley,7:53,Svi Mykhailiuk,2:08,Isaac Bonga,2:08,,,,,,,39:09,Rajon Rondo,37:53,Kyle Kuzma,31:37,Kentavious Caldwell-Pope,27:12,Ivica Zubac,25:55,Lance Stephenson,24:05,Josh Hart,20:37,JaVale McGee,10:47,Moritz Wagner,10:36,101,0,0,0.0,,0.0,,0.0,,Marcus Derrickson,14,0,2018-2019,0.0,0,1.0,GSW,115,Klay Thompson,Quinn Cook,5:03,Jordan Bell,2:08,Jonas Jerebko,2:08,,,,,,,35:30,Kevin Durant,34:37,Stephen Curry,32:51,Draymond Green,27:24,Andre Iguodala,26:01,DeMarcus Cousins,24:35,Kevon Looney,18:59,Shaun Livingston,14:55,Alfonzo McKinnie,13:41
2,.667,3,75.000,1,,102,0,0,0.0,2,.500,0.0,0.0,1.0,4,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201902060GSW.html,Home,141,8:47,2,100.0,SAS,Dante Cunningham,Patty Mills,17:27,Chimezie Metu,13:24,Pau Gasol,5:21,,,,,,,30:50,Lonnie Walker IV,25:52,Marco Belinelli,24:47,Dāvis Bertāns,22:40,Drew Eubanks,21:08,Jakob Poeltl,20:01,Quincy Pondexter,19:58,Rudy Gay,19:34,Bryn Forbes,18:58,102,0,6,0.0,0.0,6.0,100.0,0.0,0.0,Marcus Derrickson,39,0,2018-2019,0.0,0,2.0,GSW,141,Klay Thompson,Quinn Cook,13:35,Shaun Livingston,12:31,Jordan Bell,12:00,,,,,,,28:53,Stephen Curry,28:36,Kevin Durant,28:35,Draymond Green,24:26,Andre Iguodala,19:09,Kevon Looney,18:08,DeMarcus Cousins,16:42,Alfonzo McKinnie,14:34,Jonas Jerebko,14:04
1,.500,2,50.000,0,,112,0,1,33.3,2,.500,1.0,50.0,2.0,4,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201904090NOP.html,Away,103,5:01,2,66.7,NOP,Ian Clark,,,,,,,,,,,,,38:13,Jahlil Okafor,37:43,Christian Wood,33:56,Kenrich Williams,33:53,Dairis Bertāns,25:44,Elfrid Payton,25:04,Cheick Diallo,24:21,Solomon Hill,21:06,,,103,0,5,2.0,40.0,3.0,60.0,0.0,0.0,Marcus Derrickson,9,0,2018-2019,0.0,0,3.0,GSW,112,Jacob Evans,Jonas Jerebko,13:10,Stephen Curry,9:25,,,,,,,,,36:30,DeMarcus Cousins,34:31,Alfonzo McKinnie,29:07,Damion Lee,26:32,Quinn Cook,23:33,Draymond Green,17:52,Shaun Livingston,15:39,Jordan Bell,15:11,Kevon Looney,13:29
