3P,3P%,3PA,3PAr,AST,AST/TOV,Away_Score,BLK,DRB,DRB_Pct_of_TRB,FG,FG%,FG2,FG2%,FG2A,FGA,FT,FT%,FTA,FTr,Game_Date,Game_Result,Game_URL,Home/Away,Home_Score,MP,ORB,ORB_Pct_of_TRB,Opponent,Opponent_1,Opponent_10,Opponent_10_MP,Opponent_11,Opponent_11_MP,Opponent_12,Opponent_12_MP,Opponent_13,Opponent_13_MP,Opponent_14,Opponent_14_MP,Opponent_15,Opponent_15_MP,Opponent_1_MP,Opponent_2,Opponent_2_MP,Opponent_3,Opponent_3_MP,Opponent_4,Opponent_4_MP,Opponent_5,Opponent_5_MP,Opponent_6,Opponent_6_MP,Opponent_7,Opponent_7_MP,Opponent_8,Opponent_8_MP,Opponent_9,Opponent_9_MP,Opponent_Score,PF,PTS,PTS_2P,PTS_2P_Pct,PTS_3P,PTS_3P_Pct,PTS_FT,PTS_FT_Pct,Player,Point_Differential,STL,Season,Stocks,TOV,TRB,Team,Team_Score,Teammate_1,Teammate_10,Teammate_10_MP,Teammate_11,Teammate_11_MP,Teammate_12,Teammate_12_MP,Teammate_13,Teammate_13_MP,Teammate_14,Teammate_14_MP,Teammate_15,Teammate_15_MP,Teammate_1_MP,Teammate_2,Teammate_2_MP,Teammate_3,Teammate_3_MP,Teammate_4,Teammate_4_MP,Teammate_5,Teammate_5_MP,Teammate_6,Teammate_6_MP,Teammate_7,Teammate_7_MP,Teammate_8,Teammate_8_MP,Teammate_9,Teammate_9_MP
0,,0,0.000,2,,95,0,0,,0,.000,0.0,0.0,1.0,1,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202110210MIA.html,Home,137,5:20,0,,MIL,Grayson Allen,Georgios Kalaitzakis,17:46,,,,,,,,,,,28:38,Justin Robinson,27:28,Sandro Mamukelashvili,27:20,Pat Connaughton,27:14,Jordan Nwora,26:03,Khris Middleton,23:28,Giannis Antetokounmpo,22:48,George Hill,21:26,Thanasis Antetokounmpo,17:49,95,1,0,0.0,,0.0,,0.0,,Marcus Garrett,42,0,2021-2022,0.0,0,0.0,MIA,137,Jimmy Butler,Gabe Vincent,12:27,Omer Yurtseven,8:15,Caleb Martin,8:15,KZ Okpala,8:15,,,,,29:02,Kyle Lowry,24:28,Tyler Herro,24:12,Duncan Robinson,23:30,Bam Adebayo,23:10,P.J. Tucker,21:58,Max Strus,18:07,Markieff Morris,18:00,Dewayne Dedmon,15:01
0,,0,,0,,90,0,0,,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202110250MIA.html,Home,107,1:38,0,,ORL,Cole Anthony,Robin Lopez,10:33,Ignas Brazdeikis,9:13,,,,,,,,,31:58,Mo Bamba,28:13,Jalen Suggs,27:51,Wendell Carter Jr.,27:46,Franz Wagner,26:55,R.J. Hampton,25:42,Terrence Ross,21:31,Gary Harris,18:56,Moritz Wagner,11:22,90,0,0,0.0,,0.0,,0.0,,Marcus Garrett,17,0,2021-2022,0.0,0,0.0,MIA,107,Jimmy Butler,KZ Okpala,1:38,Gabe Vincent,1:38,Omer Yurtseven,1:38,,,,,,,32:55,Kyle Lowry,31:11,Tyler Herro,29:31,Bam Adebayo,29:02,Duncan Robinson,27:28,Markieff Morris,25:10,P.J. Tucker,21:12,Max Strus,19:39,Dewayne Dedmon,17:20
0,,0,,0,,98,0,0,,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202111170MIA.html,Home,113,1:20,0,,NOP,Josh Hart,Trey Murphy III,7:58,,,,,,,,,,,38:27,Brandon Ingram,37:27,Devonte' Graham,31:20,Jonas Valančiūnas,28:13,Nickeil Alexander-Walker,27:46,Herbert Jones,24:10,Tomáš Satoranský,16:40,Garrett Temple,14:46,Jaxson Hayes,13:13,98,0,0,0.0,,0.0,,0.0,,Marcus Garrett,15,0,2021-2022,0.0,0,0.0,MIA,113,Tyler Herro,Udonis Haslem,7:21,Omer Yurtseven,2:50,,,,,,,,,36:59,Jimmy Butler,36:34,Gabe Vincent,27:08,Duncan Robinson,25:38,Dewayne Dedmon,25:27,Caleb Martin,23:04,Max Strus,21:02,P.J. Tucker,20:48,KZ Okpala,11:49
0,,0,,0,,97,0,1,100.0,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202111180MIA.html,Home,112,1:22,0,0.0,WAS,Kyle Kuzma,Isaiah Todd,1:22,Joel Ayayi,1:22,,,,,,,,,40:08,Montrezl Harrell,36:25,Bradley Beal,36:19,Kentavious Caldwell-Pope,29:32,Aaron Holiday,29:12,Corey Kispert,24:15,Deni Avdija,19:35,Raul Neto,13:01,Anthony Gill,8:49,97,0,0,0.0,,0.0,,0.0,,Marcus Garrett,15,0,2021-2022,0.0,0,1.0,MIA,112,Kyle Lowry,Omer Yurtseven,1:22,KZ Okpala,1:22,,,,,,,,,35:11,Jimmy Butler,34:12,P.J. Tucker,31:48,Bam Adebayo,30:09,Duncan Robinson,26:34,Gabe Vincent,25:15,Caleb Martin,23:37,Max Strus,20:04,Dewayne Dedmon,9:04
0,,0,,2,,92,1,0,,0,,0.0,,0.0,0,0,.000,2,,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202112110MIA.html,Home,118,2:44,0,,CHI,Lonzo Ball,Tyler Cook,4:44,Alize Johnson,4:44,,,,,,,,,39:48,Zach LaVine,37:43,Troy Brown Jr.,34:01,Nikola Vučević,33:53,Alfonzo McKinnie,29:01,Alex Caruso,27:25,Devon Dotson,14:34,Tony Bradley,9:23,Marko Simonovic,4:44,92,0,0,0.0,,0.0,,0.0,,Marcus Garrett,26,0,2021-2022,1.0,0,0.0,MIA,118,Tyler Herro,,,,,,,,,,,,,33:08,P.J. Tucker,32:04,Gabe Vincent,30:45,Kyle Lowry,29:23,Dewayne Dedmon,28:54,KZ Okpala,27:59,Duncan Robinson,27:11,Max Strus,20:49,Omer Yurtseven,7:03
0,,0,0.000,0,,101,0,2,100.0,0,.000,0.0,0.0,1.0,1,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202112150PHI.html,Away,96,8:27,0,0.0,PHI,Tyrese Maxey,Paul Reed,4:36,,,,,,,,,,,41:52,Joel Embiid,37:06,Tobias Harris,37:04,Seth Curry,33:14,Danny Green,28:01,Shake Milton,21:59,Matisse Thybulle,14:20,Isaiah Joe,11:01,Andre Drummond,10:47,96,2,0,0.0,,0.0,,0.0,,Marcus Garrett,5,0,2021-2022,0.0,0,2.0,MIA,101,Duncan Robinson,,,,,,,,,,,,,39:07,Kyle Lowry,38:35,P.J. Tucker,37:36,Gabe Vincent,34:53,Dewayne Dedmon,31:36,Max Strus,23:07,KZ Okpala,14:49,Omer Yurtseven,11:50,,
0,,0,0.000,0,0.00,115,0,2,40.0,0,.000,0.0,0.0,2.0,2,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202112170ORL.html,Away,105,13:26,3,60.0,ORL,Chuma Okeke,Aleem Ford,6:46,,,,,,,,,,,38:34,Gary Harris,36:15,Franz Wagner,36:05,Robin Lopez,32:57,Hassani Gravett,23:55,Mychal Mulder,22:08,B.J. Johnson,20:19,Admiral Schofield,12:11,Wendell Carter Jr.,10:50,105,2,0,0.0,,0.0,,0.0,,Marcus Garrett,10,1,2021-2022,1.0,1,5.0,MIA,115,Gabe Vincent,,,,,,,,,,,,,36:14,Kyle Lowry,35:03,Max Strus,33:51,P.J. Tucker,32:26,Dewayne Dedmon,26:44,Duncan Robinson,25:25,Omer Yurtseven,21:16,KZ Okpala,15:35,,
1,1.000,1,50.000,0,,90,1,1,100.0,2,1.000,1.0,100.0,1.0,2,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202112190DET.html,Away,100,18:35,0,0.0,DET,Saddiq Bey,Luka Garza,7:17,Rodney McGruder,2:11,,,,,,,,,36:22,Cade Cunningham,31:06,Isaiah Stewart,29:34,Hamidou Diallo,29:32,Cory Joseph,23:54,Frank Jackson,22:24,Killian Hayes,20:51,Trey Lyles,18:26,Saben Lee,18:23,100,2,5,2.0,40.0,3.0,60.0,0.0,0.0,Marcus Garrett,10,0,2021-2022,1.0,0,1.0,MIA,90,Kyle Lowry,,,,,,,,,,,,,42:10,Max Strus,33:34,Duncan Robinson,33:18,Gabe Vincent,31:25,Dewayne Dedmon,27:00,P.J. Tucker,20:51,Omer Yurtseven,18:19,KZ Okpala,14:48,,
0,,0,0.000,2,2.00,96,0,3,60.0,1,.333,1.0,33.3,3.0,3,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202112210MIA.html,Home,125,18:44,2,40.0,IND,Caris LeVert,Isaiah Jackson,12:00,Kelan Martin,9:33,Malcolm Brogdon,7:58,Goga Bitadze,7:16,,,,,30:25,Domantas Sabonis,28:29,Brad Wanamaker,27:06,Oshae Brissett,23:42,Justin Holiday,22:24,Myles Turner,21:35,Chris Duarte,18:37,Torrey Craig,15:30,Jeremy Lamb,15:25,96,2,2,2.0,100.0,0.0,0.0,0.0,0.0,Marcus Garrett,29,0,2021-2022,0.0,1,5.0,MIA,125,Max Strus,,,,,,,,,,,,,36:07,Gabe Vincent,32:15,Kyle Lowry,30:21,Duncan Robinson,30:03,KZ Okpala,23:21,Omer Yurtseven,22:15,Tyler Herro,21:09,Dewayne Dedmon,19:53,Udonis Haslem,5:52
0,,0,0.000,0,,112,0,1,100.0,1,.333,1.0,33.3,3.0,3,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202112230MIA.html,Home,115,19:23,0,0.0,DET,Saddiq Bey,,,,,,,,,,,,,43:01,Cory Joseph,42:04,Frank Jackson,39:04,Trey Lyles,37:04,Hamidou Diallo,34:24,Josh Jackson,21:17,Jamorko Pickett,15:07,Luka Garza,5:00,Cheick Diallo,2:59,112,3,2,2.0,100.0,0.0,0.0,0.0,0.0,Marcus Garrett,3,0,2021-2022,0.0,0,1.0,MIA,115,Max Strus,,,,,,,,,,,,,40:55,Kyle Lowry,37:47,Tyler Herro,34:10,Gabe Vincent,33:26,Omer Yurtseven,24:35,Duncan Robinson,21:08,Udonis Haslem,11:42,KZ Okpala,11:35,Dewayne Dedmon,5:19
