3P,3P%,3PA,3PAr,AST,AST/TOV,Away_Score,BLK,DRB,DRB_Pct_of_TRB,FG,FG%,FG2,FG2%,FG2A,FGA,FT,FT%,FTA,FTr,Game_Date,Game_Result,Game_URL,Home/Away,Home_Score,MP,ORB,ORB_Pct_of_TRB,Opponent,Opponent_1,Opponent_10,Opponent_10_MP,Opponent_11,Opponent_11_MP,Opponent_12,Opponent_12_MP,Opponent_13,Opponent_13_MP,Opponent_14,Opponent_14_MP,Opponent_15,Opponent_15_MP,Opponent_1_MP,Opponent_2,Opponent_2_MP,Opponent_3,Opponent_3_MP,Opponent_4,Opponent_4_MP,Opponent_5,Opponent_5_MP,Opponent_6,Opponent_6_MP,Opponent_7,Opponent_7_MP,Opponent_8,Opponent_8_MP,Opponent_9,Opponent_9_MP,Opponent_Score,PF,PTS,PTS_2P,PTS_2P_Pct,PTS_3P,PTS_3P_Pct,PTS_FT,PTS_FT_Pct,Player,Point_Differential,STL,Season,Stocks,TOV,TRB,Team,Team_Score,Teammate_1,Teammate_10,Teammate_10_MP,Teammate_11,Teammate_11_MP,Teammate_12,Teammate_12_MP,Teammate_13,Teammate_13_MP,Teammate_14,Teammate_14_MP,Teammate_15,Teammate_15_MP,Teammate_1_MP,Teammate_2,Teammate_2_MP,Teammate_3,Teammate_3_MP,Teammate_4,Teammate_4_MP,Teammate_5,Teammate_5_MP,Teammate_6,Teammate_6_MP,Teammate_7,Teammate_7_MP,Teammate_8,Teammate_8_MP,Teammate_9,Teammate_9_MP
0,.000,1,33.333,2,2.00,90,0,0,0.0,1,.333,1.0,50.0,2.0,3,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202101080HOU.html,Home,132,7:22,1,100.0,ORL,Gary Clark,Mo Bamba,13:28,,,,,,,,,,,30:48,Nikola Vučević,29:38,Cole Anthony,28:06,Dwayne Bacon,27:55,Jordan Bone,27:31,Khem Birch,22:58,Karim Mané,21:20,James Ennis III,19:54,Terrence Ross,18:22,90,0,2,2.0,100.0,0.0,0.0,0.0,0.0,Mason Jones,42,0,2020-2021,0.0,1,1.0,HOU,132,James Harden,Jae'Sean Tate,15:29,KJ Martin,5:28,Bruno Caboclo,4:57,,,,,,,30:58,John Wall,28:45,P.J. Tucker,28:33,Christian Wood,26:32,David Nwaba,22:52,Eric Gordon,18:51,Sterling Brown,18:10,DeMarcus Cousins,16:31,Ben McLemore,15:32
0,.000,1,50.000,0,,120,0,2,66.7,1,.500,1.0,100.0,1.0,2,1,.500,2,100.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202101100HOU.html,Home,102,3:02,1,33.3,LAL,Dennis Schröder,Quinn Cook,3:02,Alfonzo McKinnie,3:02,Markieff Morris,2:53,,,,,,,34:53,LeBron James,30:21,Anthony Davis,29:56,Marc Gasol,24:39,Kyle Kuzma,23:37,Montrezl Harrell,23:15,Kentavious Caldwell-Pope,22:20,Alex Caruso,21:30,Talen Horton-Tucker,20:32,120,0,3,2.0,66.7,0.0,0.0,1.0,33.3,Mason Jones,18,0,2020-2021,0.0,0,3.0,HOU,102,James Harden,DeMarcus Cousins,8:22,Bruno Caboclo,3:02,KJ Martin,3:02,,,,,,,37:46,John Wall,34:26,Christian Wood,31:49,P.J. Tucker,29:35,Eric Gordon,21:39,Jae'Sean Tate,20:10,David Nwaba,17:14,Ben McLemore,16:41,Sterling Brown,13:12
1,.333,3,75.000,1,,117,0,3,100.0,1,.250,0.0,0.0,1.0,4,2,.500,4,100.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202101120HOU.html,Home,100,12:00,0,0.0,LAL,LeBron James,Markieff Morris,14:52,Quinn Cook,7:31,Alfonzo McKinnie,4:15,,,,,,,29:11,Anthony Davis,28:53,Kyle Kuzma,27:25,Montrezl Harrell,26:40,Dennis Schröder,25:15,Marc Gasol,21:20,Kentavious Caldwell-Pope,20:06,Alex Caruso,17:45,Talen Horton-Tucker,16:47,117,2,5,0.0,0.0,3.0,60.0,2.0,40.0,Mason Jones,17,1,2020-2021,1.0,0,3.0,HOU,100,James Harden,David Nwaba,10:28,KJ Martin,5:16,Bruno Caboclo,4:15,,,,,,,30:55,John Wall,29:54,Christian Wood,25:54,Jae'Sean Tate,25:07,P.J. Tucker,22:53,Eric Gordon,20:37,Sterling Brown,17:55,DeMarcus Cousins,17:51,Ben McLemore,16:55
0,.000,1,12.500,1,0.33,109,0,1,100.0,4,.500,4.0,57.1,7.0,8,1,1.000,1,12.500,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202101140SAS.html,Away,105,14:28,0,0.0,SAS,Dejounte Murray,,,,,,,,,,,,,35:23,DeMar DeRozan,34:54,Keldon Johnson,31:13,LaMarcus Aldridge,30:21,Patty Mills,27:11,Lonnie Walker IV,25:22,Devin Vassell,22:56,Rudy Gay,17:14,Jakob Poeltl,15:26,105,1,9,8.0,88.9,0.0,0.0,1.0,11.1,Mason Jones,4,0,2020-2021,0.0,3,1.0,HOU,109,Sterling Brown,,,,,,,,,,,,,36:36,P.J. Tucker,35:08,Christian Wood,34:51,Jae'Sean Tate,33:04,David Nwaba,30:41,Ben McLemore,21:07,DeMarcus Cousins,18:24,KJ Martin,15:41,,
6,.750,8,66.667,4,0.67,91,0,5,83.3,8,.667,2.0,50.0,4.0,12,2,.500,4,33.333,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202101160SAS.html,Away,103,35:22,1,16.7,SAS,DeMar DeRozan,,,,,,,,,,,,,36:33,Dejounte Murray,31:52,Keldon Johnson,31:30,Jakob Poeltl,29:42,Lonnie Walker IV,28:59,Patty Mills,22:15,Rudy Gay,22:00,Devin Vassell,19:43,LaMarcus Aldridge,17:26,103,2,24,4.0,16.7,18.0,75.0,2.0,8.3,Mason Jones,12,0,2020-2021,0.0,6,6.0,HOU,91,Christian Wood,,,,,,,,,,,,,40:46,Ben McLemore,38:01,P.J. Tucker,36:50,Jae'Sean Tate,25:55,David Nwaba,25:16,Rodions Kurucs,21:18,KJ Martin,16:32,,,,
2,.667,3,75.000,2,,120,0,0,,3,.750,1.0,100.0,1.0,4,2,.500,4,100.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202101180CHI.html,Away,125,14:26,0,,CHI,Zach LaVine,Adam Mokoka,2:08,,,,,,,,,,,36:43,Lauri Markkanen,33:40,Garrett Temple,32:15,Coby White,31:42,Thaddeus Young,25:16,Denzel Valentine,24:28,Wendell Carter Jr.,20:47,Ryan Arcidiacono,16:43,Daniel Gafford,16:16,125,0,10,2.0,20.0,6.0,60.0,2.0,20.0,Mason Jones,5,1,2020-2021,1.0,0,0.0,HOU,120,Eric Gordon,,,,,,,,,,,,,33:56,P.J. Tucker,33:34,Victor Oladipo,32:04,Christian Wood,30:41,Jae'Sean Tate,30:25,Ben McLemore,28:01,David Nwaba,21:04,DeMarcus Cousins,15:49,,
2,.667,3,60.000,0,0.00,109,0,0,,3,.600,1.0,50.0,2.0,5,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202101200HOU.html,Home,103,11:52,0,,PHO,Deandre Ayton,Jevon Carter,8:07,,,,,,,,,,,35:34,Devin Booker,34:32,Mikal Bridges,33:41,Chris Paul,30:53,Cameron Johnson,28:27,Jae Crowder,26:00,Cameron Payne,18:18,Frank Kaminsky,12:26,Abdel Nader,12:00,109,0,8,2.0,25.0,6.0,75.0,0.0,0.0,Mason Jones,6,2,2020-2021,2.0,3,0.0,HOU,103,Jae'Sean Tate,,,,,,,,,,,,,37:14,Eric Gordon,34:03,Christian Wood,33:51,Victor Oladipo,31:19,David Nwaba,22:21,P.J. Tucker,21:21,Sterling Brown,21:18,DeMarcus Cousins,14:09,Ben McLemore,12:31
0,,0,0.000,0,,103,0,1,100.0,0,.000,0.0,0.0,1.0,1,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202101220DET.html,Away,102,3:11,0,0.0,DET,Jerami Grant,Sekou Doumbouya,6:42,Svi Mykhailiuk,0:03,,,,,,,,,34:30,Wayne Ellington,32:45,Josh Jackson,30:43,Blake Griffin,28:41,Delon Wright,28:27,Isaiah Stewart,22:51,Mason Plumlee,20:30,Derrick Rose,19:33,Saddiq Bey,15:15,102,1,0,0.0,,0.0,,0.0,,Mason Jones,1,0,2020-2021,0.0,0,1.0,HOU,103,Eric Gordon,,,,,,,,,,,,,36:20,Victor Oladipo,35:27,P.J. Tucker,33:07,DeMarcus Cousins,32:50,Jae'Sean Tate,32:24,Sterling Brown,25:38,David Nwaba,21:24,Ben McLemore,17:09,KJ Martin,2:30
3,.750,4,50.000,3,3.00,133,0,5,100.0,6,.750,3.0,75.0,4.0,8,1,.500,2,25.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202101230DAL.html,Away,108,18:36,0,0.0,DAL,Jalen Brunson,Tyrell Terry,12:00,Tyler Bey,7:19,Nate Hinton,7:19,,,,,,,32:57,Tim Hardaway Jr.,30:35,Luka Dončić,29:28,Trey Burke,23:48,Wes Iwundu,22:49,Josh Green,20:00,Boban Marjanović,19:17,Willie Cauley-Stein,18:16,James Johnson,16:12,108,4,16,6.0,37.5,9.0,56.2,1.0,6.2,Mason Jones,25,0,2020-2021,0.0,1,5.0,HOU,133,Eric Gordon,Rodions Kurucs,5:27,Brodric Thomas,5:07,,,,,,,,,30:15,DeMarcus Cousins,29:48,David Nwaba,26:53,P.J. Tucker,24:48,John Wall,20:42,Ben McLemore,20:26,KJ Martin,20:15,Jae'Sean Tate,19:41,Sterling Brown,18:02
0,.000,1,100.000,1,,126,0,1,100.0,0,.000,0.0,,0.0,1,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202101300NOP.html,Away,112,5:01,0,0.0,NOP,Nickeil Alexander-Walker,Kira Lewis Jr.,9:53,Sindarius Thornwell,6:42,Wenyen Gabriel,6:42,,,,,,,32:45,Brandon Ingram,31:40,Zion Williamson,29:14,Eric Bledsoe,28:44,Lonzo Ball,27:49,Steven Adams,23:38,Josh Hart,18:55,Jaxson Hayes,13:26,Nicolò Melli,10:32,112,2,0,0.0,,0.0,,0.0,,Mason Jones,14,0,2020-2021,0.0,0,1.0,HOU,126,Danuel House Jr.,DeMarcus Cousins,13:50,Ben McLemore,5:01,Rodions Kurucs,5:01,,,,,,,27:41,Christian Wood,27:02,John Wall,26:05,P.J. Tucker,24:53,Victor Oladipo,24:42,Jae'Sean Tate,23:56,Eric Gordon,22:52,Sterling Brown,18:12,David Nwaba,15:44
