3P,3P%,3PA,3PAr,AST,AST/TOV,Away_Score,BLK,DRB,DRB_Pct_of_TRB,FG,FG%,FG2,FG2%,FG2A,FGA,FT,FT%,FTA,FTr,Game_Date,Game_Result,Game_URL,Home/Away,Home_Score,MP,ORB,ORB_Pct_of_TRB,Opponent,Opponent_1,Opponent_10,Opponent_10_MP,Opponent_11,Opponent_11_MP,Opponent_12,Opponent_12_MP,Opponent_13,Opponent_13_MP,Opponent_14,Opponent_14_MP,Opponent_15,Opponent_15_MP,Opponent_1_MP,Opponent_2,Opponent_2_MP,Opponent_3,Opponent_3_MP,Opponent_4,Opponent_4_MP,Opponent_5,Opponent_5_MP,Opponent_6,Opponent_6_MP,Opponent_7,Opponent_7_MP,Opponent_8,Opponent_8_MP,Opponent_9,Opponent_9_MP,Opponent_Score,PF,PTS,PTS_2P,PTS_2P_Pct,PTS_3P,PTS_3P_Pct,PTS_FT,PTS_FT_Pct,Player,Point_Differential,STL,Season,Stocks,TOV,TRB,Team,Team_Score,Teammate_1,Teammate_10,Teammate_10_MP,Teammate_11,Teammate_11_MP,Teammate_12,Teammate_12_MP,Teammate_13,Teammate_13_MP,Teammate_14,Teammate_14_MP,Teammate_15,Teammate_15_MP,Teammate_1_MP,Teammate_2,Teammate_2_MP,Teammate_3,Teammate_3_MP,Teammate_4,Teammate_4_MP,Teammate_5,Teammate_5_MP,Teammate_6,Teammate_6_MP,Teammate_7,Teammate_7_MP,Teammate_8,Teammate_8_MP,Teammate_9,Teammate_9_MP
1,1.000,1,100.000,0,,109,0,1,100.0,1,1.000,0.0,,0.0,1,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202210180GSW.html,Away,123,1:52,0,0.0,GSW,Stephen Curry,Jonathan Kuminga,13:04,Moses Moody,7:35,Ryan Rollins,1:52,,,,,,,32:48,Andrew Wiggins,29:28,Jordan Poole,28:11,Draymond Green,24:41,JaMychal Green,23:26,Donte DiVincenzo,21:37,Kevon Looney,21:08,Klay Thompson,19:39,James Wiseman,16:31,123,0,3,0.0,0.0,3.0,100.0,0.0,0.0,Max Christie,14,0,2022-2023,0.0,0,1.0,LAL,109,Anthony Davis,Wenyen Gabriel,7:48,Scotty Pippen Jr.,1:52,Cole Swider,1:52,,,,,,,35:36,LeBron James,35:12,Russell Westbrook,30:41,Lonnie Walker IV,29:17,Patrick Beverley,24:40,Kendrick Nunn,23:03,Matt Ryan,17:49,Austin Reaves,16:00,Juan Toscano-Anderson,14:18
0,,0,,1,,99,0,1,100.0,0,,0.0,,0.0,0,2,1.000,2,,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202210260DEN.html,Away,110,2:46,0,0.0,DEN,Nikola Jokić,Peyton Watson,2:46,Vlatko Čančar,2:46,Zeke Nnaji,2:46,Ish Smith,2:46,Jack White,2:46,Davon Reed,2:42,34:48,Bruce Brown,33:01,Aaron Gordon,28:30,Jamal Murray,27:43,Kentavious Caldwell-Pope,25:15,Christian Braun,25:05,Jeff Green,21:56,Bones Hyland,16:44,DeAndre Jordan,10:26,110,0,2,0.0,0.0,0.0,0.0,2.0,100.0,Max Christie,11,0,2022-2023,0.0,0,1.0,LAL,99,Anthony Davis,Matt Ryan,8:30,Wenyen Gabriel,2:46,,,,,,,,,36:26,LeBron James,35:18,Lonnie Walker IV,30:29,Patrick Beverley,28:59,Troy Brown Jr.,27:42,Austin Reaves,26:29,Kendrick Nunn,19:05,Damian Jones,11:34,Juan Toscano-Anderson,9:56
0,,0,0.000,0,,130,0,0,,0,.000,0.0,0.0,1.0,1,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202211040LAL.html,Home,116,1:17,0,,UTA,Lauri Markkanen,Rudy Gay,9:53,Nickeil Alexander-Walker,7:47,Ochai Agbaji,1:17,Udoka Azubuike,1:17,Simone Fontecchio,1:17,,,32:42,Mike Conley,31:20,Kelly Olynyk,30:14,Jordan Clarkson,29:18,Collin Sexton,28:36,Jarred Vanderbilt,25:11,Talen Horton-Tucker,15:34,Malik Beasley,14:58,Walker Kessler,10:36,130,0,0,0.0,,0.0,,0.0,,Max Christie,14,0,2022-2023,0.0,0,0.0,LAL,116,Anthony Davis,Matt Ryan,10:01,Damian Jones,1:17,Kendrick Nunn,1:17,,,,,,,34:51,LeBron James,34:09,Lonnie Walker IV,30:01,Russell Westbrook,29:25,Patrick Beverley,28:16,Troy Brown Jr.,22:02,Austin Reaves,21:41,Juan Toscano-Anderson,14:36,Wenyen Gabriel,11:07
0,,0,0.000,0,,114,0,0,,1,1.000,1.0,100.0,1.0,1,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202211060LAL.html,Home,100,4:50,0,,CLE,Darius Garland,Isaac Okoro,5:56,,,,,,,,,,,38:57,Donovan Mitchell,37:08,Evan Mobley,30:27,Caris LeVert,29:34,Jarrett Allen,27:45,Dean Wade,24:50,Kevin Love,20:04,Cedi Osman,19:15,Robin Lopez,6:04,114,1,2,2.0,100.0,0.0,0.0,0.0,0.0,Max Christie,14,0,2022-2023,0.0,0,0.0,LAL,100,LeBron James,Juan Toscano-Anderson,11:42,,,,,,,,,,,33:49,Anthony Davis,32:45,Russell Westbrook,31:49,Troy Brown Jr.,29:36,Austin Reaves,25:25,Lonnie Walker IV,19:25,Kendrick Nunn,18:22,Matt Ryan,17:02,Wenyen Gabriel,15:15
2,.500,4,57.143,2,2.00,116,0,0,0.0,3,.429,1.0,33.3,3.0,7,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202211070UTA.html,Away,139,29:03,1,100.0,UTA,Jordan Clarkson,Nickeil Alexander-Walker,12:00,Ochai Agbaji,6:29,Leandro Bolmaro,5:02,Simone Fontecchio,5:02,Udoka Azubuike,4:17,,,28:39,Collin Sexton,27:57,Lauri Markkanen,27:44,Mike Conley,23:46,Kelly Olynyk,22:46,Malik Beasley,21:33,Talen Horton-Tucker,20:06,Walker Kessler,18:12,Rudy Gay,16:26,139,0,8,2.0,25.0,6.0,75.0,0.0,0.0,Max Christie,23,2,2022-2023,2.0,1,1.0,LAL,116,Austin Reaves,Scotty Pippen Jr.,6:29,,,,,,,,,,,29:48,Anthony Davis,29:12,Kendrick Nunn,26:47,Troy Brown Jr.,24:56,Russell Westbrook,24:11,Wenyen Gabriel,23:39,Matt Ryan,17:48,Damian Jones,15:13,Juan Toscano-Anderson,12:51
1,1.000,1,100.000,0,0.00,101,0,5,100.0,1,1.000,0.0,,0.0,1,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202211090LAC.html,Away,114,14:28,0,0.0,LAC,Paul George,Moses Brown,0:43,Amir Coffey,0:43,,,,,,,,,36:16,Ivica Zubac,36:13,Marcus Morris,32:20,Luke Kennard,24:55,Norman Powell,24:21,Reggie Jackson,24:02,John Wall,23:14,Terance Mann,21:29,Nicolas Batum,15:39,114,2,3,0.0,0.0,3.0,100.0,0.0,0.0,Max Christie,13,0,2022-2023,0.0,1,5.0,LAL,101,Anthony Davis,Damian Jones,0:43,Matt Ryan,0:43,,,,,,,,,35:21,Austin Reaves,35:16,Patrick Beverley,34:35,LeBron James,32:21,Troy Brown Jr.,31:53,Russell Westbrook,29:34,Kendrick Nunn,12:32,Wenyen Gabriel,8:44,Juan Toscano-Anderson,3:45
2,.400,5,100.000,1,,120,0,4,100.0,2,.400,0.0,,0.0,5,1,.500,2,40.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202211110LAL.html,Home,114,16:43,0,0.0,SAC,De'Aaron Fox,Terence Davis,12:42,,,,,,,,,,,35:33,Kevin Huerter,32:28,Domantas Sabonis,31:34,Harrison Barnes,30:34,Keegan Murray,25:41,Malik Monk,20:58,Davion Mitchell,19:34,Chimezie Metu,16:26,Trey Lyles,14:30,120,1,7,0.0,0.0,6.0,85.7,1.0,14.3,Max Christie,6,1,2022-2023,1.0,0,4.0,LAL,114,Anthony Davis,,,,,,,,,,,,,34:11,Russell Westbrook,34:03,Lonnie Walker IV,33:12,Austin Reaves,33:04,Patrick Beverley,26:24,Troy Brown Jr.,22:55,Wenyen Gabriel,19:08,Juan Toscano-Anderson,12:55,Damian Jones,7:25
0,,0,0.000,0,,103,0,9,100.0,0,.000,0.0,0.0,1.0,1,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202211130LAL.html,Home,116,20:39,0,0.0,BRK,Kevin Durant,David Duke Jr.,6:15,Kessler Edwards,3:39,Day'Ron Sharpe,3:39,,,,,,,37:50,Royce O'Neale,37:14,Joe Harris,31:01,Edmond Sumner,25:53,Yuta Watanabe,22:45,Cam Thomas,22:34,Markieff Morris,20:23,Nic Claxton,15:51,Patty Mills,12:56,103,0,0,0.0,,0.0,,0.0,,Max Christie,13,0,2022-2023,0.0,0,9.0,LAL,116,Troy Brown Jr.,Juan Toscano-Anderson,2:07,,,,,,,,,,,35:51,Anthony Davis,33:38,Austin Reaves,32:36,Lonnie Walker IV,30:22,Russell Westbrook,27:48,Patrick Beverley,25:32,Wenyen Gabriel,14:22,Kendrick Nunn,10:36,Matt Ryan,6:29
0,,0,,0,,105,0,0,,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202211250SAS.html,Away,94,1:37,0,,SAS,Devin Vassell,Keita Bates-Diop,3:23,Charles Bassey,1:37,Jordan Hall,1:37,,,,,,,35:58,Jeremy Sochan,35:48,Keldon Johnson,35:08,Tre Jones,33:20,Jakob Poeltl,25:13,Romeo Langford,21:31,Zach Collins,21:10,Malaki Branham,13:42,Isaiah Roby,11:33,94,0,0,0.0,,0.0,,0.0,,Max Christie,11,0,2022-2023,0.0,0,0.0,LAL,105,Anthony Davis,Juan Toscano-Anderson,1:09,,,,,,,,,,,35:04,Lonnie Walker IV,33:30,LeBron James,33:15,Austin Reaves,29:18,Troy Brown Jr.,29:13,Dennis Schröder,29:03,Russell Westbrook,19:25,Kendrick Nunn,15:30,Wenyen Gabriel,12:56
1,.200,5,83.333,1,,109,0,1,100.0,1,.167,0.0,0.0,1.0,6,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202211300LAL.html,Home,128,18:40,0,0.0,POR,Anfernee Simons,John Butler,2:22,,,,,,,,,,,38:50,Justise Winslow,36:18,Jerami Grant,35:10,Jusuf Nurkić,31:39,Trendon Watford,30:57,Shaedon Sharpe,27:55,Jabari Walker,14:29,Drew Eubanks,13:59,Greg Brown III,8:21,109,1,3,0.0,0.0,3.0,100.0,0.0,0.0,Max Christie,19,0,2022-2023,0.0,0,1.0,LAL,128,Austin Reaves,Damian Jones,1:55,Matt Ryan,1:55,Juan Toscano-Anderson,1:55,,,,,,,34:55,LeBron James,32:30,Anthony Davis,29:08,Dennis Schröder,29:05,Russell Westbrook,22:54,Patrick Beverley,22:26,Thomas Bryant,19:30,Kendrick Nunn,14:12,Wenyen Gabriel,10:55
