3P,3P%,3PA,3PAr,AST,AST/TOV,Away_Score,BLK,DRB,DRB_Pct_of_TRB,FG,FG%,FG2,FG2%,FG2A,FGA,FT,FT%,FTA,FTr,Game_Date,Game_Result,Game_URL,Home/Away,Home_Score,MP,ORB,ORB_Pct_of_TRB,Opponent,Opponent_1,Opponent_10,Opponent_10_MP,Opponent_11,Opponent_11_MP,Opponent_12,Opponent_12_MP,Opponent_13,Opponent_13_MP,Opponent_14,Opponent_14_MP,Opponent_15,Opponent_15_MP,Opponent_1_MP,Opponent_2,Opponent_2_MP,Opponent_3,Opponent_3_MP,Opponent_4,Opponent_4_MP,Opponent_5,Opponent_5_MP,Opponent_6,Opponent_6_MP,Opponent_7,Opponent_7_MP,Opponent_8,Opponent_8_MP,Opponent_9,Opponent_9_MP,Opponent_Score,PF,PTS,PTS_2P,PTS_2P_Pct,PTS_3P,PTS_3P_Pct,PTS_FT,PTS_FT_Pct,Player,Point_Differential,STL,Season,Stocks,TOV,TRB,Team,Team_Score,Teammate_1,Teammate_10,Teammate_10_MP,Teammate_11,Teammate_11_MP,Teammate_12,Teammate_12_MP,Teammate_13,Teammate_13_MP,Teammate_14,Teammate_14_MP,Teammate_15,Teammate_15_MP,Teammate_1_MP,Teammate_2,Teammate_2_MP,Teammate_3,Teammate_3_MP,Teammate_4,Teammate_4_MP,Teammate_5,Teammate_5_MP,Teammate_6,Teammate_6_MP,Teammate_7,Teammate_7_MP,Teammate_8,Teammate_8_MP,Teammate_9,Teammate_9_MP
0,.000,2,66.667,0,,121,1,0,,0,.000,0.0,0.0,1.0,3,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202110220ORL.html,Away,96,2:40,0,,ORL,Mo Bamba,Ignas Brazdeikis,8:17,,,,,,,,,,,33:52,Franz Wagner,33:48,Jalen Suggs,31:43,Cole Anthony,31:36,Wendell Carter Jr.,30:08,Terrence Ross,24:05,R.J. Hampton,19:57,Moritz Wagner,13:24,Robin Lopez,13:10,96,0,0,0.0,,0.0,,0.0,,Miles McBride,25,0,2021-2022,1.0,0,0.0,NYK,121,Julius Randle,Jericho Sims,9:45,Quentin Grimes,4:34,Kevin Knox,4:28,Wayne Selden,0:58,,,,,30:07,Mitchell Robinson,28:13,Evan Fournier,27:04,RJ Barrett,25:21,Derrick Rose,23:34,Obi Toppin,23:21,Kemba Walker,21:46,Immanuel Quickley,19:58,Alec Burks,18:11
0,,0,,0,,110,0,0,,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202110240NYK.html,Home,104,0:04,0,,ORL,Franz Wagner,Ignas Brazdeikis,2:06,,,,,,,,,,,38:38,Cole Anthony,34:45,Mo Bamba,33:50,Terrence Ross,31:17,Wendell Carter Jr.,30:54,Jalen Suggs,24:08,R.J. Hampton,15:44,Robin Lopez,14:40,Moritz Wagner,13:58,110,0,0,0.0,,0.0,,0.0,,Miles McBride,6,0,2021-2022,0.0,0,0.0,NYK,104,Julius Randle,Taj Gibson,11:51,,,,,,,,,,,38:29,Mitchell Robinson,33:22,RJ Barrett,33:03,Derrick Rose,28:38,Evan Fournier,25:58,Alec Burks,24:47,Kemba Walker,19:18,Obi Toppin,12:18,Immanuel Quickley,12:12
0,,0,,0,,123,0,0,,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202110300NOP.html,Away,117,0:03,0,,NOP,Herbert Jones,Naji Marshall,11:19,,,,,,,,,,,36:13,Jonas Valančiūnas,32:50,Devonte' Graham,31:55,Nickeil Alexander-Walker,31:50,Josh Hart,30:18,Trey Murphy III,18:11,Kira Lewis Jr.,16:10,Tomáš Satoranský,16:05,Jaxson Hayes,15:09,117,0,0,0.0,,0.0,,0.0,,Miles McBride,6,0,2021-2022,0.0,0,0.0,NYK,123,Julius Randle,Obi Toppin,10:08,,,,,,,,,,,37:52,Evan Fournier,37:04,RJ Barrett,35:56,Kemba Walker,32:01,Mitchell Robinson,27:06,Taj Gibson,20:54,Derrick Rose,15:25,Alec Burks,12:35,Immanuel Quickley,10:56
0,,0,,0,,113,0,0,,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202111050MIL.html,Away,98,0:27,0,,MIL,Grayson Allen,Rodney Hood,16:35,Justin Robinson,4:00,,,,,,,,,31:10,Giannis Antetokounmpo,30:30,Pat Connaughton,27:38,George Hill,25:01,Bobby Portis,24:21,Jordan Nwora,23:32,Jrue Holiday,20:19,Semi Ojeleye,18:49,Thanasis Antetokounmpo,18:02,98,0,0,0.0,,0.0,,0.0,,Miles McBride,15,0,2021-2022,0.0,0,0.0,NYK,113,RJ Barrett,Alec Burks,12:46,Jericho Sims,2:22,Kevin Knox,1:23,Quentin Grimes,1:23,,,,,39:23,Julius Randle,33:17,Derrick Rose,30:25,Evan Fournier,24:44,Nerlens Noel,24:29,Mitchell Robinson,21:09,Immanuel Quickley,18:15,Kemba Walker,15:13,Obi Toppin,14:43
0,.000,1,100.000,0,,126,0,0,,0,.000,0.0,,0.0,1,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202111070NYK.html,Home,109,1:08,0,,CLE,Evan Mobley,Denzel Valentine,1:08,Tacko Fall,1:08,,,,,,,,,35:36,Darius Garland,35:17,Jarrett Allen,34:27,Ricky Rubio,31:20,Cedi Osman,31:03,Dean Wade,26:32,Dylan Windler,16:41,Lamar Stevens,14:17,Collin Sexton,12:31,126,0,0,0.0,,0.0,,0.0,,Miles McBride,17,0,2021-2022,0.0,0,0.0,NYK,109,Julius Randle,Obi Toppin,11:05,Kevin Knox,1:02,Jericho Sims,0:52,,,,,,,36:55,Nerlens Noel,30:02,RJ Barrett,29:52,Evan Fournier,29:07,Derrick Rose,28:58,Alec Burks,21:57,Immanuel Quickley,20:06,Mitchell Robinson,16:56,Quentin Grimes,12:00
0,.000,3,60.000,1,,118,0,0,0.0,1,.200,1.0,50.0,2.0,5,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202111260NYK.html,Home,97,4:04,1,100.0,PHO,Mikal Bridges,Jalen Smith,2:00,Ish Wainright,2:00,,,,,,,,,38:35,Devin Booker,35:27,Deandre Ayton,32:08,Chris Paul,30:14,Cameron Johnson,27:33,Jae Crowder,20:27,Landry Shamet,19:58,Cameron Payne,17:46,JaVale McGee,13:52,118,1,2,2.0,100.0,0.0,0.0,0.0,0.0,Miles McBride,21,1,2021-2022,1.0,0,1.0,NYK,97,Julius Randle,Obi Toppin,13:46,Kevin Knox,7:39,Jericho Sims,3:36,,,,,,,31:37,RJ Barrett,31:27,Evan Fournier,25:43,Kemba Walker,23:01,Alec Burks,22:57,Mitchell Robinson,21:09,Immanuel Quickley,19:40,Nerlens Noel,18:20,Quentin Grimes,17:01
0,,0,0.000,1,,102,0,1,100.0,1,.500,1.0,50.0,2.0,2,2,1.000,2,100.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202112080IND.html,Away,122,3:55,0,0.0,IND,Domantas Sabonis,Torrey Craig,4:24,Goga Bitadze,3:55,Isaiah Jackson,2:30,Duane Washington Jr.,2:30,,,,,33:12,Malcolm Brogdon,32:51,Myles Turner,32:27,Chris Duarte,30:11,Caris LeVert,27:31,Oshae Brissett,20:26,Brad Wanamaker,18:07,Kelan Martin,17:15,Jeremy Lamb,14:41,122,0,4,2.0,50.0,0.0,0.0,2.0,50.0,Miles McBride,20,1,2021-2022,1.0,0,1.0,NYK,102,RJ Barrett,Quentin Grimes,3:55,Kevin Knox,3:55,Jericho Sims,3:55,,,,,,,34:48,Julius Randle,31:28,Alec Burks,29:45,Immanuel Quickley,25:38,Derrick Rose,23:37,Evan Fournier,22:22,Obi Toppin,19:30,Mitchell Robinson,19:24,Taj Gibson,17:48
0,,0,,0,,112,0,0,,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202112120NYK.html,Home,97,0:46,0,,MIL,Jrue Holiday,Jordan Nwora,8:42,Sandro Mamukelashvili,0:46,Javonte Smart,0:46,,,,,,,34:13,Giannis Antetokounmpo,32:25,Khris Middleton,31:53,Bobby Portis,29:54,Grayson Allen,28:45,Pat Connaughton,23:53,Rodney Hood,23:02,George Hill,13:53,DeMarcus Cousins,11:46,112,0,0,0.0,,0.0,,0.0,,Miles McBride,15,0,2021-2022,0.0,0,0.0,NYK,97,Quentin Grimes,,,,,,,,,,,,,39:30,Derrick Rose,36:31,Julius Randle,35:28,Kevin Knox,28:47,Nerlens Noel,28:04,Evan Fournier,26:40,Immanuel Quickley,26:01,Mitchell Robinson,18:12,,
2,.500,4,50.000,1,,105,0,4,100.0,3,.375,1.0,25.0,4.0,8,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202112140NYK.html,Home,96,20:19,0,0.0,GSW,Stephen Curry,Jonathan Kuminga,10:16,Gary Payton II,9:57,,,,,,,,,34:43,Jordan Poole,34:07,Andrew Wiggins,33:41,Draymond Green,31:48,Kevon Looney,23:43,Damion Lee,17:12,Nemanja Bjelica,16:58,Andre Iguodala,14:26,Juan Toscano-Anderson,13:09,105,2,8,2.0,25.0,6.0,75.0,0.0,0.0,Miles McBride,9,0,2021-2022,0.0,0,4.0,NYK,96,Alec Burks,,,,,,,,,,,,,38:51,Julius Randle,37:16,Derrick Rose,34:17,Evan Fournier,28:55,Nerlens Noel,24:18,Immanuel Quickley,21:38,Kevin Knox,20:17,Mitchell Robinson,14:09,,
2,.400,5,45.455,9,,116,0,1,50.0,6,.545,4.0,66.7,6.0,11,1,1.000,1,9.091,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202112160HOU.html,Away,103,35:49,1,50.0,HOU,Josh Christopher,Armoni Brooks,9:08,Usman Garuba,2:28,,,,,,,,,32:55,Daniel Theis,32:36,Garrison Mathews,31:38,Eric Gordon,30:07,Jae'Sean Tate,29:16,KJ Martin,28:35,D.J. Augustin,18:15,Alperen Sengun,15:24,David Nwaba,9:38,103,4,15,8.0,53.3,6.0,40.0,1.0,6.7,Miles McBride,13,4,2021-2022,4.0,0,2.0,NYK,116,Alec Burks,,,,,,,,,,,,,36:31,Immanuel Quickley,31:54,Julius Randle,31:32,Mitchell Robinson,30:26,Evan Fournier,27:35,Nerlens Noel,17:34,Taj Gibson,16:28,Derrick Rose,12:11,,
