3P,3P%,3PA,3PAr,AST,AST/TOV,Away_Score,BLK,DRB,DRB_Pct_of_TRB,FG,FG%,FG2,FG2%,FG2A,FGA,FT,FT%,FTA,FTr,Game_Date,Game_Result,Game_URL,Home/Away,Home_Score,MP,ORB,ORB_Pct_of_TRB,Opponent,Opponent_1,Opponent_10,Opponent_10_MP,Opponent_11,Opponent_11_MP,Opponent_12,Opponent_12_MP,Opponent_13,Opponent_13_MP,Opponent_14,Opponent_14_MP,Opponent_15,Opponent_15_MP,Opponent_1_MP,Opponent_2,Opponent_2_MP,Opponent_3,Opponent_3_MP,Opponent_4,Opponent_4_MP,Opponent_5,Opponent_5_MP,Opponent_6,Opponent_6_MP,Opponent_7,Opponent_7_MP,Opponent_8,Opponent_8_MP,Opponent_9,Opponent_9_MP,Opponent_Score,PF,PTS,PTS_2P,PTS_2P_Pct,PTS_3P,PTS_3P_Pct,PTS_FT,PTS_FT_Pct,Player,Point_Differential,STL,Season,Stocks,TOV,TRB,Team,Team_Score,Teammate_1,Teammate_10,Teammate_10_MP,Teammate_11,Teammate_11_MP,Teammate_12,Teammate_12_MP,Teammate_13,Teammate_13_MP,Teammate_14,Teammate_14_MP,Teammate_15,Teammate_15_MP,Teammate_1_MP,Teammate_2,Teammate_2_MP,Teammate_3,Teammate_3_MP,Teammate_4,Teammate_4_MP,Teammate_5,Teammate_5_MP,Teammate_6,Teammate_6_MP,Teammate_7,Teammate_7_MP,Teammate_8,Teammate_8_MP,Teammate_9,Teammate_9_MP
0,,0,0.000,0,,97,0,0,,0,.000,0.0,0.0,1.0,1,2,1.000,2,200.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201712260SAS.html,Away,109,1:40,0,,SAS,LaMarcus Aldridge,Bryn Forbes,13:24,Dāvis Bertāns,4:47,Joffrey Lauvergne,4:08,Dejounte Murray,4:05,,,,,34:25,Pau Gasol,28:39,Kawhi Leonard,26:06,Tony Parker,24:30,Danny Green,23:09,Patty Mills,21:50,Manu Ginóbili,21:00,Kyle Anderson,18:14,Rudy Gay,15:43,109,0,2,0.0,0.0,0.0,0.0,2.0,100.0,Milton Doyle,12,0,2017-2018,0.0,0,0.0,BRK,97,Allen Crabbe,Nik Stauskas,11:30,,,,,,,,,,,31:56,Caris LeVert,27:54,DeMarre Carroll,27:24,Rondae Hollis-Jefferson,27:00,Spencer Dinwiddie,26:29,Joe Harris,25:58,Jarrett Allen,21:17,Quincy Acy,19:59,Tyler Zeller,18:53
1,.333,3,42.857,2,,113,0,2,100.0,2,.286,1.0,25.0,4.0,7,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201712270NOP.html,Away,128,15:00,0,0.0,NOP,E'Twaun Moore,Cheick Diallo,10:50,Ömer Aşık,3:15,,,,,,,,,38:00,Jrue Holiday,32:39,DeMarcus Cousins,32:28,Anthony Davis,32:22,Rajon Rondo,30:18,Darius Miller,18:30,Dante Cunningham,15:13,Ian Clark,14:14,Jameer Nelson,12:11,128,1,5,2.0,40.0,3.0,60.0,0.0,0.0,Milton Doyle,15,1,2017-2018,1.0,0,2.0,BRK,113,Caris LeVert,Tyler Zeller,14:15,Timofey Mozgov,12:17,,,,,,,,,31:30,Quincy Acy,24:19,Rondae Hollis-Jefferson,24:15,Nik Stauskas,23:38,Spencer Dinwiddie,21:45,Jarrett Allen,19:28,Allen Crabbe,19:07,Joe Harris,17:30,DeMarre Carroll,16:56
0,.000,2,66.667,1,,87,1,0,,1,.333,1.0,100.0,1.0,3,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201801060BRK.html,Home,85,6:06,0,,BOS,Kyrie Irving,Semi Ojeleye,7:03,,,,,,,,,,,37:57,Jaylen Brown,34:58,Jayson Tatum,32:20,Marcus Smart,29:15,Marcus Morris,26:14,Aron Baynes,20:11,Daniel Theis,18:39,Terry Rozier,18:29,Shane Larkin,14:54,87,0,2,2.0,100.0,0.0,0.0,0.0,0.0,Milton Doyle,2,0,2017-2018,1.0,0,0.0,BRK,85,Spencer Dinwiddie,Jarrett Allen,10:33,,,,,,,,,,,36:34,Joe Harris,32:11,Allen Crabbe,31:49,DeMarre Carroll,30:50,Rondae Hollis-Jefferson,28:18,Quincy Acy,19:42,Tyler Zeller,15:47,Nik Stauskas,15:31,Jahlil Okafor,12:39
0,.000,3,60.000,0,0.00,114,0,3,100.0,1,.200,1.0,50.0,2.0,5,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201801080BRK.html,Home,113,16:47,0,0.0,TOR,DeMar DeRozan,Lucas Nogueira,10:15,Jakob Poeltl,9:41,Norman Powell,2:08,,,,,,,42:27,Serge Ibaka,38:40,Kyle Lowry,37:47,Delon Wright,29:07,Jonas Valančiūnas,26:19,Fred VanVleet,19:01,Pascal Siakam,16:59,C.J. Miles,16:51,OG Anunoby,15:46,114,0,2,2.0,100.0,0.0,0.0,0.0,0.0,Milton Doyle,1,0,2017-2018,0.0,1,3.0,BRK,113,Spencer Dinwiddie,,,,,,,,,,,,,41:38,Joe Harris,37:24,Rondae Hollis-Jefferson,35:51,Quincy Acy,33:57,Allen Crabbe,33:46,Caris LeVert,26:44,Jarrett Allen,18:28,Tyler Zeller,10:55,Jahlil Okafor,9:31
1,.250,4,57.143,1,1.00,114,0,1,33.3,2,.286,1.0,33.3,3.0,7,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201801100BRK.html,Home,80,19:08,2,66.7,DET,Andre Drummond,Eric Moreland,9:05,Boban Marjanović,8:20,Langston Galloway,4:55,Henry Ellenson,4:55,,,,,30:35,Reggie Bullock,27:45,Tobias Harris,26:13,Avery Bradley,25:18,Ish Smith,24:13,Dwight Buycks,23:47,Stanley Johnson,20:15,Luke Kennard,17:47,Anthony Tolliver,16:52,114,2,5,2.0,40.0,3.0,60.0,0.0,0.0,Milton Doyle,34,1,2017-2018,1.0,1,3.0,BRK,80,Rondae Hollis-Jefferson,Tyler Zeller,12:38,Timofey Mozgov,8:20,,,,,,,,,27:54,Caris LeVert,26:51,Spencer Dinwiddie,26:04,Allen Crabbe,26:03,Joe Harris,25:28,Nik Stauskas,20:26,Jahlil Okafor,16:56,Quincy Acy,15:33,Jarrett Allen,14:39
0,.000,1,50.000,0,,119,0,1,100.0,1,.500,1.0,100.0,1.0,2,0,.000,1,50.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201801150BRK.html,Home,104,4:20,0,0.0,NYK,Michael Beasley,Enes Freedom,9:05,Trey Burke,8:15,Willy Hernangómez,6:14,,,,,,,29:15,Frank Ntilikina,28:57,Doug McDermott,28:34,Kristaps Porziņģis,26:58,Ron Baker,26:29,Courtney Lee,25:26,Kyle O'Quinn,22:30,Lance Thomas,15:31,Jarrett Jack,12:46,119,0,2,2.0,100.0,0.0,0.0,0.0,0.0,Milton Doyle,15,0,2017-2018,0.0,0,1.0,BRK,104,Allen Crabbe,Nik Stauskas,7:19,Jahlil Okafor,6:58,,,,,,,,,34:38,DeMarre Carroll,30:15,Caris LeVert,29:55,Spencer Dinwiddie,27:51,Rondae Hollis-Jefferson,26:20,Joe Harris,23:07,Quincy Acy,22:18,Jarrett Allen,15:27,Tyler Zeller,11:33
0,.000,1,25.000,1,,95,0,3,100.0,1,.250,1.0,33.3,3.0,4,0,.000,2,50.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201804030PHI.html,Away,121,12:00,0,0.0,PHI,Ersan İlyasova,Justin Anderson,13:29,Furkan Korkmaz,5:29,Demetrius Jackson,2:37,,,,,,,28:13,Marco Belinelli,27:11,Richaun Holmes,26:39,Robert Covington,26:11,Ben Simmons,25:14,JJ Redick,23:20,Amir Johnson,21:21,Markelle Fultz,20:49,T.J. McConnell,19:27,121,2,2,2.0,100.0,0.0,0.0,0.0,0.0,Milton Doyle,26,2,2017-2018,2.0,0,3.0,BRK,95,Spencer Dinwiddie,Jahlil Okafor,16:25,Dante Cunningham,15:58,,,,,,,,,32:44,Caris LeVert,24:19,Quincy Acy,21:46,Joe Harris,21:33,Nik Stauskas,20:48,Jarrett Allen,19:46,D'Angelo Russell,19:11,DeMarre Carroll,18:07,Rondae Hollis-Jefferson,17:23
0,.000,1,33.333,0,,124,0,2,100.0,0,.000,0.0,0.0,2.0,3,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201804070CHI.html,Away,96,8:25,0,0.0,CHI,Cristiano Felício,,,,,,,,,,,,,35:02,Justin Holiday,32:25,Bobby Portis,30:46,David Nwaba,30:23,Jerian Grant,28:23,Cameron Payne,25:48,Ryan Arcidiacono,22:12,Sean Kilpatrick,22:03,Ömer Aşık,12:58,96,2,0,0.0,,0.0,,0.0,,Milton Doyle,28,0,2017-2018,0.0,0,2.0,BRK,124,Joe Harris,Nik Stauskas,8:27,Timofey Mozgov,6:39,,,,,,,,,29:08,Spencer Dinwiddie,29:01,Caris LeVert,24:17,Quincy Acy,23:24,D'Angelo Russell,22:56,Rondae Hollis-Jefferson,22:42,Dante Cunningham,22:10,Allen Crabbe,21:46,Jarrett Allen,21:05
2,.667,3,75.000,0,,105,1,2,66.7,3,.750,1.0,100.0,1.0,4,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201804090BRK.html,Home,114,16:00,1,33.3,CHI,David Nwaba,Ömer Aşık,14:06,,,,,,,,,,,30:29,Cristiano Felício,27:36,Sean Kilpatrick,26:06,Lauri Markkanen,25:57,Cameron Payne,24:02,Ryan Arcidiacono,23:58,Jerian Grant,23:51,Bobby Portis,22:01,Justin Holiday,21:54,105,4,8,2.0,25.0,6.0,75.0,0.0,0.0,Milton Doyle,9,0,2017-2018,1.0,0,3.0,BRK,114,D'Angelo Russell,,,,,,,,,,,,,35:30,Spencer Dinwiddie,35:22,Allen Crabbe,33:42,Rondae Hollis-Jefferson,31:34,Jarrett Allen,28:14,Dante Cunningham,20:35,Quincy Acy,19:42,Nik Stauskas,19:21,,
0,.000,5,45.455,5,,97,0,1,100.0,2,.182,2.0,33.3,6.0,11,2,.667,3,27.273,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201804110BOS.html,Away,110,25:05,0,0.0,BOS,Abdel Nader,,,,,,,,,,,,,38:35,Jabari Bird,28:38,Guerschon Yabusele,28:28,Semi Ojeleye,28:28,Shane Larkin,25:37,Jonathan Gibson,24:31,Kadeem Allen,24:28,Greg Monroe,20:47,Aron Baynes,20:28,110,2,6,4.0,66.7,0.0,0.0,2.0,33.3,Milton Doyle,13,2,2017-2018,2.0,0,1.0,BRK,97,Nik Stauskas,Timofey Mozgov,9:21,,,,,,,,,,,34:49,Caris LeVert,29:01,Allen Crabbe,25:50,Quincy Acy,23:34,D'Angelo Russell,22:49,Dante Cunningham,20:12,Jarrett Allen,19:20,Rondae Hollis-Jefferson,17:59,James Webb III,12:00
