3P,3P%,3PA,3PAr,AST,AST/TOV,Away_Score,BLK,DRB,DRB_Pct_of_TRB,FG,FG%,FG2,FG2%,FG2A,FGA,FT,FT%,FTA,FTr,Game_Date,Game_Result,Game_URL,Home/Away,Home_Score,MP,ORB,ORB_Pct_of_TRB,Opponent,Opponent_1,Opponent_10,Opponent_10_MP,Opponent_11,Opponent_11_MP,Opponent_12,Opponent_12_MP,Opponent_13,Opponent_13_MP,Opponent_14,Opponent_14_MP,Opponent_15,Opponent_15_MP,Opponent_1_MP,Opponent_2,Opponent_2_MP,Opponent_3,Opponent_3_MP,Opponent_4,Opponent_4_MP,Opponent_5,Opponent_5_MP,Opponent_6,Opponent_6_MP,Opponent_7,Opponent_7_MP,Opponent_8,Opponent_8_MP,Opponent_9,Opponent_9_MP,Opponent_Score,PF,PTS,PTS_2P,PTS_2P_Pct,PTS_3P,PTS_3P_Pct,PTS_FT,PTS_FT_Pct,Player,Point_Differential,STL,Season,Stocks,TOV,TRB,Team,Team_Score,Teammate_1,Teammate_10,Teammate_10_MP,Teammate_11,Teammate_11_MP,Teammate_12,Teammate_12_MP,Teammate_13,Teammate_13_MP,Teammate_14,Teammate_14_MP,Teammate_15,Teammate_15_MP,Teammate_1_MP,Teammate_2,Teammate_2_MP,Teammate_3,Teammate_3_MP,Teammate_4,Teammate_4_MP,Teammate_5,Teammate_5_MP,Teammate_6,Teammate_6_MP,Teammate_7,Teammate_7_MP,Teammate_8,Teammate_8_MP,Teammate_9,Teammate_9_MP
0,.000,5,83.333,0,,116,0,4,100.0,1,.167,1.0,100.0,1.0,6,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202002270GSW.html,Home,86,22:03,0,0.0,LAL,Kyle Kuzma,Alex Caruso,15:27,Quinn Cook,6:47,Troy Daniels,6:47,Jared Dudley,6:47,,,,,28:34,Rajon Rondo,25:46,Anthony Davis,25:11,Dwight Howard,24:22,Kentavious Caldwell-Pope,22:41,Avery Bradley,21:17,Markieff Morris,18:57,JaVale McGee,18:52,Danny Green,18:32,116,0,2,2.0,100.0,0.0,0.0,0.0,0.0,Mychal Mulder,30,0,2019-2020,0.0,0,4.0,GSW,86,Damion Lee,,,,,,,,,,,,,33:34,Jordan Poole,32:17,Ky Bowman,30:47,Eric Paschall,26:37,Marquese Chriss,23:04,Dragan Bender,22:14,Juan Toscano-Anderson,20:24,Kevon Looney,19:16,Draymond Green,9:44
3,.375,8,66.667,0,,115,0,4,66.7,5,.417,2.0,50.0,4.0,12,1,1.000,1,8.333,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202002290PHO.html,Away,99,33:40,2,33.3,PHO,Mikal Bridges,Cheick Diallo,1:42,Ty Jerome,1:42,,,,,,,,,38:56,Devin Booker,38:19,Deandre Ayton,33:01,Ricky Rubio,28:33,Dario Šarić,28:12,Cameron Johnson,26:04,Elie Okobo,20:29,Jevon Carter,12:20,Aron Baynes,10:42,99,4,14,4.0,28.6,9.0,64.3,1.0,7.1,Mychal Mulder,16,0,2019-2020,0.0,0,6.0,GSW,115,Damion Lee,,,,,,,,,,,,,36:58,Andrew Wiggins,34:48,Eric Paschall,32:32,Juan Toscano-Anderson,30:52,Dragan Bender,30:46,Marquese Chriss,25:41,Kevon Looney,14:43,,,,
3,.429,7,70.000,1,,124,1,2,100.0,6,.600,3.0,100.0,3.0,10,2,.667,3,30.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202003010GSW.html,Home,110,31:11,0,0.0,WAS,Bradley Beal,Moritz Wagner,10:56,Anžejs Pasečņiks,10:38,Gary Payton II,2:12,,,,,,,35:09,Dāvis Bertāns,30:20,Rui Hachimura,29:47,Shabazz Napier,25:12,Jerome Robinson,21:42,Isaac Bonga,21:27,Ish Smith,20:36,Troy Brown Jr.,16:38,Thomas Bryant,15:23,124,5,17,6.0,35.3,9.0,52.9,2.0,11.8,Mychal Mulder,14,1,2019-2020,2.0,0,2.0,GSW,110,Andrew Wiggins,,,,,,,,,,,,,35:22,Damion Lee,34:12,Eric Paschall,33:22,Marquese Chriss,30:13,Juan Toscano-Anderson,28:38,Jordan Poole,27:47,Dragan Bender,19:15,,,,
5,.500,10,90.909,3,1.50,116,0,2,66.7,5,.455,0.0,0.0,1.0,11,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202003030DEN.html,Away,100,34:47,1,33.3,DEN,Jamal Murray,Vlatko Čančar,0:55,PJ Dozier,0:55,,,,,,,,,37:44,Gary Harris,34:36,Will Barton,34:31,Nikola Jokić,32:19,Paul Millsap,25:59,Jerami Grant,22:55,Monte Morris,22:45,Mason Plumlee,13:52,Michael Porter Jr.,13:29,100,4,15,0.0,0.0,15.0,100.0,0.0,0.0,Mychal Mulder,16,0,2019-2020,0.0,2,3.0,GSW,116,Eric Paschall,,,,,,,,,,,,,35:04,Andrew Wiggins,33:53,Damion Lee,33:24,Marquese Chriss,24:52,Dragan Bender,22:59,Jordan Poole,22:27,Juan Toscano-Anderson,20:28,Chasson Randle,12:06,,
2,.250,8,88.889,1,0.50,121,0,3,100.0,3,.333,1.0,100.0,1.0,9,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202003050GSW.html,Home,113,23:52,0,0.0,TOR,Norman Powell,Matt Thomas,6:25,,,,,,,,,,,38:04,Pascal Siakam,37:55,OG Anunoby,37:38,Kyle Lowry,33:27,Serge Ibaka,29:53,Patrick McCaw,24:03,Terence Davis,16:37,Rondae Hollis-Jefferson,8:07,Chris Boucher,7:51,121,2,8,2.0,25.0,6.0,75.0,0.0,0.0,Mychal Mulder,8,1,2019-2020,1.0,2,3.0,GSW,113,Andrew Wiggins,,,,,,,,,,,,,37:25,Damion Lee,35:33,Eric Paschall,32:01,Marquese Chriss,29:56,Stephen Curry,27:14,Juan Toscano-Anderson,21:55,Dragan Bender,16:11,Jordan Poole,15:53,,
3,.429,7,70.000,3,,114,0,1,100.0,5,.500,2.0,66.7,3.0,10,5,.833,6,60.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202003070GSW.html,Home,118,31:48,0,0.0,PHI,Al Horford,,,,,,,,,,,,,35:39,Tobias Harris,34:47,Mike Scott,33:41,Shake Milton,29:23,Glenn Robinson III,28:11,Furkan Korkmaz,24:18,Raul Neto,18:37,Alec Burks,17:56,Matisse Thybulle,17:28,114,3,18,4.0,22.2,9.0,50.0,5.0,27.8,Mychal Mulder,4,0,2019-2020,0.0,0,1.0,GSW,118,Andrew Wiggins,,,,,,,,,,,,,37:04,Damion Lee,34:01,Marquese Chriss,32:41,Eric Paschall,29:26,Juan Toscano-Anderson,27:43,Jordan Poole,20:26,Chasson Randle,13:36,Dragan Bender,13:15,,
0,.000,7,77.778,0,0.00,131,0,4,100.0,1,.111,1.0,50.0,2.0,9,1,.500,2,22.222,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202003100GSW.html,Home,107,26:21,0,0.0,LAC,Landry Shamet,Reggie Jackson,19:12,Patrick Patterson,8:35,Amir Coffey,8:35,,,,,,,26:38,JaMychal Green,25:46,Kawhi Leonard,25:15,Paul George,22:38,Marcus Morris,22:14,Rodney McGruder,21:01,Patrick Beverley,20:41,Ivica Zubac,19:50,Montrezl Harrell,19:35,131,2,3,2.0,66.7,0.0,0.0,1.0,33.3,Mychal Mulder,24,0,2019-2020,0.0,1,4.0,GSW,107,Andrew Wiggins,,,,,,,,,,,,,32:21,Eric Paschall,32:13,Damion Lee,30:52,Marquese Chriss,27:09,Jordan Poole,26:06,Dragan Bender,25:22,Ky Bowman,24:04,Chasson Randle,14:42,Juan Toscano-Anderson,0:50
2,1.000,2,66.667,0,,99,0,1,100.0,3,1.000,1.0,100.0,1.0,3,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202012220BRK.html,Away,125,6:36,0,0.0,BRK,Kyrie Irving,Taurean Prince,16:06,Reggie Perry,7:46,Bruce Brown,7:31,Timothé Luwawu-Cabarrot,6:36,Rodions Kurucs,6:36,Tyler Johnson,5:59,25:18,Kevin Durant,24:56,Caris LeVert,24:49,Joe Harris,20:46,Spencer Dinwiddie,19:57,Landry Shamet,19:43,Jarrett Allen,19:37,Jeff Green,17:17,DeAndre Jordan,17:03,125,0,8,2.0,25.0,6.0,75.0,0.0,0.0,Mychal Mulder,26,0,2020-2021,0.0,0,1.0,GSW,99,Andrew Wiggins,Damion Lee,12:14,Kent Bazemore,11:35,Kevon Looney,11:17,,,,,,,31:14,Stephen Curry,30:19,Kelly Oubre Jr.,25:39,James Wiseman,24:17,Brad Wanamaker,21:40,Eric Paschall,21:33,Jordan Poole,17:55,Juan Toscano-Anderson,13:15,Marquese Chriss,12:26
1,.250,4,100.000,0,,99,1,3,100.0,1,.250,0.0,,0.0,4,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202012250MIL.html,Away,138,17:34,0,0.0,MIL,Giannis Antetokounmpo,Bryn Forbes,13:21,Jordan Nwora,9:46,Thanasis Antetokounmpo,9:46,Torrey Craig,9:46,Sam Merrill,7:37,,,26:42,Bobby Portis,25:53,Khris Middleton,25:47,Jrue Holiday,25:22,Donte DiVincenzo,19:59,Brook Lopez,19:43,Pat Connaughton,18:53,D.J. Wilson,13:56,D.J. Augustin,13:27,138,0,3,0.0,0.0,3.0,100.0,0.0,0.0,Mychal Mulder,39,0,2020-2021,1.0,0,3.0,GSW,99,Stephen Curry,Juan Toscano-Anderson,12:33,Kevon Looney,11:01,Kent Bazemore,3:56,,,,,,,28:58,James Wiseman,25:03,Eric Paschall,24:59,Andrew Wiggins,24:54,Kelly Oubre Jr.,19:46,Jordan Poole,19:02,Brad Wanamaker,19:02,Damion Lee,18:54,Marquese Chriss,14:17
2,.400,5,83.333,0,,129,0,0,,2,.333,0.0,0.0,1.0,6,1,.500,2,33.333,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202012270CHI.html,Away,128,10:34,0,,CHI,Coby White,,,,,,,,,,,,,35:38,Zach LaVine,34:48,Wendell Carter Jr.,31:28,Lauri Markkanen,29:15,Patrick Williams,26:21,Tomáš Satoranský,22:50,Otto Porter Jr.,20:45,Garrett Temple,19:28,Chandler Hutchison,19:27,128,1,7,0.0,0.0,6.0,85.7,1.0,14.3,Mychal Mulder,1,1,2020-2021,1.0,0,0.0,GSW,129,Stephen Curry,Jordan Poole,13:25,,,,,,,,,,,36:26,Andrew Wiggins,36:26,Kelly Oubre Jr.,30:18,James Wiseman,22:37,Damion Lee,20:37,Juan Toscano-Anderson,19:12,Eric Paschall,19:07,Kevon Looney,16:53,Brad Wanamaker,14:24
