3P,3P%,3PA,3PAr,AST,AST/TOV,Away_Score,BLK,DRB,DRB_Pct_of_TRB,FG,FG%,FG2,FG2%,FG2A,FGA,FT,FT%,FTA,FTr,Game_Date,Game_Result,Game_URL,Home/Away,Home_Score,MP,ORB,ORB_Pct_of_TRB,Opponent,Opponent_1,Opponent_10,Opponent_10_MP,Opponent_11,Opponent_11_MP,Opponent_12,Opponent_12_MP,Opponent_13,Opponent_13_MP,Opponent_14,Opponent_14_MP,Opponent_15,Opponent_15_MP,Opponent_1_MP,Opponent_2,Opponent_2_MP,Opponent_3,Opponent_3_MP,Opponent_4,Opponent_4_MP,Opponent_5,Opponent_5_MP,Opponent_6,Opponent_6_MP,Opponent_7,Opponent_7_MP,Opponent_8,Opponent_8_MP,Opponent_9,Opponent_9_MP,Opponent_Score,PF,PTS,PTS_2P,PTS_2P_Pct,PTS_3P,PTS_3P_Pct,PTS_FT,PTS_FT_Pct,Player,Point_Differential,STL,Season,Stocks,TOV,TRB,Team,Team_Score,Teammate_1,Teammate_10,Teammate_10_MP,Teammate_11,Teammate_11_MP,Teammate_12,Teammate_12_MP,Teammate_13,Teammate_13_MP,Teammate_14,Teammate_14_MP,Teammate_15,Teammate_15_MP,Teammate_1_MP,Teammate_2,Teammate_2_MP,Teammate_3,Teammate_3_MP,Teammate_4,Teammate_4_MP,Teammate_5,Teammate_5_MP,Teammate_6,Teammate_6_MP,Teammate_7,Teammate_7_MP,Teammate_8,Teammate_8_MP,Teammate_9,Teammate_9_MP
0,,0,0.000,0,,122,0,0,,0,.000,0.0,0.0,1.0,1,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201910250SAC.html,Away,112,2:03,0,,SAC,De'Aaron Fox,Yogi Ferrell,2:34,Justin James,2:34,Wenyen Gabriel,2:34,Caleb Swanigan,2:34,,,,,34:07,Harrison Barnes,33:29,Buddy Hield,31:39,Bogdan Bogdanović,28:42,Nemanja Bjelica,27:58,Trevor Ariza,21:13,Dewayne Dedmon,20:54,Richaun Holmes,17:14,Cory Joseph,14:28,112,0,0,0.0,,0.0,,0.0,,Nassir Little,10,0,2019-2020,0.0,0,0.0,POR,122,Damian Lillard,Skal Labissière,6:10,Gary Trent Jr.,2:03,,,,,,,,,34:02,CJ McCollum,33:44,Zach Collins,31:52,Rodney Hood,30:23,Hassan Whiteside,26:19,Kent Bazemore,23:32,Anfernee Simons,21:09,Mario Hezonja,17:31,Anthony Tolliver,11:12
0,,0,0.000,0,,119,1,2,66.7,3,.600,3.0,60.0,5.0,5,2,1.000,2,40.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201911080POR.html,Home,115,18:44,1,33.3,BRK,Kyrie Irving,Džanan Musa,5:36,,,,,,,,,,,38:31,Jarrett Allen,35:46,Spencer Dinwiddie,34:38,Joe Harris,30:39,Caris LeVert,29:14,Taurean Prince,21:19,Garrett Temple,19:52,David Nwaba,12:21,Nic Claxton,12:04,119,4,8,6.0,75.0,0.0,0.0,2.0,25.0,Nassir Little,4,1,2019-2020,2.0,0,3.0,POR,115,Damian Lillard,Anthony Tolliver,4:49,,,,,,,,,,,40:21,CJ McCollum,39:32,Anfernee Simons,35:35,Hassan Whiteside,34:20,Mario Hezonja,19:52,Kent Bazemore,18:50,Gary Trent Jr.,13:15,Skal Labissière,8:41,Rodney Hood,6:01
0,.000,1,33.333,0,,113,0,2,100.0,0,.000,0.0,0.0,2.0,3,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201911100POR.html,Home,124,6:36,0,0.0,ATL,Trae Young,Bruno Fernando,3:07,,,,,,,,,,,42:58,DeAndre' Bembry,40:01,De'Andre Hunter,38:58,Jabari Parker,36:52,Kevin Huerter,30:55,Damian Jones,24:05,Tyrone Wallace,16:52,Cam Reddish,15:53,Alex Len,15:16,113,0,0,0.0,,0.0,,0.0,,Nassir Little,11,0,2019-2020,0.0,0,2.0,POR,124,Damian Lillard,Moses Brown,0:25,Jaylen Hoard,0:25,,,,,,,,,44:15,CJ McCollum,41:35,Hassan Whiteside,35:25,Kent Bazemore,33:35,Anfernee Simons,24:10,Mario Hezonja,23:37,Anthony Tolliver,22:01,Skal Labissière,17:05,Gary Trent Jr.,15:46
0,,0,,0,,99,0,0,,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201911120SAC.html,Away,107,5:50,0,,SAC,Cory Joseph,Trevor Ariza,4:27,,,,,,,,,,,37:58,Buddy Hield,37:00,Nemanja Bjelica,35:46,Harrison Barnes,32:03,Bogdan Bogdanović,31:49,Richaun Holmes,31:08,Yogi Ferrell,16:20,Dewayne Dedmon,7:28,Harry Giles,6:01,107,1,0,0.0,,0.0,,0.0,,Nassir Little,8,0,2019-2020,0.0,0,0.0,POR,99,Damian Lillard,Moses Brown,4:28,,,,,,,,,,,37:34,CJ McCollum,36:47,Kent Bazemore,32:43,Anfernee Simons,27:48,Mario Hezonja,22:26,Hassan Whiteside,20:37,Skal Labissière,18:57,Anthony Tolliver,18:51,Gary Trent Jr.,13:59
1,.200,5,50.000,0,0.00,114,1,3,60.0,3,.300,2.0,40.0,5.0,10,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201911130POR.html,Home,106,22:44,2,40.0,TOR,Pascal Siakam,Stanley Johnson,4:59,,,,,,,,,,,41:25,Fred VanVleet,40:29,Marc Gasol,35:22,Terence Davis,30:52,Norman Powell,27:14,Rondae Hollis-Jefferson,25:58,Chris Boucher,14:30,Matt Thomas,11:45,Malcolm Miller,7:26,114,4,7,4.0,57.1,3.0,42.9,0.0,0.0,Nassir Little,8,1,2019-2020,2.0,1,5.0,POR,106,Damian Lillard,,,,,,,,,,,,,36:57,CJ McCollum,36:33,Rodney Hood,32:25,Hassan Whiteside,29:40,Anfernee Simons,27:20,Kent Bazemore,21:58,Skal Labissière,18:20,Mario Hezonja,14:03,,
1,.200,5,62.500,1,1.00,121,0,6,75.0,2,.250,1.0,33.3,3.0,8,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201911160SAS.html,Away,116,31:50,2,25.0,SAS,DeMar DeRozan,Lonnie Walker IV,11:05,,,,,,,,,,,36:55,LaMarcus Aldridge,34:45,Derrick White,33:54,Bryn Forbes,27:38,Rudy Gay,23:04,Patty Mills,20:38,Trey Lyles,20:07,Jakob Poeltl,18:04,Marco Belinelli,13:50,116,4,5,2.0,40.0,3.0,60.0,0.0,0.0,Nassir Little,5,0,2019-2020,0.0,1,8.0,POR,121,Damian Lillard,,,,,,,,,,,,,40:19,CJ McCollum,38:46,Hassan Whiteside,35:08,Rodney Hood,31:00,Kent Bazemore,17:00,Anfernee Simons,16:55,Mario Hezonja,16:10,Skal Labissière,12:52,,
0,.000,4,40.000,2,1.00,108,0,5,71.4,4,.400,4.0,66.7,6.0,10,3,.500,6,60.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201911180HOU.html,Away,132,29:12,2,28.6,HOU,Clint Capela,Gary Clark,3:25,,,,,,,,,,,35:09,Russell Westbrook,34:16,Danuel House Jr.,34:06,James Harden,33:06,P.J. Tucker,31:25,Ben McLemore,26:10,Austin Rivers,21:21,Isaiah Hartenstein,12:51,Chris Clemons,8:11,132,6,11,8.0,72.7,0.0,0.0,3.0,27.3,Nassir Little,24,1,2019-2020,1.0,2,7.0,POR,108,CJ McCollum,Anthony Tolliver,3:49,,,,,,,,,,,36:57,Damian Lillard,34:31,Rodney Hood,32:25,Hassan Whiteside,26:55,Anfernee Simons,21:56,Kent Bazemore,21:29,Skal Labissière,20:18,Mario Hezonja,8:39,Gary Trent Jr.,3:49
2,1.000,2,33.333,1,1.00,104,1,7,63.6,5,.833,3.0,75.0,4.0,6,0,.000,2,33.333,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201911190NOP.html,Away,115,22:32,4,36.4,NOP,Jrue Holiday,,,,,,,,,,,,,34:49,Brandon Ingram,34:33,Kenrich Williams,33:57,JJ Redick,32:25,Nicolò Melli,27:23,E'Twaun Moore,21:26,Jaxson Hayes,20:37,Frank Jackson,19:15,Nickeil Alexander-Walker,15:35,115,4,12,6.0,50.0,6.0,50.0,0.0,0.0,Nassir Little,11,1,2019-2020,2.0,1,11.0,POR,104,Anfernee Simons,,,,,,,,,,,,,36:01,CJ McCollum,35:15,Rodney Hood,31:41,Hassan Whiteside,29:16,Kent Bazemore,28:00,Carmelo Anthony,23:37,Skal Labissière,18:44,Mario Hezonja,12:45,Gary Trent Jr.,2:09
1,.500,2,40.000,0,,129,0,0,0.0,3,.600,2.0,66.7,3.0,5,5,.833,6,120.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201911210MIL.html,Away,137,16:37,1,100.0,MIL,Giannis Antetokounmpo,Robin Lopez,14:05,,,,,,,,,,,35:49,Eric Bledsoe,31:01,Brook Lopez,30:04,Wesley Matthews,29:46,Donte DiVincenzo,27:17,Pat Connaughton,21:37,Sterling Brown,18:15,George Hill,17:08,Ersan İlyasova,14:58,137,1,12,4.0,33.3,3.0,25.0,5.0,41.7,Nassir Little,8,0,2019-2020,0.0,0,1.0,POR,129,CJ McCollum,,,,,,,,,,,,,38:29,Anthony Tolliver,31:06,Rodney Hood,29:56,Carmelo Anthony,28:59,Skal Labissière,28:25,Gary Trent Jr.,20:58,Kent Bazemore,18:26,Anfernee Simons,17:26,Mario Hezonja,9:38
0,.000,1,50.000,0,,104,1,4,66.7,0,.000,0.0,0.0,1.0,2,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201911230CLE.html,Away,110,12:48,2,33.3,CLE,Tristan Thompson,,,,,,,,,,,,,35:53,Cedi Osman,32:37,Larry Nance Jr.,32:15,Collin Sexton,31:45,Jordan Clarkson,31:09,Darius Garland,26:36,Kevin Porter Jr.,22:35,Alfonzo McKinnie,15:26,Matthew Dellavedova,11:44,110,1,0,0.0,,0.0,,0.0,,Nassir Little,6,1,2019-2020,2.0,0,6.0,POR,104,CJ McCollum,,,,,,,,,,,,,38:08,Damian Lillard,36:30,Rodney Hood,35:46,Carmelo Anthony,34:39,Anthony Tolliver,29:36,Skal Labissière,18:24,Anfernee Simons,14:25,Kent Bazemore,12:19,Gary Trent Jr.,7:25
