3P,3P%,3PA,3PAr,AST,AST/TOV,Away_Score,BLK,DRB,DRB_Pct_of_TRB,FG,FG%,FG2,FG2%,FG2A,FGA,FT,FT%,FTA,FTr,Game_Date,Game_Result,Game_URL,Home/Away,Home_Score,MP,ORB,ORB_Pct_of_TRB,Opponent,Opponent_1,Opponent_10,Opponent_10_MP,Opponent_11,Opponent_11_MP,Opponent_12,Opponent_12_MP,Opponent_13,Opponent_13_MP,Opponent_14,Opponent_14_MP,Opponent_15,Opponent_15_MP,Opponent_1_MP,Opponent_2,Opponent_2_MP,Opponent_3,Opponent_3_MP,Opponent_4,Opponent_4_MP,Opponent_5,Opponent_5_MP,Opponent_6,Opponent_6_MP,Opponent_7,Opponent_7_MP,Opponent_8,Opponent_8_MP,Opponent_9,Opponent_9_MP,Opponent_Score,PF,PTS,PTS_2P,PTS_2P_Pct,PTS_3P,PTS_3P_Pct,PTS_FT,PTS_FT_Pct,Player,Point_Differential,STL,Season,Stocks,TOV,TRB,Team,Team_Score,Teammate_1,Teammate_10,Teammate_10_MP,Teammate_11,Teammate_11_MP,Teammate_12,Teammate_12_MP,Teammate_13,Teammate_13_MP,Teammate_14,Teammate_14_MP,Teammate_15,Teammate_15_MP,Teammate_1_MP,Teammate_2,Teammate_2_MP,Teammate_3,Teammate_3_MP,Teammate_4,Teammate_4_MP,Teammate_5,Teammate_5_MP,Teammate_6,Teammate_6_MP,Teammate_7,Teammate_7_MP,Teammate_8,Teammate_8_MP,Teammate_9,Teammate_9_MP
0,,0,0.000,0,,90,0,1,100.0,0,.000,0.0,0.0,1.0,1,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201411010HOU.html,Home,104,3:39,0,0.0,BOS,Rajon Rondo,Marcus Smart,11:29,James Young,5:47,Phil Pressey,3:24,,,,,,,34:23,Jeff Green,31:12,Avery Bradley,26:42,Jared Sullinger,26:37,Evan Turner,25:50,Brandon Bass,20:22,Tyler Zeller,19:29,Marcus Thornton,19:05,Kelly Olynyk,15:40,90,1,0,0.0,,0.0,,0.0,,Nick Johnson,14,0,2014-2015,0.0,0,1.0,HOU,104,Isaiah Canaan,Troy Daniels,3:39,Joey Dorsey,3:39,,,,,,,,,34:45,Dwight Howard,33:02,James Harden,31:06,Terrence Jones,30:19,Trevor Ariza,29:48,Kostas Papanikolaou,23:11,Jason Terry,22:56,Donatas Motiejūnas,19:49,Tarik Black,4:07
0,,0,0.000,0,,81,0,0,,0,.000,0.0,0.0,1.0,1,2,1.000,2,200.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201411060HOU.html,Home,98,3:09,0,,SAS,Kyle Anderson,Matt Bonner,15:14,,,,,,,,,,,31:14,Aron Baynes,31:05,Kawhi Leonard,28:58,Tony Parker,25:47,Danny Green,25:26,Jeff Ayres,22:37,Boris Diaw,22:09,Cory Joseph,21:31,Austin Daye,15:59,81,1,2,0.0,0.0,0.0,0.0,2.0,100.0,Nick Johnson,17,0,2014-2015,0.0,0,0.0,HOU,98,James Harden,Francisco García,8:40,Clint Capela,6:13,Joey Dorsey,3:09,,,,,,,32:52,Dwight Howard,32:38,Trevor Ariza,32:01,Isaiah Canaan,26:22,Kostas Papanikolaou,26:18,Donatas Motiejūnas,25:19,Jason Terry,20:43,Troy Daniels,13:27,Tarik Black,9:09
0,,0,,0,,113,0,0,,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201411120MIN.html,Away,101,3:54,0,,MIN,Zach LaVine,Ronny Turiaf,9:39,Anthony Bennett,8:48,Robbie Hummel,8:28,Chase Budinger,3:54,,,,,34:26,Andrew Wiggins,31:30,Nikola Peković,28:06,Thaddeus Young,27:12,Corey Brewer,24:12,Kevin Martin,22:01,Shabazz Muhammad,14:23,Gorgui Dieng,13:47,Mo Williams,13:34,101,0,0,0.0,,0.0,,0.0,,Nick Johnson,12,0,2014-2015,0.0,0,0.0,HOU,113,James Harden,Joey Dorsey,3:00,,,,,,,,,,,39:45,Trevor Ariza,33:52,Dwight Howard,33:20,Donatas Motiejūnas,30:33,Isaiah Canaan,26:12,Kostas Papanikolaou,24:01,Jason Terry,23:11,Tarik Black,16:53,Troy Daniels,5:19
0,,0,0.000,0,,89,0,0,,1,1.000,1.0,100.0,1.0,1,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201411260HOU.html,Home,102,0:34,0,,SAC,Omri Casspi,Eric Moreland,0:34,,,,,,,,,,,41:08,Ben McLemore,37:59,DeMarcus Cousins,36:50,Jason Thompson,35:07,Ramon Sessions,34:33,Carl Landry,16:20,Nik Stauskas,14:12,Ray McCallum,13:27,Derrick Williams,9:50,89,0,2,2.0,100.0,0.0,0.0,0.0,0.0,Nick Johnson,13,0,2014-2015,0.0,0,0.0,HOU,102,Trevor Ariza,Troy Daniels,0:34,,,,,,,,,,,41:12,James Harden,37:27,Donatas Motiejūnas,37:00,Isaiah Canaan,31:59,Kostas Papanikolaou,28:35,Francisco García,16:13,Jason Terry,16:01,Joey Dorsey,15:22,Tarik Black,15:03
2,1.000,2,40.000,0,,102,0,0,,3,.600,1.0,33.3,3.0,5,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201411280HOU.html,Home,85,5:59,0,,LAC,Chris Paul,Glen Davis,10:28,Reggie Bullock,5:20,Jared Cunningham,4:44,Ekpe Udoh,2:44,,,,,32:41,DeAndre Jordan,32:37,Blake Griffin,30:38,Jamal Crawford,30:22,JJ Redick,24:01,Matt Barnes,19:36,Spencer Hawes,18:07,Jordan Farmar,15:19,Hedo Türkoğlu,13:23,102,1,8,2.0,25.0,6.0,75.0,0.0,0.0,Nick Johnson,17,2,2014-2015,2.0,0,0.0,HOU,85,Trevor Ariza,Troy Daniels,9:40,,,,,,,,,,,38:04,James Harden,37:51,Tarik Black,27:09,Donatas Motiejūnas,25:40,Kostas Papanikolaou,23:11,Jason Terry,22:07,Francisco García,19:36,Joey Dorsey,15:48,Isaiah Canaan,14:55
0,.000,3,60.000,0,0.00,117,0,1,100.0,1,.200,1.0,50.0,2.0,5,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201411290MIL.html,Away,103,13:13,0,0.0,MIL,Giannis Antetokounmpo,Jared Dudley,13:54,,,,,,,,,,,34:42,Jabari Parker,31:49,Brandon Knight,28:49,Ersan İlyasova,24:16,Larry Sanders,23:44,O.J. Mayo,21:57,Jerryd Bayless,21:11,Khris Middleton,20:27,Kendall Marshall,19:11,103,1,2,2.0,100.0,0.0,0.0,0.0,0.0,Nick Johnson,14,0,2014-2015,0.0,2,1.0,HOU,117,Trevor Ariza,,,,,,,,,,,,,40:33,James Harden,38:16,Jason Terry,34:47,Donatas Motiejūnas,30:58,Kostas Papanikolaou,28:34,Tarik Black,21:03,Francisco García,18:19,Joey Dorsey,12:31,Troy Daniels,1:46
0,.000,1,20.000,2,0.67,96,0,4,100.0,1,.200,1.0,25.0,4.0,5,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201412030HOU.html,Home,105,19:28,0,0.0,MEM,Quincy Pondexter,Kosta Koufos,12:49,Jarnell Stokes,12:00,Vince Carter,9:04,,,,,,,27:52,Mike Conley,27:18,Jon Leuer,26:29,Marc Gasol,25:11,Courtney Lee,23:48,Beno Udrih,20:40,Nick Calathes,20:22,Zach Randolph,19:29,Tony Allen,14:58,96,5,2,2.0,100.0,0.0,0.0,0.0,0.0,Nick Johnson,9,1,2014-2015,1.0,3,4.0,HOU,105,Trevor Ariza,Clint Capela,4:16,,,,,,,,,,,34:21,Jason Terry,31:05,James Harden,28:02,Donatas Motiejūnas,25:11,Kostas Papanikolaou,24:49,Tarik Black,23:01,Joey Dorsey,21:59,Francisco García,20:54,Troy Daniels,6:54
0,.000,2,40.000,0,,114,0,2,100.0,1,.200,1.0,33.3,3.0,5,4,1.000,4,80.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201412050MIN.html,Away,112,22:02,0,0.0,MIN,Corey Brewer,,,,,,,,,,,,,40:20,Thaddeus Young,38:36,Zach LaVine,34:55,Gorgui Dieng,31:17,Andrew Wiggins,29:26,Chase Budinger,27:47,Shabazz Muhammad,26:32,Anthony Bennett,20:00,Jeff Adrien,16:07,112,2,6,2.0,33.3,0.0,0.0,4.0,66.7,Nick Johnson,2,1,2014-2015,1.0,0,2.0,HOU,114,Trevor Ariza,,,,,,,,,,,,,43:57,Jason Terry,42:58,Donatas Motiejūnas,39:40,James Harden,36:35,Kostas Papanikolaou,26:27,Francisco García,21:34,Tarik Black,17:25,Joey Dorsey,14:21,Clint Capela,0:01
0,,0,0.000,1,,95,0,3,100.0,1,.250,1.0,25.0,4.0,4,6,.750,8,200.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201412060HOU.html,Home,100,22:06,0,0.0,PHO,Goran Dragić,Anthony Tolliver,4:13,,,,,,,,,,,40:46,Eric Bledsoe,35:35,P.J. Tucker,33:08,Markieff Morris,30:56,Marcus Morris,25:35,Gerald Green,24:07,Alex Len,17:21,Miles Plumlee,14:16,T.J. Warren,14:03,95,2,8,2.0,25.0,0.0,0.0,6.0,75.0,Nick Johnson,5,1,2014-2015,1.0,0,3.0,HOU,100,Trevor Ariza,,,,,,,,,,,,,43:27,James Harden,39:11,Jason Terry,38:45,Donatas Motiejūnas,34:39,Patrick Beverley,26:55,Tarik Black,16:45,Joey Dorsey,9:30,Francisco García,8:42,,
0,.000,1,50.000,0,0.00,93,1,1,33.3,0,.000,0.0,0.0,1.0,2,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201412100GSW.html,Away,105,19:02,2,66.7,GSW,Harrison Barnes,,,,,,,,,,,,,39:24,Stephen Curry,37:27,Klay Thompson,34:52,Draymond Green,33:57,Shaun Livingston,28:17,Andre Iguodala,24:04,Marreese Speights,19:47,Festus Ezeli,16:22,Leandro Barbosa,5:50,105,1,0,0.0,,0.0,,0.0,,Nick Johnson,12,0,2014-2015,1.0,1,3.0,HOU,93,Trevor Ariza,,,,,,,,,,,,,43:24,Patrick Beverley,39:46,James Harden,39:35,Donatas Motiejūnas,34:59,Jason Terry,28:19,Tarik Black,20:24,Joey Dorsey,12:07,Clint Capela,1:12,Troy Daniels,1:12
