3P,3P%,3PA,3PAr,AST,AST/TOV,Away_Score,BLK,DRB,DRB_Pct_of_TRB,FG,FG%,FG2,FG2%,FG2A,FGA,FT,FT%,FTA,FTr,Game_Date,Game_Result,Game_URL,Home/Away,Home_Score,MP,ORB,ORB_Pct_of_TRB,Opponent,Opponent_1,Opponent_10,Opponent_10_MP,Opponent_11,Opponent_11_MP,Opponent_12,Opponent_12_MP,Opponent_13,Opponent_13_MP,Opponent_14,Opponent_14_MP,Opponent_15,Opponent_15_MP,Opponent_1_MP,Opponent_2,Opponent_2_MP,Opponent_3,Opponent_3_MP,Opponent_4,Opponent_4_MP,Opponent_5,Opponent_5_MP,Opponent_6,Opponent_6_MP,Opponent_7,Opponent_7_MP,Opponent_8,Opponent_8_MP,Opponent_9,Opponent_9_MP,Opponent_Score,PF,PTS,PTS_2P,PTS_2P_Pct,PTS_3P,PTS_3P_Pct,PTS_FT,PTS_FT_Pct,Player,Point_Differential,STL,Season,Stocks,TOV,TRB,Team,Team_Score,Teammate_1,Teammate_10,Teammate_10_MP,Teammate_11,Teammate_11_MP,Teammate_12,Teammate_12_MP,Teammate_13,Teammate_13_MP,Teammate_14,Teammate_14_MP,Teammate_15,Teammate_15_MP,Teammate_1_MP,Teammate_2,Teammate_2_MP,Teammate_3,Teammate_3_MP,Teammate_4,Teammate_4_MP,Teammate_5,Teammate_5_MP,Teammate_6,Teammate_6_MP,Teammate_7,Teammate_7_MP,Teammate_8,Teammate_8_MP,Teammate_9,Teammate_9_MP
0,.000,1,50.000,2,,106,0,2,100.0,0,.000,0.0,0.0,1.0,2,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202101040GSW.html,Home,137,7:47,0,0.0,SAC,De'Aaron Fox,Hassan Whiteside,11:46,Justin James,7:47,Chimezie Metu,4:45,Robert Woodard II,4:45,Jahmi'us Ramsey,4:45,,,30:48,Buddy Hield,29:59,Harrison Barnes,29:52,Marvin Bagley III,24:05,Cory Joseph,22:03,Richaun Holmes,18:45,Glenn Robinson III,18:44,Kyle Guy,16:00,Nemanja Bjelica,15:55,106,1,0,0.0,,0.0,,0.0,,Nico Mannion,31,0,2020-2021,0.0,0,2.0,GSW,137,Stephen Curry,Mychal Mulder,14:29,Kevon Looney,12:23,Jordan Poole,7:47,,,,,,,30:34,Andrew Wiggins,28:05,Kelly Oubre Jr.,25:31,Eric Paschall,21:49,Draymond Green,21:14,Damion Lee,19:54,James Wiseman,17:26,Brad Wanamaker,17:26,Kent Bazemore,15:31
0,.000,2,100.000,4,4.00,119,0,1,100.0,0,.000,0.0,,0.0,2,1,.500,2,100.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202101210GSW.html,Home,104,8:06,0,0.0,NYK,Elfrid Payton,Immanuel Quickley,10:45,,,,,,,,,,,37:15,RJ Barrett,36:45,Julius Randle,36:23,Alec Burks,30:57,Mitchell Robinson,27:23,Nerlens Noel,20:26,Reggie Bullock,17:03,Obi Toppin,11:47,Kevin Knox,11:15,119,1,1,0.0,0.0,0.0,0.0,1.0,100.0,Nico Mannion,15,0,2020-2021,0.0,1,1.0,GSW,104,Stephen Curry,Kevon Looney,12:37,Jordan Poole,8:21,Mychal Mulder,4:24,,,,,,,34:39,Andrew Wiggins,32:32,Kelly Oubre Jr.,31:18,James Wiseman,24:47,Eric Paschall,18:49,Brad Wanamaker,17:37,Draymond Green,17:05,Damion Lee,16:04,Kent Bazemore,13:40
2,.667,3,60.000,4,,108,0,0,,3,.600,1.0,50.0,2.0,5,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202101230UTA.html,Away,127,9:37,0,,UTA,Donovan Mitchell,Miye Oni,11:13,Udoka Azubuike,9:37,Juwan Morgan,9:37,Shaquille Harrison,9:37,,,,,27:28,Mike Conley,26:57,Royce O'Neale,26:28,Bojan Bogdanović,26:00,Rudy Gobert,24:06,Jordan Clarkson,18:36,Georges Niang,18:09,Joe Ingles,17:55,Derrick Favors,14:17,127,0,8,2.0,25.0,6.0,75.0,0.0,0.0,Nico Mannion,19,1,2020-2021,1.0,0,0.0,GSW,108,Stephen Curry,Kevon Looney,13:21,Mychal Mulder,12:00,Kent Bazemore,9:34,Juan Toscano-Anderson,8:32,,,,,27:06,Andrew Wiggins,25:17,James Wiseman,24:47,Draymond Green,24:43,Kelly Oubre Jr.,24:20,Jordan Poole,18:18,Damion Lee,15:18,Eric Paschall,13:33,Brad Wanamaker,13:33
0,,0,,0,0.00,108,0,0,,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202101250GSW.html,Home,130,2:27,0,,MIN,Malik Beasley,Jake Layman,13:32,Ed Davis,12:52,Ashton Hagans,2:27,,,,,,,30:03,Anthony Edwards,27:13,Jaden McDaniels,25:42,Ricky Rubio,25:36,Jarred Vanderbilt,24:35,Naz Reid,24:02,Jordan McLaughlin,22:24,Josh Okogie,16:51,Jarrett Culver,14:43,108,1,0,0.0,,0.0,,0.0,,Nico Mannion,22,1,2020-2021,1.0,1,0.0,GSW,130,Stephen Curry,Kent Bazemore,14:06,Eric Paschall,13:19,Jordan Poole,2:27,,,,,,,33:53,Draymond Green,30:23,Andrew Wiggins,29:40,Kelly Oubre Jr.,27:33,Brad Wanamaker,19:10,Kevon Looney,18:54,Damion Lee,17:32,James Wiseman,15:47,Mychal Mulder,14:49
0,,0,,0,,111,0,1,100.0,0,,0.0,,0.0,0,0,.000,2,,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202101270GSW.html,Home,123,2:29,0,0.0,MIN,Anthony Edwards,Jaden McDaniels,14:29,Ed Davis,8:54,Ashton Hagans,1:37,,,,,,,32:23,Malik Beasley,30:28,Naz Reid,27:24,Jordan McLaughlin,26:27,Jarred Vanderbilt,24:49,Ricky Rubio,21:33,Jake Layman,18:52,Josh Okogie,17:08,Jaylen Nowell,15:56,111,0,0,0.0,,0.0,,0.0,,Nico Mannion,12,0,2020-2021,0.0,0,1.0,GSW,123,Stephen Curry,Kent Bazemore,12:29,Kevon Looney,11:48,Jordan Poole,1:37,,,,,,,33:13,Andrew Wiggins,30:52,Draymond Green,29:38,Kelly Oubre Jr.,24:22,James Wiseman,24:18,Damion Lee,23:41,Mychal Mulder,16:05,Eric Paschall,14:47,Brad Wanamaker,14:41
0,.000,3,75.000,2,,93,0,4,100.0,0,.000,0.0,0.0,1.0,4,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202101280PHO.html,Away,114,5:38,0,0.0,PHO,Mikal Bridges,Jalen Smith,5:04,Jevon Carter,3:25,,,,,,,,,31:48,Cameron Johnson,30:03,Jae Crowder,28:42,Chris Paul,27:08,Abdel Nader,25:08,Frank Kaminsky,24:30,Deandre Ayton,23:19,E'Twaun Moore,20:52,Langston Galloway,20:01,114,2,0,0.0,,0.0,,0.0,,Nico Mannion,21,0,2020-2021,0.0,0,4.0,GSW,93,Stephen Curry,Mychal Mulder,15:28,Kent Bazemore,15:16,Jordan Poole,5:38,,,,,,,31:14,Andrew Wiggins,28:10,Kelly Oubre Jr.,25:32,Draymond Green,24:55,Eric Paschall,18:40,James Wiseman,18:31,Damion Lee,18:24,Brad Wanamaker,17:04,Kevon Looney,15:30
3,.600,5,50.000,6,1.20,98,0,4,100.0,3,.300,0.0,0.0,5.0,10,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202103040PHO.html,Away,120,31:16,0,0.0,PHO,Devin Booker,Jevon Carter,12:00,E'Twaun Moore,6:11,Jalen Smith,3:39,,,,,,,29:49,Mikal Bridges,27:24,Cameron Payne,26:41,Frank Kaminsky,24:41,Abdel Nader,24:11,Jae Crowder,23:49,Deandre Ayton,22:27,Chris Paul,21:19,Dario Šarić,17:49,120,3,9,0.0,0.0,9.0,100.0,0.0,0.0,Nico Mannion,22,1,2020-2021,1.0,5,4.0,GSW,98,James Wiseman,Mychal Mulder,4:13,,,,,,,,,,,34:35,Juan Toscano-Anderson,32:44,Andrew Wiggins,31:15,Jordan Poole,26:11,Damion Lee,23:21,Brad Wanamaker,16:44,Eric Paschall,15:16,Kevon Looney,13:25,Kent Bazemore,11:00
1,.333,3,42.857,2,0.50,104,0,3,100.0,3,.429,2.0,50.0,4.0,7,3,.750,4,57.143,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202103110LAC.html,Away,130,21:20,0,0.0,LAC,Kawhi Leonard,Luke Kennard,12:00,Patrick Patterson,11:04,Amir Coffey,11:04,Patrick Beverley,10:46,Mfiondu Kabengele,4:42,,,31:18,Paul George,26:50,Reggie Jackson,23:20,Marcus Morris,23:11,Serge Ibaka,22:58,Terance Mann,16:52,Ivica Zubac,15:57,Nicolas Batum,15:48,Lou Williams,14:10,130,3,10,4.0,40.0,3.0,30.0,3.0,30.0,Nico Mannion,26,1,2020-2021,1.0,4,3.0,GSW,104,Kelly Oubre Jr.,James Wiseman,12:00,Damion Lee,10:34,,,,,,,,,32:27,Andrew Wiggins,28:49,Stephen Curry,26:40,Draymond Green,25:10,Jordan Poole,19:40,Juan Toscano-Anderson,19:11,Eric Paschall,15:49,Kent Bazemore,15:25,Kevon Looney,12:55
1,1.000,1,33.333,2,2.00,119,0,2,100.0,2,.667,1.0,50.0,2.0,3,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202103140GSW.html,Home,131,12:22,0,0.0,UTA,Donovan Mitchell,,,,,,,,,,,,,35:39,Rudy Gobert,32:28,Mike Conley,31:57,Royce O'Neale,30:59,Joe Ingles,30:03,Bojan Bogdanović,26:30,Jordan Clarkson,24:31,Derrick Favors,15:32,Georges Niang,12:21,119,2,5,2.0,40.0,3.0,60.0,0.0,0.0,Nico Mannion,12,2,2020-2021,2.0,1,2.0,GSW,131,Andrew Wiggins,Kent Bazemore,10:27,,,,,,,,,,,37:46,Stephen Curry,35:38,Draymond Green,35:38,Kelly Oubre Jr.,30:12,James Wiseman,23:12,Jordan Poole,21:40,Eric Paschall,11:38,Kevon Looney,10:50,Juan Toscano-Anderson,10:37
2,.333,6,85.714,4,,128,0,0,0.0,3,.429,1.0,100.0,1.0,7,2,1.000,2,28.571,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202103150GSW.html,Home,97,18:47,1,100.0,LAL,LeBron James,Alfonzo McKinnie,12:57,Devontae Cacok,5:46,,,,,,,,,30:29,Kyle Kuzma,28:10,Talen Horton-Tucker,27:59,Dennis Schröder,27:53,Montrezl Harrell,25:04,Wesley Matthews,23:47,Damian Jones,21:12,Kentavious Caldwell-Pope,20:54,Markieff Morris,15:48,128,3,10,2.0,20.0,6.0,60.0,2.0,20.0,Nico Mannion,31,0,2020-2021,0.0,0,1.0,GSW,97,Stephen Curry,Damion Lee,7:19,Juan Toscano-Anderson,3:40,Alen Smailagić,3:19,,,,,,,29:13,Draymond Green,29:13,Kelly Oubre Jr.,28:22,James Wiseman,27:58,Andrew Wiggins,27:10,Jordan Poole,20:38,Eric Paschall,18:36,Kent Bazemore,14:14,Kevon Looney,11:30
