3P,3P%,3PA,3PAr,AST,AST/TOV,Away_Score,BLK,DRB,DRB_Pct_of_TRB,FG,FG%,FG2,FG2%,FG2A,FGA,FT,FT%,FTA,FTr,Game_Date,Game_Result,Game_URL,Home/Away,Home_Score,MP,ORB,ORB_Pct_of_TRB,Opponent,Opponent_1,Opponent_10,Opponent_10_MP,Opponent_11,Opponent_11_MP,Opponent_12,Opponent_12_MP,Opponent_13,Opponent_13_MP,Opponent_14,Opponent_14_MP,Opponent_15,Opponent_15_MP,Opponent_1_MP,Opponent_2,Opponent_2_MP,Opponent_3,Opponent_3_MP,Opponent_4,Opponent_4_MP,Opponent_5,Opponent_5_MP,Opponent_6,Opponent_6_MP,Opponent_7,Opponent_7_MP,Opponent_8,Opponent_8_MP,Opponent_9,Opponent_9_MP,Opponent_Score,PF,PTS,PTS_2P,PTS_2P_Pct,PTS_3P,PTS_3P_Pct,PTS_FT,PTS_FT_Pct,Player,Point_Differential,STL,Season,Stocks,TOV,TRB,Team,Team_Score,Teammate_1,Teammate_10,Teammate_10_MP,Teammate_11,Teammate_11_MP,Teammate_12,Teammate_12_MP,Teammate_13,Teammate_13_MP,Teammate_14,Teammate_14_MP,Teammate_15,Teammate_15_MP,Teammate_1_MP,Teammate_2,Teammate_2_MP,Teammate_3,Teammate_3_MP,Teammate_4,Teammate_4_MP,Teammate_5,Teammate_5_MP,Teammate_6,Teammate_6_MP,Teammate_7,Teammate_7_MP,Teammate_8,Teammate_8_MP,Teammate_9,Teammate_9_MP
0,,0,,2,2.00,129,0,0,,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201610250GSW.html,Away,100,3:41,0,,GSW,Kevin Durant,Patrick McCaw,9:00,JaVale McGee,3:41,Kevon Looney,3:41,Anderson Varejão,3:10,,,,,36:36,Stephen Curry,34:06,Klay Thompson,33:21,Draymond Green,32:37,Andre Iguodala,26:48,Zaza Pachulia,20:05,Ian Clark,13:22,Shaun Livingston,12:54,David West,10:39,100,1,0,0.0,,0.0,,0.0,,Nicolás Laprovíttola,29,0,2016-2017,0.0,1,0.0,SAS,129,LaMarcus Aldridge,David Lee,11:08,Dāvis Bertāns,3:41,Bryn Forbes,3:41,,,,,,,35:11,Kawhi Leonard,32:03,Jonathon Simmons,28:10,Tony Parker,26:28,Kyle Anderson,22:24,Manu Ginóbili,20:52,Pau Gasol,18:16,Patty Mills,17:51,Dewayne Dedmon,16:34
0,.000,3,60.000,4,4.00,79,0,4,100.0,2,.400,2.0,100.0,2.0,5,3,1.000,3,60.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201610290SAS.html,Home,98,21:55,0,0.0,NOP,Anthony Davis,Ömer Aşık,15:01,Terrence Jones,14:03,Cheick Diallo,5:43,,,,,,,31:35,Solomon Hill,26:51,Tim Frazier,25:10,E'Twaun Moore,24:49,Langston Galloway,22:54,Dante Cunningham,22:46,Lance Stephenson,18:16,Buddy Hield,17:39,Alexis Ajinça,15:13,79,2,7,4.0,57.1,0.0,0.0,3.0,42.9,Nicolás Laprovíttola,19,0,2016-2017,0.0,1,4.0,SAS,98,Kawhi Leonard,Dāvis Bertāns,11:55,Dejounte Murray,8:47,,,,,,,,,28:00,Kyle Anderson,26:22,Jonathon Simmons,26:09,LaMarcus Aldridge,25:09,Patty Mills,24:11,Pau Gasol,21:42,Dewayne Dedmon,15:57,David Lee,15:19,Bryn Forbes,14:34
0,,0,,0,,106,0,0,,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201610300MIA.html,Away,99,0:51,0,,MIA,Justise Winslow,,,,,,,,,,,,,39:06,Hassan Whiteside,34:56,Goran Dragić,34:02,Dion Waiters,33:26,Tyler Johnson,30:23,Luke Babbitt,25:13,Rodney McGruder,16:11,James Johnson,14:05,Willie Reed,12:37,99,1,0,0.0,,0.0,,0.0,,Nicolás Laprovíttola,7,0,2016-2017,0.0,0,0.0,SAS,106,Pau Gasol,Dewayne Dedmon,16:25,,,,,,,,,,,31:08,Kawhi Leonard,29:49,Manu Ginóbili,27:30,Patty Mills,25:07,Jonathon Simmons,25:04,David Lee,24:39,Tony Parker,22:02,Kyle Anderson,20:07,Dāvis Bertāns,17:18
0,,0,,0,,106,0,0,,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201611010SAS.html,Home,91,0:45,0,,UTA,Joe Johnson,Jeff Withey,10:35,,,,,,,,,,,34:17,Rudy Gobert,33:22,Rodney Hood,33:02,George Hill,32:44,Trey Lyles,28:51,Shelvin Mack,19:05,Joe Ingles,18:35,Derrick Favors,15:37,Dante Exum,13:52,106,0,0,0.0,,0.0,,0.0,,Nicolás Laprovíttola,15,0,2016-2017,0.0,0,0.0,SAS,91,Kawhi Leonard,Dewayne Dedmon,12:16,Bryn Forbes,0:45,Dejounte Murray,0:45,,,,,,,35:47,LaMarcus Aldridge,35:12,Tony Parker,32:38,Jonathon Simmons,29:12,Pau Gasol,26:33,Manu Ginóbili,23:07,Patty Mills,14:37,Kyle Anderson,14:19,David Lee,14:04
0,.000,4,66.667,1,0.33,100,0,1,100.0,0,.000,0.0,0.0,2.0,6,2,1.000,2,33.333,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201611040UTA.html,Away,86,18:22,0,0.0,UTA,Rudy Gobert,Jeff Withey,7:07,,,,,,,,,,,29:29,Trey Lyles,29:08,Dante Exum,28:35,George Hill,28:23,Derrick Favors,27:03,Rodney Hood,23:53,Joe Johnson,23:41,Shelvin Mack,21:22,Joe Ingles,21:19,86,3,2,0.0,0.0,0.0,0.0,2.0,100.0,Nicolás Laprovíttola,14,0,2016-2017,0.0,3,1.0,SAS,100,Kawhi Leonard,Dewayne Dedmon,12:27,Dejounte Murray,3:13,Bryn Forbes,3:13,,,,,,,31:30,Patty Mills,29:38,LaMarcus Aldridge,29:01,Kyle Anderson,24:12,Pau Gasol,23:20,Jonathon Simmons,20:50,Dāvis Bertāns,16:17,Manu Ginóbili,14:07,David Lee,13:50
3,.750,4,80.000,5,2.50,116,0,1,50.0,4,.800,1.0,100.0,1.0,5,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201611050SAS.html,Home,92,21:56,1,50.0,LAC,DeAndre Jordan,Marreese Speights,18:01,,,,,,,,,,,29:59,Blake Griffin,29:09,Chris Paul,28:35,Jamal Crawford,26:00,JJ Redick,24:27,Luc Mbah a Moute,24:22,Austin Rivers,21:54,Raymond Felton,18:59,Wesley Johnson,18:34,116,1,11,2.0,18.2,9.0,81.8,0.0,0.0,Nicolás Laprovíttola,24,0,2016-2017,0.0,2,2.0,SAS,92,Kawhi Leonard,Bryn Forbes,13:32,Manu Ginóbili,12:53,Dejounte Murray,9:02,,,,,,,27:55,LaMarcus Aldridge,25:10,Patty Mills,25:10,Pau Gasol,20:38,Dewayne Dedmon,18:37,Jonathon Simmons,18:32,Dāvis Bertāns,16:15,Kyle Anderson,16:05,David Lee,14:15
1,.500,2,40.000,0,0.00,101,0,0,,2,.400,1.0,33.3,3.0,5,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201611090SAS.html,Home,99,14:20,0,,HOU,James Harden,Montrezl Harrell,4:58,K.J. McDaniels,4:49,,,,,,,,,40:50,Trevor Ariza,40:40,Ryan Anderson,36:25,Eric Gordon,33:53,Nenê,21:21,Sam Dekker,17:57,Clint Capela,17:51,Corey Brewer,14:07,Tyler Ennis,7:10,101,0,5,2.0,40.0,3.0,60.0,0.0,0.0,Nicolás Laprovíttola,2,1,2016-2017,1.0,1,0.0,SAS,99,Kawhi Leonard,Dāvis Bertāns,9:30,Dewayne Dedmon,4:09,,,,,,,,,38:59,Patty Mills,33:40,LaMarcus Aldridge,30:31,Danny Green,26:00,Manu Ginóbili,20:50,Jonathon Simmons,20:44,David Lee,15:30,Pau Gasol,12:55,Kyle Anderson,12:52
0,,0,,0,,116,0,0,,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201611180LAL.html,Away,107,0:18,0,,LAL,Luol Deng,Tarik Black,11:49,,,,,,,,,,,33:49,Jordan Clarkson,31:10,Julius Randle,30:23,Nick Young,28:03,Brandon Ingram,27:14,Lou Williams,27:04,Larry Nance Jr.,23:12,Timofey Mozgov,13:55,José Calderón,13:21,107,0,0,0.0,,0.0,,0.0,,Nicolás Laprovíttola,9,0,2016-2017,0.0,0,0.0,SAS,116,Kawhi Leonard,Dāvis Bertāns,6:46,Jonathon Simmons,2:32,Dejounte Murray,0:18,,,,,,,39:12,LaMarcus Aldridge,36:07,Pau Gasol,28:24,Tony Parker,27:28,Danny Green,26:58,Manu Ginóbili,21:20,Patty Mills,20:15,David Lee,17:55,Kyle Anderson,12:30
0,,0,,0,,112,0,0,,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201611260WAS.html,Away,100,1:07,0,,WAS,Bradley Beal,Trey Burke,9:19,Andrew Nicholson,7:24,Kelly Oubre Jr.,2:36,Sheldon Mac,1:07,,,,,38:03,Otto Porter Jr.,37:31,John Wall,37:07,Marcin Gortat,32:48,Markieff Morris,17:45,Jason Smith,15:46,Marcus Thornton,14:42,Ian Mahinmi,14:05,Tomáš Satoranský,11:47,100,0,0,0.0,,0.0,,0.0,,Nicolás Laprovíttola,12,0,2016-2017,0.0,0,0.0,SAS,112,Kawhi Leonard,Kyle Anderson,8:58,Bryn Forbes,1:07,Dejounte Murray,1:07,,,,,,,35:37,LaMarcus Aldridge,33:40,Pau Gasol,29:20,Tony Parker,27:28,Danny Green,27:24,Jonathon Simmons,22:54,David Lee,20:27,Patty Mills,19:25,Dāvis Bertāns,11:26
1,.333,3,50.000,0,0.00,94,0,1,100.0,3,.500,2.0,66.7,3.0,6,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201611300DAL.html,Away,87,18:49,0,0.0,DAL,Harrison Barnes,Salah Mejri,5:47,Jonathan Gibson,4:23,Nicolás Brussino,0:09,,,,,,,40:10,Wesley Matthews,36:36,Andrew Bogut,34:54,Seth Curry,27:32,Deron Williams,25:42,Justin Anderson,21:06,Dorian Finney-Smith,18:03,Dwight Powell,14:59,Devin Harris,10:38,87,2,7,4.0,57.1,3.0,42.9,0.0,0.0,Nicolás Laprovíttola,7,0,2016-2017,0.0,1,1.0,SAS,94,LaMarcus Aldridge,,,,,,,,,,,,,32:18,Kawhi Leonard,31:02,Patty Mills,29:11,Danny Green,27:50,Dewayne Dedmon,26:09,Jonathon Simmons,22:54,David Lee,21:41,Dāvis Bertāns,15:20,Kyle Anderson,14:47
