3P,3P%,3PA,3PAr,AST,AST/TOV,Away_Score,BLK,DRB,DRB_Pct_of_TRB,FG,FG%,FG2,FG2%,FG2A,FGA,FT,FT%,FTA,FTr,Game_Date,Game_Result,Game_URL,Home/Away,Home_Score,MP,ORB,ORB_Pct_of_TRB,Opponent,Opponent_1,Opponent_10,Opponent_10_MP,Opponent_11,Opponent_11_MP,Opponent_12,Opponent_12_MP,Opponent_13,Opponent_13_MP,Opponent_14,Opponent_14_MP,Opponent_15,Opponent_15_MP,Opponent_1_MP,Opponent_2,Opponent_2_MP,Opponent_3,Opponent_3_MP,Opponent_4,Opponent_4_MP,Opponent_5,Opponent_5_MP,Opponent_6,Opponent_6_MP,Opponent_7,Opponent_7_MP,Opponent_8,Opponent_8_MP,Opponent_9,Opponent_9_MP,Opponent_Score,PF,PTS,PTS_2P,PTS_2P_Pct,PTS_3P,PTS_3P_Pct,PTS_FT,PTS_FT_Pct,Player,Point_Differential,STL,Season,Stocks,TOV,TRB,Team,Team_Score,Teammate_1,Teammate_10,Teammate_10_MP,Teammate_11,Teammate_11_MP,Teammate_12,Teammate_12_MP,Teammate_13,Teammate_13_MP,Teammate_14,Teammate_14_MP,Teammate_15,Teammate_15_MP,Teammate_1_MP,Teammate_2,Teammate_2_MP,Teammate_3,Teammate_3_MP,Teammate_4,Teammate_4_MP,Teammate_5,Teammate_5_MP,Teammate_6,Teammate_6_MP,Teammate_7,Teammate_7_MP,Teammate_8,Teammate_8_MP,Teammate_9,Teammate_9_MP
0,.000,1,33.333,0,0.00,91,0,1,100.0,2,.667,2.0,100.0,2.0,3,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201411040NOP.html,Away,100,13:58,0,0.0,NOP,Anthony Davis,Russ Smith,3:57,,,,,,,,,,,36:48,Jrue Holiday,34:43,Austin Rivers,32:18,Tyreke Evans,30:39,Eric Gordon,28:17,Ömer Aşık,28:01,Ryan Anderson,26:09,Jimmer Fredette,14:06,Alexis Ajinça,5:02,100,1,4,4.0,100.0,0.0,0.0,0.0,0.0,P.J. Hairston,9,0,2014-2015,0.0,1,1.0,CHO,91,Al Jefferson,,,,,,,,,,,,,31:46,Gerald Henderson,31:44,Marvin Williams,27:25,Kemba Walker,27:20,Gary Neal,27:11,Lance Stephenson,23:07,Cody Zeller,23:04,Brian Roberts,20:40,Jason Maxiell,13:45
2,.250,8,88.889,2,,89,3,2,100.0,2,.222,0.0,0.0,1.0,9,1,.500,2,22.222,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201411050CHO.html,Home,96,16:17,0,0.0,MIA,Chris Bosh,James Ennis III,6:01,,,,,,,,,,,37:35,Dwyane Wade,33:12,Mario Chalmers,32:00,Shawne Williams,29:45,Luol Deng,27:42,Shabazz Napier,25:59,Norris Cole,22:01,Justin Hamilton,18:01,Josh McRoberts,7:44,89,1,7,0.0,0.0,6.0,85.7,1.0,14.3,P.J. Hairston,7,0,2014-2015,3.0,0,2.0,CHO,96,Lance Stephenson,,,,,,,,,,,,,36:04,Kemba Walker,34:14,Al Jefferson,31:37,Marvin Williams,29:59,Gary Neal,25:17,Cody Zeller,18:23,Gerald Henderson,18:22,Jason Maxiell,16:01,Brian Roberts,13:46
1,.250,4,100.000,2,1.00,119,0,2,66.7,1,.250,0.0,,0.0,4,1,1.000,1,25.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201411070CHO.html,Home,122,12:17,1,33.3,ATL,Kyle Korver,Shelvin Mack,2:29,Kent Bazemore,0:08,,,,,,,,,45:08,Jeff Teague,43:52,Paul Millsap,42:55,DeMarre Carroll,39:49,Al Horford,37:19,Thabo Sefolosha,28:14,Pero Antić,22:59,Dennis Schröder,13:52,Mike Scott,13:15,119,2,4,0.0,0.0,3.0,75.0,1.0,25.0,P.J. Hairston,3,0,2014-2015,0.0,2,3.0,CHO,122,Lance Stephenson,,,,,,,,,,,,,47:11,Kemba Walker,43:14,Al Jefferson,41:06,Cody Zeller,35:26,Gary Neal,32:25,Michael Kidd-Gilchrist,24:10,Marvin Williams,23:34,Jason Maxiell,15:53,Brian Roberts,14:46
0,.000,1,50.000,1,1.00,92,0,2,66.7,1,.500,1.0,100.0,1.0,2,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201411090LAL.html,Away,107,9:53,1,33.3,LAL,Wesley Johnson,Xavier Henry,7:22,,,,,,,,,,,35:28,Kobe Bryant,34:17,Jeremy Lin,32:41,Carlos Boozer,30:14,Jordan Hill,29:38,Ed Davis,22:10,Wayne Ellington,19:11,Ronnie Price,17:37,Robert Sacre,11:22,107,1,2,2.0,100.0,0.0,0.0,0.0,0.0,P.J. Hairston,15,0,2014-2015,0.0,1,3.0,CHO,92,Lance Stephenson,Gerald Henderson,2:41,Jannero Pargo,2:41,Bismack Biyombo,2:41,,,,,,,34:55,Kemba Walker,34:00,Al Jefferson,33:47,Marvin Williams,29:18,Gary Neal,24:18,Michael Kidd-Gilchrist,24:13,Cody Zeller,18:42,Jason Maxiell,11:32,Brian Roberts,11:19
2,.667,3,75.000,1,,100,0,0,,2,.500,0.0,0.0,1.0,4,2,1.000,2,50.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201411110POR.html,Away,102,13:46,0,,POR,LaMarcus Aldridge,Dorell Wright,5:46,,,,,,,,,,,38:51,Damian Lillard,38:37,Wesley Matthews,35:41,Steve Blake,25:18,Robin Lopez,22:36,Allen Crabbe,21:49,Chris Kaman,17:56,CJ McCollum,17:09,Joel Freeland,16:18,102,2,8,0.0,0.0,6.0,75.0,2.0,25.0,P.J. Hairston,2,1,2014-2015,1.0,0,0.0,CHO,100,Lance Stephenson,,,,,,,,,,,,,37:46,Kemba Walker,35:57,Al Jefferson,35:29,Cody Zeller,27:22,Gary Neal,24:24,Marvin Williams,20:45,Michael Kidd-Gilchrist,20:16,Jason Maxiell,12:11,Brian Roberts,12:03
2,.500,4,50.000,0,,103,0,1,50.0,3,.375,1.0,25.0,4.0,8,1,1.000,1,12.500,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201411140PHO.html,Away,95,17:15,1,50.0,PHO,Eric Bledsoe,Gerald Green,7:41,,,,,,,,,,,37:55,Markieff Morris,36:29,Miles Plumlee,32:54,Goran Dragić,32:01,Marcus Morris,28:00,P.J. Tucker,23:17,Isaiah Thomas,19:41,Alex Len,14:04,Anthony Tolliver,7:58,95,3,9,2.0,22.2,6.0,66.7,1.0,11.1,P.J. Hairston,8,0,2014-2015,0.0,0,2.0,CHO,103,Lance Stephenson,,,,,,,,,,,,,38:17,Al Jefferson,32:39,Kemba Walker,32:31,Cody Zeller,25:49,Gary Neal,25:15,Marvin Williams,23:13,Brian Roberts,15:29,Gerald Henderson,15:13,Bismack Biyombo,14:19
1,1.000,1,50.000,1,1.00,87,0,0,,1,.500,0.0,0.0,1.0,2,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201411150GSW.html,Away,112,17:47,0,,GSW,Draymond Green,Festus Ezeli,12:00,Justin Holiday,9:48,Brandon Rush,8:15,Ognjen Kuzmić,5:57,,,,,29:17,Stephen Curry,28:18,Klay Thompson,27:12,Andre Iguodala,25:35,Harrison Barnes,23:05,Andrew Bogut,21:33,Shaun Livingston,19:42,Leandro Barbosa,14:51,Marreese Speights,14:27,112,0,3,0.0,0.0,3.0,100.0,0.0,0.0,P.J. Hairston,25,0,2014-2015,0.0,1,0.0,CHO,87,Gerald Henderson,Jason Maxiell,14:04,Gary Neal,10:34,Noah Vonleh,5:57,,,,,,,27:44,Kemba Walker,27:25,Lance Stephenson,25:04,Al Jefferson,23:36,Brian Roberts,20:35,Cody Zeller,19:01,Bismack Biyombo,18:27,Marvin Williams,14:55,Jannero Pargo,14:51
2,.500,4,80.000,0,,107,0,0,,2,.400,0.0,0.0,1.0,5,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201411170CHO.html,Home,80,9:47,0,,DAL,Chandler Parsons,Devin Harris,10:14,Greg Smith,9:11,Charlie Villanueva,7:42,,,,,,,31:26,Al-Farouq Aminu,29:52,Monta Ellis,29:44,Dirk Nowitzki,25:21,Jameer Nelson,24:55,Tyson Chandler,23:20,J.J. Barea,18:52,Brandan Wright,17:08,Jae Crowder,12:16,107,3,6,0.0,0.0,6.0,100.0,0.0,0.0,P.J. Hairston,27,0,2014-2015,0.0,0,0.0,CHO,80,Gerald Henderson,Noah Vonleh,6:30,Jason Maxiell,6:30,,,,,,,,,37:20,Lance Stephenson,30:01,Kemba Walker,29:34,Al Jefferson,25:16,Cody Zeller,22:04,Marvin Williams,19:26,Brian Roberts,19:17,Jannero Pargo,18:01,Bismack Biyombo,16:14
1,.333,3,60.000,0,0.00,105,0,2,100.0,1,.200,0.0,0.0,2.0,5,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201411260CHO.html,Home,97,20:40,0,0.0,POR,Nicolas Batum,,,,,,,,,,,,,36:50,Damian Lillard,35:30,LaMarcus Aldridge,35:16,Wesley Matthews,34:16,Robin Lopez,30:38,Steve Blake,20:38,Chris Kaman,17:36,Allen Crabbe,16:53,Joel Freeland,12:23,105,3,3,0.0,0.0,3.0,100.0,0.0,0.0,P.J. Hairston,8,0,2014-2015,0.0,2,2.0,CHO,97,Kemba Walker,,,,,,,,,,,,,36:49,Al Jefferson,35:24,Brian Roberts,32:28,Gerald Henderson,31:35,Cody Zeller,29:33,Lance Stephenson,22:35,Bismack Biyombo,12:29,Marvin Williams,10:46,Jason Maxiell,7:41
2,.286,7,70.000,0,,106,1,4,100.0,3,.300,1.0,33.3,3.0,10,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201411280CHO.html,Home,101,18:38,0,0.0,GSW,Klay Thompson,,,,,,,,,,,,,34:30,Draymond Green,32:22,Andre Iguodala,32:21,Stephen Curry,32:20,Harrison Barnes,28:34,Andrew Bogut,24:07,Marreese Speights,23:46,Brandon Rush,17:57,Shaun Livingston,14:04,106,1,8,2.0,25.0,6.0,75.0,0.0,0.0,P.J. Hairston,5,0,2014-2015,1.0,0,4.0,CHO,101,Kemba Walker,,,,,,,,,,,,,42:42,Lance Stephenson,37:09,Al Jefferson,34:04,Cody Zeller,32:45,Brian Roberts,29:47,Gerald Henderson,16:03,Jason Maxiell,15:11,Bismack Biyombo,13:41,,
