3P,3P%,3PA,3PAr,AST,AST/TOV,Away_Score,BLK,DRB,DRB_Pct_of_TRB,FG,FG%,FG2,FG2%,FG2A,FGA,FT,FT%,FTA,FTr,Game_Date,Game_Result,Game_URL,Home/Away,Home_Score,MP,ORB,ORB_Pct_of_TRB,Opponent,Opponent_1,Opponent_10,Opponent_10_MP,Opponent_11,Opponent_11_MP,Opponent_12,Opponent_12_MP,Opponent_13,Opponent_13_MP,Opponent_14,Opponent_14_MP,Opponent_15,Opponent_15_MP,Opponent_1_MP,Opponent_2,Opponent_2_MP,Opponent_3,Opponent_3_MP,Opponent_4,Opponent_4_MP,Opponent_5,Opponent_5_MP,Opponent_6,Opponent_6_MP,Opponent_7,Opponent_7_MP,Opponent_8,Opponent_8_MP,Opponent_9,Opponent_9_MP,Opponent_Score,PF,PTS,PTS_2P,PTS_2P_Pct,PTS_3P,PTS_3P_Pct,PTS_FT,PTS_FT_Pct,Player,Point_Differential,STL,Season,Stocks,TOV,TRB,Team,Team_Score,Teammate_1,Teammate_10,Teammate_10_MP,Teammate_11,Teammate_11_MP,Teammate_12,Teammate_12_MP,Teammate_13,Teammate_13_MP,Teammate_14,Teammate_14_MP,Teammate_15,Teammate_15_MP,Teammate_1_MP,Teammate_2,Teammate_2_MP,Teammate_3,Teammate_3_MP,Teammate_4,Teammate_4_MP,Teammate_5,Teammate_5_MP,Teammate_6,Teammate_6_MP,Teammate_7,Teammate_7_MP,Teammate_8,Teammate_8_MP,Teammate_9,Teammate_9_MP
0,.000,2,66.667,2,,129,1,0,,1,.333,1.0,100.0,1.0,3,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201610250GSW.html,Home,100,9:00,0,,SAS,LaMarcus Aldridge,David Lee,11:08,Dāvis Bertāns,3:41,Bryn Forbes,3:41,Nicolás Laprovíttola,3:41,,,,,35:11,Kawhi Leonard,32:03,Jonathon Simmons,28:10,Tony Parker,26:28,Kyle Anderson,22:24,Manu Ginóbili,20:52,Pau Gasol,18:16,Patty Mills,17:51,Dewayne Dedmon,16:34,129,0,2,2.0,100.0,0.0,0.0,0.0,0.0,Patrick McCaw,29,1,2016-2017,2.0,0,0.0,GSW,100,Kevin Durant,JaVale McGee,3:41,Kevon Looney,3:41,Anderson Varejão,3:10,,,,,,,36:36,Stephen Curry,34:06,Klay Thompson,33:21,Draymond Green,32:37,Andre Iguodala,26:48,Zaza Pachulia,20:05,Ian Clark,13:22,Shaun Livingston,12:54,David West,10:39
1,1.000,1,100.000,0,,122,0,0,,1,1.000,0.0,,0.0,1,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201610280NOP.html,Away,114,9:59,0,,NOP,Anthony Davis,Ömer Aşık,7:46,,,,,,,,,,,39:58,Tim Frazier,34:21,Dante Cunningham,32:01,Lance Stephenson,30:52,E'Twaun Moore,26:06,Solomon Hill,24:04,Buddy Hield,18:35,Langston Galloway,13:39,Terrence Jones,12:38,114,1,3,0.0,0.0,3.0,100.0,0.0,0.0,Patrick McCaw,8,1,2016-2017,1.0,0,0.0,GSW,122,Kevin Durant,Ian Clark,5:24,,,,,,,,,,,39:06,Klay Thompson,38:57,Stephen Curry,34:04,Draymond Green,34:04,Andre Iguodala,30:05,Zaza Pachulia,17:23,Shaun Livingston,15:14,David West,8:43,Kevon Looney,7:01
1,1.000,1,25.000,3,,95,0,2,100.0,2,.500,1.0,33.3,3.0,4,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201611090GSW.html,Home,116,19:46,0,0.0,DAL,Justin Anderson,,,,,,,,,,,,,40:58,Seth Curry,35:03,Dorian Finney-Smith,34:37,Harrison Barnes,33:47,Dwight Powell,26:17,Nicolás Brussino,24:26,Quincy Acy,24:22,Salah Mejri,14:24,A.J. Hammons,6:06,95,3,5,2.0,40.0,3.0,60.0,0.0,0.0,Patrick McCaw,21,0,2016-2017,0.0,0,2.0,GSW,116,Kevin Durant,Kevon Looney,11:29,JaVale McGee,4:03,James Michael McAdoo,4:03,,,,,,,35:15,Draymond Green,34:36,Stephen Curry,30:50,Klay Thompson,28:49,Shaun Livingston,20:30,Zaza Pachulia,13:23,David West,13:09,Andre Iguodala,12:34,Ian Clark,11:33
0,.000,2,33.333,2,2.00,125,1,1,100.0,3,.500,3.0,75.0,4.0,6,2,1.000,2,33.333,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201611100DEN.html,Away,101,14:42,0,0.0,DEN,Juancho Hernangómez,Malik Beasley,14:47,Mike Miller,9:14,Jarnell Stokes,5:44,,,,,,,30:26,Kenneth Faried,30:20,Jamal Murray,29:04,Danilo Gallinari,26:28,Emmanuel Mudiay,24:28,Nikola Jokić,18:29,Gary Harris,18:04,Jusuf Nurkić,16:55,Jameer Nelson,16:01,101,0,8,6.0,75.0,0.0,0.0,2.0,25.0,Patrick McCaw,24,0,2016-2017,1.0,1,1.0,GSW,125,Klay Thompson,Ian Clark,11:22,Kevon Looney,5:51,Anderson Varejão,5:17,,,,,,,31:37,Stephen Curry,29:56,Kevin Durant,29:32,Draymond Green,28:46,Andre Iguodala,22:50,Shaun Livingston,18:03,JaVale McGee,14:59,Zaza Pachulia,13:46,David West,13:19
2,.667,3,75.000,0,,120,2,1,50.0,2,.500,0.0,0.0,1.0,4,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201611130GSW.html,Home,133,17:56,1,50.0,PHO,T.J. Warren,Dragan Bender,14:15,,,,,,,,,,,32:38,Devin Booker,32:15,Jared Dudley,30:43,Eric Bledsoe,28:22,P.J. Tucker,27:12,Brandon Knight,25:15,Alex Len,18:09,Marquese Chriss,15:49,Leandro Barbosa,15:22,120,1,6,0.0,0.0,6.0,100.0,0.0,0.0,Patrick McCaw,13,1,2016-2017,3.0,0,2.0,GSW,133,Kevin Durant,Ian Clark,5:13,JaVale McGee,3:26,,,,,,,,,37:37,Draymond Green,37:01,Stephen Curry,36:46,Klay Thompson,33:26,Andre Iguodala,24:02,Shaun Livingston,19:36,Zaza Pachulia,11:56,Kevon Looney,7:28,David West,5:33
1,.500,2,66.667,2,,127,1,2,100.0,2,.667,1.0,100.0,1.0,3,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201611160TOR.html,Away,121,20:30,0,0.0,TOR,DeMar DeRozan,Norman Powell,11:20,,,,,,,,,,,37:57,Kyle Lowry,37:34,Pascal Siakam,29:45,Patrick Patterson,24:57,DeMarre Carroll,24:05,Terrence Ross,21:38,Cory Joseph,21:35,Jonas Valančiūnas,18:19,Lucas Nogueira,12:50,121,3,5,2.0,40.0,3.0,60.0,0.0,0.0,Patrick McCaw,6,1,2016-2017,2.0,0,2.0,GSW,127,Stephen Curry,,,,,,,,,,,,,37:22,Kevin Durant,35:53,Draymond Green,34:54,Klay Thompson,31:30,Andre Iguodala,25:06,Shaun Livingston,18:21,David West,16:09,Zaza Pachulia,15:53,JaVale McGee,4:22
0,.000,2,66.667,0,0.00,104,0,1,100.0,1,.333,1.0,100.0,1.0,3,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201611180BOS.html,Away,88,16:05,0,0.0,BOS,Avery Bradley,Jonas Jerebko,15:02,James Young,12:00,Jordan Mickey,3:05,Demetrius Jackson,0:13,,,,,34:54,Isaiah Thomas,27:35,Terry Rozier,25:32,Marcus Smart,24:55,Jaylen Brown,23:29,Tyler Zeller,23:22,Kelly Olynyk,17:03,Gerald Green,16:46,Amir Johnson,16:04,88,2,2,2.0,100.0,0.0,0.0,0.0,0.0,Patrick McCaw,16,0,2016-2017,0.0,1,1.0,GSW,104,Stephen Curry,Ian Clark,7:20,,,,,,,,,,,36:18,Draymond Green,35:09,Kevin Durant,32:46,Klay Thompson,30:42,Andre Iguodala,21:42,Zaza Pachulia,21:03,Shaun Livingston,17:52,David West,13:29,James Michael McAdoo,7:34
1,.333,3,75.000,1,1.00,124,0,0,0.0,1,.250,0.0,0.0,1.0,4,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201611190MIL.html,Away,121,17:25,1,100.0,MIL,Giannis Antetokounmpo,Mirza Teletović,12:00,Greg Monroe,2:05,,,,,,,,,40:43,Jabari Parker,36:38,Matthew Dellavedova,33:38,Tony Snell,29:07,Michael Beasley,20:04,Jason Terry,18:51,John Henson,17:35,Miles Plumlee,14:57,Malcolm Brogdon,14:22,121,2,3,0.0,0.0,3.0,100.0,0.0,0.0,Patrick McCaw,3,0,2016-2017,0.0,1,1.0,GSW,124,Klay Thompson,Kevon Looney,4:25,,,,,,,,,,,37:57,Kevin Durant,35:57,Draymond Green,35:31,Stephen Curry,34:41,Andre Iguodala,24:58,Zaza Pachulia,16:46,Shaun Livingston,15:26,David West,11:39,JaVale McGee,5:14
1,.250,4,50.000,0,,120,0,0,,2,.250,1.0,25.0,4.0,8,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201611210IND.html,Away,83,12:00,0,,IND,Glenn Robinson III,Joe Young,8:18,Georges Niang,6:57,Rakeem Christmas,5:43,,,,,,,37:20,Thaddeus Young,28:44,Jeff Teague,25:52,Rodney Stuckey,23:36,Monta Ellis,23:19,Kevin Séraphin,21:51,Al Jefferson,20:53,Aaron Brooks,20:05,Lavoy Allen,17:22,83,1,5,2.0,40.0,3.0,60.0,0.0,0.0,Patrick McCaw,37,0,2016-2017,0.0,0,0.0,GSW,120,Stephen Curry,JaVale McGee,13:44,Kevon Looney,9:57,James Michael McAdoo,8:18,,,,,,,29:30,Draymond Green,29:25,Kevin Durant,27:29,Klay Thompson,26:23,Ian Clark,20:41,Andre Iguodala,18:05,Shaun Livingston,15:54,David West,14:36,Zaza Pachulia,13:59
0,,0,0.000,4,4.00,106,0,1,100.0,0,.000,0.0,0.0,1.0,1,0,.000,2,200.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201611230GSW.html,Home,149,14:51,0,0.0,LAL,Brandon Ingram,Metta World Peace,14:17,Marcelo Huertas,12:00,Thomas Robinson,11:58,,,,,,,34:24,Jordan Clarkson,29:24,Luol Deng,26:02,Lou Williams,21:43,José Calderón,19:59,Nick Young,18:55,Larry Nance Jr.,18:26,Timofey Mozgov,17:24,Tarik Black,15:28,106,0,0,0.0,,0.0,,0.0,,Patrick McCaw,43,0,2016-2017,0.0,1,1.0,GSW,149,Kevin Durant,JaVale McGee,9:31,Anderson Varejão,9:08,Kevon Looney,7:16,,,,,,,30:10,Stephen Curry,28:45,Draymond Green,27:56,Klay Thompson,23:39,Andre Iguodala,20:52,Ian Clark,17:58,Zaza Pachulia,17:57,Shaun Livingston,17:17,David West,14:40
