3P,3P%,3PA,3PAr,AST,AST/TOV,Away_Score,BLK,DRB,DRB_Pct_of_TRB,FG,FG%,FG2,FG2%,FG2A,FGA,FT,FT%,FTA,FTr,Game_Date,Game_Result,Game_URL,Home/Away,Home_Score,MP,ORB,ORB_Pct_of_TRB,Opponent,Opponent_1,Opponent_10,Opponent_10_MP,Opponent_11,Opponent_11_MP,Opponent_12,Opponent_12_MP,Opponent_13,Opponent_13_MP,Opponent_14,Opponent_14_MP,Opponent_15,Opponent_15_MP,Opponent_1_MP,Opponent_2,Opponent_2_MP,Opponent_3,Opponent_3_MP,Opponent_4,Opponent_4_MP,Opponent_5,Opponent_5_MP,Opponent_6,Opponent_6_MP,Opponent_7,Opponent_7_MP,Opponent_8,Opponent_8_MP,Opponent_9,Opponent_9_MP,Opponent_Score,PF,PTS,PTS_2P,PTS_2P_Pct,PTS_3P,PTS_3P_Pct,PTS_FT,PTS_FT_Pct,Player,Point_Differential,STL,Season,Stocks,TOV,TRB,Team,Team_Score,Teammate_1,Teammate_10,Teammate_10_MP,Teammate_11,Teammate_11_MP,Teammate_12,Teammate_12_MP,Teammate_13,Teammate_13_MP,Teammate_14,Teammate_14_MP,Teammate_15,Teammate_15_MP,Teammate_1_MP,Teammate_2,Teammate_2_MP,Teammate_3,Teammate_3_MP,Teammate_4,Teammate_4_MP,Teammate_5,Teammate_5_MP,Teammate_6,Teammate_6_MP,Teammate_7,Teammate_7_MP,Teammate_8,Teammate_8_MP,Teammate_9,Teammate_9_MP
0,,0,0.000,0,,101,0,0,,1,1.000,1.0,100.0,1.0,1,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202101040PHI.html,Home,118,1:24,0,,CHO,Gordon Hayward,Malik Monk,9:43,Nick Richards,6:02,,,,,,,,,32:36,LaMelo Ball,30:25,Terry Rozier,29:24,P.J. Washington,26:49,Devonte' Graham,24:28,Miles Bridges,23:56,Bismack Biyombo,22:44,Caleb Martin,17:24,Jalen McDaniels,16:29,101,1,2,2.0,100.0,0.0,0.0,0.0,0.0,Paul Reed,17,0,2020-2021,0.0,0,0.0,PHI,118,Ben Simmons,Vincent Poirier,5:35,Isaiah Joe,5:35,Dakota Mathias,4:00,Terrance Ferguson,3:45,,,,,34:59,Tobias Harris,29:37,Shake Milton,26:43,Seth Curry,25:34,Joel Embiid,24:54,Danny Green,22:53,Tyrese Maxey,21:13,Dwight Howard,17:31,Matisse Thybulle,16:17
0,.000,1,11.111,2,0.50,115,1,1,14.3,3,.333,3.0,37.5,8.0,9,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202101090PHI.html,Home,103,26:11,6,85.7,DEN,Nikola Jokić,Isaiah Hartenstein,14:56,R.J. Hampton,5:22,Zeke Nnaji,2:06,Bol Bol,2:06,Vlatko Čančar,2:06,Markus Howard,2:06,29:02,Jamal Murray,28:53,Gary Harris,28:17,Will Barton,24:01,Monte Morris,22:27,Paul Millsap,21:39,JaMychal Green,21:03,PJ Dozier,18:55,Facundo Campazzo,17:01,115,1,6,6.0,100.0,0.0,0.0,0.0,0.0,Paul Reed,12,1,2020-2021,2.0,4,7.0,PHI,103,Isaiah Joe,,,,,,,,,,,,,44:51,Tyrese Maxey,43:45,Dakota Mathias,41:03,Danny Green,36:10,Tony Bradley,24:25,Dwight Howard,23:35,,,,,,
0,.000,1,14.286,1,,94,3,2,66.7,3,.429,3.0,50.0,6.0,7,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202101110ATL.html,Away,112,20:41,1,33.3,ATL,Clint Capela,Nathan Knight,15:37,Tony Snell,6:59,Skylar Mays,5:00,,,,,,,26:26,Trae Young,25:29,Kevin Huerter,24:27,John Collins,24:09,Cam Reddish,23:51,De'Andre Hunter,22:59,Brandon Goodwin,22:31,Solomon Hill,21:49,Bruno Fernando,20:43,112,1,6,6.0,100.0,0.0,0.0,0.0,0.0,Paul Reed,18,0,2020-2021,3.0,0,3.0,PHI,94,Dakota Mathias,,,,,,,,,,,,,39:12,Dwight Howard,34:46,Tyrese Maxey,30:56,Danny Green,28:10,Isaiah Joe,27:41,Joel Embiid,22:49,Mike Scott,22:11,Tony Bradley,13:34,,
0,.000,1,50.000,0,0.00,108,0,0,,1,.500,1.0,100.0,1.0,2,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202101140PHI.html,Home,125,2:22,0,,MIA,Kelly Olynyk,,,,,,,,,,,,,38:52,Gabe Vincent,34:35,Duncan Robinson,33:57,Tyler Herro,31:51,Max Strus,27:45,Precious Achiuwa,27:24,Andre Iguodala,25:00,Chris Silva,20:36,,,108,1,2,2.0,100.0,0.0,0.0,0.0,0.0,Paul Reed,17,0,2020-2021,0.0,1,0.0,PHI,125,Ben Simmons,Mike Scott,5:10,Terrance Ferguson,2:34,Dakota Mathias,2:34,Tony Bradley,2:22,,,,,34:26,Tobias Harris,29:48,Shake Milton,27:21,Tyrese Maxey,25:40,Danny Green,25:28,Joel Embiid,23:36,Dwight Howard,22:02,Isaiah Joe,19:22,Matisse Thybulle,17:15
0,,0,0.000,0,,104,0,0,,1,.333,1.0,33.3,3.0,3,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202101250DET.html,Away,119,4:38,0,,DET,Delon Wright,Saddiq Bey,8:38,Svi Mykhailiuk,5:52,Rodney McGruder,1:46,,,,,,,36:00,Wayne Ellington,32:43,Jerami Grant,32:21,Mason Plumlee,27:38,Blake Griffin,24:47,Josh Jackson,20:32,Isaiah Stewart,20:22,Sekou Doumbouya,17:21,Saben Lee,12:00,119,0,2,2.0,100.0,0.0,0.0,0.0,0.0,Paul Reed,15,0,2020-2021,0.0,0,0.0,PHI,104,Tobias Harris,Furkan Korkmaz,14:17,Isaiah Joe,9:40,Terrance Ferguson,4:38,,,,,,,29:51,Dwight Howard,24:09,Tony Bradley,23:20,Shake Milton,22:56,Seth Curry,22:07,Danny Green,22:04,Ben Simmons,21:27,Tyrese Maxey,20:58,Matisse Thybulle,19:54
0,,0,0.000,0,,99,1,2,100.0,1,1.000,1.0,100.0,1.0,1,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202103140PHI.html,Home,134,6:22,0,0.0,SAS,Derrick White,Patty Mills,13:54,Rudy Gay,13:23,Devin Vassell,11:47,Quinndary Weatherspoon,10:41,Keita Bates-Diop,7:08,,,25:14,Jakob Poeltl,24:29,Keldon Johnson,24:01,Drew Eubanks,23:31,Dejounte Murray,22:56,Tre Jones,16:36,Luka Šamanić,16:36,Lonnie Walker IV,15:26,Trey Lyles,14:18,99,0,2,2.0,100.0,0.0,0.0,0.0,0.0,Paul Reed,35,0,2020-2021,1.0,0,2.0,PHI,134,Tobias Harris,Mike Scott,13:08,Tyrese Maxey,8:47,Isaiah Joe,7:28,Vincent Poirier,7:28,Terrance Ferguson,6:41,,,28:30,Seth Curry,26:15,Ben Simmons,26:02,Danny Green,22:31,Tony Bradley,20:49,Dwight Howard,19:43,Matisse Thybulle,16:32,Furkan Korkmaz,15:04,Shake Milton,14:40
0,,0,0.000,0,,105,0,0,,1,1.000,1.0,100.0,1.0,1,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202103200PHI.html,Home,129,2:14,0,,SAC,Buddy Hield,Robert Woodard II,3:28,Kyle Guy,3:28,DaQuan Jeffries,3:28,,,,,,,34:07,De'Aaron Fox,33:04,Harrison Barnes,32:54,Cory Joseph,30:03,Richaun Holmes,29:58,Tyrese Haliburton,26:46,Justin James,16:32,Hassan Whiteside,14:33,Nemanja Bjelica,11:38,105,0,2,2.0,100.0,0.0,0.0,0.0,0.0,Paul Reed,24,0,2020-2021,0.0,0,0.0,PHI,129,Shake Milton,Isaiah Joe,5:41,Rayjon Tucker,3:28,Vincent Poirier,3:28,Terrance Ferguson,2:27,,,,,35:41,Danny Green,32:14,Matisse Thybulle,32:04,Tobias Harris,30:20,Tony Bradley,23:49,Dwight Howard,20:28,Furkan Korkmaz,18:05,Mike Scott,15:13,Tyrese Maxey,14:46
0,.000,2,50.000,0,,109,0,2,66.7,2,.500,2.0,100.0,2.0,4,0,.000,1,25.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202103250LAL.html,Away,101,8:56,1,33.3,LAL,Kyle Kuzma,Alfonzo McKinnie,4:28,,,,,,,,,,,41:45,Dennis Schröder,38:35,Montrezl Harrell,32:43,Kentavious Caldwell-Pope,30:33,Wesley Matthews,28:28,Talen Horton-Tucker,18:35,Markieff Morris,15:25,Marc Gasol,15:17,Alex Caruso,14:11,101,2,4,4.0,100.0,0.0,0.0,0.0,0.0,Paul Reed,8,1,2020-2021,1.0,0,3.0,PHI,109,Tobias Harris,Tyrese Maxey,0:04,,,,,,,,,,,39:48,Ben Simmons,38:31,Danny Green,32:33,Mike Scott,28:05,Seth Curry,27:11,Matisse Thybulle,22:34,Shake Milton,20:19,Furkan Korkmaz,15:37,Dwight Howard,6:22
0,,0,0.000,0,0.00,112,0,1,50.0,1,.500,1.0,50.0,2.0,2,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202103270LAC.html,Away,122,3:50,1,50.0,LAC,Paul George,Daniel Oturu,2:46,Amir Coffey,2:46,,,,,,,,,37:31,Nicolas Batum,34:35,Kawhi Leonard,34:23,Marcus Morris,31:12,Reggie Jackson,28:38,Terance Mann,28:32,Ivica Zubac,21:22,Patrick Patterson,11:00,Luke Kennard,7:15,122,2,2,2.0,100.0,0.0,0.0,0.0,0.0,Paul Reed,10,0,2020-2021,0.0,1,2.0,PHI,112,Tobias Harris,Tyrese Maxey,7:55,Isaiah Joe,2:46,Rayjon Tucker,2:39,,,,,,,33:20,Mike Scott,29:03,Danny Green,27:48,Seth Curry,27:24,Matisse Thybulle,27:11,Ben Simmons,26:20,Shake Milton,20:36,Dwight Howard,18:39,Furkan Korkmaz,12:29
0,,0,0.000,0,,95,0,1,50.0,0,.000,0.0,0.0,2.0,2,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202103300DEN.html,Away,104,6:43,1,50.0,DEN,Jamal Murray,,,,,,,,,,,,,37:49,Michael Porter Jr.,36:12,Nikola Jokić,34:25,Will Barton,32:54,Facundo Campazzo,25:19,Aaron Gordon,24:33,PJ Dozier,20:13,Paul Millsap,14:59,JaMychal Green,13:34,104,4,0,0.0,,0.0,,0.0,,Paul Reed,9,2,2020-2021,2.0,0,2.0,PHI,95,Matisse Thybulle,Tyrese Maxey,15:45,Isaiah Joe,3:19,Rayjon Tucker,3:19,,,,,,,27:08,Ben Simmons,26:20,Tobias Harris,25:58,Seth Curry,24:00,Mike Scott,23:48,Danny Green,22:59,Shake Milton,21:34,Dwight Howard,19:55,Furkan Korkmaz,19:09
