3P,3P%,3PA,3PAr,AST,AST/TOV,Away_Score,BLK,DRB,DRB_Pct_of_TRB,FG,FG%,FG2,FG2%,FG2A,FGA,FT,FT%,FTA,FTr,Game_Date,Game_Result,Game_URL,Home/Away,Home_Score,MP,ORB,ORB_Pct_of_TRB,Opponent,Opponent_1,Opponent_10,Opponent_10_MP,Opponent_11,Opponent_11_MP,Opponent_12,Opponent_12_MP,Opponent_13,Opponent_13_MP,Opponent_14,Opponent_14_MP,Opponent_15,Opponent_15_MP,Opponent_1_MP,Opponent_2,Opponent_2_MP,Opponent_3,Opponent_3_MP,Opponent_4,Opponent_4_MP,Opponent_5,Opponent_5_MP,Opponent_6,Opponent_6_MP,Opponent_7,Opponent_7_MP,Opponent_8,Opponent_8_MP,Opponent_9,Opponent_9_MP,Opponent_Score,PF,PTS,PTS_2P,PTS_2P_Pct,PTS_3P,PTS_3P_Pct,PTS_FT,PTS_FT_Pct,Player,Point_Differential,STL,Season,Stocks,TOV,TRB,Team,Team_Score,Teammate_1,Teammate_10,Teammate_10_MP,Teammate_11,Teammate_11_MP,Teammate_12,Teammate_12_MP,Teammate_13,Teammate_13_MP,Teammate_14,Teammate_14_MP,Teammate_15,Teammate_15_MP,Teammate_1_MP,Teammate_2,Teammate_2_MP,Teammate_3,Teammate_3_MP,Teammate_4,Teammate_4_MP,Teammate_5,Teammate_5_MP,Teammate_6,Teammate_6_MP,Teammate_7,Teammate_7_MP,Teammate_8,Teammate_8_MP,Teammate_9,Teammate_9_MP
0,,0,,0,,101,0,1,100.0,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201610290CHI.html,Home,118,3:26,0,0.0,IND,Jeff Teague,Al Jefferson,14:31,Kevin Séraphin,11:47,Rakeem Christmas,6:43,Lavoy Allen,5:39,,,,,28:00,Monta Ellis,27:36,Thaddeus Young,26:31,Paul George,23:37,Myles Turner,21:42,Joe Young,20:00,C.J. Miles,19:58,Glenn Robinson III,18:06,Georges Niang,15:50,101,0,0,0.0,,0.0,,0.0,,Paul Zipser,17,0,2016-2017,0.0,0,1.0,CHI,118,Doug McDermott,Isaiah Canaan,14:11,Bobby Portis,6:43,Denzel Valentine,4:47,,,,,,,26:36,Jimmy Butler,25:56,Nikola Mirotić,25:56,Taj Gibson,25:07,Rajon Rondo,25:07,Michael Carter-Williams,22:53,Dwyane Wade,21:04,Cristiano Felício,19:30,Robin Lopez,18:44
0,,0,0.000,1,,118,0,1,50.0,0,.000,0.0,0.0,1.0,1,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201610310BRK.html,Away,88,4:25,1,50.0,BRK,Rondae Hollis-Jefferson,Luis Scola,16:02,Anthony Bennett,12:00,Chris McCullough,10:14,,,,,,,30:12,Sean Kilpatrick,25:09,Jeremy Lin,23:55,Joe Harris,22:50,Brook Lopez,21:48,Isaiah Whitehead,21:09,Bojan Bogdanović,20:45,Trevor Booker,19:15,Justin Hamilton,16:41,88,0,0,0.0,,0.0,,0.0,,Paul Zipser,30,1,2016-2017,1.0,0,2.0,CHI,118,Dwyane Wade,Denzel Valentine,7:01,Michael Carter-Williams,4:55,Bobby Portis,4:25,,,,,,,28:45,Jimmy Butler,27:17,Rajon Rondo,25:27,Nikola Mirotić,24:58,Taj Gibson,24:39,Doug McDermott,24:10,Cristiano Felício,22:33,Isaiah Canaan,22:01,Robin Lopez,19:25
0,,0,,1,,94,0,1,100.0,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201611050IND.html,Away,111,7:48,0,0.0,IND,Monta Ellis,Glenn Robinson III,8:12,Joe Young,2:40,Georges Niang,2:40,Kevin Séraphin,2:40,,,,,32:23,Paul George,28:48,Jeff Teague,28:46,Myles Turner,27:57,Thaddeus Young,25:08,Aaron Brooks,21:36,C.J. Miles,21:35,Lavoy Allen,20:12,Al Jefferson,17:23,111,0,0,0.0,,0.0,,0.0,,Paul Zipser,17,0,2016-2017,0.0,0,1.0,CHI,94,Jimmy Butler,Cristiano Felício,13:01,Jerian Grant,12:00,Denzel Valentine,7:48,,,,,,,31:45,Rajon Rondo,28:37,Robin Lopez,27:05,Taj Gibson,24:43,Dwyane Wade,21:35,Doug McDermott,20:36,Bobby Portis,18:00,Isaiah Canaan,13:51,Nikola Mirotić,13:11
0,.000,1,100.000,1,1.00,80,0,2,100.0,0,.000,0.0,,0.0,1,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201611070CHI.html,Home,112,6:17,0,0.0,ORL,Aaron Gordon,C.J. Wilcox,9:43,C.J. Watson,9:43,Damjan Rudež,9:43,Arinze Onuaku,6:17,,,,,30:26,Evan Fournier,29:48,Serge Ibaka,25:31,Nikola Vučević,22:55,D.J. Augustin,22:34,Mario Hezonja,21:25,Bismack Biyombo,18:48,Elfrid Payton,18:32,Jeff Green,14:35,80,1,0,0.0,,0.0,,0.0,,Paul Zipser,32,0,2016-2017,0.0,1,2.0,CHI,112,Jimmy Butler,Jerian Grant,8:08,Denzel Valentine,6:17,Cristiano Felício,6:17,,,,,,,30:39,Taj Gibson,27:31,Doug McDermott,25:08,Dwyane Wade,24:58,Robin Lopez,24:22,Rajon Rondo,21:44,Isaiah Canaan,20:49,Nikola Mirotić,20:39,Bobby Portis,17:11
0,.000,1,33.333,0,,113,0,1,100.0,0,.000,0.0,0.0,2.0,3,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201611150POR.html,Away,88,4:12,0,0.0,POR,Damian Lillard,Pat Connaughton,8:32,Shabazz Napier,4:12,Jake Layman,4:12,Tim Quarterman,4:12,,,,,38:26,CJ McCollum,33:19,Allen Crabbe,33:12,Maurice Harkless,28:34,Mason Plumlee,21:38,Evan Turner,20:06,Ed Davis,18:51,Meyers Leonard,15:12,Noah Vonleh,9:34,88,1,0,0.0,,0.0,,0.0,,Paul Zipser,25,0,2016-2017,0.0,0,1.0,CHI,113,Jimmy Butler,Cristiano Felício,4:12,R.J. Hunter,3:48,,,,,,,,,34:23,Dwyane Wade,31:03,Jerian Grant,30:27,Taj Gibson,29:39,Robin Lopez,29:22,Isaiah Canaan,24:06,Nikola Mirotić,18:49,Denzel Valentine,16:01,Bobby Portis,13:58
0,,0,0.000,0,,82,0,0,,0,.000,0.0,0.0,1.0,1,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201612030DAL.html,Away,107,4:17,0,,DAL,Harrison Barnes,Salah Mejri,2:36,A.J. Hammons,2:11,Nicolás Brussino,2:11,,,,,,,37:14,Dorian Finney-Smith,35:22,Wesley Matthews,34:54,Deron Williams,31:11,Dwight Powell,28:18,Andrew Bogut,21:54,Devin Harris,16:54,Jonathan Gibson,16:49,Justin Anderson,10:26,107,1,0,0.0,,0.0,,0.0,,Paul Zipser,25,0,2016-2017,0.0,0,0.0,CHI,82,Jimmy Butler,Nikola Mirotić,13:05,R.J. Hunter,1:46,,,,,,,,,35:40,Isaiah Canaan,28:35,Taj Gibson,27:00,Robin Lopez,25:44,Jerian Grant,25:27,Rajon Rondo,23:55,Bobby Portis,20:18,Denzel Valentine,19:32,Cristiano Felício,14:41
0,.000,2,50.000,0,0.00,95,0,2,100.0,1,.250,1.0,50.0,2.0,4,1,.500,2,50.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201612160CHI.html,Home,69,8:44,0,0.0,MIL,Giannis Antetokounmpo,Miles Plumlee,4:52,Rashad Vaughn,4:52,Thon Maker,3:50,Steve Novak,2:58,,,,,34:59,Malcolm Brogdon,26:44,Jabari Parker,26:40,Mirza Teletović,26:31,Tony Snell,24:41,Greg Monroe,23:23,Matthew Dellavedova,21:16,John Henson,19:45,Jason Terry,19:29,95,1,3,2.0,66.7,0.0,0.0,1.0,33.3,Paul Zipser,26,1,2016-2017,1.0,2,2.0,CHI,69,Jimmy Butler,Isaiah Canaan,12:00,Jerian Grant,4:52,,,,,,,,,30:14,Robin Lopez,28:20,Rajon Rondo,26:10,Doug McDermott,24:26,Dwyane Wade,24:21,Denzel Valentine,21:57,Taj Gibson,19:52,Cristiano Felício,19:40,Bobby Portis,19:24
0,,0,0.000,1,,82,0,0,0.0,0,.000,0.0,0.0,3.0,3,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201612190CHI.html,Home,113,7:08,1,100.0,DET,Tobias Harris,Aron Baynes,17:36,Boban Marjanović,7:08,Henry Ellenson,7:08,Beno Udrih,5:53,,,,,26:16,Kentavious Caldwell-Pope,24:04,Stanley Johnson,23:56,Reggie Jackson,23:55,Marcus Morris,23:55,Andre Drummond,23:17,Jon Leuer,20:36,Ish Smith,18:12,Darrun Hilliard,18:05,82,0,0,0.0,,0.0,,0.0,,Paul Zipser,31,0,2016-2017,0.0,0,1.0,CHI,113,Jimmy Butler,Denzel Valentine,12:00,Bobby Portis,7:08,Isaiah Canaan,4:35,,,,,,,30:00,Rajon Rondo,28:03,Robin Lopez,25:36,Doug McDermott,24:39,Cristiano Felício,22:25,Dwyane Wade,22:13,Nikola Mirotić,21:27,Taj Gibson,19:25,Jerian Grant,15:22
0,,0,,0,0.00,100,0,1,100.0,0,,0.0,,0.0,0,0,.000,2,,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201612250SAS.html,Away,119,2:23,0,0.0,SAS,LaMarcus Aldridge,Jonathon Simmons,11:59,Dejounte Murray,2:23,Kyle Anderson,2:23,Dāvis Bertāns,2:23,,,,,37:57,Kawhi Leonard,37:38,Tony Parker,28:12,Danny Green,24:26,Pau Gasol,24:03,Manu Ginóbili,19:51,Patty Mills,17:25,David Lee,16:26,Dewayne Dedmon,14:54,119,0,0,0.0,,0.0,,0.0,,Paul Zipser,19,0,2016-2017,0.0,1,1.0,CHI,100,Jimmy Butler,Bobby Portis,2:23,Denzel Valentine,2:23,,,,,,,,,36:21,Nikola Mirotić,32:05,Rajon Rondo,29:51,Dwyane Wade,28:23,Doug McDermott,26:30,Taj Gibson,24:32,Robin Lopez,19:20,Jerian Grant,18:09,Cristiano Felício,17:40
0,,0,0.000,0,,109,0,1,100.0,0,.000,0.0,0.0,3.0,3,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201701090CHI.html,Home,94,8:26,0,0.0,OKC,Steven Adams,Joffrey Lauvergne,13:40,,,,,,,,,,,36:19,Russell Westbrook,33:19,Andre Roberson,32:31,Enes Freedom,27:48,Victor Oladipo,24:39,Domantas Sabonis,21:47,Álex Abrines,18:53,Jerami Grant,16:23,Cameron Payne,14:41,109,0,0,0.0,,0.0,,0.0,,Paul Zipser,15,0,2016-2017,0.0,0,1.0,CHI,94,Jimmy Butler,Bobby Portis,10:03,Isaiah Canaan,8:26,,,,,,,,,28:48,Dwyane Wade,27:31,Robin Lopez,25:48,Doug McDermott,25:14,Michael Carter-Williams,24:13,Cristiano Felício,24:00,Jerian Grant,21:22,Taj Gibson,20:08,Nikola Mirotić,16:01
