3P,3P%,3PA,3PAr,AST,AST/TOV,Away_Score,BLK,DRB,DRB_Pct_of_TRB,FG,FG%,FG2,FG2%,FG2A,FGA,FT,FT%,FTA,FTr,Game_Date,Game_Result,Game_URL,Home/Away,Home_Score,MP,ORB,ORB_Pct_of_TRB,Opponent,Opponent_1,Opponent_10,Opponent_10_MP,Opponent_11,Opponent_11_MP,Opponent_12,Opponent_12_MP,Opponent_13,Opponent_13_MP,Opponent_14,Opponent_14_MP,Opponent_15,Opponent_15_MP,Opponent_1_MP,Opponent_2,Opponent_2_MP,Opponent_3,Opponent_3_MP,Opponent_4,Opponent_4_MP,Opponent_5,Opponent_5_MP,Opponent_6,Opponent_6_MP,Opponent_7,Opponent_7_MP,Opponent_8,Opponent_8_MP,Opponent_9,Opponent_9_MP,Opponent_Score,PF,PTS,PTS_2P,PTS_2P_Pct,PTS_3P,PTS_3P_Pct,PTS_FT,PTS_FT_Pct,Player,Point_Differential,STL,Season,Stocks,TOV,TRB,Team,Team_Score,Teammate_1,Teammate_10,Teammate_10_MP,Teammate_11,Teammate_11_MP,Teammate_12,Teammate_12_MP,Teammate_13,Teammate_13_MP,Teammate_14,Teammate_14_MP,Teammate_15,Teammate_15_MP,Teammate_1_MP,Teammate_2,Teammate_2_MP,Teammate_3,Teammate_3_MP,Teammate_4,Teammate_4_MP,Teammate_5,Teammate_5_MP,Teammate_6,Teammate_6_MP,Teammate_7,Teammate_7_MP,Teammate_8,Teammate_8_MP,Teammate_9,Teammate_9_MP
0,,0,,0,,134,0,0,,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202110200NYK.html,Home,138,0:00,0,,BOS,Jaylen Brown,,,,,,,,,,,,,45:58,Marcus Smart,45:55,Robert Williams,44:49,Jayson Tatum,44:37,Dennis Schröder,32:00,Grant Williams,31:29,Romeo Langford,22:36,Aaron Nesmith,11:19,Payton Pritchard,11:17,134,0,0,0.0,,0.0,,0.0,,Quentin Grimes,4,0,2021-2022,0.0,0,0.0,NYK,138,RJ Barrett,Jericho Sims,6:58,,,,,,,,,,,47:03,Julius Randle,46:00,Evan Fournier,44:26,Kemba Walker,35:32,Mitchell Robinson,34:28,Obi Toppin,28:23,Derrick Rose,22:28,Alec Burks,16:17,Immanuel Quickley,8:25
1,.500,2,100.000,0,,121,0,0,,1,.500,0.0,,0.0,2,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202110220ORL.html,Away,96,4:34,0,,ORL,Mo Bamba,Ignas Brazdeikis,8:17,,,,,,,,,,,33:52,Franz Wagner,33:48,Jalen Suggs,31:43,Cole Anthony,31:36,Wendell Carter Jr.,30:08,Terrence Ross,24:05,R.J. Hampton,19:57,Moritz Wagner,13:24,Robin Lopez,13:10,96,0,3,0.0,0.0,3.0,100.0,0.0,0.0,Quentin Grimes,25,0,2021-2022,0.0,0,0.0,NYK,121,Julius Randle,Jericho Sims,9:45,Kevin Knox,4:28,Miles McBride,2:40,Wayne Selden,0:58,,,,,30:07,Mitchell Robinson,28:13,Evan Fournier,27:04,RJ Barrett,25:21,Derrick Rose,23:34,Obi Toppin,23:21,Kemba Walker,21:46,Immanuel Quickley,19:58,Alec Burks,18:11
0,.000,1,100.000,0,,113,0,0,,0,.000,0.0,,0.0,1,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202111050MIL.html,Away,98,1:23,0,,MIL,Grayson Allen,Rodney Hood,16:35,Justin Robinson,4:00,,,,,,,,,31:10,Giannis Antetokounmpo,30:30,Pat Connaughton,27:38,George Hill,25:01,Bobby Portis,24:21,Jordan Nwora,23:32,Jrue Holiday,20:19,Semi Ojeleye,18:49,Thanasis Antetokounmpo,18:02,98,0,0,0.0,,0.0,,0.0,,Quentin Grimes,15,0,2021-2022,0.0,0,0.0,NYK,113,RJ Barrett,Alec Burks,12:46,Jericho Sims,2:22,Kevin Knox,1:23,Miles McBride,0:27,,,,,39:23,Julius Randle,33:17,Derrick Rose,30:25,Evan Fournier,24:44,Nerlens Noel,24:29,Mitchell Robinson,21:09,Immanuel Quickley,18:15,Kemba Walker,15:13,Obi Toppin,14:43
2,.667,3,100.000,0,,126,0,1,100.0,2,.667,0.0,,0.0,3,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202111070NYK.html,Home,109,12:00,0,0.0,CLE,Evan Mobley,Denzel Valentine,1:08,Tacko Fall,1:08,,,,,,,,,35:36,Darius Garland,35:17,Jarrett Allen,34:27,Ricky Rubio,31:20,Cedi Osman,31:03,Dean Wade,26:32,Dylan Windler,16:41,Lamar Stevens,14:17,Collin Sexton,12:31,126,0,6,0.0,0.0,6.0,100.0,0.0,0.0,Quentin Grimes,17,0,2021-2022,0.0,0,1.0,NYK,109,Julius Randle,Miles McBride,1:08,Kevin Knox,1:02,Jericho Sims,0:52,,,,,,,36:55,Nerlens Noel,30:02,RJ Barrett,29:52,Evan Fournier,29:07,Derrick Rose,28:58,Alec Burks,21:57,Immanuel Quickley,20:06,Mitchell Robinson,16:56,Obi Toppin,11:05
0,,0,,0,,103,0,0,,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202111210CHI.html,Away,109,0:26,0,,CHI,DeMar DeRozan,Alize Johnson,4:06,,,,,,,,,,,37:41,Zach LaVine,36:10,Lonzo Ball,35:34,Alex Caruso,30:02,Derrick Jones Jr.,21:31,Coby White,20:59,Ayo Dosunmu,19:53,Tony Bradley,18:09,Javonte Green,15:55,109,0,0,0.0,,0.0,,0.0,,Quentin Grimes,6,0,2021-2022,0.0,0,0.0,NYK,103,Julius Randle,Jericho Sims,3:35,,,,,,,,,,,38:33,RJ Barrett,33:03,Derrick Rose,30:02,Alec Burks,29:04,Nerlens Noel,26:13,Immanuel Quickley,25:07,Evan Fournier,22:53,Kemba Walker,17:58,Obi Toppin,13:06
0,,0,,0,,100,0,1,100.0,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202111230NYK.html,Home,106,4:47,0,0.0,LAL,Russell Westbrook,,,,,,,,,,,,,37:09,Anthony Davis,33:58,Malik Monk,31:05,Avery Bradley,29:58,Talen Horton-Tucker,28:45,Carmelo Anthony,27:34,DeAndre Jordan,24:35,Wayne Ellington,17:03,Dwight Howard,9:53,100,1,0,0.0,,0.0,,0.0,,Quentin Grimes,6,0,2021-2022,0.0,0,1.0,NYK,106,Evan Fournier,,,,,,,,,,,,,41:55,Nerlens Noel,39:23,Julius Randle,33:47,RJ Barrett,27:22,Alec Burks,25:57,Kemba Walker,23:13,Immanuel Quickley,21:57,Obi Toppin,21:39,,
1,.200,5,83.333,0,0.00,118,0,2,50.0,1,.167,0.0,0.0,1.0,6,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202111260NYK.html,Home,97,17:01,2,50.0,PHO,Mikal Bridges,Jalen Smith,2:00,Ish Wainright,2:00,,,,,,,,,38:35,Devin Booker,35:27,Deandre Ayton,32:08,Chris Paul,30:14,Cameron Johnson,27:33,Jae Crowder,20:27,Landry Shamet,19:58,Cameron Payne,17:46,JaVale McGee,13:52,118,3,3,0.0,0.0,3.0,100.0,0.0,0.0,Quentin Grimes,21,0,2021-2022,0.0,2,4.0,NYK,97,Julius Randle,Kevin Knox,7:39,Miles McBride,4:04,Jericho Sims,3:36,,,,,,,31:37,RJ Barrett,31:27,Evan Fournier,25:43,Kemba Walker,23:01,Alec Burks,22:57,Mitchell Robinson,21:09,Immanuel Quickley,19:40,Nerlens Noel,18:20,Obi Toppin,13:46
1,.500,2,66.667,1,1.00,99,0,1,100.0,1,.333,0.0,0.0,1.0,3,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202111270ATL.html,Away,90,14:51,0,0.0,ATL,John Collins,Delon Wright,8:49,Cam Reddish,7:06,,,,,,,,,39:30,Trae Young,39:11,Kevin Huerter,38:00,Clint Capela,35:07,Danilo Gallinari,21:23,Lou Williams,15:40,Timothé Luwawu-Cabarrot,12:54,Solomon Hill,12:06,Bogdan Bogdanović,10:14,90,1,3,0.0,0.0,3.0,100.0,0.0,0.0,Quentin Grimes,9,0,2021-2022,0.0,1,1.0,NYK,99,Alec Burks,,,,,,,,,,,,,39:08,Julius Randle,31:43,RJ Barrett,30:47,Immanuel Quickley,30:33,Evan Fournier,28:41,Mitchell Robinson,26:40,Jericho Sims,21:20,Obi Toppin,16:17,,
0,,0,,0,,110,0,0,,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202111300BRK.html,Away,112,2:33,0,,BRK,Kevin Durant,Jevon Carter,2:40,,,,,,,,,,,40:30,James Harden,39:47,LaMarcus Aldridge,31:59,DeAndre' Bembry,29:31,Patty Mills,28:11,Cam Thomas,20:57,James Johnson,18:27,Paul Millsap,15:25,Bruce Brown,12:33,112,0,0,0.0,,0.0,,0.0,,Quentin Grimes,2,0,2021-2022,0.0,0,0.0,NYK,110,Julius Randle,,,,,,,,,,,,,39:52,Alec Burks,39:18,Immanuel Quickley,37:31,Derrick Rose,34:41,Mitchell Robinson,25:08,Evan Fournier,22:00,Nerlens Noel,18:48,Obi Toppin,11:36,RJ Barrett,8:33
0,,0,,0,,119,0,1,100.0,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202112020NYK.html,Home,115,5:39,0,0.0,CHI,DeMar DeRozan,,,,,,,,,,,,,37:48,Zach LaVine,34:59,Lonzo Ball,34:01,Nikola Vučević,33:50,Alex Caruso,30:30,Javonte Green,28:57,Ayo Dosunmu,16:59,Derrick Jones Jr.,13:49,Troy Brown Jr.,9:05,119,0,0,0.0,,0.0,,0.0,,Quentin Grimes,4,0,2021-2022,0.0,0,1.0,NYK,115,Alec Burks,,,,,,,,,,,,,42:58,Julius Randle,38:55,Immanuel Quickley,38:29,Evan Fournier,32:16,Mitchell Robinson,29:31,Derrick Rose,26:19,Obi Toppin,18:48,Kevin Knox,3:51,Taj Gibson,3:13
