3P,3P%,3PA,3PAr,AST,AST/TOV,Away_Score,BLK,DRB,DRB_Pct_of_TRB,FG,FG%,FG2,FG2%,FG2A,FGA,FT,FT%,FTA,FTr,Game_Date,Game_Result,Game_URL,Home/Away,Home_Score,MP,ORB,ORB_Pct_of_TRB,Opponent,Opponent_1,Opponent_10,Opponent_10_MP,Opponent_11,Opponent_11_MP,Opponent_12,Opponent_12_MP,Opponent_13,Opponent_13_MP,Opponent_14,Opponent_14_MP,Opponent_15,Opponent_15_MP,Opponent_1_MP,Opponent_2,Opponent_2_MP,Opponent_3,Opponent_3_MP,Opponent_4,Opponent_4_MP,Opponent_5,Opponent_5_MP,Opponent_6,Opponent_6_MP,Opponent_7,Opponent_7_MP,Opponent_8,Opponent_8_MP,Opponent_9,Opponent_9_MP,Opponent_Score,PF,PTS,PTS_2P,PTS_2P_Pct,PTS_3P,PTS_3P_Pct,PTS_FT,PTS_FT_Pct,Player,Point_Differential,STL,Season,Stocks,TOV,TRB,Team,Team_Score,Teammate_1,Teammate_10,Teammate_10_MP,Teammate_11,Teammate_11_MP,Teammate_12,Teammate_12_MP,Teammate_13,Teammate_13_MP,Teammate_14,Teammate_14_MP,Teammate_15,Teammate_15_MP,Teammate_1_MP,Teammate_2,Teammate_2_MP,Teammate_3,Teammate_3_MP,Teammate_4,Teammate_4_MP,Teammate_5,Teammate_5_MP,Teammate_6,Teammate_6_MP,Teammate_7,Teammate_7_MP,Teammate_8,Teammate_8_MP,Teammate_9,Teammate_9_MP
0,,0,0.000,1,,123,0,0,,1,1.000,1.0,100.0,1.0,1,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202110220CLE.html,Home,112,1:52,0,,CHO,Miles Bridges,James Bouknight,1:10,Kai Jones,1:10,Jalen McDaniels,1:10,Nick Richards,1:10,JT Thor,1:10,,,34:47,Gordon Hayward,34:35,LaMelo Ball,28:53,Kelly Oubre Jr.,27:05,P.J. Washington,24:18,Terry Rozier,22:49,Mason Plumlee,22:09,Cody Martin,21:37,Ish Smith,17:57,123,0,2,2.0,100.0,0.0,0.0,0.0,0.0,RJ Nembhard Jr.,11,0,2021-2022,0.0,0,0.0,CLE,112,Collin Sexton,Dean Wade,5:00,Tacko Fall,1:52,Lamar Stevens,1:52,Denzel Valentine,1:52,,,,,34:33,Lauri Markkanen,34:24,Evan Mobley,32:27,Ricky Rubio,28:04,Jarrett Allen,26:37,Isaac Okoro,25:23,Kevin Love,23:40,Cedi Osman,17:00,Kevin Pangos,5:24
0,,0,,0,,104,0,1,100.0,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202111180CLE.html,Home,89,1:24,0,0.0,GSW,Stephen Curry,Gary Payton II,15:11,Jonathan Kuminga,6:45,Chris Chiozza,2:25,Moses Moody,0:53,,,,,35:23,Draymond Green,29:49,Andrew Wiggins,24:09,Jordan Poole,23:37,Nemanja Bjelica,23:27,Damion Lee,22:59,Otto Porter Jr.,19:57,Kevon Looney,19:27,Juan Toscano-Anderson,15:58,104,0,0,0.0,,0.0,,0.0,,RJ Nembhard Jr.,15,0,2021-2022,0.0,0,1.0,CLE,89,Isaac Okoro,Tacko Fall,1:24,,,,,,,,,,,43:27,Dean Wade,40:03,Darius Garland,38:01,Ricky Rubio,37:37,Ed Davis,28:10,Kevin Love,21:32,Dylan Windler,18:18,Denzel Valentine,8:40,Kevin Pangos,1:24
0,,0,0.000,1,1.00,119,0,0,,1,1.000,1.0,100.0,1.0,1,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202112180MIL.html,Away,90,3:20,0,,MIL,Javonte Smart,,,,,,,,,,,,,44:29,Sandro Mamukelashvili,42:15,Jordan Nwora,42:04,DeMarcus Cousins,27:12,Thanasis Antetokounmpo,25:11,George Hill,21:32,Pat Connaughton,19:23,Semi Ojeleye,17:54,,,90,0,2,2.0,100.0,0.0,0.0,0.0,0.0,RJ Nembhard Jr.,29,0,2021-2022,0.0,1,0.0,CLE,119,Darius Garland,Ed Davis,10:13,Dylan Windler,6:30,Kevin Pangos,3:20,,,,,,,32:16,Lauri Markkanen,29:10,Ricky Rubio,29:10,Jarrett Allen,29:07,Cedi Osman,27:05,Kevin Love,23:03,Dean Wade,22:27,Denzel Valentine,12:24,Lamar Stevens,11:55
0,,0,0.000,6,,99,0,1,100.0,2,.500,2.0,50.0,4.0,4,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202112260CLE.html,Home,144,12:00,0,0.0,TOR,Yuta Watanabe,,,,,,,,,,,,,37:10,Svi Mykhailiuk,35:36,Tremont Waters,34:55,D.J. Wilson,33:44,Chris Boucher,28:03,Juwan Morgan,27:21,Dalano Banton,23:32,Daniel Oturu,19:37,,,99,1,4,4.0,100.0,0.0,0.0,0.0,0.0,RJ Nembhard Jr.,45,0,2021-2022,0.0,0,1.0,CLE,144,Justin Anderson,Tacko Fall,11:11,Tre Scott,9:25,,,,,,,,,30:50,Darius Garland,29:20,Dean Wade,28:03,Denzel Valentine,26:10,Ricky Rubio,23:20,Lauri Markkanen,22:09,Kevin Love,18:17,Kevin Pangos,16:19,Luke Kornet,12:55
0,.000,1,20.000,2,,93,0,0,,1,.200,1.0,25.0,4.0,5,1,.500,2,40.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202112300WAS.html,Away,110,21:24,0,,WAS,Kyle Kuzma,Isaiah Todd,3:04,Joel Ayayi,3:04,Jaime Echenique,3:04,Jordan Goodwin,3:04,Craig Sword,3:04,,,33:49,Bradley Beal,33:44,Daniel Gafford,32:18,Corey Kispert,28:17,Kentavious Caldwell-Pope,27:57,Brad Wanamaker,27:06,Deni Avdija,24:10,Anthony Gill,12:14,Jordan Schakel,5:05,110,1,3,2.0,66.7,0.0,0.0,1.0,33.3,RJ Nembhard Jr.,17,0,2021-2022,0.0,0,0.0,CLE,93,Evan Mobley,Ed Davis,5:28,Tacko Fall,3:49,,,,,,,,,32:08,Isaac Okoro,30:30,Kevin Love,29:27,Lauri Markkanen,26:14,Kevin Pangos,24:23,Dean Wade,21:25,Lamar Stevens,21:00,Dylan Windler,16:31,Malik Newman,7:41
0,,0,,0,,111,0,0,,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202201120UTA.html,Away,91,2:02,0,,UTA,Royce O'Neale,Zylan Cheatham,5:11,,,,,,,,,,,36:09,Bojan Bogdanović,34:20,Jordan Clarkson,34:18,Eric Paschall,33:07,Donovan Mitchell,32:58,Mike Conley,27:16,Denzel Valentine,16:49,Joe Ingles,13:24,Trent Forrest,6:28,91,0,0,0.0,,0.0,,0.0,,RJ Nembhard Jr.,20,0,2021-2022,0.0,0,0.0,CLE,111,Evan Mobley,Dylan Windler,2:02,Kevin Pangos,2:02,,,,,,,,,35:34,Lauri Markkanen,35:08,Darius Garland,34:19,Cedi Osman,30:40,Jarrett Allen,30:29,Lamar Stevens,29:56,Kevin Love,20:54,Brandon Goodwin,13:41,Dean Wade,3:13
0,,0,,0,0.00,85,0,0,,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202202060CLE.html,Home,98,1:37,0,,IND,Chris Duarte,Terry Taylor,11:34,,,,,,,,,,,35:44,Torrey Craig,32:49,Duane Washington Jr.,31:00,Justin Holiday,30:50,Domantas Sabonis,25:32,Keifer Sykes,25:24,Oshae Brissett,17:15,Goga Bitadze,16:02,Lance Stephenson,13:50,85,0,0,0.0,,0.0,,0.0,,RJ Nembhard Jr.,13,0,2021-2022,0.0,1,0.0,CLE,98,Kevin Love,Kevin Pangos,1:37,Dylan Windler,1:37,Ed Davis,1:36,,,,,,,32:25,Rajon Rondo,31:33,Jarrett Allen,31:20,Cedi Osman,30:41,Evan Mobley,28:42,Isaac Okoro,28:05,Dean Wade,18:41,Brandon Goodwin,16:27,Lamar Stevens,15:38
0,,0,,1,,86,0,0,,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202202260CLE.html,Home,92,4:07,0,,WAS,Kyle Kuzma,,,,,,,,,,,,,38:54,Kentavious Caldwell-Pope,33:53,Corey Kispert,33:49,Raul Neto,25:13,Daniel Gafford,23:59,Deni Avdija,23:18,Ish Smith,22:47,Rui Hachimura,22:23,Thomas Bryant,15:44,86,0,0,0.0,,0.0,,0.0,,RJ Nembhard Jr.,6,0,2021-2022,0.0,0,0.0,CLE,92,Brandon Goodwin,,,,,,,,,,,,,37:47,Isaac Okoro,37:28,Evan Mobley,36:50,Lauri Markkanen,34:33,Jarrett Allen,34:24,Cedi Osman,28:51,Kevin Love,13:54,Dean Wade,12:06,,
0,.000,1,25.000,0,,119,0,1,50.0,1,.250,1.0,33.3,3.0,4,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202203020CLE.html,Home,98,4:04,1,50.0,CHO,Miles Bridges,LaMelo Ball,7:58,Kai Jones,2:39,Nick Richards,2:35,,,,,,,36:25,Cody Martin,33:26,Terry Rozier,33:07,Mason Plumlee,28:28,P.J. Washington,28:14,Kelly Oubre Jr.,27:26,Montrezl Harrell,16:57,Isaiah Thomas,14:04,JT Thor,8:41,119,0,2,2.0,100.0,0.0,0.0,0.0,0.0,RJ Nembhard Jr.,21,0,2021-2022,0.0,0,2.0,CLE,98,Jarrett Allen,Dean Wade,8:57,Ed Davis,4:04,Tim Frazier,4:04,Dylan Windler,4:04,,,,,33:12,Darius Garland,32:58,Lauri Markkanen,30:47,Evan Mobley,30:10,Isaac Okoro,28:15,Cedi Osman,19:44,Kevin Love,17:48,Brandon Goodwin,10:58,Lamar Stevens,10:55
0,,0,,0,,105,0,0,0.0,0,,0.0,,0.0,0,2,1.000,2,,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202203110MIA.html,Away,117,2:29,1,100.0,MIA,Jimmy Butler,Haywood Highsmith,1:24,Gabe Vincent,1:24,Omer Yurtseven,1:20,,,,,,,33:51,Tyler Herro,33:34,Bam Adebayo,32:42,Kyle Lowry,32:22,P.J. Tucker,28:56,Duncan Robinson,23:58,Max Strus,18:55,Victor Oladipo,17:35,Dewayne Dedmon,13:57,117,0,2,0.0,0.0,0.0,0.0,2.0,100.0,RJ Nembhard Jr.,12,0,2021-2022,0.0,0,1.0,CLE,105,Darius Garland,Ed Davis,10:17,Moses Brown,2:29,Brandon Goodwin,2:29,,,,,,,36:29,Evan Mobley,34:09,Lauri Markkanen,31:49,Isaac Okoro,29:51,Kevin Love,21:32,Dean Wade,19:31,Lamar Stevens,18:22,Cedi Osman,16:22,Rajon Rondo,14:08
