3P,3P%,3PA,3PAr,AST,AST/TOV,Away_Score,BLK,DRB,DRB_Pct_of_TRB,FG,FG%,FG2,FG2%,FG2A,FGA,FT,FT%,FTA,FTr,Game_Date,Game_Result,Game_URL,Home/Away,Home_Score,MP,ORB,ORB_Pct_of_TRB,Opponent,Opponent_1,Opponent_10,Opponent_10_MP,Opponent_11,Opponent_11_MP,Opponent_12,Opponent_12_MP,Opponent_13,Opponent_13_MP,Opponent_14,Opponent_14_MP,Opponent_15,Opponent_15_MP,Opponent_1_MP,Opponent_2,Opponent_2_MP,Opponent_3,Opponent_3_MP,Opponent_4,Opponent_4_MP,Opponent_5,Opponent_5_MP,Opponent_6,Opponent_6_MP,Opponent_7,Opponent_7_MP,Opponent_8,Opponent_8_MP,Opponent_9,Opponent_9_MP,Opponent_Score,PF,PTS,PTS_2P,PTS_2P_Pct,PTS_3P,PTS_3P_Pct,PTS_FT,PTS_FT_Pct,Player,Point_Differential,STL,Season,Stocks,TOV,TRB,Team,Team_Score,Teammate_1,Teammate_10,Teammate_10_MP,Teammate_11,Teammate_11_MP,Teammate_12,Teammate_12_MP,Teammate_13,Teammate_13_MP,Teammate_14,Teammate_14_MP,Teammate_15,Teammate_15_MP,Teammate_1_MP,Teammate_2,Teammate_2_MP,Teammate_3,Teammate_3_MP,Teammate_4,Teammate_4_MP,Teammate_5,Teammate_5_MP,Teammate_6,Teammate_6_MP,Teammate_7,Teammate_7_MP,Teammate_8,Teammate_8_MP,Teammate_9,Teammate_9_MP
0,,0,0.000,0,,97,0,0,0.0,2,1.000,2.0,100.0,2.0,2,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201604130MIL.html,Away,92,6:06,1,100.0,MIL,Rashad Vaughn,Greg Monroe,12:33,Khris Middleton,7:45,,,,,,,,,35:37,Tyler Ennis,29:14,Giannis Antetokounmpo,29:06,Jabari Parker,25:12,Greivis Vásquez,22:25,John Henson,21:48,Damien Inglis,20:16,Miles Plumlee,19:59,Johnny O'Bryant,16:05,92,1,4,4.0,100.0,0.0,0.0,0.0,0.0,Rakeem Christmas,5,0,2015-2016,0.0,0,1.0,IND,97,Solomon Hill,,,,,,,,,,,,,32:43,Jordan Hill,30:13,Glenn Robinson III,27:43,Ty Lawson,26:02,Lavoy Allen,25:28,Shayne Whittington,24:05,Joe Young,22:59,Rodney Stuckey,22:36,Myles Turner,22:05
0,,0,0.000,1,,101,0,1,100.0,0,.000,0.0,0.0,1.0,1,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201610290CHI.html,Away,118,6:43,0,0.0,CHI,Doug McDermott,Isaiah Canaan,14:11,Bobby Portis,6:43,Denzel Valentine,4:47,Paul Zipser,3:26,,,,,26:36,Jimmy Butler,25:56,Nikola Mirotić,25:56,Taj Gibson,25:07,Rajon Rondo,25:07,Michael Carter-Williams,22:53,Dwyane Wade,21:04,Cristiano Felício,19:30,Robin Lopez,18:44,118,1,0,0.0,,0.0,,0.0,,Rakeem Christmas,17,0,2016-2017,0.0,0,1.0,IND,101,Jeff Teague,Al Jefferson,14:31,Kevin Séraphin,11:47,Lavoy Allen,5:39,,,,,,,28:00,Monta Ellis,27:36,Thaddeus Young,26:31,Paul George,23:37,Myles Turner,21:42,Joe Young,20:00,C.J. Miles,19:58,Glenn Robinson III,18:06,Georges Niang,15:50
0,,0,0.000,0,,120,1,1,50.0,1,.333,1.0,33.3,3.0,3,1,1.000,1,33.333,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201611210IND.html,Home,83,5:43,1,50.0,GSW,Stephen Curry,JaVale McGee,13:44,Patrick McCaw,12:00,Kevon Looney,9:57,James Michael McAdoo,8:18,,,,,29:30,Draymond Green,29:25,Kevin Durant,27:29,Klay Thompson,26:23,Ian Clark,20:41,Andre Iguodala,18:05,Shaun Livingston,15:54,David West,14:36,Zaza Pachulia,13:59,120,0,3,2.0,66.7,0.0,0.0,1.0,33.3,Rakeem Christmas,37,0,2016-2017,1.0,0,2.0,IND,83,Glenn Robinson III,Joe Young,8:18,Georges Niang,6:57,,,,,,,,,37:20,Thaddeus Young,28:44,Jeff Teague,25:52,Rodney Stuckey,23:36,Monta Ellis,23:19,Kevin Séraphin,21:51,Al Jefferson,20:53,Aaron Brooks,20:05,Lavoy Allen,17:22
0,,0,,0,,109,0,0,,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201611300POR.html,Away,131,2:02,0,,POR,Damian Lillard,Noah Vonleh,2:02,Pat Connaughton,2:02,Jake Layman,2:02,Shabazz Napier,2:02,,,,,34:57,CJ McCollum,34:11,Ed Davis,32:17,Maurice Harkless,29:09,Mason Plumlee,27:17,Evan Turner,26:31,Allen Crabbe,22:48,Meyers Leonard,22:40,Tim Quarterman,2:02,131,0,0,0.0,,0.0,,0.0,,Rakeem Christmas,22,0,2016-2017,0.0,0,0.0,IND,109,Glenn Robinson III,Joe Young,2:47,Georges Niang,2:47,,,,,,,,,34:23,Jeff Teague,33:47,Myles Turner,31:22,Monta Ellis,25:09,Rodney Stuckey,24:28,Thaddeus Young,23:32,Aaron Brooks,21:24,Al Jefferson,21:11,Lavoy Allen,17:08
0,,0,0.000,0,,101,1,1,50.0,1,1.000,1.0,100.0,1.0,1,3,.750,4,400.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201701290IND.html,Home,120,2:33,1,50.0,HOU,Ryan Anderson,Bobby Brown,2:33,Tyler Ennis,2:33,K.J. McDaniels,2:33,,,,,,,35:17,Patrick Beverley,32:52,James Harden,31:49,Eric Gordon,26:13,Sam Dekker,25:42,Montrezl Harrell,25:35,Trevor Ariza,25:03,Clint Capela,22:25,Corey Brewer,7:25,101,0,5,2.0,40.0,0.0,0.0,3.0,60.0,Rakeem Christmas,19,0,2016-2017,1.0,0,2.0,IND,120,Paul George,Al Jefferson,9:42,Georges Niang,2:33,Joe Young,2:33,,,,,,,36:30,Jeff Teague,36:12,Myles Turner,35:45,Thaddeus Young,30:24,Glenn Robinson III,21:08,C.J. Miles,19:58,Monta Ellis,15:51,Lavoy Allen,15:03,Aaron Brooks,11:48
0,,0,0.000,0,,84,0,0,,0,.000,0.0,0.0,1.0,1,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201702040IND.html,Home,105,1:38,0,,DET,Marcus Morris,Reggie Bullock,9:16,,,,,,,,,,,33:49,Kentavious Caldwell-Pope,31:42,Andre Drummond,31:16,Jon Leuer,27:21,Reggie Jackson,26:52,Tobias Harris,22:38,Ish Smith,21:08,Stanley Johnson,19:14,Aron Baynes,16:44,84,1,0,0.0,,0.0,,0.0,,Rakeem Christmas,21,1,2016-2017,1.0,0,0.0,IND,105,Paul George,Georges Niang,1:38,Joe Young,1:38,,,,,,,,,32:06,Lavoy Allen,32:05,Myles Turner,31:40,Jeff Teague,31:10,C.J. Miles,27:00,Glenn Robinson III,26:48,Monta Ellis,23:49,Aaron Brooks,16:50,Al Jefferson,13:38
0,,0,,0,,132,0,0,,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201702080IND.html,Home,117,1:32,0,,CLE,LeBron James,Kay Felder,5:52,James Jones,1:32,,,,,,,,,38:16,Tristan Thompson,35:29,Kevin Love,34:42,Kyrie Irving,34:09,Kyle Korver,26:01,Richard Jefferson,21:42,DeAndre Liggins,16:02,Jordan McRae,14:29,Channing Frye,11:46,132,0,0,0.0,,0.0,,0.0,,Rakeem Christmas,15,0,2016-2017,0.0,0,0.0,IND,117,Myles Turner,Al Jefferson,3:17,Joe Young,1:32,,,,,,,,,39:46,Paul George,37:49,Jeff Teague,34:55,C.J. Miles,34:42,Monta Ellis,24:00,Lavoy Allen,23:13,Glenn Robinson III,14:58,Kevin Séraphin,12:42,Rodney Stuckey,11:33
0,,0,0.000,0,,104,0,2,50.0,0,.000,0.0,0.0,1.0,1,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201702150CLE.html,Away,113,3:08,2,50.0,CLE,Tristan Thompson,James Jones,2:38,Kay Felder,2:38,Jordan McRae,2:38,,,,,,,36:34,Kyrie Irving,34:19,LeBron James,32:35,Channing Frye,30:18,Derrick Williams,26:34,Iman Shumpert,25:33,Kyle Korver,24:55,Richard Jefferson,18:23,DeAndre Liggins,2:55,113,0,0,0.0,,0.0,,0.0,,Rakeem Christmas,9,0,2016-2017,0.0,0,4.0,IND,104,Paul George,Rodney Stuckey,5:05,Georges Niang,2:38,Joe Young,2:38,,,,,,,36:00,Jeff Teague,35:07,Myles Turner,31:52,Monta Ellis,31:01,Kevin Séraphin,26:30,Glenn Robinson III,26:21,C.J. Miles,18:52,Al Jefferson,13:00,Aaron Brooks,7:48
0,,0,0.000,0,0.00,92,1,3,60.0,2,.667,2.0,66.7,3.0,3,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201702240IND.html,Home,102,13:33,2,40.0,MEM,JaMychal Green,James Ennis III,9:48,Andrew Harrison,3:28,Deyonta Davis,3:28,,,,,,,32:11,Mike Conley,32:07,Marc Gasol,31:58,Zach Randolph,25:51,Tony Allen,25:29,Vince Carter,23:32,Chandler Parsons,19:21,Toney Douglas,18:02,Troy Daniels,14:45,92,3,4,4.0,100.0,0.0,0.0,0.0,0.0,Rakeem Christmas,10,0,2016-2017,1.0,1,5.0,IND,102,Myles Turner,Aaron Brooks,1:44,Kevin Séraphin,1:44,Joe Young,1:44,,,,,,,33:59,Paul George,33:56,Jeff Teague,30:48,Thaddeus Young,25:41,Monta Ellis,24:24,C.J. Miles,21:52,Lavoy Allen,21:03,Rodney Stuckey,15:28,Glenn Robinson III,14:04
0,,0,0.000,0,0.00,95,2,3,42.9,1,.333,1.0,33.3,3.0,3,2,1.000,2,66.667,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201702250MIA.html,Away,113,16:05,4,57.1,MIA,Hassan Whiteside,Willie Reed,10:11,Okaro White,5:13,,,,,,,,,36:59,Dion Waiters,31:22,Tyler Johnson,30:58,James Johnson,28:52,Goran Dragić,27:58,Wayne Ellington,21:23,Rodney McGruder,18:03,Luke Babbitt,14:46,Josh Richardson,14:17,113,4,4,2.0,50.0,0.0,0.0,2.0,50.0,Rakeem Christmas,18,0,2016-2017,2.0,2,7.0,IND,95,Jeff Teague,Aaron Brooks,0:50,Joe Young,0:50,,,,,,,,,32:10,Myles Turner,31:55,Monta Ellis,27:20,C.J. Miles,26:38,Thaddeus Young,26:21,Glenn Robinson III,23:51,Paul George,19:14,Rodney Stuckey,18:18,Lavoy Allen,16:29
