3P,3P%,3PA,3PAr,AST,AST/TOV,Away_Score,BLK,DRB,DRB_Pct_of_TRB,FG,FG%,FG2,FG2%,FG2A,FGA,FT,FT%,FTA,FTr,Game_Date,Game_Result,Game_URL,Home/Away,Home_Score,MP,ORB,ORB_Pct_of_TRB,Opponent,Opponent_1,Opponent_10,Opponent_10_MP,Opponent_11,Opponent_11_MP,Opponent_12,Opponent_12_MP,Opponent_13,Opponent_13_MP,Opponent_14,Opponent_14_MP,Opponent_15,Opponent_15_MP,Opponent_1_MP,Opponent_2,Opponent_2_MP,Opponent_3,Opponent_3_MP,Opponent_4,Opponent_4_MP,Opponent_5,Opponent_5_MP,Opponent_6,Opponent_6_MP,Opponent_7,Opponent_7_MP,Opponent_8,Opponent_8_MP,Opponent_9,Opponent_9_MP,Opponent_Score,PF,PTS,PTS_2P,PTS_2P_Pct,PTS_3P,PTS_3P_Pct,PTS_FT,PTS_FT_Pct,Player,Point_Differential,STL,Season,Stocks,TOV,TRB,Team,Team_Score,Teammate_1,Teammate_10,Teammate_10_MP,Teammate_11,Teammate_11_MP,Teammate_12,Teammate_12_MP,Teammate_13,Teammate_13_MP,Teammate_14,Teammate_14_MP,Teammate_15,Teammate_15_MP,Teammate_1_MP,Teammate_2,Teammate_2_MP,Teammate_3,Teammate_3_MP,Teammate_4,Teammate_4_MP,Teammate_5,Teammate_5_MP,Teammate_6,Teammate_6_MP,Teammate_7,Teammate_7_MP,Teammate_8,Teammate_8_MP,Teammate_9,Teammate_9_MP
0,,0,0.000,2,,96,0,0,0.0,0,.000,0.0,0.0,1.0,1,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201812170OKC.html,Away,121,2:53,1,100.0,OKC,Russell Westbrook,Álex Abrines,13:35,Abdel Nader,4:25,Timothé Luwawu-Cabarrot,2:53,,,,,,,31:32,Paul George,30:56,Steven Adams,30:30,Dennis Schröder,29:41,Jerami Grant,29:39,Patrick Patterson,18:21,Nerlens Noel,17:30,Hamidou Diallo,17:04,Terrance Ferguson,13:54,121,0,0,0.0,,0.0,,0.0,,Rawle Alkins,25,1,2018-2019,1.0,0,1.0,CHI,96,Justin Holiday,Robin Lopez,16:57,Antonio Blakeney,6:12,Cristiano Felício,6:12,,,,,,,29:01,Lauri Markkanen,27:51,Kris Dunn,25:44,Ryan Arcidiacono,23:08,Bobby Portis,22:50,Cameron Payne,22:28,Wendell Carter Jr.,19:17,Chandler Hutchison,18:59,Shaquille Harrison,18:28
1,1.000,1,33.333,0,,112,0,0,0.0,1,.333,0.0,0.0,2.0,3,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201812230CLE.html,Away,92,1:35,2,100.0,CLE,Cedi Osman,Channing Frye,2:26,Jalen Jones,1:35,,,,,,,,,37:01,Collin Sexton,32:51,Larry Nance Jr.,32:48,Jordan Clarkson,30:52,Alec Burks,28:11,Jaron Blossomgame,22:04,David Nwaba,20:45,Matthew Dellavedova,18:41,Ante Žižić,12:46,92,0,3,0.0,0.0,3.0,100.0,0.0,0.0,Rawle Alkins,20,0,2018-2019,0.0,0,2.0,CHI,112,Justin Holiday,Cristiano Felício,1:35,,,,,,,,,,,34:22,Ryan Arcidiacono,33:17,Chandler Hutchison,32:27,Lauri Markkanen,32:21,Kris Dunn,28:41,Shaquille Harrison,23:11,Robin Lopez,19:50,Wendell Carter Jr.,19:08,Antonio Blakeney,13:33
0,,0,,0,,110,0,0,,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201902130CHI.html,Home,122,1:41,0,,MEM,Avery Bradley,Bruno Caboclo,10:23,Tyler Dorsey,9:37,Ivan Rabb,8:49,,,,,,,28:39,Jaren Jackson Jr.,27:38,Delon Wright,26:15,Mike Conley,25:49,C.J. Miles,23:46,Jonas Valančiūnas,22:37,Justin Holiday,21:32,Joakim Noah,20:00,Jevon Carter,14:55,110,1,0,0.0,,0.0,,0.0,,Rawle Alkins,12,0,2018-2019,0.0,0,0.0,CHI,122,Lauri Markkanen,Antonio Blakeney,1:41,,,,,,,,,,,34:59,Zach LaVine,34:07,Otto Porter Jr.,34:06,Ryan Arcidiacono,33:33,Robin Lopez,31:54,Wayne Selden,20:26,Timothé Luwawu-Cabarrot,17:00,Shaquille Harrison,16:07,Cristiano Felício,14:26
0,.000,1,50.000,1,0.33,118,0,2,66.7,0,.000,0.0,0.0,1.0,2,2,1.000,2,100.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201903270CHI.html,Home,98,16:09,1,33.3,POR,Damian Lillard,Meyers Leonard,18:00,Anfernee Simons,6:08,Gary Trent Jr.,3:56,Skal Labissière,3:56,,,,,28:27,Zach Collins,25:04,Rodney Hood,24:14,Seth Curry,23:54,Al-Farouq Aminu,23:13,Evan Turner,22:17,Enes Freedom,21:51,Maurice Harkless,19:41,Jake Layman,19:19,118,1,2,0.0,0.0,0.0,0.0,2.0,100.0,Rawle Alkins,20,0,2018-2019,0.0,3,3.0,CHI,98,Wayne Selden,,,,,,,,,,,,,33:52,Antonio Blakeney,32:24,Shaquille Harrison,29:57,Brandon Sampson,29:36,Cristiano Felício,29:00,Robin Lopez,28:08,Timothé Luwawu-Cabarrot,21:28,Ryan Arcidiacono,19:26,,
0,.000,2,22.222,3,,124,0,3,37.5,3,.333,3.0,42.9,7.0,9,1,1.000,1,11.111,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201903300CHI.html,Home,101,18:12,5,62.5,TOR,Fred VanVleet,Jordan Loyd,6:12,Chris Boucher,3:42,,,,,,,,,33:23,Marc Gasol,28:59,Jodie Meeks,28:53,Norman Powell,28:44,Kyle Lowry,28:25,Serge Ibaka,28:01,Jeremy Lin,23:40,Danny Green,19:07,Malcolm Miller,10:54,124,0,7,6.0,85.7,0.0,0.0,1.0,14.3,Rawle Alkins,23,0,2018-2019,0.0,0,8.0,CHI,101,Timothé Luwawu-Cabarrot,,,,,,,,,,,,,32:27,Shaquille Harrison,31:36,Walt Lemon Jr.,31:02,Cristiano Felício,24:33,Robin Lopez,23:27,Brandon Sampson,21:57,Wayne Selden,20:11,Ryan Arcidiacono,18:39,Antonio Blakeney,17:56
0,.000,1,100.000,0,,105,0,0,,0,.000,0.0,,0.0,1,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201904010NYK.html,Away,113,1:30,0,,NYK,Damyean Dotson,,,,,,,,,,,,,41:03,Kevin Knox,40:25,Emmanuel Mudiay,36:09,Mitchell Robinson,33:02,Lance Thomas,31:31,Luke Kornet,28:28,John Jenkins,19:56,Kadeem Allen,9:26,,,113,0,0,0.0,,0.0,,0.0,,Rawle Alkins,8,0,2018-2019,0.0,0,0.0,CHI,105,Wayne Selden,Brandon Sampson,8:06,,,,,,,,,,,34:22,Walt Lemon Jr.,30:40,Robin Lopez,30:05,JaKarr Sampson,29:40,Shaquille Harrison,29:37,Timothé Luwawu-Cabarrot,26:25,Ryan Arcidiacono,17:20,Antonio Blakeney,16:53,Cristiano Felício,15:22
1,.250,4,44.444,3,1.50,115,0,5,100.0,4,.444,3.0,60.0,5.0,9,2,.500,4,44.444,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201904030WAS.html,Away,114,26:02,0,0.0,WAS,Thomas Bryant,,,,,,,,,,,,,38:47,Troy Brown Jr.,35:49,Sam Dekker,30:37,Jordan McRae,28:06,Tomáš Satoranský,25:14,Bobby Portis,24:00,Chasson Randle,23:10,Bradley Beal,22:27,Jabari Parker,11:50,114,2,11,6.0,54.5,3.0,27.3,2.0,18.2,Rawle Alkins,1,0,2018-2019,0.0,2,5.0,CHI,115,Shaquille Harrison,,,,,,,,,,,,,33:32,JaKarr Sampson,29:21,Walt Lemon Jr.,28:56,Timothé Luwawu-Cabarrot,25:40,Robin Lopez,24:46,Cristiano Felício,23:14,Ryan Arcidiacono,19:04,Wayne Selden,16:19,Brandon Sampson,13:06
1,.500,2,28.571,2,1.00,116,0,3,75.0,2,.286,1.0,20.0,5.0,7,2,1.000,2,28.571,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201904060CHI.html,Home,96,20:13,1,25.0,PHI,Tobias Harris,Boban Marjanović,10:10,Greg Monroe,10:04,,,,,,,,,31:52,Joel Embiid,27:46,Ben Simmons,26:15,Jonah Bolden,24:43,JJ Redick,24:15,Shake Milton,23:45,Mike Scott,23:17,T.J. McConnell,21:45,Zhaire Smith,16:08,116,2,7,2.0,28.6,3.0,42.9,2.0,28.6,Rawle Alkins,20,0,2018-2019,0.0,2,4.0,CHI,96,JaKarr Sampson,,,,,,,,,,,,,35:18,Walt Lemon Jr.,30:01,Timothé Luwawu-Cabarrot,26:55,Brandon Sampson,25:25,Robin Lopez,24:37,Shaquille Harrison,23:27,Cristiano Felício,23:23,Ryan Arcidiacono,17:59,Wayne Selden,12:42
0,,0,0.000,1,,96,0,2,66.7,1,.333,1.0,33.3,3.0,3,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201904090CHI.html,Home,86,12:54,1,33.3,NYK,Damyean Dotson,,,,,,,,,,,,,40:59,Luke Kornet,38:46,Mitchell Robinson,35:01,Dennis Smith Jr.,34:57,Kevin Knox,34:25,John Jenkins,20:36,Henry Ellenson,14:29,Billy Garrett,13:03,Isaiah Hicks,7:44,96,1,2,2.0,100.0,0.0,0.0,0.0,0.0,Rawle Alkins,10,0,2018-2019,0.0,0,3.0,CHI,86,JaKarr Sampson,,,,,,,,,,,,,32:57,Ryan Arcidiacono,32:25,Robin Lopez,30:58,Shaquille Harrison,27:42,Timothé Luwawu-Cabarrot,24:47,Brandon Sampson,22:37,Wayne Selden,20:25,Walt Lemon Jr.,18:13,Cristiano Felício,17:02
0,.000,1,25.000,1,1.00,109,0,0,,2,.500,2.0,66.7,3.0,4,1,.333,3,75.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201904100PHI.html,Away,125,19:13,0,,PHI,Zhaire Smith,Haywood Highsmith,14:52,,,,,,,,,,,31:53,Jonathon Simmons,29:34,Shake Milton,28:09,Boban Marjanović,24:39,Amir Johnson,24:24,Greg Monroe,23:21,T.J. McConnell,23:19,Mike Scott,21:56,Furkan Korkmaz,17:53,125,0,5,4.0,80.0,0.0,0.0,1.0,20.0,Rawle Alkins,16,0,2018-2019,0.0,1,0.0,CHI,109,Ryan Arcidiacono,,,,,,,,,,,,,29:49,Timothé Luwawu-Cabarrot,29:35,Walt Lemon Jr.,28:17,Wayne Selden,27:38,Robin Lopez,25:56,Brandon Sampson,23:05,Cristiano Felício,22:04,Shaquille Harrison,20:00,Antonio Blakeney,14:23
