3P,3P%,3PA,3PAr,AST,AST/TOV,Away_Score,BLK,DRB,DRB_Pct_of_TRB,FG,FG%,FG2,FG2%,FG2A,FGA,FT,FT%,FTA,FTr,Game_Date,Game_Result,Game_URL,Home/Away,Home_Score,MP,ORB,ORB_Pct_of_TRB,Opponent,Opponent_1,Opponent_10,Opponent_10_MP,Opponent_11,Opponent_11_MP,Opponent_12,Opponent_12_MP,Opponent_13,Opponent_13_MP,Opponent_14,Opponent_14_MP,Opponent_15,Opponent_15_MP,Opponent_1_MP,Opponent_2,Opponent_2_MP,Opponent_3,Opponent_3_MP,Opponent_4,Opponent_4_MP,Opponent_5,Opponent_5_MP,Opponent_6,Opponent_6_MP,Opponent_7,Opponent_7_MP,Opponent_8,Opponent_8_MP,Opponent_9,Opponent_9_MP,Opponent_Score,PF,PTS,PTS_2P,PTS_2P_Pct,PTS_3P,PTS_3P_Pct,PTS_FT,PTS_FT_Pct,Player,Point_Differential,STL,Season,Stocks,TOV,TRB,Team,Team_Score,Teammate_1,Teammate_10,Teammate_10_MP,Teammate_11,Teammate_11_MP,Teammate_12,Teammate_12_MP,Teammate_13,Teammate_13_MP,Teammate_14,Teammate_14_MP,Teammate_15,Teammate_15_MP,Teammate_1_MP,Teammate_2,Teammate_2_MP,Teammate_3,Teammate_3_MP,Teammate_4,Teammate_4_MP,Teammate_5,Teammate_5_MP,Teammate_6,Teammate_6_MP,Teammate_7,Teammate_7_MP,Teammate_8,Teammate_8_MP,Teammate_9,Teammate_9_MP
0,.000,1,100.000,0,,109,0,0,,0,.000,0.0,,0.0,1,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202210310TOR.html,Home,139,3:09,0,,ATL,Trae Young,Aaron Holiday,9:13,Vit Krejci,6:20,Frank Kaminsky,6:20,Tyrese Martin,6:20,Trent Forrest,6:20,,,32:27,Dejounte Murray,30:31,John Collins,29:37,Clint Capela,25:25,Justin Holiday,23:44,De'Andre Hunter,22:20,Onyeka Okongwu,16:15,AJ Griffin,14:28,Jalen Johnson,10:40,109,0,0,0.0,,0.0,,0.0,,Ron Harper Jr.,30,0,2022-2023,0.0,0,0.0,TOR,139,Gary Trent Jr.,Dalano Banton,5:22,Justin Champagnie,5:22,Jeff Dowtin,5:22,Juancho Hernangómez,5:12,,,,,36:49,Pascal Siakam,35:09,Scottie Barnes,33:23,OG Anunoby,31:36,Christian Koloko,21:27,Chris Boucher,20:54,Precious Achiuwa,17:45,Malachi Flynn,9:23,Khem Birch,9:07
2,1.000,2,66.667,0,,112,0,1,100.0,2,.667,0.0,0.0,1.0,3,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202211230TOR.html,Home,98,4:40,0,0.0,BRK,Kevin Durant,Patty Mills,6:24,Day'Ron Sharpe,3:54,David Duke Jr.,3:54,Kessler Edwards,3:54,,,,,32:48,Ben Simmons,32:30,Nic Claxton,30:16,Kyrie Irving,28:16,Royce O'Neale,27:25,Edmond Sumner,21:12,Markieff Morris,18:00,Cam Thomas,17:21,Joe Harris,14:06,112,0,6,0.0,0.0,6.0,100.0,0.0,0.0,Ron Harper Jr.,14,0,2022-2023,0.0,0,1.0,TOR,98,OG Anunoby,,,,,,,,,,,,,35:33,Juancho Hernangómez,32:49,Gary Trent Jr.,30:43,Malachi Flynn,30:04,Chris Boucher,28:51,Thaddeus Young,27:40,Jeff Dowtin,21:12,Christian Koloko,17:48,Khem Birch,10:40
0,,0,0.000,0,,123,0,0,0.0,1,1.000,1.0,100.0,1.0,1,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202301280POR.html,Away,105,1:32,1,100.0,POR,Jerami Grant,Keon Johnson,1:32,John Butler,1:32,,,,,,,,,40:46,Anfernee Simons,40:28,Damian Lillard,36:56,Nassir Little,29:31,Trendon Watford,25:53,Drew Eubanks,22:07,Shaedon Sharpe,19:02,Gary Payton II,16:57,Jabari Walker,5:16,105,0,2,2.0,100.0,0.0,0.0,0.0,0.0,Ron Harper Jr.,18,0,2022-2023,0.0,0,1.0,TOR,123,Fred VanVleet,Christian Koloko,1:32,Jeff Dowtin,1:32,,,,,,,,,41:07,Pascal Siakam,39:08,Scottie Barnes,37:44,Gary Trent Jr.,35:39,Precious Achiuwa,33:25,Chris Boucher,17:11,Juancho Hernangómez,11:38,Malachi Flynn,10:23,Thaddeus Young,9:09
0,.000,1,50.000,0,,93,0,0,,1,.500,1.0,100.0,1.0,2,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202302260CLE.html,Away,118,4:42,0,,CLE,Darius Garland,Robin Lopez,4:42,Raul Neto,4:42,Lamar Stevens,4:42,,,,,,,34:20,Evan Mobley,33:22,Jarrett Allen,32:47,Donovan Mitchell,31:08,Dean Wade,25:09,Caris LeVert,22:54,Isaac Okoro,20:41,Ricky Rubio,19:46,Danny Green,5:46,118,0,2,2.0,100.0,0.0,0.0,0.0,0.0,Ron Harper Jr.,25,0,2022-2023,0.0,0,0.0,TOR,93,OG Anunoby,Joe Wieskamp,6:42,Dalano Banton,4:42,Juancho Hernangómez,4:42,Christian Koloko,4:42,Thaddeus Young,0:22,,,34:14,Pascal Siakam,32:54,Scottie Barnes,31:24,Jakob Poeltl,27:14,Gary Trent Jr.,26:57,Chris Boucher,18:27,Jeff Dowtin,17:45,Precious Achiuwa,16:04,Malachi Flynn,9:09
0,.000,1,100.000,0,,104,0,0,,0,.000,0.0,,0.0,1,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202303260TOR.html,Home,114,2:12,0,,WAS,Corey Kispert,Xavier Cooks,2:12,,,,,,,,,,,39:55,Deni Avdija,34:26,Kristaps Porziņģis,33:56,Delon Wright,33:56,Johnny Davis,29:52,Daniel Gafford,28:54,Jordan Goodwin,20:27,Anthony Gill,8:13,Kendrick Nunn,8:09,104,0,0,0.0,,0.0,,0.0,,Ron Harper Jr.,10,0,2022-2023,0.0,0,0.0,TOR,114,OG Anunoby,Precious Achiuwa,5:43,Will Barton,3:45,,,,,,,,,37:02,Fred VanVleet,35:38,Pascal Siakam,33:34,Scottie Barnes,32:02,Jakob Poeltl,26:08,Chris Boucher,22:12,Jeff Dowtin,19:12,Christian Koloko,15:19,Malachi Flynn,7:13
0,,0,,0,,128,0,0,0.0,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202304020CHO.html,Away,108,1:38,1,100.0,CHO,Théo Maledon,,,,,,,,,,,,,40:55,JT Thor,33:56,Svi Mykhailiuk,33:29,Kai Jones,31:45,Bryce McGowens,30:18,Mark Williams,26:51,James Bouknight,25:14,Xavier Sneed,15:54,Kobi Simmons,1:38,108,0,0,0.0,,0.0,,0.0,,Ron Harper Jr.,20,0,2022-2023,0.0,0,1.0,TOR,128,Pascal Siakam,Malachi Flynn,4:03,Dalano Banton,1:38,Joe Wieskamp,1:38,,,,,,,38:06,Fred VanVleet,37:41,Scottie Barnes,36:04,OG Anunoby,34:11,Jakob Poeltl,30:01,Chris Boucher,16:17,Christian Koloko,15:46,Precious Achiuwa,12:32,Jeff Dowtin,10:25
0,,0,0.000,2,,120,1,0,,0,.000,0.0,0.0,1.0,1,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202304040CHO.html,Away,100,3:42,0,,CHO,Théo Maledon,,,,,,,,,,,,,39:03,Bryce McGowens,35:34,JT Thor,34:23,Svi Mykhailiuk,33:31,Nick Richards,27:21,Kai Jones,22:50,James Bouknight,22:21,Xavier Sneed,13:13,Kobi Simmons,11:40,100,1,0,0.0,,0.0,,0.0,,Ron Harper Jr.,20,0,2022-2023,1.0,0,0.0,TOR,120,Pascal Siakam,Christian Koloko,11:19,Malachi Flynn,3:42,Dalano Banton,3:15,Joe Wieskamp,2:05,,,,,34:52,Scottie Barnes,29:08,OG Anunoby,29:02,Fred VanVleet,26:52,Chris Boucher,26:40,Jakob Poeltl,21:46,Will Barton,20:18,Precious Achiuwa,14:55,Jeff Dowtin,12:24
0,.000,1,100.000,1,,102,0,0,,0,.000,0.0,,0.0,1,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202304070BOS.html,Away,121,3:32,0,,BOS,Sam Hauser,Luke Kornet,8:45,Justin Champagnie,3:32,JD Davison,3:32,Mfiondu Kabengele,3:32,,,,,36:47,Derrick White,27:56,Al Horford,27:34,Robert Williams,25:02,Payton Pritchard,24:08,Mike Muscala,22:11,Jayson Tatum,19:56,Blake Griffin,19:21,Grant Williams,17:44,121,0,0,0.0,,0.0,,0.0,,Ron Harper Jr.,19,0,2022-2023,0.0,0,0.0,TOR,102,Fred VanVleet,Malachi Flynn,6:23,Christian Koloko,6:23,Dalano Banton,3:32,Joe Wieskamp,0:56,,,,,31:06,OG Anunoby,30:40,Scottie Barnes,29:48,Pascal Siakam,29:44,Precious Achiuwa,23:32,Jakob Poeltl,21:23,Gary Trent Jr.,21:22,Will Barton,15:56,Chris Boucher,15:43
1,.333,3,50.000,1,,105,0,3,75.0,4,.667,3.0,100.0,3.0,6,1,1.000,1,16.667,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202304090TOR.html,Home,121,22:23,1,25.0,MIL,Meyers Leonard,Bobby Portis,17:57,,,,,,,,,,,30:35,MarJon Beauchamp,30:14,Thanasis Antetokounmpo,27:43,Lindell Wigginton,27:21,Jae Crowder,24:44,Wesley Matthews,22:26,Goran Dragić,20:47,Jevon Carter,19:50,Joe Ingles,18:23,105,2,10,6.0,60.0,3.0,30.0,1.0,10.0,Ron Harper Jr.,16,0,2022-2023,0.0,0,4.0,TOR,121,Malachi Flynn,Jakob Poeltl,11:15,,,,,,,,,,,36:00,Precious Achiuwa,28:25,Gary Trent Jr.,27:04,Christian Koloko,24:42,Scottie Barnes,21:43,Chris Boucher,19:38,Dalano Banton,19:24,Joe Wieskamp,15:21,Will Barton,14:05
0,,0,,1,,113,0,0,,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202311190TOR.html,Home,142,3:39,0,,DET,Ausar Thompson,Marvin Bagley III,14:55,,,,,,,,,,,30:16,Jaden Ivey,28:04,Cade Cunningham,26:50,Kevin Knox,26:29,Stanley Umude,25:22,James Wiseman,24:05,Alec Burks,22:00,Marcus Sasser,21:10,Isaiah Stewart,20:49,113,2,0,0.0,,0.0,,0.0,,Ron Harper Jr.,29,0,2023-2024,0.0,0,0.0,TOR,142,Pascal Siakam,Gradey Dick,12:06,Jalen McDaniels,8:03,,,,,,,,,28:40,OG Anunoby,26:52,Gary Trent Jr.,26:26,Dennis Schröder,26:23,Scottie Barnes,25:14,Jakob Poeltl,24:41,Malachi Flynn,21:20,Precious Achiuwa,18:37,Chris Boucher,17:59
