3P,3P%,3PA,3PAr,AST,AST/TOV,Away_Score,BLK,DRB,DRB_Pct_of_TRB,FG,FG%,FG2,FG2%,FG2A,FGA,FT,FT%,FTA,FTr,Game_Date,Game_Result,Game_URL,Home/Away,Home_Score,MP,ORB,ORB_Pct_of_TRB,Opponent,Opponent_1,Opponent_10,Opponent_10_MP,Opponent_11,Opponent_11_MP,Opponent_12,Opponent_12_MP,Opponent_13,Opponent_13_MP,Opponent_14,Opponent_14_MP,Opponent_15,Opponent_15_MP,Opponent_1_MP,Opponent_2,Opponent_2_MP,Opponent_3,Opponent_3_MP,Opponent_4,Opponent_4_MP,Opponent_5,Opponent_5_MP,Opponent_6,Opponent_6_MP,Opponent_7,Opponent_7_MP,Opponent_8,Opponent_8_MP,Opponent_9,Opponent_9_MP,Opponent_Score,PF,PTS,PTS_2P,PTS_2P_Pct,PTS_3P,PTS_3P_Pct,PTS_FT,PTS_FT_Pct,Player,Point_Differential,STL,Season,Stocks,TOV,TRB,Team,Team_Score,Teammate_1,Teammate_10,Teammate_10_MP,Teammate_11,Teammate_11_MP,Teammate_12,Teammate_12_MP,Teammate_13,Teammate_13_MP,Teammate_14,Teammate_14_MP,Teammate_15,Teammate_15_MP,Teammate_1_MP,Teammate_2,Teammate_2_MP,Teammate_3,Teammate_3_MP,Teammate_4,Teammate_4_MP,Teammate_5,Teammate_5_MP,Teammate_6,Teammate_6_MP,Teammate_7,Teammate_7_MP,Teammate_8,Teammate_8_MP,Teammate_9,Teammate_9_MP
0,,0,0.000,1,,104,0,1,100.0,0,.000,0.0,0.0,1.0,1,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202110190MIL.html,Home,127,7:02,0,0.0,BRK,Joe Harris,Paul Millsap,5:13,Cam Thomas,3:45,DeAndre' Bembry,3:45,Bruce Brown,3:45,,,,,30:46,James Harden,30:38,Kevin Durant,30:15,Patty Mills,29:22,Nic Claxton,24:10,Blake Griffin,22:59,James Johnson,20:43,Jevon Carter,18:57,LaMarcus Aldridge,15:42,104,0,0,0.0,,0.0,,0.0,,Sandro Mamukelashvili,23,0,2021-2022,0.0,0,1.0,MIL,127,Giannis Antetokounmpo,Justin Robinson,4:01,Georgios Kalaitzakis,1:16,,,,,,,,,30:57,Khris Middleton,30:57,Pat Connaughton,29:58,Brook Lopez,28:10,Grayson Allen,27:43,Jordan Nwora,26:28,George Hill,23:21,Jrue Holiday,17:43,Thanasis Antetokounmpo,12:24
2,.500,4,44.444,1,,95,0,2,50.0,4,.444,2.0,40.0,5.0,9,2,1.000,2,22.222,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202110210MIA.html,Away,137,27:20,2,50.0,MIA,Jimmy Butler,Gabe Vincent,12:27,Omer Yurtseven,8:15,Caleb Martin,8:15,KZ Okpala,8:15,Marcus Garrett,5:20,,,29:02,Kyle Lowry,24:28,Tyler Herro,24:12,Duncan Robinson,23:30,Bam Adebayo,23:10,P.J. Tucker,21:58,Max Strus,18:07,Markieff Morris,18:00,Dewayne Dedmon,15:01,137,2,12,4.0,33.3,6.0,50.0,2.0,16.7,Sandro Mamukelashvili,42,0,2021-2022,0.0,0,4.0,MIL,95,Grayson Allen,,,,,,,,,,,,,28:38,Justin Robinson,27:28,Pat Connaughton,27:14,Jordan Nwora,26:03,Khris Middleton,23:28,Giannis Antetokounmpo,22:48,George Hill,21:26,Thanasis Antetokounmpo,17:49,Georgios Kalaitzakis,17:46
0,,0,0.000,0,,121,0,0,,0,.000,0.0,0.0,1.0,1,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202110230SAS.html,Away,111,5:48,0,,SAS,Jakob Poeltl,Tre Jones,4:42,Joshua Primo,0:48,Keita Bates-Diop,0:48,Jock Landale,0:48,,,,,34:35,Dejounte Murray,34:25,Doug McDermott,32:27,Derrick White,31:15,Keldon Johnson,29:29,Lonnie Walker IV,24:56,Devin Vassell,19:06,Bryn Forbes,14:04,Drew Eubanks,12:37,111,1,0,0.0,,0.0,,0.0,,Sandro Mamukelashvili,10,0,2021-2022,0.0,0,0.0,MIL,121,Pat Connaughton,,,,,,,,,,,,,36:57,Khris Middleton,35:00,Giannis Antetokounmpo,30:24,Grayson Allen,26:01,Jrue Holiday,25:25,George Hill,25:11,Thanasis Antetokounmpo,21:36,Jordan Nwora,20:52,Justin Robinson,12:46
0,.000,1,50.000,0,,119,0,2,66.7,1,.500,1.0,100.0,1.0,2,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202110250IND.html,Away,109,9:53,1,33.3,IND,Justin Holiday,Torrey Craig,6:28,,,,,,,,,,,37:52,Domantas Sabonis,37:27,Malcolm Brogdon,37:22,Chris Duarte,33:27,Oshae Brissett,22:44,T.J. McConnell,17:51,Goga Bitadze,17:39,Jeremy Lamb,15:05,Myles Turner,14:05,109,0,2,2.0,100.0,0.0,0.0,0.0,0.0,Sandro Mamukelashvili,10,0,2021-2022,0.0,0,3.0,MIL,119,Giannis Antetokounmpo,Georgios Kalaitzakis,0:33,,,,,,,,,,,36:16,Khris Middleton,32:01,Pat Connaughton,31:55,Grayson Allen,31:45,George Hill,26:32,Jordan Nwora,23:19,Thanasis Antetokounmpo,19:23,Justin Robinson,18:20,Rodney Hood,10:03
0,,0,,0,0.00,102,0,0,,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202110300MIL.html,Home,93,0:47,0,,SAS,Dejounte Murray,Drew Eubanks,9:08,Tre Jones,5:32,Jock Landale,0:17,,,,,,,36:40,Derrick White,33:27,Keldon Johnson,31:11,Bryn Forbes,24:37,Devin Vassell,24:00,Jakob Poeltl,23:20,Lonnie Walker IV,19:47,Keita Bates-Diop,16:46,Thaddeus Young,15:14,102,0,0,0.0,,0.0,,0.0,,Sandro Mamukelashvili,9,0,2021-2022,0.0,1,0.0,MIL,93,Giannis Antetokounmpo,Semi Ojeleye,13:04,Georgios Kalaitzakis,0:47,,,,,,,,,34:04,Khris Middleton,33:09,George Hill,32:02,Grayson Allen,29:20,Pat Connaughton,28:33,Rodney Hood,18:02,Thanasis Antetokounmpo,17:50,Jordan Nwora,17:31,Justin Robinson,14:46
0,,0,,0,,107,0,1,100.0,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202110310MIL.html,Home,95,4:41,0,0.0,UTA,Donovan Mitchell,Jared Butler,3:03,,,,,,,,,,,32:37,Royce O'Neale,31:20,Bojan Bogdanović,31:19,Rudy Gobert,30:56,Mike Conley,30:08,Jordan Clarkson,25:44,Joe Ingles,22:32,Hassan Whiteside,17:04,Eric Paschall,15:17,107,0,0,0.0,,0.0,,0.0,,Sandro Mamukelashvili,12,0,2021-2022,0.0,0,1.0,MIL,95,Giannis Antetokounmpo,,,,,,,,,,,,,34:55,Thanasis Antetokounmpo,32:04,Grayson Allen,31:16,George Hill,30:27,Pat Connaughton,28:40,Justin Robinson,24:17,Jordan Nwora,23:31,Bobby Portis,19:10,Rodney Hood,10:59
1,1.000,1,50.000,0,0.00,117,0,0,,2,1.000,1.0,100.0,1.0,2,0,.000,1,50.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202111020DET.html,Away,89,5:35,0,,DET,Saddiq Bey,Cory Joseph,14:35,Luka Garza,7:06,Rodney McGruder,6:47,Hamidou Diallo,5:35,Saben Lee,4:34,,,31:15,Cade Cunningham,29:14,Killian Hayes,26:19,Isaiah Stewart,24:26,Jerami Grant,23:55,Trey Lyles,18:30,Kelly Olynyk,16:28,Josh Jackson,15:45,Frank Jackson,15:31,89,1,5,2.0,40.0,3.0,60.0,0.0,0.0,Sandro Mamukelashvili,28,0,2021-2022,0.0,1,0.0,MIL,117,Giannis Antetokounmpo,Rodney Hood,16:57,Georgios Kalaitzakis,7:54,,,,,,,,,26:48,Pat Connaughton,25:28,Justin Robinson,24:22,Jordan Nwora,24:08,Thanasis Antetokounmpo,23:27,Bobby Portis,22:29,George Hill,21:38,Grayson Allen,21:15,Semi Ojeleye,19:59
0,.000,1,100.000,0,,93,1,0,,0,.000,0.0,,0.0,1,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202111240MIL.html,Home,114,2:45,0,,DET,Saddiq Bey,Cory Joseph,7:20,Rodney McGruder,3:20,,,,,,,,,33:05,Cade Cunningham,29:54,Saben Lee,29:06,Jerami Grant,28:20,Frank Jackson,23:29,Luka Garza,22:35,Trey Lyles,22:34,Josh Jackson,20:10,Hamidou Diallo,20:07,93,1,0,0.0,,0.0,,0.0,,Sandro Mamukelashvili,21,0,2021-2022,1.0,0,0.0,MIL,114,Jrue Holiday,Justin Robinson,2:32,Thanasis Antetokounmpo,2:18,Georgios Kalaitzakis,2:18,,,,,,,34:27,Giannis Antetokounmpo,31:10,Bobby Portis,31:06,Khris Middleton,28:07,George Hill,26:38,Grayson Allen,24:16,Pat Connaughton,23:47,Jordan Nwora,16:10,Rodney Hood,14:26
0,,0,,0,,120,0,0,,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202111260DEN.html,Away,109,3:14,0,,DEN,Will Barton,Markus Howard,5:02,Petr Cornelie,3:14,Bol Bol,3:14,,,,,,,39:02,Aaron Gordon,37:20,Monte Morris,32:24,Jeff Green,28:47,Facundo Campazzo,28:11,Austin Rivers,16:31,JaMychal Green,16:22,Zeke Nnaji,14:58,Vlatko Čančar,14:55,109,0,0,0.0,,0.0,,0.0,,Sandro Mamukelashvili,11,0,2021-2022,0.0,0,0.0,MIL,120,Jrue Holiday,Georgios Kalaitzakis,3:14,Thanasis Antetokounmpo,3:14,,,,,,,,,33:27,Khris Middleton,30:37,Giannis Antetokounmpo,30:06,Bobby Portis,28:29,Pat Connaughton,27:08,George Hill,25:17,Grayson Allen,24:26,Rodney Hood,17:28,Jordan Nwora,13:20
0,,0,0.000,0,,118,0,1,50.0,1,1.000,1.0,100.0,1.0,1,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202111280IND.html,Away,100,3:24,1,50.0,IND,Malcolm Brogdon,Isaiah Jackson,9:15,Torrey Craig,6:56,Oshae Brissett,6:51,Brad Wanamaker,6:51,Goga Bitadze,5:27,,,33:46,Chris Duarte,30:12,Caris LeVert,26:38,Justin Holiday,25:10,Myles Turner,22:38,Domantas Sabonis,21:45,T.J. McConnell,16:26,Kelan Martin,15:13,Jeremy Lamb,12:52,100,0,2,2.0,100.0,0.0,0.0,0.0,0.0,Sandro Mamukelashvili,18,0,2021-2022,0.0,0,2.0,MIL,118,Giannis Antetokounmpo,Georgios Kalaitzakis,0:34,Justin Robinson,0:34,,,,,,,,,32:40,Jrue Holiday,31:00,Grayson Allen,30:08,Khris Middleton,29:36,Pat Connaughton,29:28,George Hill,29:04,Bobby Portis,26:26,Rodney Hood,21:39,Jordan Nwora,5:27
