3P,3P%,3PA,3PAr,AST,AST/TOV,Away_Score,BLK,DRB,DRB_Pct_of_TRB,FG,FG%,FG2,FG2%,FG2A,FGA,FT,FT%,FTA,FTr,Game_Date,Game_Result,Game_URL,Home/Away,Home_Score,MP,ORB,ORB_Pct_of_TRB,Opponent,Opponent_1,Opponent_10,Opponent_10_MP,Opponent_11,Opponent_11_MP,Opponent_12,Opponent_12_MP,Opponent_13,Opponent_13_MP,Opponent_14,Opponent_14_MP,Opponent_15,Opponent_15_MP,Opponent_1_MP,Opponent_2,Opponent_2_MP,Opponent_3,Opponent_3_MP,Opponent_4,Opponent_4_MP,Opponent_5,Opponent_5_MP,Opponent_6,Opponent_6_MP,Opponent_7,Opponent_7_MP,Opponent_8,Opponent_8_MP,Opponent_9,Opponent_9_MP,Opponent_Score,PF,PTS,PTS_2P,PTS_2P_Pct,PTS_3P,PTS_3P_Pct,PTS_FT,PTS_FT_Pct,Player,Point_Differential,STL,Season,Stocks,TOV,TRB,Team,Team_Score,Teammate_1,Teammate_10,Teammate_10_MP,Teammate_11,Teammate_11_MP,Teammate_12,Teammate_12_MP,Teammate_13,Teammate_13_MP,Teammate_14,Teammate_14_MP,Teammate_15,Teammate_15_MP,Teammate_1_MP,Teammate_2,Teammate_2_MP,Teammate_3,Teammate_3_MP,Teammate_4,Teammate_4_MP,Teammate_5,Teammate_5_MP,Teammate_6,Teammate_6_MP,Teammate_7,Teammate_7_MP,Teammate_8,Teammate_8_MP,Teammate_9,Teammate_9_MP
0,,0,,1,1.00,106,1,0,0.0,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201510280MEM.html,Away,76,5:59,1,100.0,MEM,Courtney Lee,JaMychal Green,14:00,Jordan Adams,7:04,Russ Smith,5:59,,,,,,,31:16,Zach Randolph,30:54,Marc Gasol,29:43,Mike Conley,29:26,Tony Allen,22:39,Jeff Green,20:04,Matt Barnes,17:30,Brandan Wright,16:41,Beno Udrih,14:44,76,3,0,0.0,,0.0,,0.0,,Sasha Kaun,30,1,2015-2016,2.0,1,1.0,CLE,106,J.R. Smith,Anderson Varejão,10:52,James Jones,5:15,Joe Harris,5:15,,,,,,,33:51,LeBron James,30:48,Kevin Love,28:51,Timofey Mozgov,25:04,Mo Williams,22:38,Tristan Thompson,19:59,Richard Jefferson,18:20,Matthew Dellavedova,17:59,Jared Cunningham,15:09
0,,0,,0,,92,0,0,,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201510300CLE.html,Home,102,1:28,0,,MIA,Hassan Whiteside,Amar'e Stoudemire,11:58,James Ennis III,1:28,Tyler Johnson,1:28,,,,,,,36:02,Goran Dragić,33:36,Chris Bosh,33:10,Dwyane Wade,30:25,Luol Deng,29:12,Justise Winslow,18:48,Gerald Green,16:07,Mario Chalmers,14:24,Josh McRoberts,13:22,92,1,0,0.0,,0.0,,0.0,,Sasha Kaun,10,0,2015-2016,0.0,0,0.0,CLE,102,LeBron James,Jared Cunningham,9:12,Joe Harris,1:28,James Jones,1:28,,,,,,,33:56,Kevin Love,33:07,Matthew Dellavedova,26:58,Tristan Thompson,26:03,Mo Williams,25:48,Richard Jefferson,24:23,J.R. Smith,22:15,Timofey Mozgov,18:04,Anderson Varejão,15:50
0,,0,,0,,97,0,0,,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201511210CLE.html,Home,109,1:41,0,,ATL,Al Horford,Tiago Splitter,9:28,Shelvin Mack,5:57,Mike Scott,3:09,,,,,,,33:33,Paul Millsap,31:01,Thabo Sefolosha,29:44,Kyle Korver,28:44,Jeff Teague,25:53,Lamar Patterson,21:38,Mike Muscala,18:49,Dennis Schröder,16:10,Justin Holiday,15:54,97,0,0,0.0,,0.0,,0.0,,Sasha Kaun,12,0,2015-2016,0.0,0,0.0,CLE,109,Tristan Thompson,,,,,,,,,,,,,40:18,J.R. Smith,37:41,LeBron James,33:20,Kevin Love,31:10,Matthew Dellavedova,28:06,Richard Jefferson,23:49,Jared Cunningham,19:49,Anderson Varejão,19:06,James Jones,5:00
0,,0,,0,,103,0,0,0.0,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201511230CLE.html,Home,117,1:03,1,100.0,ORL,Shabazz Napier,Mario Hezonja,14:17,Channing Frye,6:49,Dewayne Dedmon,6:49,,,,,,,29:10,Victor Oladipo,25:51,Nikola Vučević,25:44,Tobias Harris,24:58,Aaron Gordon,24:50,Andrew Nicholson,24:15,Evan Fournier,23:00,Elfrid Payton,18:50,Jason Smith,15:27,103,0,0,0.0,,0.0,,0.0,,Sasha Kaun,14,0,2015-2016,0.0,0,1.0,CLE,117,J.R. Smith,Joe Harris,1:03,,,,,,,,,,,37:46,LeBron James,34:58,Tristan Thompson,34:19,Kevin Love,33:57,Jared Cunningham,27:17,Matthew Dellavedova,23:51,Richard Jefferson,19:05,James Jones,14:03,Anderson Varejão,12:38
0,,0,0.000,0,0.00,84,0,1,33.3,1,.500,1.0,50.0,2.0,2,2,1.000,2,100.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201512050MIA.html,Away,99,8:27,2,66.7,MIA,Chris Bosh,Josh Richardson,7:34,Beno Udrih,3:43,,,,,,,,,35:45,Goran Dragić,30:31,Tyler Johnson,29:32,Dwyane Wade,28:53,Gerald Green,26:17,Hassan Whiteside,21:13,Udonis Haslem,19:57,Josh McRoberts,19:05,Justise Winslow,17:30,99,1,4,2.0,50.0,0.0,0.0,2.0,50.0,Sasha Kaun,15,0,2015-2016,0.0,1,3.0,CLE,84,Richard Jefferson,Mo Williams,11:41,,,,,,,,,,,38:23,Jared Cunningham,32:02,Matthew Dellavedova,28:17,J.R. Smith,26:44,Tristan Thompson,22:20,Kevin Love,22:16,Timofey Mozgov,21:16,James Jones,14:27,Anderson Varejão,14:07
0,,0,,0,0.00,111,0,0,,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201512110ORL.html,Away,76,6:05,0,,ORL,Aaron Gordon,Evan Fournier,17:14,Tobias Harris,16:38,Channing Frye,11:35,,,,,,,31:22,Andrew Nicholson,23:09,Nikola Vučević,21:45,Mario Hezonja,20:35,Elfrid Payton,20:07,Dewayne Dedmon,20:05,Shabazz Napier,19:27,Victor Oladipo,19:07,Jason Smith,18:56,76,0,0,0.0,,0.0,,0.0,,Sasha Kaun,35,1,2015-2016,1.0,1,0.0,CLE,111,LeBron James,Richard Jefferson,12:42,Anderson Varejão,10:25,,,,,,,,,29:25,Kevin Love,27:52,Iman Shumpert,24:36,Matthew Dellavedova,24:08,Mo Williams,23:52,Jared Cunningham,23:12,Timofey Mozgov,19:42,Tristan Thompson,19:39,James Jones,18:22
0,,0,0.000,0,0.00,86,0,0,0.0,2,.667,2.0,66.7,3.0,3,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201512200CLE.html,Home,108,5:56,2,100.0,PHI,Nerlens Noel,Tony Wroten,14:59,Richaun Holmes,13:56,Nik Stauskas,12:00,,,,,,,31:16,Jahlil Okafor,25:19,JaKarr Sampson,23:43,Jerami Grant,22:08,Hollis Thompson,21:56,Isaiah Canaan,21:12,Robert Covington,20:30,Kendall Marshall,17:59,T.J. McConnell,15:02,86,1,4,4.0,100.0,0.0,0.0,0.0,0.0,Sasha Kaun,22,0,2015-2016,0.0,1,2.0,CLE,108,LeBron James,Iman Shumpert,15:40,Anderson Varejão,12:53,Jared Cunningham,12:41,,,,,,,25:19,Timofey Mozgov,23:59,Matthew Dellavedova,22:48,Richard Jefferson,22:41,J.R. Smith,21:51,Tristan Thompson,21:43,Kevin Love,21:36,Kyrie Irving,17:04,James Jones,15:49
0,,0,,1,0.50,76,1,1,50.0,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201512260POR.html,Away,105,5:58,1,50.0,POR,CJ McCollum,Maurice Harkless,12:33,Chris Kaman,5:58,Pat Connaughton,5:58,Luis Montero,4:09,,,,,34:14,Allen Crabbe,31:08,Mason Plumlee,28:23,Meyers Leonard,22:54,Al-Farouq Aminu,22:07,Noah Vonleh,21:26,Gerald Henderson,19:55,Tim Frazier,18:05,Ed Davis,13:10,105,0,0,0.0,,0.0,,0.0,,Sasha Kaun,29,0,2015-2016,1.0,2,2.0,CLE,76,LeBron James,Anderson Varejão,14:06,Jared Cunningham,12:00,Mo Williams,10:25,,,,,,,26:27,Richard Jefferson,25:46,Matthew Dellavedova,25:35,Iman Shumpert,24:57,Tristan Thompson,21:54,J.R. Smith,20:53,Kevin Love,19:47,James Jones,18:06,Timofey Mozgov,14:06
0,,0,,0,,91,0,0,0.0,0,,0.0,,0.0,0,0,.000,2,,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201601150HOU.html,Away,77,2:09,1,100.0,HOU,James Harden,Montrezl Harrell,9:12,Ty Lawson,6:07,K.J. McDaniels,4:03,,,,,,,38:14,Dwight Howard,34:16,Trevor Ariza,34:14,Patrick Beverley,27:33,Terrence Jones,22:26,Marcus Thornton,18:07,Jason Terry,18:00,Clint Capela,14:28,Corey Brewer,13:20,77,0,0,0.0,,0.0,,0.0,,Sasha Kaun,14,0,2015-2016,0.0,0,1.0,CLE,91,LeBron James,Anderson Varejão,7:38,Jared Cunningham,3:00,,,,,,,,,36:23,Kevin Love,32:35,Kyrie Irving,29:34,Iman Shumpert,27:32,J.R. Smith,25:58,Matthew Dellavedova,22:56,Tristan Thompson,22:24,Timofey Mozgov,17:35,Richard Jefferson,12:15
0,,0,,0,,100,0,1,100.0,0,,0.0,,0.0,0,1,.500,2,,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201602080CLE.html,Home,120,3:02,0,0.0,SAC,Rajon Rondo,Quincy Acy,4:38,Seth Curry,4:38,,,,,,,,,32:46,Willie Cauley-Stein,29:32,DeMarcus Cousins,29:12,Omri Casspi,29:10,Rudy Gay,27:05,Marco Belinelli,26:10,Darren Collison,21:14,Kosta Koufos,18:47,James Anderson,16:48,100,1,1,0.0,0.0,0.0,0.0,1.0,100.0,Sasha Kaun,20,0,2015-2016,0.0,0,1.0,CLE,120,Kyrie Irving,Anderson Varejão,8:49,Jared Cunningham,3:02,,,,,,,,,35:00,LeBron James,30:54,J.R. Smith,30:49,Kevin Love,27:56,Iman Shumpert,24:44,Tristan Thompson,21:33,Timofey Mozgov,20:46,Richard Jefferson,17:06,Mo Williams,16:19
