3P,3P%,3PA,3PAr,AST,AST/TOV,Away_Score,BLK,DRB,DRB_Pct_of_TRB,FG,FG%,FG2,FG2%,FG2A,FGA,FT,FT%,FTA,FTr,Game_Date,Game_Result,Game_URL,Home/Away,Home_Score,MP,ORB,ORB_Pct_of_TRB,Opponent,Opponent_1,Opponent_10,Opponent_10_MP,Opponent_11,Opponent_11_MP,Opponent_12,Opponent_12_MP,Opponent_13,Opponent_13_MP,Opponent_14,Opponent_14_MP,Opponent_15,Opponent_15_MP,Opponent_1_MP,Opponent_2,Opponent_2_MP,Opponent_3,Opponent_3_MP,Opponent_4,Opponent_4_MP,Opponent_5,Opponent_5_MP,Opponent_6,Opponent_6_MP,Opponent_7,Opponent_7_MP,Opponent_8,Opponent_8_MP,Opponent_9,Opponent_9_MP,Opponent_Score,PF,PTS,PTS_2P,PTS_2P_Pct,PTS_3P,PTS_3P_Pct,PTS_FT,PTS_FT_Pct,Player,Point_Differential,STL,Season,Stocks,TOV,TRB,Team,Team_Score,Teammate_1,Teammate_10,Teammate_10_MP,Teammate_11,Teammate_11_MP,Teammate_12,Teammate_12_MP,Teammate_13,Teammate_13_MP,Teammate_14,Teammate_14_MP,Teammate_15,Teammate_15_MP,Teammate_1_MP,Teammate_2,Teammate_2_MP,Teammate_3,Teammate_3_MP,Teammate_4,Teammate_4_MP,Teammate_5,Teammate_5_MP,Teammate_6,Teammate_6_MP,Teammate_7,Teammate_7_MP,Teammate_8,Teammate_8_MP,Teammate_9,Teammate_9_MP
0,,0,,0,,109,0,0,,0,,0.0,,0.0,0,2,1.000,2,,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202210180GSW.html,Away,123,1:52,0,,GSW,Stephen Curry,Jonathan Kuminga,13:04,Moses Moody,7:35,Ryan Rollins,1:52,,,,,,,32:48,Andrew Wiggins,29:28,Jordan Poole,28:11,Draymond Green,24:41,JaMychal Green,23:26,Donte DiVincenzo,21:37,Kevon Looney,21:08,Klay Thompson,19:39,James Wiseman,16:31,123,0,2,0.0,0.0,0.0,0.0,2.0,100.0,Scotty Pippen Jr.,14,0,2022-2023,0.0,0,0.0,LAL,109,Anthony Davis,Wenyen Gabriel,7:48,Max Christie,1:52,Cole Swider,1:52,,,,,,,35:36,LeBron James,35:12,Russell Westbrook,30:41,Lonnie Walker IV,29:17,Patrick Beverley,24:40,Kendrick Nunn,23:03,Matt Ryan,17:49,Austin Reaves,16:00,Juan Toscano-Anderson,14:18
0,,0,0.000,0,0.00,116,0,1,50.0,0,.000,0.0,0.0,2.0,2,1,.500,2,100.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202211070UTA.html,Away,139,6:29,1,50.0,UTA,Jordan Clarkson,Nickeil Alexander-Walker,12:00,Ochai Agbaji,6:29,Leandro Bolmaro,5:02,Simone Fontecchio,5:02,Udoka Azubuike,4:17,,,28:39,Collin Sexton,27:57,Lauri Markkanen,27:44,Mike Conley,23:46,Kelly Olynyk,22:46,Malik Beasley,21:33,Talen Horton-Tucker,20:06,Walker Kessler,18:12,Rudy Gay,16:26,139,2,1,0.0,0.0,0.0,0.0,1.0,100.0,Scotty Pippen Jr.,23,0,2022-2023,0.0,1,2.0,LAL,116,Austin Reaves,Juan Toscano-Anderson,12:51,,,,,,,,,,,29:48,Anthony Davis,29:12,Max Christie,29:03,Kendrick Nunn,26:47,Troy Brown Jr.,24:56,Russell Westbrook,24:11,Wenyen Gabriel,23:39,Matt Ryan,17:48,Damian Jones,15:13
1,.500,2,40.000,1,1.00,104,1,1,50.0,1,.200,0.0,0.0,3.0,5,1,.500,2,40.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202212190PHO.html,Away,130,14:30,1,50.0,PHO,Damion Lee,Dario Šarić,4:43,,,,,,,,,,,37:36,Chris Paul,31:29,Torrey Craig,31:03,Mikal Bridges,30:26,Landry Shamet,29:26,Deandre Ayton,25:52,Ish Wainright,22:08,Bismack Biyombo,17:25,Josh Okogie,9:52,130,1,4,0.0,0.0,3.0,75.0,1.0,25.0,Scotty Pippen Jr.,26,1,2022-2023,2.0,1,2.0,LAL,104,Lonnie Walker IV,,,,,,,,,,,,,30:11,Dennis Schröder,29:11,Max Christie,27:03,Wenyen Gabriel,26:59,Thomas Bryant,26:30,Patrick Beverley,23:09,Damian Jones,21:30,Troy Brown Jr.,21:01,Kendrick Nunn,19:56
0,.000,1,100.000,0,,114,0,0,,0,.000,0.0,,0.0,1,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202301060LAL.html,Home,130,1:17,0,,ATL,John Collins,Frank Kaminsky,2:09,Vit Krejci,2:09,,,,,,,,,37:24,De'Andre Hunter,37:19,Dejounte Murray,35:02,Trae Young,34:13,Bogdan Bogdanović,29:02,Onyeka Okongwu,28:20,AJ Griffin,14:46,Aaron Holiday,14:12,Jalen Johnson,5:24,114,0,0,0.0,,0.0,,0.0,,Scotty Pippen Jr.,16,0,2022-2023,0.0,0,0.0,LAL,130,Dennis Schröder,Sterling Brown,3:24,Cole Swider,1:17,,,,,,,,,34:47,LeBron James,32:47,Russell Westbrook,30:39,Thomas Bryant,27:56,Kendrick Nunn,26:53,Patrick Beverley,24:07,Juan Toscano-Anderson,21:19,Wenyen Gabriel,19:29,Max Christie,16:05
0,,0,0.000,0,,109,0,0,,2,1.000,2.0,100.0,2.0,2,0,.000,1,50.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202301090DEN.html,Away,122,2:16,0,,DEN,Jamal Murray,Davon Reed,1:55,Christian Braun,1:55,Ish Smith,1:55,,,,,,,35:33,Nikola Jokić,35:09,Kentavious Caldwell-Pope,30:39,Bruce Brown,26:36,Vlatko Čančar,25:56,Michael Porter Jr.,25:53,Aaron Gordon,22:04,Bones Hyland,19:34,Zeke Nnaji,12:50,122,0,4,4.0,100.0,0.0,0.0,0.0,0.0,Scotty Pippen Jr.,13,1,2022-2023,1.0,0,0.0,LAL,109,Dennis Schröder,Patrick Beverley,12:01,Damian Jones,2:16,,,,,,,,,34:24,Russell Westbrook,30:51,Thomas Bryant,27:54,Max Christie,25:52,Cole Swider,25:40,Kendrick Nunn,23:55,Wenyen Gabriel,19:15,Juan Toscano-Anderson,18:06,Sterling Brown,17:30
0,,0,0.000,1,,133,0,0,,1,.500,1.0,50.0,2.0,2,1,.500,2,100.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202301240LAL.html,Home,115,5:07,0,,LAC,Paul George,Amir Coffey,2:55,Moussa Diabaté,2:03,,,,,,,,,36:14,Kawhi Leonard,35:19,Ivica Zubac,34:27,Reggie Jackson,25:46,Terance Mann,25:31,Norman Powell,25:23,Nicolas Batum,23:42,Robert Covington,19:08,Marcus Morris,9:32,133,0,3,2.0,66.7,0.0,0.0,1.0,33.3,Scotty Pippen Jr.,18,0,2022-2023,0.0,0,0.0,LAL,115,Patrick Beverley,Damian Jones,5:07,Cole Swider,5:07,,,,,,,,,35:12,LeBron James,32:35,Dennis Schröder,32:15,Thomas Bryant,28:47,Troy Brown Jr.,27:53,Russell Westbrook,24:43,Max Christie,17:28,Wenyen Gabriel,14:06,Juan Toscano-Anderson,11:40
0,,0,0.000,1,1.00,96,0,0,0.0,1,.500,1.0,50.0,2.0,2,1,1.000,1,50.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202401200CHI.html,Away,125,5:06,1,100.0,CHI,DeMar DeRozan,Julian Phillips,4:19,Terry Taylor,3:44,,,,,,,,,36:36,Coby White,36:07,Ayo Dosunmu,27:55,Patrick Williams,26:48,Nikola Vučević,25:24,Alex Caruso,25:18,Andre Drummond,18:52,Dalen Terry,18:06,Jevon Carter,16:51,125,0,3,2.0,66.7,0.0,0.0,1.0,33.3,Scotty Pippen Jr.,29,0,2023-2024,0.0,1,1.0,MEM,96,Jaren Jackson Jr.,,,,,,,,,,,,,33:06,David Roddy,31:37,Vince Williams Jr.,29:53,Luke Kennard,29:44,Santi Aldama,27:44,John Konchar,26:35,Ziaire Williams,22:07,GG Jackson II,18:30,Jacob Gilyard,15:38
1,1.000,1,14.286,6,3.00,105,0,6,100.0,5,.714,4.0,66.7,6.0,7,4,1.000,4,57.143,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202401240MIA.html,Away,96,24:22,0,0.0,MIA,Bam Adebayo,Kevin Love,5:06,,,,,,,,,,,39:31,Tyler Herro,37:43,Jimmy Butler,34:51,Terry Rozier,29:23,Caleb Martin,28:39,Haywood Highsmith,24:01,Josh Richardson,18:07,Duncan Robinson,15:51,Thomas Bryant,6:46,96,1,15,8.0,53.3,3.0,20.0,4.0,26.7,Scotty Pippen Jr.,9,0,2023-2024,0.0,2,6.0,MEM,105,Jaren Jackson Jr.,,,,,,,,,,,,,35:27,Vince Williams Jr.,32:41,David Roddy,31:38,John Konchar,30:40,GG Jackson II,26:00,Jacob Gilyard,23:38,Xavier Tillman Sr.,18:08,Ziaire Williams,17:26,,
1,.500,2,40.000,4,1.33,110,0,2,66.7,1,.200,0.0,0.0,3.0,5,1,.500,2,40.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202401280IND.html,Away,116,17:21,1,33.3,IND,Aaron Nesmith,,,,,,,,,,,,,37:21,Andrew Nembhard,37:18,Pascal Siakam,35:15,Bennedict Mathurin,30:11,Jalen Smith,30:05,Ben Sheppard,19:52,Buddy Hield,19:18,Obi Toppin,16:47,Isaiah Jackson,13:53,116,3,4,0.0,0.0,3.0,75.0,1.0,25.0,Scotty Pippen Jr.,6,0,2023-2024,0.0,3,3.0,MEM,110,Vince Williams Jr.,,,,,,,,,,,,,36:03,David Roddy,32:26,Jaren Jackson Jr.,31:35,John Konchar,29:41,GG Jackson II,28:52,Santi Aldama,27:49,Xavier Tillman Sr.,17:06,Ziaire Williams,13:45,Jacob Gilyard,5:22
2,.500,4,50.000,5,1.67,103,1,1,50.0,3,.375,1.0,25.0,4.0,8,4,.571,7,87.500,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202401290MEM.html,Home,94,31:31,1,50.0,SAC,Domantas Sabonis,,,,,,,,,,,,,37:59,Kevin Huerter,37:17,Harrison Barnes,35:19,De'Aaron Fox,34:02,Keegan Murray,24:37,Trey Lyles,24:23,Malik Monk,19:53,Davion Mitchell,16:29,JaVale McGee,10:01,103,3,12,2.0,16.7,6.0,50.0,4.0,33.3,Scotty Pippen Jr.,9,3,2023-2024,4.0,3,2.0,MEM,94,Xavier Tillman Sr.,,,,,,,,,,,,,36:52,David Roddy,34:35,Santi Aldama,34:26,Jaren Jackson Jr.,32:13,GG Jackson II,30:27,Matthew Hurt,23:27,Jacob Gilyard,16:29,,,,
