3P,3P%,3PA,3PAr,AST,AST/TOV,Away_Score,BLK,DRB,DRB_Pct_of_TRB,FG,FG%,FG2,FG2%,FG2A,FGA,FT,FT%,FTA,FTr,Game_Date,Game_Result,Game_URL,Home/Away,Home_Score,MP,ORB,ORB_Pct_of_TRB,Opponent,Opponent_1,Opponent_10,Opponent_10_MP,Opponent_11,Opponent_11_MP,Opponent_12,Opponent_12_MP,Opponent_13,Opponent_13_MP,Opponent_14,Opponent_14_MP,Opponent_15,Opponent_15_MP,Opponent_1_MP,Opponent_2,Opponent_2_MP,Opponent_3,Opponent_3_MP,Opponent_4,Opponent_4_MP,Opponent_5,Opponent_5_MP,Opponent_6,Opponent_6_MP,Opponent_7,Opponent_7_MP,Opponent_8,Opponent_8_MP,Opponent_9,Opponent_9_MP,Opponent_Score,PF,PTS,PTS_2P,PTS_2P_Pct,PTS_3P,PTS_3P_Pct,PTS_FT,PTS_FT_Pct,Player,Point_Differential,STL,Season,Stocks,TOV,TRB,Team,Team_Score,Teammate_1,Teammate_10,Teammate_10_MP,Teammate_11,Teammate_11_MP,Teammate_12,Teammate_12_MP,Teammate_13,Teammate_13_MP,Teammate_14,Teammate_14_MP,Teammate_15,Teammate_15_MP,Teammate_1_MP,Teammate_2,Teammate_2_MP,Teammate_3,Teammate_3_MP,Teammate_4,Teammate_4_MP,Teammate_5,Teammate_5_MP,Teammate_6,Teammate_6_MP,Teammate_7,Teammate_7_MP,Teammate_8,Teammate_8_MP,Teammate_9,Teammate_9_MP
0,.000,1,100.000,0,,90,0,0,,0,.000,0.0,,0.0,1,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201911230MIL.html,Away,104,2:14,0,,MIL,Eric Bledsoe,D.J. Wilson,15:10,Robin Lopez,12:48,Thanasis Antetokounmpo,2:14,Dragan Bender,2:14,,,,,28:21,Giannis Antetokounmpo,27:12,Brook Lopez,24:05,Donte DiVincenzo,23:55,Wesley Matthews,22:43,Sterling Brown,22:12,Kyle Korver,22:12,Pat Connaughton,20:38,George Hill,16:16,104,0,0,0.0,,0.0,,0.0,,Sekou Doumbouya,14,0,2019-2020,0.0,0,0.0,DET,90,Langston Galloway,Tim Frazier,4:43,Jordan Bone,1:45,,,,,,,,,39:40,Andre Drummond,36:47,Markieff Morris,34:16,Luke Kennard,30:37,Derrick Rose,26:11,Bruce Brown,22:33,Svi Mykhailiuk,18:31,Christian Wood,11:30,Thon Maker,11:13
0,,0,0.000,0,,98,0,0,,2,1.000,2.0,100.0,2.0,2,0,.000,1,50.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201912010DET.html,Home,132,2:35,0,,SAS,Jakob Poeltl,Lonnie Walker IV,16:16,Marco Belinelli,15:21,DeMarre Carroll,12:00,,,,,,,26:11,DeMar DeRozan,25:04,Bryn Forbes,22:51,Rudy Gay,22:47,Derrick White,22:39,Dejounte Murray,22:08,Drew Eubanks,21:49,Trey Lyles,16:32,Patty Mills,16:22,98,0,4,4.0,100.0,0.0,0.0,0.0,0.0,Sekou Doumbouya,34,0,2019-2020,0.0,0,0.0,DET,132,Luke Kennard,Tony Snell,17:20,Thon Maker,4:47,Tim Frazier,4:47,,,,,,,30:50,Bruce Brown,26:32,Andre Drummond,25:59,Svi Mykhailiuk,22:32,Christian Wood,22:01,Blake Griffin,21:56,Markieff Morris,21:17,Langston Galloway,20:31,Derrick Rose,18:53
0,,0,0.000,0,,127,0,2,100.0,1,.333,1.0,33.3,3.0,3,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201912030CLE.html,Away,94,3:49,0,0.0,CLE,Collin Sexton,Alfonzo McKinnie,9:24,Ante Žižić,3:49,Matthew Dellavedova,3:15,Brandon Knight,2:29,,,,,33:23,Tristan Thompson,30:12,Darius Garland,27:49,Larry Nance Jr.,26:30,Cedi Osman,25:50,Kevin Porter Jr.,21:34,Kevin Love,21:30,Jordan Clarkson,20:16,John Henson,13:59,94,2,2,2.0,100.0,0.0,0.0,0.0,0.0,Sekou Doumbouya,33,0,2019-2020,0.0,0,2.0,DET,127,Andre Drummond,Markieff Morris,16:35,Tim Frazier,7:16,Thon Maker,4:40,,,,,,,30:52,Svi Mykhailiuk,25:56,Blake Griffin,23:38,Langston Galloway,22:10,Luke Kennard,22:04,Tony Snell,22:01,Derrick Rose,21:45,Christian Wood,20:15,Bruce Brown,18:59
0,,0,,0,,127,0,0,,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201912040DET.html,Home,103,2:41,0,,MIL,Giannis Antetokounmpo,D.J. Wilson,15:51,Ersan İlyasova,15:39,George Hill,14:53,,,,,,,27:55,Eric Bledsoe,26:44,Khris Middleton,25:28,Donte DiVincenzo,21:34,Kyle Korver,20:19,Robin Lopez,18:29,Brook Lopez,18:06,Pat Connaughton,17:48,Wesley Matthews,17:14,127,1,0,0.0,,0.0,,0.0,,Sekou Doumbouya,24,0,2019-2020,0.0,0,0.0,DET,103,Langston Galloway,Thon Maker,2:41,Tim Frazier,2:41,,,,,,,,,37:40,Andre Drummond,32:54,Blake Griffin,30:49,Svi Mykhailiuk,27:37,Tony Snell,26:45,Derrick Rose,25:19,Bruce Brown,21:17,Markieff Morris,15:21,Christian Wood,14:15
0,.000,2,40.000,0,0.00,93,0,1,100.0,1,.200,1.0,33.3,3.0,5,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201912200BOS.html,Away,114,9:50,0,0.0,BOS,Kemba Walker,Romeo Langford,17:55,Tacko Fall,4:31,,,,,,,,,29:47,Grant Williams,29:41,Jaylen Brown,29:01,Jayson Tatum,27:15,Daniel Theis,21:59,Brad Wanamaker,21:49,Enes Freedom,21:30,Semi Ojeleye,18:19,Javonte Green,18:13,114,0,2,2.0,100.0,0.0,0.0,0.0,0.0,Sekou Doumbouya,21,1,2019-2020,1.0,1,1.0,DET,93,Tony Snell,,,,,,,,,,,,,31:44,Markieff Morris,31:17,Andre Drummond,30:51,Bruce Brown,27:51,Svi Mykhailiuk,27:41,Langston Galloway,26:42,Derrick Rose,23:34,Thon Maker,23:22,Tim Frazier,7:08
0,,0,,0,,125,0,1,100.0,0,,0.0,,0.0,0,1,.500,2,,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201912230DET.html,Home,109,0:58,0,0.0,PHI,Ben Simmons,Shake Milton,0:58,Raul Neto,0:58,Norvel Pelle,0:58,,,,,,,37:15,Tobias Harris,34:15,Josh Richardson,33:00,Al Horford,30:53,Joel Embiid,27:53,James Ennis III,24:01,Furkan Korkmaz,21:42,Mike Scott,17:18,Trey Burke,10:44,125,0,1,0.0,0.0,0.0,0.0,1.0,100.0,Sekou Doumbouya,16,0,2019-2020,0.0,0,1.0,DET,109,Andre Drummond,Christian Wood,4:15,,,,,,,,,,,32:27,Svi Mykhailiuk,32:11,Tony Snell,31:36,Langston Galloway,31:14,Blake Griffin,27:28,Derrick Rose,25:17,Tim Frazier,22:42,Markieff Morris,22:08,Thon Maker,9:40
0,,0,,0,,81,0,0,,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201912300UTA.html,Away,104,1:59,0,,UTA,Bojan Bogdanović,Juwan Morgan,6:52,Rayjon Tucker,2:29,Nigel Williams-Goss,2:28,,,,,,,34:48,Rudy Gobert,34:48,Donovan Mitchell,31:36,Joe Ingles,29:41,Jordan Clarkson,26:49,Royce O'Neale,24:34,Emmanuel Mudiay,19:12,Georges Niang,13:31,Tony Bradley,13:12,104,0,0,0.0,,0.0,,0.0,,Sekou Doumbouya,23,0,2019-2020,0.0,0,0.0,DET,81,Bruce Brown,Louis King,2:29,,,,,,,,,,,36:41,Andre Drummond,36:30,Svi Mykhailiuk,31:41,Christian Wood,28:15,Tony Snell,28:12,Derrick Rose,26:16,Langston Galloway,19:18,Tim Frazier,17:09,Thon Maker,11:30
0,.000,4,36.364,0,,112,0,7,63.6,4,.364,4.0,57.1,7.0,11,2,.667,3,27.273,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202001020LAC.html,Away,126,27:06,4,36.4,LAC,Lou Williams,Rodney McGruder,14:19,Derrick Walton,12:46,Johnathan Motley,0:39,,,,,,,30:19,Landry Shamet,28:00,Montrezl Harrell,27:43,JaMychal Green,25:52,Maurice Harkless,25:05,Kawhi Leonard,24:31,Ivica Zubac,18:28,Jerome Robinson,16:32,Paul George,15:46,126,5,10,8.0,80.0,0.0,0.0,2.0,20.0,Sekou Doumbouya,14,1,2019-2020,1.0,0,11.0,DET,112,Bruce Brown,Louis King,2:16,,,,,,,,,,,30:22,Svi Mykhailiuk,28:43,Derrick Rose,27:00,Andre Drummond,26:52,Tony Snell,24:48,Christian Wood,24:30,Langston Galloway,21:56,Thon Maker,14:34,Tim Frazier,11:53
4,.571,7,70.000,2,1.00,111,1,10,100.0,6,.600,2.0,66.7,3.0,10,0,.000,1,10.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202001040GSW.html,Away,104,38:14,0,0.0,GSW,Damion Lee,Willie Cauley-Stein,14:10,Ky Bowman,13:32,,,,,,,,,32:29,Alec Burks,31:33,Glenn Robinson III,31:15,Draymond Green,21:36,Omari Spellman,20:27,Jacob Evans,19:47,Eric Paschall,19:07,Jordan Poole,18:28,Marquese Chriss,17:36,104,4,16,4.0,25.0,12.0,75.0,0.0,0.0,Sekou Doumbouya,7,2,2019-2020,3.0,2,10.0,DET,111,Svi Mykhailiuk,,,,,,,,,,,,,30:23,Bruce Brown,30:20,Andre Drummond,28:39,Derrick Rose,28:13,Tony Snell,21:33,Langston Galloway,20:05,Christian Wood,18:05,Tim Frazier,17:19,Thon Maker,7:09
1,.250,4,33.333,0,0.00,99,1,5,100.0,4,.333,3.0,37.5,8.0,12,2,1.000,2,16.667,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202001050LAL.html,Away,106,34:01,0,0.0,LAL,Anthony Davis,Avery Bradley,12:26,,,,,,,,,,,37:58,LeBron James,35:01,Kentavious Caldwell-Pope,25:48,Alex Caruso,24:05,Danny Green,21:44,Dwight Howard,21:26,Kyle Kuzma,20:58,JaVale McGee,20:30,Rajon Rondo,20:04,106,6,11,6.0,54.5,3.0,27.3,2.0,18.2,Sekou Doumbouya,7,0,2019-2020,1.0,1,5.0,DET,99,Andre Drummond,,,,,,,,,,,,,40:31,Svi Mykhailiuk,31:37,Christian Wood,29:41,Derrick Rose,28:53,Bruce Brown,26:39,Langston Galloway,22:42,Tony Snell,13:07,Thon Maker,7:29,Tim Frazier,5:20
