3P,3P%,3PA,3PAr,AST,AST/TOV,Away_Score,BLK,DRB,DRB_Pct_of_TRB,FG,FG%,FG2,FG2%,FG2A,FGA,FT,FT%,FTA,FTr,Game_Date,Game_Result,Game_URL,Home/Away,Home_Score,MP,ORB,ORB_Pct_of_TRB,Opponent,Opponent_1,Opponent_10,Opponent_10_MP,Opponent_11,Opponent_11_MP,Opponent_12,Opponent_12_MP,Opponent_13,Opponent_13_MP,Opponent_14,Opponent_14_MP,Opponent_15,Opponent_15_MP,Opponent_1_MP,Opponent_2,Opponent_2_MP,Opponent_3,Opponent_3_MP,Opponent_4,Opponent_4_MP,Opponent_5,Opponent_5_MP,Opponent_6,Opponent_6_MP,Opponent_7,Opponent_7_MP,Opponent_8,Opponent_8_MP,Opponent_9,Opponent_9_MP,Opponent_Score,PF,PTS,PTS_2P,PTS_2P_Pct,PTS_3P,PTS_3P_Pct,PTS_FT,PTS_FT_Pct,Player,Point_Differential,STL,Season,Stocks,TOV,TRB,Team,Team_Score,Teammate_1,Teammate_10,Teammate_10_MP,Teammate_11,Teammate_11_MP,Teammate_12,Teammate_12_MP,Teammate_13,Teammate_13_MP,Teammate_14,Teammate_14_MP,Teammate_15,Teammate_15_MP,Teammate_1_MP,Teammate_2,Teammate_2_MP,Teammate_3,Teammate_3_MP,Teammate_4,Teammate_4_MP,Teammate_5,Teammate_5_MP,Teammate_6,Teammate_6_MP,Teammate_7,Teammate_7_MP,Teammate_8,Teammate_8_MP,Teammate_9,Teammate_9_MP
1,1.000,1,12.500,1,1.00,112,1,5,71.4,5,.625,4.0,57.1,7.0,8,2,.286,7,87.500,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201703060PHI.html,Home,98,15:23,2,28.6,MIL,Giannis Antetokounmpo,Spencer Hawes,5:40,Rashad Vaughn,3:30,,,,,,,,,34:53,Khris Middleton,31:36,Tony Snell,31:07,Matthew Dellavedova,27:11,Jason Terry,27:08,Greg Monroe,22:28,Mirza Teletović,20:53,Malcolm Brogdon,20:49,Thon Maker,14:45,112,1,13,8.0,61.5,3.0,23.1,2.0,15.4,Shawn Long,14,0,2016-2017,1.0,1,7.0,PHI,98,Dario Šarić,Justin Harper,3:57,,,,,,,,,,,33:18,Robert Covington,32:57,Nik Stauskas,26:40,T.J. McConnell,24:20,Sergio Rodríguez,23:40,Justin Anderson,22:34,Richaun Holmes,21:59,Timothé Luwawu-Cabarrot,17:55,Gerald Henderson,17:17
0,,0,,0,,108,0,0,,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201703090POR.html,Away,114,0:00,0,,POR,CJ McCollum,,,,,,,,,,,,,41:57,Damian Lillard,40:43,Maurice Harkless,39:17,Jusuf Nurkić,37:48,Al-Farouq Aminu,37:45,Allen Crabbe,24:05,Shabazz Napier,16:13,Meyers Leonard,15:12,Noah Vonleh,11:59,114,0,0,0.0,,0.0,,0.0,,Shawn Long,6,0,2016-2017,0.0,0,0.0,PHI,108,Dario Šarić,Justin Anderson,8:13,,,,,,,,,,,40:56,Robert Covington,39:39,T.J. McConnell,31:05,Jahlil Okafor,28:43,Gerald Henderson,28:38,Nik Stauskas,25:46,Richaun Holmes,22:06,Sergio Rodríguez,21:42,Timothé Luwawu-Cabarrot,18:12
0,,0,0.000,0,,118,0,5,100.0,2,.667,2.0,66.7,3.0,3,2,1.000,2,66.667,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201703120LAL.html,Away,116,11:56,0,0.0,LAL,Brandon Ingram,Corey Brewer,10:01,,,,,,,,,,,37:59,Julius Randle,34:26,Jordan Clarkson,33:41,D'Angelo Russell,33:01,Larry Nance Jr.,21:39,Ivica Zubac,18:53,Tarik Black,17:39,David Nwaba,16:23,Tyler Ennis,16:18,116,4,6,4.0,66.7,0.0,0.0,2.0,33.3,Shawn Long,2,0,2016-2017,0.0,0,5.0,PHI,118,Dario Šarić,,,,,,,,,,,,,35:16,T.J. McConnell,29:55,Timothé Luwawu-Cabarrot,27:27,Jahlil Okafor,26:42,Gerald Henderson,25:06,Nik Stauskas,22:54,Richaun Holmes,21:45,Justin Anderson,20:55,Sergio Rodríguez,18:05
0,,0,0.000,0,0.00,104,0,0,0.0,0,.000,0.0,0.0,1.0,1,0,.000,2,200.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201703140GSW.html,Away,106,3:42,1,100.0,GSW,Draymond Green,David West,11:11,James Michael McAdoo,7:48,JaVale McGee,3:09,,,,,,,37:51,Klay Thompson,37:30,Stephen Curry,37:25,Andre Iguodala,32:59,Matt Barnes,22:13,Patrick McCaw,13:44,Zaza Pachulia,12:28,Shaun Livingston,11:58,Ian Clark,11:46,106,3,0,0.0,,0.0,,0.0,,Shawn Long,2,0,2016-2017,0.0,1,1.0,PHI,104,Dario Šarić,Justin Anderson,6:53,,,,,,,,,,,37:14,Robert Covington,31:33,T.J. McConnell,30:54,Nik Stauskas,25:33,Jahlil Okafor,23:27,Timothé Luwawu-Cabarrot,23:00,Richaun Holmes,20:51,Gerald Henderson,19:47,Sergio Rodríguez,17:06
0,.000,1,50.000,2,2.00,74,3,2,66.7,1,.500,1.0,100.0,1.0,2,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201703170PHI.html,Home,116,9:13,1,33.3,DAL,Harrison Barnes,J.J. Barea,16:56,Manny Harris,15:57,Devin Harris,14:57,Salah Mejri,12:26,,,,,24:28,Wesley Matthews,24:19,Yogi Ferrell,22:59,Dirk Nowitzki,18:54,Nerlens Noel,18:35,Dorian Finney-Smith,17:58,Dwight Powell,17:43,Nicolás Brussino,17:43,Seth Curry,17:06,74,0,2,2.0,100.0,0.0,0.0,0.0,0.0,Shawn Long,42,0,2016-2017,3.0,1,3.0,PHI,116,Timothé Luwawu-Cabarrot,Gerald Henderson,7:09,,,,,,,,,,,29:44,Nik Stauskas,26:23,Sergio Rodríguez,26:18,Robert Covington,26:05,Dario Šarić,26:04,Justin Anderson,25:57,T.J. McConnell,21:42,Jahlil Okafor,21:28,Richaun Holmes,19:57
0,,0,0.000,0,,99,0,1,25.0,3,.750,3.0,75.0,4.0,4,2,.500,4,100.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201703190PHI.html,Home,105,6:31,3,75.0,BOS,Jae Crowder,Kelly Olynyk,11:16,,,,,,,,,,,35:51,Marcus Smart,35:15,Avery Bradley,34:14,Al Horford,33:01,Terry Rozier,25:44,Amir Johnson,22:59,Jonas Jerebko,15:30,Gerald Green,13:42,Jaylen Brown,12:28,99,5,8,6.0,75.0,0.0,0.0,2.0,25.0,Shawn Long,6,0,2016-2017,0.0,0,4.0,PHI,105,Robert Covington,,,,,,,,,,,,,36:29,Dario Šarić,32:15,Nik Stauskas,29:34,Richaun Holmes,29:29,Timothé Luwawu-Cabarrot,29:25,T.J. McConnell,27:36,Sergio Rodríguez,20:24,Gerald Henderson,16:45,Jahlil Okafor,11:32
0,,0,0.000,2,2.00,109,2,1,50.0,1,.500,1.0,50.0,2.0,2,2,1.000,2,100.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201703200ORL.html,Away,112,11:01,1,50.0,ORL,Evan Fournier,Jeff Green,16:04,C.J. Watson,4:00,,,,,,,,,36:56,Nikola Vučević,36:36,Terrence Ross,34:42,Aaron Gordon,31:35,Elfrid Payton,30:40,Jodie Meeks,20:25,Mario Hezonja,19:18,D.J. Augustin,18:20,Bismack Biyombo,16:24,112,4,4,2.0,50.0,0.0,0.0,2.0,50.0,Shawn Long,3,2,2016-2017,4.0,1,2.0,PHI,109,Robert Covington,,,,,,,,,,,,,44:53,Richaun Holmes,41:59,Nik Stauskas,39:01,T.J. McConnell,34:25,Justin Anderson,26:47,Dario Šarić,25:30,Timothé Luwawu-Cabarrot,22:49,Sergio Rodríguez,18:35,,
0,.000,1,14.286,0,,97,0,4,66.7,4,.571,4.0,66.7,6.0,7,5,.833,6,85.714,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201703220OKC.html,Away,122,14:36,2,33.3,OKC,Victor Oladipo,Taj Gibson,13:24,Jerami Grant,10:56,Nick Collison,8:29,Norris Cole,5:13,,,,,31:28,Russell Westbrook,27:51,Steven Adams,24:46,Álex Abrines,24:10,Andre Roberson,23:31,Enes Freedom,20:19,Domantas Sabonis,18:01,Semaj Christon,17:47,Doug McDermott,14:06,122,5,13,8.0,61.5,0.0,0.0,5.0,38.5,Shawn Long,25,0,2016-2017,0.0,0,6.0,PHI,97,Nik Stauskas,Gerald Henderson,16:05,,,,,,,,,,,29:54,Timothé Luwawu-Cabarrot,28:49,Dario Šarić,25:49,Sergio Rodríguez,25:32,Robert Covington,25:00,T.J. McConnell,22:28,Justin Anderson,18:45,Jahlil Okafor,16:43,Richaun Holmes,16:19
0,,0,0.000,1,1.00,117,0,4,57.1,8,.800,8.0,80.0,10.0,10,2,.667,3,30.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201703240CHI.html,Away,107,19:15,3,42.9,CHI,Jimmy Butler,Joffrey Lauvergne,15:31,,,,,,,,,,,42:08,Denzel Valentine,30:23,Nikola Mirotić,26:30,Paul Zipser,23:29,Michael Carter-Williams,23:25,Bobby Portis,21:30,Rajon Rondo,21:02,Robin Lopez,18:04,Anthony Morrow,17:58,107,4,18,16.0,88.9,0.0,0.0,2.0,11.1,Shawn Long,10,2,2016-2017,2.0,1,7.0,PHI,117,Dario Šarić,,,,,,,,,,,,,34:01,Richaun Holmes,28:45,Robert Covington,28:35,Gerald Henderson,27:30,T.J. McConnell,25:49,Nik Stauskas,23:48,Sergio Rodríguez,22:11,Timothé Luwawu-Cabarrot,18:00,Justin Anderson,12:06
0,.000,1,7.692,1,1.00,94,0,5,50.0,7,.538,7.0,58.3,12.0,13,1,.333,3,23.077,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201703260IND.html,Away,107,23:23,5,50.0,IND,Paul George,Al Jefferson,10:38,Kevin Séraphin,4:56,Rakeem Christmas,3:17,Joe Young,3:17,,,,,34:41,Myles Turner,34:05,Monta Ellis,28:02,Jeff Teague,25:40,C.J. Miles,22:38,Aaron Brooks,22:20,Rodney Stuckey,20:02,Lavoy Allen,17:23,Thaddeus Young,13:01,107,3,15,14.0,93.3,0.0,0.0,1.0,6.7,Shawn Long,13,1,2016-2017,1.0,1,10.0,PHI,94,Richaun Holmes,,,,,,,,,,,,,30:30,Robert Covington,30:27,Dario Šarić,28:05,Nik Stauskas,27:00,T.J. McConnell,24:11,Sergio Rodríguez,23:49,Timothé Luwawu-Cabarrot,21:17,Gerald Henderson,17:49,Justin Anderson,13:29
