3P,3P%,3PA,3PAr,AST,AST/TOV,Away_Score,BLK,DRB,DRB_Pct_of_TRB,FG,FG%,FG2,FG2%,FG2A,FGA,FT,FT%,FTA,FTr,Game_Date,Game_Result,Game_URL,Home/Away,Home_Score,MP,ORB,ORB_Pct_of_TRB,Opponent,Opponent_1,Opponent_10,Opponent_10_MP,Opponent_11,Opponent_11_MP,Opponent_12,Opponent_12_MP,Opponent_13,Opponent_13_MP,Opponent_14,Opponent_14_MP,Opponent_15,Opponent_15_MP,Opponent_1_MP,Opponent_2,Opponent_2_MP,Opponent_3,Opponent_3_MP,Opponent_4,Opponent_4_MP,Opponent_5,Opponent_5_MP,Opponent_6,Opponent_6_MP,Opponent_7,Opponent_7_MP,Opponent_8,Opponent_8_MP,Opponent_9,Opponent_9_MP,Opponent_Score,PF,PTS,PTS_2P,PTS_2P_Pct,PTS_3P,PTS_3P_Pct,PTS_FT,PTS_FT_Pct,Player,Point_Differential,STL,Season,Stocks,TOV,TRB,Team,Team_Score,Teammate_1,Teammate_10,Teammate_10_MP,Teammate_11,Teammate_11_MP,Teammate_12,Teammate_12_MP,Teammate_13,Teammate_13_MP,Teammate_14,Teammate_14_MP,Teammate_15,Teammate_15_MP,Teammate_1_MP,Teammate_2,Teammate_2_MP,Teammate_3,Teammate_3_MP,Teammate_4,Teammate_4_MP,Teammate_5,Teammate_5_MP,Teammate_6,Teammate_6_MP,Teammate_7,Teammate_7_MP,Teammate_8,Teammate_8_MP,Teammate_9,Teammate_9_MP
2,.667,3,27.273,1,,114,0,3,75.0,7,.636,5.0,62.5,8.0,11,1,1.000,1,9.091,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201710200IND.html,Home,96,19:26,1,25.0,POR,Al-Farouq Aminu,Zach Collins,7:02,Shabazz Napier,2:24,Jake Layman,2:24,,,,,,,34:34,Damian Lillard,32:59,CJ McCollum,32:17,Evan Turner,31:46,Jusuf Nurkić,25:37,Pat Connaughton,22:05,Maurice Harkless,20:05,Ed Davis,19:59,Caleb Swanigan,8:48,114,2,17,10.0,58.8,6.0,35.3,1.0,5.9,T.J. Leaf,18,0,2017-2018,0.0,0,4.0,IND,96,Victor Oladipo,Joe Young,3:51,Alex Poythress,3:51,Ike Anigbogu,2:24,,,,,,,32:33,Darren Collison,31:25,Thaddeus Young,29:06,Domantas Sabonis,28:57,Bojan Bogdanović,24:12,Cory Joseph,19:54,Lance Stephenson,19:41,Al Jefferson,16:07,Damien Wilkins,8:33
1,.500,2,66.667,0,0.00,108,0,3,100.0,2,.667,1.0,100.0,1.0,3,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201710210MIA.html,Away,112,16:51,0,0.0,MIA,Josh Richardson,,,,,,,,,,,,,37:34,Dion Waiters,32:36,Goran Dragić,32:09,James Johnson,29:44,Kelly Olynyk,27:19,Tyler Johnson,26:17,Justise Winslow,25:27,Wayne Ellington,15:24,Jordan Mickey,13:30,112,1,5,2.0,40.0,3.0,60.0,0.0,0.0,T.J. Leaf,4,0,2017-2018,0.0,1,3.0,IND,108,Victor Oladipo,,,,,,,,,,,,,36:53,Darren Collison,31:53,Thaddeus Young,31:09,Domantas Sabonis,30:22,Cory Joseph,27:08,Bojan Bogdanović,20:51,Lance Stephenson,18:18,Al Jefferson,14:11,Damien Wilkins,12:24
1,.500,2,20.000,0,,130,0,1,50.0,5,.500,4.0,50.0,8.0,10,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201710240MIN.html,Away,107,19:17,1,50.0,MIN,Shabazz Muhammad,Aaron Brooks,4:39,Cole Aldrich,4:39,Marcus Georges-Hunt,4:39,,,,,,,31:02,Andrew Wiggins,30:49,Karl-Anthony Towns,30:43,Jamal Crawford,29:30,Nemanja Bjelica,25:55,Jeff Teague,25:43,Taj Gibson,22:05,Tyus Jones,17:38,Gorgui Dieng,12:38,107,2,11,8.0,72.7,3.0,27.3,0.0,0.0,T.J. Leaf,23,0,2017-2018,0.0,0,2.0,IND,130,Darren Collison,Ike Anigbogu,2:12,Damien Wilkins,2:12,Alex Poythress,1:26,,,,,,,33:39,Thaddeus Young,31:17,Bojan Bogdanović,31:00,Cory Joseph,28:55,Victor Oladipo,28:23,Domantas Sabonis,25:22,Al Jefferson,17:52,Lance Stephenson,16:13,Joe Young,2:12
0,.000,1,25.000,1,,96,0,2,66.7,1,.250,1.0,33.3,3.0,4,0,.000,1,25.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201710250OKC.html,Away,114,19:22,1,33.3,OKC,Russell Westbrook,Álex Abrines,13:26,Terrance Ferguson,1:32,,,,,,,,,35:09,Carmelo Anthony,32:59,Steven Adams,30:51,Josh Huestis,25:40,Jerami Grant,25:17,Andre Roberson,20:40,Paul George,19:06,Raymond Felton,18:50,Patrick Patterson,16:30,114,1,2,2.0,100.0,0.0,0.0,0.0,0.0,T.J. Leaf,18,1,2017-2018,1.0,0,3.0,IND,96,Darren Collison,Ike Anigbogu,2:22,Alex Poythress,2:22,Damien Wilkins,2:22,,,,,,,37:49,Victor Oladipo,35:50,Thaddeus Young,33:29,Bojan Bogdanović,28:51,Cory Joseph,21:11,Domantas Sabonis,18:44,Al Jefferson,18:11,Lance Stephenson,17:05,Joe Young,2:22
0,,0,0.000,0,0.00,94,0,2,100.0,0,.000,0.0,0.0,1.0,1,1,.500,2,200.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201710290IND.html,Home,97,11:22,0,0.0,SAS,LaMarcus Aldridge,Bryn Forbes,3:24,Dāvis Bertāns,3:19,,,,,,,,,36:24,Pau Gasol,30:14,Danny Green,28:56,Patty Mills,27:47,Rudy Gay,23:50,Kyle Anderson,23:31,Manu Ginóbili,21:20,Brandon Paul,21:02,Dejounte Murray,20:13,94,2,1,0.0,0.0,0.0,0.0,1.0,100.0,T.J. Leaf,3,1,2017-2018,1.0,1,2.0,IND,97,Thaddeus Young,,,,,,,,,,,,,36:38,Darren Collison,34:28,Bojan Bogdanović,33:20,Domantas Sabonis,32:43,Victor Oladipo,29:21,Cory Joseph,21:32,Lance Stephenson,16:20,Al Jefferson,15:17,Joe Young,8:59
1,.500,2,25.000,2,2.00,83,0,2,50.0,3,.375,2.0,33.3,6.0,8,0,.000,1,12.500,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201710310IND.html,Home,101,20:36,2,50.0,SAC,Bogdan Bogdanović,Justin Jackson,17:25,Frank Mason III,4:55,Georgios Papagiannis,4:55,,,,,,,28:06,De'Aaron Fox,27:46,George Hill,27:04,Skal Labissière,24:59,Zach Randolph,23:01,Willie Cauley-Stein,22:38,Kosta Koufos,20:27,Malachi Richardson,19:26,Buddy Hield,19:18,83,4,7,4.0,57.1,3.0,42.9,0.0,0.0,T.J. Leaf,18,0,2017-2018,0.0,1,4.0,IND,101,Victor Oladipo,Ike Anigbogu,4:55,Damien Wilkins,4:55,Alex Poythress,2:06,,,,,,,28:07,Thaddeus Young,27:24,Bojan Bogdanović,27:11,Domantas Sabonis,25:07,Darren Collison,24:49,Lance Stephenson,24:18,Cory Joseph,22:40,Al Jefferson,17:58,Joe Young,9:54
1,1.000,1,33.333,0,,124,0,1,50.0,2,.667,1.0,50.0,2.0,3,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201711010CLE.html,Away,107,12:48,1,50.0,CLE,LeBron James,José Calderón,0:43,Channing Frye,0:43,Cedi Osman,0:43,Ante Žižić,0:43,,,,,37:28,Kevin Love,36:00,Jae Crowder,33:33,J.R. Smith,33:19,Derrick Rose,28:51,Jeff Green,20:06,Dwyane Wade,16:42,Kyle Korver,16:15,Tristan Thompson,14:54,107,2,5,2.0,40.0,3.0,60.0,0.0,0.0,T.J. Leaf,17,0,2017-2018,0.0,0,2.0,IND,124,Thaddeus Young,,,,,,,,,,,,,37:50,Domantas Sabonis,35:15,Victor Oladipo,34:01,Bojan Bogdanović,32:26,Darren Collison,30:01,Cory Joseph,23:23,Lance Stephenson,17:13,Damien Wilkins,12:20,Al Jefferson,4:43
0,,0,0.000,0,0.00,110,0,1,100.0,1,.500,1.0,50.0,2.0,2,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201711030PHI.html,Away,121,5:35,0,0.0,PHI,Ben Simmons,Amir Johnson,10:00,,,,,,,,,,,38:32,JJ Redick,32:53,Robert Covington,32:04,Jerryd Bayless,28:11,Joel Embiid,27:49,T.J. McConnell,25:36,Dario Šarić,21:21,Timothé Luwawu-Cabarrot,13:23,Richaun Holmes,10:11,121,0,2,2.0,100.0,0.0,0.0,0.0,0.0,T.J. Leaf,11,1,2017-2018,1.0,1,1.0,IND,110,Thaddeus Young,,,,,,,,,,,,,38:10,Victor Oladipo,37:04,Bojan Bogdanović,35:05,Darren Collison,29:33,Myles Turner,24:25,Domantas Sabonis,23:35,Cory Joseph,22:27,Lance Stephenson,18:35,Joe Young,5:32
0,.000,1,25.000,0,,117,0,1,50.0,1,.250,1.0,33.3,3.0,4,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201711070IND.html,Home,112,10:07,1,50.0,NOP,Anthony Davis,,,,,,,,,,,,,41:15,DeMarcus Cousins,37:59,Jrue Holiday,29:53,Jameer Nelson,28:31,E'Twaun Moore,27:28,Tony Allen,24:19,Darius Miller,19:07,Dante Cunningham,16:40,Ian Clark,14:48,117,3,2,2.0,100.0,0.0,0.0,0.0,0.0,T.J. Leaf,5,0,2017-2018,0.0,0,2.0,IND,112,Thaddeus Young,Alex Poythress,0:01,,,,,,,,,,,38:11,Myles Turner,35:24,Darren Collison,31:09,Victor Oladipo,28:39,Lance Stephenson,27:56,Bojan Bogdanović,22:54,Cory Joseph,22:46,Al Jefferson,12:18,Joe Young,10:35
0,.000,1,100.000,0,0.00,97,0,1,100.0,0,.000,0.0,,0.0,1,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201711080DET.html,Away,114,7:04,0,0.0,DET,Tobias Harris,Boban Marjanović,8:47,Eric Moreland,5:34,,,,,,,,,34:00,Andre Drummond,33:39,Reggie Bullock,33:03,Avery Bradley,28:44,Reggie Jackson,26:53,Langston Galloway,21:57,Ish Smith,21:07,Anthony Tolliver,14:00,Luke Kennard,12:16,114,0,0,0.0,,0.0,,0.0,,T.J. Leaf,17,0,2017-2018,0.0,1,1.0,IND,97,Victor Oladipo,,,,,,,,,,,,,37:39,Thaddeus Young,35:13,Bojan Bogdanović,31:12,Cory Joseph,29:24,Darren Collison,28:57,Myles Turner,25:52,Lance Stephenson,22:31,Al Jefferson,22:08,,
0,.000,1,50.000,0,,105,0,0,,1,.500,1.0,100.0,1.0,2,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201711100CHI.html,Away,87,6:46,0,,CHI,Kris Dunn,Paul Zipser,13:11,Quincy Pondexter,9:01,,,,,,,,,33:33,Justin Holiday,30:27,Lauri Markkanen,28:20,Robin Lopez,27:30,Bobby Portis,25:15,Denzel Valentine,21:50,Kay Felder,18:38,Jerian Grant,17:20,Cristiano Felício,14:54,87,0,2,2.0,100.0,0.0,0.0,0.0,0.0,T.J. Leaf,18,0,2017-2018,0.0,0,0.0,IND,105,Bojan Bogdanović,Damien Wilkins,1:45,Ike Anigbogu,1:45,Al Jefferson,0:44,,,,,,,34:26,Thaddeus Young,33:23,Victor Oladipo,30:35,Darren Collison,29:16,Cory Joseph,28:58,Myles Turner,27:02,Domantas Sabonis,26:20,Lance Stephenson,16:23,Joe Young,2:37
2,.667,3,60.000,0,0.00,118,1,1,100.0,3,.600,1.0,50.0,2.0,5,1,.500,2,40.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201711120IND.html,Home,95,19:23,0,0.0,HOU,Trevor Ariza,Demetrius Jackson,3:32,Zhou Qi,3:32,,,,,,,,,34:45,James Harden,33:34,Ryan Anderson,32:40,Clint Capela,31:32,Eric Gordon,30:43,Luc Mbah a Moute,25:08,P.J. Tucker,24:34,Tarik Black,16:28,Bobby Brown,3:32,118,1,9,2.0,22.2,6.0,66.7,1.0,11.1,T.J. Leaf,23,0,2017-2018,1.0,1,1.0,IND,95,Victor Oladipo,Joe Young,3:32,Ike Anigbogu,3:32,,,,,,,,,35:31,Bojan Bogdanović,29:05,Myles Turner,26:15,Cory Joseph,25:37,Thaddeus Young,23:49,Lance Stephenson,23:40,Darren Collison,23:03,Domantas Sabonis,23:01,Damien Wilkins,3:32
1,1.000,1,100.000,0,,116,0,0,,1,1.000,0.0,,0.0,1,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201711150MEM.html,Away,113,5:42,0,,MEM,Marc Gasol,Wayne Selden,14:50,,,,,,,,,,,39:24,Tyreke Evans,32:41,Mario Chalmers,30:03,Chandler Parsons,25:22,Dillon Brooks,24:25,Brandan Wright,20:17,Ben McLemore,18:23,JaMychal Green,17:25,James Ennis III,17:11,113,0,3,0.0,0.0,3.0,100.0,0.0,0.0,T.J. Leaf,3,0,2017-2018,0.0,0,0.0,IND,116,Darren Collison,,,,,,,,,,,,,41:07,Victor Oladipo,33:43,Thaddeus Young,33:02,Myles Turner,32:47,Bojan Bogdanović,28:47,Domantas Sabonis,24:04,Cory Joseph,21:35,Lance Stephenson,19:13,,
