3P,3P%,3PA,3PAr,AST,AST/TOV,Away_Score,BLK,DRB,DRB_Pct_of_TRB,FG,FG%,FG2,FG2%,FG2A,FGA,FT,FT%,FTA,FTr,Game_Date,Game_Result,Game_URL,Home/Away,Home_Score,MP,ORB,ORB_Pct_of_TRB,Opponent,Opponent_1,Opponent_10,Opponent_10_MP,Opponent_11,Opponent_11_MP,Opponent_12,Opponent_12_MP,Opponent_13,Opponent_13_MP,Opponent_14,Opponent_14_MP,Opponent_15,Opponent_15_MP,Opponent_1_MP,Opponent_2,Opponent_2_MP,Opponent_3,Opponent_3_MP,Opponent_4,Opponent_4_MP,Opponent_5,Opponent_5_MP,Opponent_6,Opponent_6_MP,Opponent_7,Opponent_7_MP,Opponent_8,Opponent_8_MP,Opponent_9,Opponent_9_MP,Opponent_Score,PF,PTS,PTS_2P,PTS_2P_Pct,PTS_3P,PTS_3P_Pct,PTS_FT,PTS_FT_Pct,Player,Point_Differential,STL,Season,Stocks,TOV,TRB,Team,Team_Score,Teammate_1,Teammate_10,Teammate_10_MP,Teammate_11,Teammate_11_MP,Teammate_12,Teammate_12_MP,Teammate_13,Teammate_13_MP,Teammate_14,Teammate_14_MP,Teammate_15,Teammate_15_MP,Teammate_1_MP,Teammate_2,Teammate_2_MP,Teammate_3,Teammate_3_MP,Teammate_4,Teammate_4_MP,Teammate_5,Teammate_5_MP,Teammate_6,Teammate_6_MP,Teammate_7,Teammate_7_MP,Teammate_8,Teammate_8_MP,Teammate_9,Teammate_9_MP
0,,0,0.000,0,0.00,118,0,3,100.0,2,.500,2.0,50.0,4.0,4,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201910260NYK.html,Away,95,3:38,0,0.0,NYK,RJ Barrett,Taj Gibson,5:12,Damyean Dotson,3:38,Frank Ntilikina,0:18,,,,,,,36:34,Elfrid Payton,30:46,Julius Randle,29:52,Marcus Morris,28:41,Bobby Portis,27:17,Kevin Knox,25:40,Allonzo Trier,20:50,Mitchell Robinson,19:51,Dennis Smith Jr.,11:21,95,2,4,4.0,100.0,0.0,0.0,0.0,0.0,Tacko Fall,23,0,2019-2020,0.0,1,3.0,BOS,118,Jayson Tatum,Vincent Poirier,5:54,Brad Wanamaker,3:38,Javonte Green,3:38,,,,,,,33:32,Kemba Walker,30:21,Marcus Smart,27:33,Jaylen Brown,27:06,Gordon Hayward,26:53,Carsen Edwards,22:19,Robert Williams,21:44,Grant Williams,19:10,Semi Ojeleye,14:34
0,,0,0.000,0,0.00,93,1,2,100.0,2,1.000,2.0,100.0,2.0,2,1,.500,2,100.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201912200BOS.html,Home,114,4:31,0,0.0,DET,Tony Snell,Tim Frazier,7:08,,,,,,,,,,,31:44,Markieff Morris,31:17,Andre Drummond,30:51,Bruce Brown,27:51,Svi Mykhailiuk,27:41,Langston Galloway,26:42,Derrick Rose,23:34,Thon Maker,23:22,Sekou Doumbouya,9:50,93,1,5,4.0,80.0,0.0,0.0,1.0,20.0,Tacko Fall,21,0,2019-2020,1.0,2,2.0,BOS,114,Kemba Walker,Romeo Langford,17:55,,,,,,,,,,,29:47,Grant Williams,29:41,Jaylen Brown,29:01,Jayson Tatum,27:15,Daniel Theis,21:59,Brad Wanamaker,21:49,Enes Freedom,21:30,Semi Ojeleye,18:19,Javonte Green,18:13
0,,0,0.000,0,,93,1,2,100.0,2,1.000,2.0,100.0,2.0,2,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201912220BOS.html,Home,119,2:36,0,0.0,CHO,Terry Rozier,Michael Kidd-Gilchrist,5:26,Dwayne Bacon,3:42,Willy Hernangómez,3:25,,,,,,,38:03,Devonte' Graham,32:07,Miles Bridges,31:38,Bismack Biyombo,27:27,Nicolas Batum,21:43,Cody Martin,20:49,Malik Monk,20:08,Marvin Williams,18:45,Cody Zeller,16:47,93,0,4,4.0,100.0,0.0,0.0,0.0,0.0,Tacko Fall,26,0,2019-2020,1.0,0,2.0,BOS,119,Jayson Tatum,Semi Ojeleye,11:01,,,,,,,,,,,35:51,Jaylen Brown,32:17,Kemba Walker,30:07,Brad Wanamaker,27:06,Enes Freedom,24:23,Romeo Langford,23:10,Grant Williams,22:12,Javonte Green,16:00,Daniel Theis,15:17
0,,0,0.000,0,,129,0,3,100.0,2,.667,2.0,66.7,3.0,3,0,.000,1,33.333,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202001080BOS.html,Home,114,10:03,0,0.0,SAS,DeMar DeRozan,Jakob Poeltl,14:01,Drew Eubanks,2:16,Marco Belinelli,2:16,DeMarre Carroll,1:48,,,,,33:59,LaMarcus Aldridge,31:43,Dejounte Murray,27:40,Bryn Forbes,26:49,Rudy Gay,21:21,Patty Mills,21:11,Derrick White,20:18,Lonnie Walker IV,19:13,Trey Lyles,17:25,129,1,4,4.0,100.0,0.0,0.0,0.0,0.0,Tacko Fall,15,0,2019-2020,0.0,0,3.0,BOS,114,Jayson Tatum,Javonte Green,9:42,Semi Ojeleye,5:26,Carsen Edwards,5:26,,,,,,,31:28,Gordon Hayward,29:59,Jaylen Brown,28:42,Marcus Smart,24:34,Brad Wanamaker,20:40,Daniel Theis,20:27,Grant Williams,18:09,Kemba Walker,17:54,Enes Freedom,17:30
0,,0,0.000,0,,95,0,0,,1,1.000,1.0,100.0,1.0,1,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202002010BOS.html,Home,116,2:32,0,,PHI,Ben Simmons,Trey Burke,5:05,James Ennis III,3:48,Zhaire Smith,3:16,,,,,,,37:26,Tobias Harris,32:22,Shake Milton,29:05,Al Horford,28:51,Furkan Korkmaz,25:17,Matisse Thybulle,23:30,Joel Embiid,23:26,Mike Scott,17:20,Raul Neto,10:34,95,1,2,2.0,100.0,0.0,0.0,0.0,0.0,Tacko Fall,21,0,2019-2020,0.0,0,0.0,BOS,116,Jaylen Brown,Javonte Green,3:16,,,,,,,,,,,36:21,Gordon Hayward,35:29,Marcus Smart,34:12,Jayson Tatum,28:36,Daniel Theis,26:16,Brad Wanamaker,26:07,Semi Ojeleye,24:21,Grant Williams,19:12,Romeo Langford,3:38
0,,0,,0,,100,0,1,100.0,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202002050BOS.html,Home,116,0:47,0,0.0,ORL,Evan Fournier,Mo Bamba,6:57,Amile Jefferson,0:46,B.J. Johnson,0:46,,,,,,,34:00,Nikola Vučević,32:58,Aaron Gordon,31:07,Markelle Fultz,30:20,Terrence Ross,29:09,Wes Iwundu,24:52,Michael Carter-Williams,24:04,Gary Clark,16:52,Khem Birch,8:04,100,0,0,0.0,,0.0,,0.0,,Tacko Fall,16,0,2019-2020,0.0,0,1.0,BOS,116,Jayson Tatum,Semi Ojeleye,6:54,Tremont Waters,0:46,,,,,,,,,38:37,Jaylen Brown,38:16,Gordon Hayward,35:13,Romeo Langford,28:00,Enes Freedom,25:58,Brad Wanamaker,25:04,Grant Williams,22:03,Javonte Green,11:12,Vincent Poirier,7:07
0,,0,0.000,0,,107,2,0,0.0,0,.000,0.0,0.0,1.0,1,2,1.000,2,200.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202012300BOS.html,Home,126,6:02,1,100.0,MEM,Desmond Bane,Grayson Allen,11:35,,,,,,,,,,,31:54,Kyle Anderson,28:07,Dillon Brooks,27:53,Brandon Clarke,25:51,Jonas Valančiūnas,24:10,Gorgui Dieng,23:50,Tyus Jones,22:49,John Konchar,22:42,Sean McDermott,21:08,107,0,2,0.0,0.0,0.0,0.0,2.0,100.0,Tacko Fall,19,0,2020-2021,2.0,0,1.0,BOS,126,Jaylen Brown,Semi Ojeleye,12:10,Carsen Edwards,12:00,Tremont Waters,6:18,,,,,,,28:57,Marcus Smart,26:19,Jayson Tatum,23:14,Robert Williams,22:49,Jeff Teague,21:20,Payton Pritchard,21:14,Grant Williams,20:38,Aaron Nesmith,19:49,Daniel Theis,19:09
0,,0,0.000,0,,107,3,5,71.4,2,.667,2.0,66.7,3.0,3,0,.000,2,66.667,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202101080BOS.html,Home,116,19:10,2,28.6,WAS,Bradley Beal,Robin Lopez,6:53,Isaac Bonga,6:18,Raul Neto,5:47,,,,,,,38:11,Rui Hachimura,37:12,Russell Westbrook,33:29,Thomas Bryant,29:31,Dāvis Bertāns,27:26,Ish Smith,17:13,Deni Avdija,14:25,Moritz Wagner,12:33,Garrison Mathews,11:02,107,4,4,4.0,100.0,0.0,0.0,0.0,0.0,Tacko Fall,9,0,2020-2021,3.0,0,7.0,BOS,116,Jaylen Brown,,,,,,,,,,,,,37:40,Marcus Smart,36:04,Jayson Tatum,35:06,Daniel Theis,28:50,Semi Ojeleye,27:11,Payton Pritchard,23:13,Javonte Green,18:05,Jeff Teague,14:41,,
0,,0,0.000,0,,97,1,5,100.0,3,1.000,3.0,100.0,3.0,3,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202101150BOS.html,Home,124,7:55,0,0.0,ORL,Khem Birch,Karim Mané,6:12,,,,,,,,,,,32:51,Aaron Gordon,28:43,Cole Anthony,27:24,Jordan Bone,26:49,Gary Clark,26:49,Nikola Vučević,25:58,Dwayne Bacon,25:36,Terrence Ross,25:04,James Ennis III,14:34,97,1,6,6.0,100.0,0.0,0.0,0.0,0.0,Tacko Fall,27,0,2020-2021,1.0,0,5.0,BOS,124,Marcus Smart,Aaron Nesmith,18:27,Tremont Waters,9:00,,,,,,,,,27:49,Payton Pritchard,25:16,Jaylen Brown,25:01,Grant Williams,23:00,Javonte Green,20:55,Jeff Teague,20:53,Daniel Theis,20:44,Tristan Thompson,20:29,Semi Ojeleye,20:29
0,,0,0.000,0,0.00,103,2,1,50.0,0,.000,0.0,0.0,1.0,1,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202101240BOS.html,Home,141,8:33,1,50.0,CLE,Isaac Okoro,JaVale McGee,15:10,Larry Nance Jr.,12:36,Dean Wade,7:32,,,,,,,29:19,Damyean Dotson,27:45,Jarrett Allen,25:48,Dylan Windler,25:44,Darius Garland,23:07,Taurean Prince,21:20,Andre Drummond,17:45,Cedi Osman,17:43,Collin Sexton,16:11,103,1,0,0.0,,0.0,,0.0,,Tacko Fall,38,0,2020-2021,2.0,1,2.0,BOS,141,Marcus Smart,Jeff Teague,12:26,Tremont Waters,12:00,Grant Williams,12:00,Javonte Green,10:25,,,,,27:13,Daniel Theis,24:01,Kemba Walker,23:48,Tristan Thompson,22:26,Carsen Edwards,19:22,Jaylen Brown,19:14,Semi Ojeleye,17:20,Aaron Nesmith,16:39,Robert Williams,14:33
0,,0,0.000,0,,106,0,0,0.0,2,.667,2.0,66.7,3.0,3,0,.000,2,66.667,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202102110BOS.html,Home,120,2:05,2,100.0,TOR,Fred VanVleet,Paul Watson,2:53,Matt Thomas,2:05,,,,,,,,,37:09,Pascal Siakam,35:07,Kyle Lowry,32:31,Norman Powell,31:45,Chris Boucher,25:08,DeAndre' Bembry,22:50,Aron Baynes,20:47,Stanley Johnson,16:04,Terence Davis,13:41,106,1,4,4.0,100.0,0.0,0.0,0.0,0.0,Tacko Fall,14,0,2020-2021,0.0,0,2.0,BOS,120,Jayson Tatum,Carsen Edwards,5:44,Aaron Nesmith,2:05,Tremont Waters,1:23,,,,,,,36:01,Jaylen Brown,32:14,Semi Ojeleye,30:14,Kemba Walker,29:45,Payton Pritchard,29:06,Daniel Theis,27:10,Tristan Thompson,18:45,Grant Williams,17:12,Javonte Green,8:16
0,,0,0.000,0,,91,0,2,50.0,1,1.000,1.0,100.0,1.0,1,1,.500,2,200.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202102140WAS.html,Away,104,5:18,2,50.0,WAS,Bradley Beal,Isaac Bonga,5:18,Troy Brown Jr.,5:18,Jerome Robinson,0:39,,,,,,,33:09,Russell Westbrook,29:04,Deni Avdija,27:59,Robin Lopez,25:32,Raul Neto,24:28,Dāvis Bertāns,24:20,Moritz Wagner,22:20,Rui Hachimura,22:18,Garrison Mathews,19:34,104,2,3,2.0,66.7,0.0,0.0,1.0,33.3,Tacko Fall,13,0,2020-2021,0.0,0,4.0,BOS,91,Semi Ojeleye,Robert Williams,10:31,Carsen Edwards,5:18,Javonte Green,5:18,Tremont Waters,5:18,,,,,30:31,Kemba Walker,29:03,Jaylen Brown,28:39,Aaron Nesmith,28:39,Jayson Tatum,23:21,Daniel Theis,20:25,Tristan Thompson,18:08,Payton Pritchard,17:27,Grant Williams,12:03
0,,0,,0,,107,0,0,,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202102230DAL.html,Away,110,0:00,0,,DAL,Dorian Finney-Smith,Trey Burke,2:57,,,,,,,,,,,38:32,Luka Dončić,37:53,Jalen Brunson,30:12,Josh Richardson,29:51,James Johnson,28:04,Tim Hardaway Jr.,24:46,Willie Cauley-Stein,23:56,Boban Marjanović,12:59,Dwight Powell,10:50,110,0,0,0.0,,0.0,,0.0,,Tacko Fall,3,0,2020-2021,0.0,0,0.0,BOS,107,Jaylen Brown,Grant Williams,6:38,,,,,,,,,,,37:33,Jayson Tatum,35:36,Kemba Walker,33:22,Daniel Theis,25:55,Semi Ojeleye,23:51,Aaron Nesmith,22:12,Tristan Thompson,21:40,Payton Pritchard,19:08,Robert Williams,14:05
0,,0,0.000,1,,112,2,0,,1,1.000,1.0,100.0,1.0,1,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202102240ATL.html,Away,127,7:45,0,,ATL,Trae Young,Rajon Rondo,10:36,Brandon Goodwin,3:54,Bruno Fernando,3:52,Nathan Knight,3:52,,,,,34:39,Danilo Gallinari,33:29,Tony Snell,28:48,Kevin Huerter,27:58,John Collins,25:13,Clint Capela,21:26,Solomon Hill,17:36,Skylar Mays,16:42,Onyeka Okongwu,11:55,127,1,2,2.0,100.0,0.0,0.0,0.0,0.0,Tacko Fall,15,0,2020-2021,2.0,0,0.0,BOS,112,Jayson Tatum,Carsen Edwards,12:13,Daniel Theis,11:20,Tremont Waters,7:45,Semi Ojeleye,5:45,,,,,31:49,Jaylen Brown,29:29,Jeff Teague,28:34,Tristan Thompson,25:48,Grant Williams,20:37,Payton Pritchard,17:00,Robert Williams,14:25,Aaron Nesmith,14:16,Javonte Green,13:14
