3P,3P%,3PA,3PAr,AST,AST/TOV,Away_Score,BLK,DRB,DRB_Pct_of_TRB,FG,FG%,FG2,FG2%,FG2A,FGA,FT,FT%,FTA,FTr,Game_Date,Game_Result,Game_URL,Home/Away,Home_Score,MP,ORB,ORB_Pct_of_TRB,Opponent,Opponent_1,Opponent_10,Opponent_10_MP,Opponent_11,Opponent_11_MP,Opponent_12,Opponent_12_MP,Opponent_13,Opponent_13_MP,Opponent_14,Opponent_14_MP,Opponent_15,Opponent_15_MP,Opponent_1_MP,Opponent_2,Opponent_2_MP,Opponent_3,Opponent_3_MP,Opponent_4,Opponent_4_MP,Opponent_5,Opponent_5_MP,Opponent_6,Opponent_6_MP,Opponent_7,Opponent_7_MP,Opponent_8,Opponent_8_MP,Opponent_9,Opponent_9_MP,Opponent_Score,PF,PTS,PTS_2P,PTS_2P_Pct,PTS_3P,PTS_3P_Pct,PTS_FT,PTS_FT_Pct,Player,Point_Differential,STL,Season,Stocks,TOV,TRB,Team,Team_Score,Teammate_1,Teammate_10,Teammate_10_MP,Teammate_11,Teammate_11_MP,Teammate_12,Teammate_12_MP,Teammate_13,Teammate_13_MP,Teammate_14,Teammate_14_MP,Teammate_15,Teammate_15_MP,Teammate_1_MP,Teammate_2,Teammate_2_MP,Teammate_3,Teammate_3_MP,Teammate_4,Teammate_4_MP,Teammate_5,Teammate_5_MP,Teammate_6,Teammate_6_MP,Teammate_7,Teammate_7_MP,Teammate_8,Teammate_8_MP,Teammate_9,Teammate_9_MP
1,.333,3,50.000,2,,122,0,3,60.0,2,.333,1.0,33.3,3.0,6,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201910220TOR.html,Home,130,15:10,2,40.0,NOP,Jrue Holiday,Jahlil Okafor,12:29,E'Twaun Moore,12:06,Nickeil Alexander-Walker,11:55,,,,,,,41:05,Brandon Ingram,35:06,Josh Hart,28:10,JJ Redick,27:03,Lonzo Ball,24:50,Derrick Favors,20:46,Nicolò Melli,19:37,Kenrich Williams,18:02,Frank Jackson,13:51,122,2,5,2.0,40.0,3.0,60.0,0.0,0.0,Terence Davis,8,2,2019-2020,2.0,0,5.0,TOR,130,Kyle Lowry,,,,,,,,,,,,,44:59,Fred VanVleet,44:21,Pascal Siakam,38:09,OG Anunoby,35:48,Marc Gasol,31:55,Norman Powell,28:38,Serge Ibaka,26:00,,,,
1,.333,3,75.000,0,,106,0,2,100.0,1,.250,0.0,0.0,1.0,4,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201910250BOS.html,Away,112,8:51,0,0.0,BOS,Jaylen Brown,Semi Ojeleye,4:20,Javonte Green,0:04,,,,,,,,,38:04,Gordon Hayward,36:54,Kemba Walker,36:13,Jayson Tatum,35:10,Marcus Smart,28:06,Grant Williams,21:53,Daniel Theis,14:59,Robert Williams,14:39,Brad Wanamaker,9:38,112,3,3,0.0,0.0,3.0,100.0,0.0,0.0,Terence Davis,6,0,2019-2020,0.0,0,2.0,TOR,106,Fred VanVleet,,,,,,,,,,,,,41:47,Kyle Lowry,39:42,OG Anunoby,37:46,Pascal Siakam,35:41,Marc Gasol,25:12,Serge Ibaka,24:14,Norman Powell,21:46,Stanley Johnson,5:01,,
0,,0,0.000,2,2.00,108,1,3,100.0,0,.000,0.0,0.0,1.0,1,4,1.000,4,400.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201910260CHI.html,Away,84,11:59,0,0.0,CHI,Lauri Markkanen,Thaddeus Young,16:00,Shaquille Harrison,11:32,Denzel Valentine,4:34,Daniel Gafford,2:03,,,,,30:18,Zach LaVine,30:15,Tomáš Satoranský,26:18,Wendell Carter Jr.,23:12,Coby White,22:12,Otto Porter Jr.,20:20,Kris Dunn,18:50,Ryan Arcidiacono,17:45,Luke Kornet,16:41,84,1,4,0.0,0.0,0.0,0.0,4.0,100.0,Terence Davis,24,0,2019-2020,1.0,1,3.0,TOR,108,Kyle Lowry,Chris Boucher,4:34,Malcolm Miller,4:34,Rondae Hollis-Jefferson,3:59,,,,,,,34:25,Fred VanVleet,30:35,Pascal Siakam,28:05,Norman Powell,27:34,OG Anunoby,25:32,Marc Gasol,23:10,Serge Ibaka,20:51,Matt Thomas,19:57,Stanley Johnson,4:45
0,,0,,0,,95,0,0,,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201910280TOR.html,Home,104,0:30,0,,ORL,Jonathan Isaac,Mo Bamba,13:11,,,,,,,,,,,33:03,Aaron Gordon,29:40,Evan Fournier,28:52,Markelle Fultz,26:40,D.J. Augustin,25:41,Nikola Vučević,25:00,Terrence Ross,23:45,Al-Farouq Aminu,20:47,Michael Carter-Williams,13:21,95,0,0,0.0,,0.0,,0.0,,Terence Davis,9,0,2019-2020,0.0,0,0.0,TOR,104,Fred VanVleet,,,,,,,,,,,,,38:40,OG Anunoby,38:12,Kyle Lowry,38:11,Pascal Siakam,35:58,Marc Gasol,25:56,Serge Ibaka,21:33,Norman Powell,19:40,Patrick McCaw,16:56,Chris Boucher,4:24
0,,0,,0,,113,0,0,,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201910300TOR.html,Home,125,1:15,0,,DET,Andre Drummond,Thon Maker,12:40,Svi Mykhailiuk,8:34,,,,,,,,,35:20,Markieff Morris,32:08,Luke Kennard,26:38,Langston Galloway,26:29,Tim Frazier,21:48,Bruce Brown,21:10,Derrick Rose,20:32,Tony Snell,18:49,Christian Wood,15:52,113,0,0,0.0,,0.0,,0.0,,Terence Davis,12,0,2019-2020,0.0,0,0.0,TOR,125,Kyle Lowry,Matt Thomas,1:15,,,,,,,,,,,37:47,OG Anunoby,36:41,Serge Ibaka,31:59,Fred VanVleet,30:18,Pascal Siakam,30:16,Norman Powell,28:39,Patrick McCaw,23:00,Marc Gasol,14:46,Chris Boucher,4:04
0,,0,0.000,0,,105,0,1,50.0,1,.500,1.0,50.0,2.0,2,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201911020MIL.html,Away,115,8:43,1,50.0,MIL,Giannis Antetokounmpo,Robin Lopez,11:11,Wesley Matthews,9:17,,,,,,,,,36:26,Khris Middleton,33:42,George Hill,26:58,Brook Lopez,26:16,Eric Bledsoe,24:28,Donte DiVincenzo,21:29,Ersan İlyasova,21:28,Kyle Korver,15:30,Sterling Brown,13:15,115,1,2,2.0,100.0,0.0,0.0,0.0,0.0,Terence Davis,10,1,2019-2020,1.0,0,2.0,TOR,105,Fred VanVleet,,,,,,,,,,,,,41:17,Kyle Lowry,38:02,Marc Gasol,33:50,Pascal Siakam,32:23,OG Anunoby,31:04,Serge Ibaka,22:25,Norman Powell,19:18,Matt Thomas,8:49,Chris Boucher,4:09
0,,0,,1,1.00,120,0,1,100.0,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201911060TOR.html,Home,124,7:20,0,0.0,SAC,Harrison Barnes,Yogi Ferrell,4:49,,,,,,,,,,,38:32,De'Aaron Fox,33:45,Buddy Hield,31:40,Bogdan Bogdanović,31:36,Richaun Holmes,30:48,Cory Joseph,18:03,Dewayne Dedmon,17:12,Trevor Ariza,17:11,Nemanja Bjelica,16:24,120,5,0,0.0,,0.0,,0.0,,Terence Davis,4,0,2019-2020,0.0,1,1.0,TOR,124,Kyle Lowry,,,,,,,,,,,,,39:54,OG Anunoby,37:25,Pascal Siakam,37:02,Fred VanVleet,35:06,Marc Gasol,24:26,Serge Ibaka,23:34,Norman Powell,18:53,Matt Thomas,10:59,Chris Boucher,5:21
0,.000,1,100.000,1,1.00,122,0,1,100.0,0,.000,0.0,,0.0,1,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201911080NOP.html,Away,104,16:07,0,0.0,NOP,Brandon Ingram,Jahlil Okafor,14:40,Jaxson Hayes,14:34,Kenrich Williams,11:19,Nicolò Melli,10:12,,,,,31:20,Jrue Holiday,30:29,Lonzo Ball,22:31,Derrick Favors,18:46,Frank Jackson,18:17,E'Twaun Moore,17:53,Josh Hart,16:50,JJ Redick,16:50,Nickeil Alexander-Walker,16:19,104,2,0,0.0,,0.0,,0.0,,Terence Davis,18,1,2019-2020,1.0,1,1.0,TOR,122,Pascal Siakam,Malcolm Miller,4:51,Stanley Johnson,1:03,,,,,,,,,38:59,Fred VanVleet,36:20,OG Anunoby,29:35,Norman Powell,29:17,Marc Gasol,29:15,Kyle Lowry,16:12,Chris Boucher,13:42,Serge Ibaka,12:20,Matt Thomas,12:19
3,.600,5,62.500,3,3.00,113,0,4,80.0,5,.625,2.0,66.7,3.0,8,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201911100LAL.html,Away,104,16:59,1,20.0,LAL,Anthony Davis,Quinn Cook,11:58,Kentavious Caldwell-Pope,4:10,Jared Dudley,2:02,,,,,,,37:40,LeBron James,35:20,Avery Bradley,31:23,Danny Green,27:14,Kyle Kuzma,24:19,Alex Caruso,17:22,Troy Daniels,17:19,Dwight Howard,16:51,JaVale McGee,14:21,104,1,13,4.0,30.8,9.0,69.2,0.0,0.0,Terence Davis,9,0,2019-2020,0.0,1,5.0,TOR,113,Pascal Siakam,,,,,,,,,,,,,42:13,Fred VanVleet,38:33,Marc Gasol,33:01,OG Anunoby,26:21,Norman Powell,25:42,Chris Boucher,24:22,Rondae Hollis-Jefferson,15:16,Matt Thomas,14:33,Stanley Johnson,2:58
1,.500,2,50.000,2,,88,1,1,100.0,2,.500,1.0,50.0,2.0,4,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201911110LAC.html,Away,98,16:45,0,0.0,LAC,Lou Williams,Rodney McGruder,6:45,Terance Mann,0:18,,,,,,,,,35:46,Kawhi Leonard,34:58,Maurice Harkless,32:32,Montrezl Harrell,31:19,JaMychal Green,24:28,Patrick Beverley,23:46,Landry Shamet,18:09,Ivica Zubac,16:41,Patrick Patterson,15:18,98,1,5,2.0,40.0,3.0,60.0,0.0,0.0,Terence Davis,10,1,2019-2020,2.0,0,1.0,TOR,88,Fred VanVleet,,,,,,,,,,,,,45:26,Pascal Siakam,43:35,Norman Powell,37:13,Marc Gasol,33:01,Rondae Hollis-Jefferson,28:48,Chris Boucher,22:03,Matt Thomas,11:22,OG Anunoby,1:47,,
