3P,3P%,3PA,3PAr,AST,AST/TOV,Away_Score,BLK,DRB,DRB_Pct_of_TRB,FG,FG%,FG2,FG2%,FG2A,FGA,FT,FT%,FTA,FTr,Game_Date,Game_Result,Game_URL,Home/Away,Home_Score,MP,ORB,ORB_Pct_of_TRB,Opponent,Opponent_1,Opponent_10,Opponent_10_MP,Opponent_11,Opponent_11_MP,Opponent_12,Opponent_12_MP,Opponent_13,Opponent_13_MP,Opponent_14,Opponent_14_MP,Opponent_15,Opponent_15_MP,Opponent_1_MP,Opponent_2,Opponent_2_MP,Opponent_3,Opponent_3_MP,Opponent_4,Opponent_4_MP,Opponent_5,Opponent_5_MP,Opponent_6,Opponent_6_MP,Opponent_7,Opponent_7_MP,Opponent_8,Opponent_8_MP,Opponent_9,Opponent_9_MP,Opponent_Score,PF,PTS,PTS_2P,PTS_2P_Pct,PTS_3P,PTS_3P_Pct,PTS_FT,PTS_FT_Pct,Player,Point_Differential,STL,Season,Stocks,TOV,TRB,Team,Team_Score,Teammate_1,Teammate_10,Teammate_10_MP,Teammate_11,Teammate_11_MP,Teammate_12,Teammate_12_MP,Teammate_13,Teammate_13_MP,Teammate_14,Teammate_14_MP,Teammate_15,Teammate_15_MP,Teammate_1_MP,Teammate_2,Teammate_2_MP,Teammate_3,Teammate_3_MP,Teammate_4,Teammate_4_MP,Teammate_5,Teammate_5_MP,Teammate_6,Teammate_6_MP,Teammate_7,Teammate_7_MP,Teammate_8,Teammate_8_MP,Teammate_9,Teammate_9_MP
1,.500,2,100.000,1,,121,0,0,0.0,1,.500,0.0,,0.0,2,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202402020MEM.html,Home,101,16:27,1,100.0,GSW,Jonathan Kuminga,Trayce Jackson-Davis,9:10,Jerome Robinson,1:46,,,,,,,,,36:58,Brandin Podziemski,34:04,Stephen Curry,32:16,Andrew Wiggins,30:07,Draymond Green,27:42,Klay Thompson,26:52,Lester Quiñones,19:05,Kevon Looney,11:14,Gui Santos,10:46,121,1,3,0.0,0.0,3.0,100.0,0.0,0.0,Tosan Evbuomwan,20,0,2023-2024,0.0,0,1.0,MEM,101,Jacob Gilyard,Matthew Hurt,1:46,,,,,,,,,,,32:20,Vince Williams Jr.,31:29,Jaren Jackson Jr.,31:23,John Konchar,27:52,David Roddy,27:23,Santi Aldama,21:13,Luke Kennard,18:16,GG Jackson II,16:11,Derrick Rose,15:40
1,.333,3,42.857,3,3.00,91,0,5,41.7,1,.143,0.0,0.0,4.0,7,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202402040BOS.html,Away,131,29:28,7,58.3,BOS,Jayson Tatum,Neemias Queta,9:40,Jordan Walsh,8:33,Svi Mykhailiuk,6:56,Lamar Stevens,6:56,Dalano Banton,6:56,,,30:48,Derrick White,28:04,Kristaps Porziņģis,27:44,Jrue Holiday,27:05,Sam Hauser,23:41,Al Horford,23:10,Payton Pritchard,15:00,Luke Kornet,14:50,Oshae Brissett,10:35,131,2,3,0.0,0.0,3.0,100.0,0.0,0.0,Tosan Evbuomwan,40,0,2023-2024,0.0,1,12.0,MEM,91,Jacob Gilyard,,,,,,,,,,,,,36:15,GG Jackson II,36:14,David Roddy,32:34,Matthew Hurt,30:21,Scotty Pippen Jr.,27:11,Luke Kennard,24:35,Trey Jemison,23:21,,,,
0,.000,2,50.000,2,,113,0,1,100.0,2,.500,2.0,100.0,2.0,4,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202402060NYK.html,Away,123,20:30,0,0.0,NYK,Precious Achiuwa,,,,,,,,,,,,,40:18,Donte DiVincenzo,40:04,Josh Hart,37:16,Isaiah Hartenstein,34:59,Miles McBride,31:26,Jalen Brunson,31:15,Taj Gibson,13:01,Malachi Flynn,11:40,,,123,1,4,4.0,100.0,0.0,0.0,0.0,0.0,Tosan Evbuomwan,10,0,2023-2024,0.0,0,1.0,MEM,113,Vince Williams Jr.,,,,,,,,,,,,,34:50,Trey Jemison,32:09,John Konchar,26:09,Luke Kennard,24:21,Jacob Gilyard,24:12,David Roddy,22:40,Santi Aldama,22:31,GG Jackson II,20:50,Derrick Rose,11:48
0,.000,1,50.000,0,,118,1,0,,0,.000,0.0,0.0,1.0,2,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202402080MEM.html,Home,110,7:34,0,,CHI,Nikola Vučević,,,,,,,,,,,,,38:58,DeMar DeRozan,37:32,Coby White,35:53,Andre Drummond,31:19,Alex Caruso,29:17,Ayo Dosunmu,27:28,Torrey Craig,16:03,Jevon Carter,15:31,Julian Phillips,7:58,118,1,0,0.0,,0.0,,0.0,,Tosan Evbuomwan,8,0,2023-2024,1.0,0,0.0,MEM,110,Vince Williams Jr.,,,,,,,,,,,,,37:19,Santi Aldama,36:46,GG Jackson II,32:25,Jaren Jackson Jr.,32:06,John Konchar,29:55,Scotty Pippen Jr.,28:31,Jacob Gilyard,19:58,Trey Jemison,15:24,,
1,1.000,1,50.000,0,,100,0,2,100.0,2,1.000,1.0,100.0,1.0,2,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202402140PHO.html,Away,116,8:24,0,0.0,PHO,Kevin Durant,David Roddy,10:16,Théo Maledon,9:48,Nassir Little,9:48,Devin Booker,5:24,Udoka Azubuike,4:27,,,29:36,Grayson Allen,26:33,Eric Gordon,24:21,Saben Lee,23:39,Royce O'Neale,23:30,Jusuf Nurkić,22:22,Drew Eubanks,18:19,Josh Okogie,18:00,Bol Bol,13:57,116,1,5,2.0,40.0,3.0,60.0,0.0,0.0,Tosan Evbuomwan,16,1,2023-2024,1.0,0,2.0,DET,100,Ausar Thompson,James Wiseman,12:09,Troy Brown Jr.,11:42,Malachi Flynn,7:19,,,,,,,28:57,Cade Cunningham,25:50,Evan Fournier,25:49,Marcus Sasser,23:38,Jalen Duren,23:29,Shake Milton,22:30,Simone Fontecchio,20:37,Mike Muscala,14:58,Jaden Ivey,14:38
0,,0,0.000,0,,111,0,0,,1,1.000,1.0,100.0,1.0,1,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202402260NYK.html,Away,113,7:48,0,,NYK,Josh Hart,,,,,,,,,,,,,41:57,Jalen Brunson,39:36,Precious Achiuwa,33:34,Donte DiVincenzo,31:57,Isaiah Hartenstein,26:40,Bojan Bogdanović,21:47,Jericho Sims,20:02,Alec Burks,14:00,Miles McBride,10:27,113,0,2,2.0,100.0,0.0,0.0,0.0,0.0,Tosan Evbuomwan,2,0,2023-2024,0.0,0,0.0,DET,111,Cade Cunningham,,,,,,,,,,,,,36:03,Ausar Thompson,35:37,Simone Fontecchio,32:58,Jalen Duren,31:20,Jaden Ivey,24:02,Quentin Grimes,23:58,Evan Fournier,19:37,James Wiseman,16:40,Malachi Flynn,11:57
0,,0,,0,,108,0,0,,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202403150DET.html,Home,95,1:08,0,,MIA,Terry Rozier,Haywood Highsmith,5:11,Jamal Cain,1:08,,,,,,,,,33:31,Caleb Martin,33:29,Duncan Robinson,32:56,Jimmy Butler,31:24,Bam Adebayo,28:56,Jaime Jaquez Jr.,25:54,Thomas Bryant,17:10,Nikola Jović,15:17,Patty Mills,15:04,108,0,0,0.0,,0.0,,0.0,,Tosan Evbuomwan,13,0,2023-2024,0.0,0,0.0,DET,95,Jaden Ivey,Malachi Flynn,1:08,,,,,,,,,,,37:32,Isaiah Stewart,37:08,Simone Fontecchio,34:19,Jalen Duren,33:53,Cade Cunningham,31:27,Marcus Sasser,23:49,Evan Fournier,15:43,James Wiseman,13:13,Stanley Umude,10:40
2,1.000,2,40.000,0,0.00,94,0,2,100.0,4,.800,2.0,66.7,3.0,5,1,.500,2,40.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202403180BOS.html,Away,119,17:49,0,0.0,BOS,Payton Pritchard,Jordan Walsh,4:09,,,,,,,,,,,37:57,Derrick White,36:33,Jaylen Brown,30:24,Luke Kornet,27:46,Svi Mykhailiuk,23:37,Jaden Springer,21:51,Kristaps Porziņģis,21:29,Oshae Brissett,18:45,Xavier Tillman Sr.,17:27,119,1,11,4.0,36.4,6.0,54.5,1.0,9.1,Tosan Evbuomwan,25,1,2023-2024,1.0,1,2.0,DET,94,Marcus Sasser,Troy Brown Jr.,7:40,,,,,,,,,,,34:25,Stanley Umude,34:04,Jaden Ivey,29:07,James Wiseman,26:05,Evan Fournier,22:18,Jalen Duren,21:55,Malachi Flynn,18:24,Isaiah Stewart,17:15,Taj Gibson,10:57
0,.000,1,14.286,0,,122,0,4,100.0,4,.571,4.0,66.7,6.0,7,3,.750,4,57.143,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202403200DET.html,Home,103,29:37,0,0.0,IND,Isaiah Jackson,Obi Toppin,14:50,Jarace Walker,6:14,Kendall Brown,4:22,James Johnson,3:21,,,,,28:26,Pascal Siakam,26:56,Andrew Nembhard,26:11,Tyrese Haliburton,25:56,Aaron Nesmith,25:48,Ben Sheppard,21:49,T.J. McConnell,20:36,Myles Turner,19:34,Doug McDermott,15:57,122,2,11,8.0,72.7,0.0,0.0,3.0,27.3,Tosan Evbuomwan,19,0,2023-2024,0.0,0,4.0,DET,103,Jaden Ivey,Buddy Boeheim,3:21,Malachi Flynn,3:21,,,,,,,,,29:48,Cade Cunningham,29:03,Jalen Duren,27:23,Chimezie Metu,22:05,Stanley Umude,21:58,Evan Fournier,21:41,Marcus Sasser,19:43,James Wiseman,17:16,Troy Brown Jr.,14:44
2,.400,5,55.556,1,0.50,129,0,6,75.0,4,.444,2.0,50.0,4.0,9,4,.667,6,66.667,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202403220DET.html,Home,102,30:41,2,25.0,BOS,Payton Pritchard,Neemias Queta,2:48,JD Davison,2:48,Jordan Walsh,2:48,Jaden Springer,2:48,,,,,37:43,Derrick White,35:49,Jaylen Brown,33:08,Kristaps Porziņģis,26:07,Sam Hauser,23:50,Xavier Tillman Sr.,19:55,Oshae Brissett,19:22,Luke Kornet,17:11,Svi Mykhailiuk,15:43,129,1,14,4.0,28.6,6.0,42.9,4.0,28.6,Tosan Evbuomwan,27,0,2023-2024,0.0,2,8.0,DET,102,James Wiseman,,,,,,,,,,,,,36:58,Cade Cunningham,28:41,Marcus Sasser,28:26,Evan Fournier,27:54,Jaden Ivey,27:00,Troy Brown Jr.,20:47,Chimezie Metu,19:28,Jared Rhoden,17:17,Buddy Boeheim,2:48
