3P,3P%,3PA,3PAr,AST,AST/TOV,Away_Score,BLK,DRB,DRB_Pct_of_TRB,FG,FG%,FG2,FG2%,FG2A,FGA,FT,FT%,FTA,FTr,Game_Date,Game_Result,Game_URL,Home/Away,Home_Score,MP,ORB,ORB_Pct_of_TRB,Opponent,Opponent_1,Opponent_10,Opponent_10_MP,Opponent_11,Opponent_11_MP,Opponent_12,Opponent_12_MP,Opponent_13,Opponent_13_MP,Opponent_14,Opponent_14_MP,Opponent_15,Opponent_15_MP,Opponent_1_MP,Opponent_2,Opponent_2_MP,Opponent_3,Opponent_3_MP,Opponent_4,Opponent_4_MP,Opponent_5,Opponent_5_MP,Opponent_6,Opponent_6_MP,Opponent_7,Opponent_7_MP,Opponent_8,Opponent_8_MP,Opponent_9,Opponent_9_MP,Opponent_Score,PF,PTS,PTS_2P,PTS_2P_Pct,PTS_3P,PTS_3P_Pct,PTS_FT,PTS_FT_Pct,Player,Point_Differential,STL,Season,Stocks,TOV,TRB,Team,Team_Score,Teammate_1,Teammate_10,Teammate_10_MP,Teammate_11,Teammate_11_MP,Teammate_12,Teammate_12_MP,Teammate_13,Teammate_13_MP,Teammate_14,Teammate_14_MP,Teammate_15,Teammate_15_MP,Teammate_1_MP,Teammate_2,Teammate_2_MP,Teammate_3,Teammate_3_MP,Teammate_4,Teammate_4_MP,Teammate_5,Teammate_5_MP,Teammate_6,Teammate_6_MP,Teammate_7,Teammate_7_MP,Teammate_8,Teammate_8_MP,Teammate_9,Teammate_9_MP
0,,0,0.000,0,0.00,104,0,0,,1,.333,1.0,33.3,3.0,3,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201410290NYK.html,Home,80,5:52,0,,CHI,Mike Dunleavy,Nikola Mirotić,15:17,Cameron Bairstow,3:31,E'Twaun Moore,3:00,,,,,,,31:01,Pau Gasol,29:10,Taj Gibson,28:11,Doug McDermott,24:18,Kirk Hinrich,23:42,Aaron Brooks,23:39,Derrick Rose,21:21,Joakim Noah,19:51,Tony Snell,16:59,104,0,2,2.0,100.0,0.0,0.0,0.0,0.0,Travis Wear,24,0,2014-2015,0.0,2,0.0,NYK,80,Carmelo Anthony,Cole Aldrich,16:59,Jason Smith,13:47,Cleanthony Early,6:43,,,,,,,28:48,Shane Larkin,25:35,Amar'e Stoudemire,23:55,J.R. Smith,21:36,Quincy Acy,21:28,Iman Shumpert,20:14,Samuel Dalembert,19:51,Tim Hardaway Jr.,17:53,Pablo Prigioni,17:19
0,,0,0.000,2,2.00,95,0,2,100.0,0,.000,0.0,0.0,1.0,1,2,1.000,2,200.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201410300CLE.html,Away,90,13:05,0,0.0,CLE,LeBron James,,,,,,,,,,,,,43:14,Kyrie Irving,43:12,Kevin Love,38:02,Dion Waiters,37:35,Anderson Varejão,27:17,Tristan Thompson,19:42,Matthew Dellavedova,17:59,Shawn Marion,10:04,Mike Miller,2:55,90,1,2,0.0,0.0,0.0,0.0,2.0,100.0,Travis Wear,5,0,2014-2015,0.0,1,2.0,NYK,95,Carmelo Anthony,Samuel Dalembert,5:34,Tim Hardaway Jr.,4:45,,,,,,,,,34:20,Iman Shumpert,29:17,Shane Larkin,28:13,J.R. Smith,25:08,Amar'e Stoudemire,24:23,Quincy Acy,22:27,Pablo Prigioni,19:47,Jason Smith,18:52,Cole Aldrich,14:09
0,,0,0.000,0,,98,0,0,,0,.000,0.0,0.0,1.0,1,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201411040NYK.html,Home,83,2:40,0,,WAS,John Wall,Glen Rice Jr.,15:18,DeJuan Blair,1:30,,,,,,,,,30:20,Garrett Temple,30:18,Otto Porter Jr.,28:12,Paul Pierce,27:57,Nenê,23:53,Kevin Séraphin,22:07,Drew Gooden,22:01,Marcin Gortat,21:37,Andre Miller,16:45,98,0,0,0.0,,0.0,,0.0,,Travis Wear,15,0,2014-2015,0.0,0,0.0,NYK,83,Carmelo Anthony,Tim Hardaway Jr.,11:09,,,,,,,,,,,36:51,Iman Shumpert,30:50,Amar'e Stoudemire,28:27,Shane Larkin,26:00,J.R. Smith,24:27,Jason Smith,22:54,Pablo Prigioni,21:59,Samuel Dalembert,20:12,Cole Aldrich,14:31
0,,0,0.000,0,,95,0,0,,1,.333,1.0,33.3,3.0,3,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201411050DET.html,Away,98,5:18,0,,DET,Greg Monroe,Joel Anthony,0:18,,,,,,,,,,,35:31,Kentavious Caldwell-Pope,34:37,Josh Smith,33:38,Caron Butler,30:47,Andre Drummond,28:52,D.J. Augustin,24:42,Brandon Jennings,23:20,Jonas Jerebko,14:55,Kyle Singler,13:21,98,1,2,2.0,100.0,0.0,0.0,0.0,0.0,Travis Wear,3,0,2014-2015,0.0,0,0.0,NYK,95,Carmelo Anthony,Cleanthony Early,6:12,Pablo Prigioni,6:12,,,,,,,,,38:38,Iman Shumpert,36:25,Shane Larkin,32:28,Tim Hardaway Jr.,26:43,Jason Smith,26:23,Amar'e Stoudemire,22:02,Samuel Dalembert,14:30,Quincy Acy,13:42,Cole Aldrich,11:27
0,.000,1,25.000,1,1.00,99,0,1,100.0,0,.000,0.0,0.0,3.0,4,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201411070BRK.html,Away,110,13:29,0,0.0,BRK,Deron Williams,Sergey Karasev,6:26,Jerome Jordan,2:13,Andrei Kirilenko,2:13,,,,,,,32:38,Bojan Bogdanović,32:04,Joe Johnson,31:52,Brook Lopez,30:44,Mirza Teletović,27:03,Alan Anderson,21:57,Mason Plumlee,20:32,Jarrett Jack,19:03,Kevin Garnett,13:15,110,1,0,0.0,,0.0,,0.0,,Travis Wear,11,0,2014-2015,0.0,1,1.0,NYK,99,Carmelo Anthony,Cole Aldrich,5:45,Samuel Dalembert,4:52,,,,,,,,,35:35,Iman Shumpert,30:20,Tim Hardaway Jr.,28:28,Amar'e Stoudemire,24:43,J.R. Smith,24:25,Quincy Acy,22:14,Shane Larkin,19:03,Cleanthony Early,15:43,Jason Smith,15:23
0,,0,0.000,0,,97,0,0,0.0,0,.000,0.0,0.0,2.0,2,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201411120NYK.html,Home,95,5:16,1,100.0,ORL,Nikola Vučević,,,,,,,,,,,,,38:36,Channing Frye,38:16,Evan Fournier,37:02,Tobias Harris,33:31,Luke Ridnour,24:56,Elfrid Payton,23:04,Andrew Nicholson,19:27,Aaron Gordon,14:10,Willie Green,10:58,97,2,0,0.0,,0.0,,0.0,,Travis Wear,2,0,2014-2015,0.0,0,1.0,NYK,95,Carmelo Anthony,Shane Larkin,16:46,Cleanthony Early,0:01,,,,,,,,,32:09,J.R. Smith,30:08,Samuel Dalembert,27:24,Iman Shumpert,26:15,Jason Smith,24:10,Pablo Prigioni,21:23,Quincy Acy,20:12,Amar'e Stoudemire,18:41,Tim Hardaway Jr.,17:35
0,,0,0.000,1,1.00,102,0,2,50.0,3,.600,3.0,60.0,5.0,5,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201411140NYK.html,Home,100,15:27,2,50.0,UTA,Alec Burks,Steve Novak,8:51,,,,,,,,,,,38:45,Gordon Hayward,37:52,Trey Burke,35:22,Derrick Favors,31:15,Trevor Booker,21:24,Joe Ingles,20:34,Dante Exum,16:51,Rudy Gobert,16:45,Enes Freedom,12:21,102,2,6,6.0,100.0,0.0,0.0,0.0,0.0,Travis Wear,2,0,2014-2015,0.0,1,4.0,NYK,100,Carmelo Anthony,Cleanthony Early,6:34,Iman Shumpert,0:55,,,,,,,,,39:13,Shane Larkin,37:38,Pablo Prigioni,29:11,Jason Smith,24:08,J.R. Smith,20:57,Quincy Acy,19:39,Samuel Dalembert,18:19,Tim Hardaway Jr.,15:35,Cole Aldrich,12:24
0,,0,0.000,0,0.00,93,1,0,0.0,1,.333,1.0,33.3,3.0,3,2,1.000,2,66.667,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201411160NYK.html,Home,109,11:39,1,100.0,DEN,Ty Lawson,Nate Robinson,10:16,Alonzo Gee,8:32,JaVale McGee,5:49,,,,,,,39:49,Kenneth Faried,32:00,Arron Afflalo,31:59,Wilson Chandler,31:13,Timofey Mozgov,22:23,Darrell Arthur,21:23,Danilo Gallinari,13:50,J.J. Hickson,12:20,Gary Harris,10:26,93,1,4,2.0,50.0,0.0,0.0,2.0,50.0,Travis Wear,16,0,2014-2015,1.0,1,1.0,NYK,109,Carmelo Anthony,,,,,,,,,,,,,38:13,J.R. Smith,36:32,Quincy Acy,31:10,Shane Larkin,26:12,Pablo Prigioni,23:05,Samuel Dalembert,22:08,Amar'e Stoudemire,20:14,Jason Smith,19:54,Tim Hardaway Jr.,10:53
0,,0,0.000,1,,113,0,0,,3,.429,3.0,42.9,7.0,7,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201411180MIL.html,Away,117,11:59,0,,MIL,Zaza Pachulia,John Henson,13:22,,,,,,,,,,,34:33,Brandon Knight,32:52,Khris Middleton,32:44,Jabari Parker,24:22,O.J. Mayo,23:27,Jared Dudley,20:42,Ersan İlyasova,20:18,Jerryd Bayless,19:47,Giannis Antetokounmpo,17:53,117,2,6,6.0,100.0,0.0,0.0,0.0,0.0,Travis Wear,4,0,2014-2015,0.0,0,0.0,NYK,113,Carmelo Anthony,,,,,,,,,,,,,37:44,Iman Shumpert,36:22,J.R. Smith,34:20,Tim Hardaway Jr.,29:01,Amar'e Stoudemire,24:27,Shane Larkin,22:01,Pablo Prigioni,20:32,Samuel Dalembert,17:25,Jason Smith,6:08
0,,0,0.000,3,1.50,99,0,6,75.0,2,.333,2.0,33.3,6.0,6,4,.800,5,83.333,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201411190MIN.html,Away,115,22:18,2,25.0,MIN,Kevin Martin,Chase Budinger,3:21,Glenn Robinson III,1:51,,,,,,,,,35:08,Gorgui Dieng,32:29,Shabazz Muhammad,32:08,Mo Williams,31:24,Corey Brewer,28:39,Andrew Wiggins,28:31,Zach LaVine,16:36,Robbie Hummel,15:51,Anthony Bennett,14:02,115,1,8,4.0,50.0,0.0,0.0,4.0,50.0,Travis Wear,16,0,2014-2015,0.0,2,8.0,NYK,99,Quincy Acy,Cole Aldrich,8:28,Samuel Dalembert,8:22,,,,,,,,,32:18,Shane Larkin,29:01,Iman Shumpert,27:58,Carmelo Anthony,26:36,Tim Hardaway Jr.,22:02,Amar'e Stoudemire,19:53,Pablo Prigioni,18:59,J.R. Smith,13:13,Jason Smith,10:52
