3P,3P%,3PA,3PAr,AST,AST/TOV,Away_Score,BLK,DRB,DRB_Pct_of_TRB,FG,FG%,FG2,FG2%,FG2A,FGA,FT,FT%,FTA,FTr,Game_Date,Game_Result,Game_URL,Home/Away,Home_Score,MP,ORB,ORB_Pct_of_TRB,Opponent,Opponent_1,Opponent_10,Opponent_10_MP,Opponent_11,Opponent_11_MP,Opponent_12,Opponent_12_MP,Opponent_13,Opponent_13_MP,Opponent_14,Opponent_14_MP,Opponent_15,Opponent_15_MP,Opponent_1_MP,Opponent_2,Opponent_2_MP,Opponent_3,Opponent_3_MP,Opponent_4,Opponent_4_MP,Opponent_5,Opponent_5_MP,Opponent_6,Opponent_6_MP,Opponent_7,Opponent_7_MP,Opponent_8,Opponent_8_MP,Opponent_9,Opponent_9_MP,Opponent_Score,PF,PTS,PTS_2P,PTS_2P_Pct,PTS_3P,PTS_3P_Pct,PTS_FT,PTS_FT_Pct,Player,Point_Differential,STL,Season,Stocks,TOV,TRB,Team,Team_Score,Teammate_1,Teammate_10,Teammate_10_MP,Teammate_11,Teammate_11_MP,Teammate_12,Teammate_12_MP,Teammate_13,Teammate_13_MP,Teammate_14,Teammate_14_MP,Teammate_15,Teammate_15_MP,Teammate_1_MP,Teammate_2,Teammate_2_MP,Teammate_3,Teammate_3_MP,Teammate_4,Teammate_4_MP,Teammate_5,Teammate_5_MP,Teammate_6,Teammate_6_MP,Teammate_7,Teammate_7_MP,Teammate_8,Teammate_8_MP,Teammate_9,Teammate_9_MP
0,,0,,0,,122,0,1,100.0,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202310270SAC.html,Away,114,4:41,0,0.0,SAC,Keegan Murray,Davion Mitchell,10:51,Colby Jones,0:26,,,,,,,,,39:36,De'Aaron Fox,39:09,Domantas Sabonis,35:49,Harrison Barnes,30:01,Chris Duarte,26:07,Malik Monk,17:57,Kevin Huerter,15:37,Sasha Vezenkov,12:16,JaVale McGee,12:11,114,1,0,0.0,,0.0,,0.0,,Trayce Jackson-Davis,8,0,2023-2024,0.0,0,1.0,GSW,122,Stephen Curry,,,,,,,,,,,,,34:50,Chris Paul,33:10,Klay Thompson,32:48,Kevon Looney,28:12,Andrew Wiggins,26:55,Jonathan Kuminga,25:59,Moses Moody,21:07,Gary Payton II,18:01,Dario Šarić,14:17
0,,0,0.000,0,0.00,130,4,2,22.2,5,.556,5.0,55.6,9.0,9,3,.750,4,44.444,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202310300NOP.html,Away,102,19:50,7,77.8,NOP,Jordan Hawkins,Kaiser Gates,7:26,Cody Zeller,4:39,,,,,,,,,35:01,CJ McCollum,33:29,Zion Williamson,29:56,Matt Ryan,27:10,Dyson Daniels,24:09,Jonas Valančiūnas,22:48,Herbert Jones,22:21,Larry Nance Jr.,16:57,Kira Lewis Jr.,16:04,102,2,13,10.0,76.9,0.0,0.0,3.0,23.1,Trayce Jackson-Davis,28,0,2023-2024,4.0,2,9.0,GSW,130,Stephen Curry,Lester Quiñones,4:39,Cory Joseph,4:39,Jerome Robinson,4:39,,,,,,,30:02,Chris Paul,25:13,Kevon Looney,24:34,Brandin Podziemski,22:48,Draymond Green,21:34,Moses Moody,20:51,Dario Šarić,20:35,Andrew Wiggins,20:27,Gary Payton II,20:09
0,,0,,0,,101,0,0,,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202311010GSW.html,Home,102,0:00,0,,SAC,Keegan Murray,Chris Duarte,6:50,,,,,,,,,,,39:24,Domantas Sabonis,37:06,Harrison Barnes,30:34,Davion Mitchell,29:32,Kevin Huerter,26:51,Malik Monk,24:39,Sasha Vezenkov,17:26,Colby Jones,17:09,JaVale McGee,10:29,101,0,0,0.0,,0.0,,0.0,,Trayce Jackson-Davis,1,0,2023-2024,0.0,0,0.0,GSW,102,Stephen Curry,Moses Moody,15:07,,,,,,,,,,,32:20,Klay Thompson,29:17,Chris Paul,28:16,Draymond Green,27:30,Andrew Wiggins,25:18,Kevon Looney,23:27,Gary Payton II,21:54,Dario Šarić,19:44,Jonathan Kuminga,17:07
0,,0,0.000,1,,104,1,3,75.0,2,.667,2.0,66.7,3.0,3,1,.200,5,166.667,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202311050CLE.html,Away,115,11:35,1,25.0,CLE,Max Strus,Damian Jones,1:09,Sam Merrill,1:09,,,,,,,,,35:55,Donovan Mitchell,34:02,Caris LeVert,31:53,Darius Garland,30:05,Evan Mobley,29:00,Jarrett Allen,27:56,Georges Niang,25:11,Dean Wade,12:30,Tristan Thompson,11:07,115,4,5,4.0,80.0,0.0,0.0,1.0,20.0,Trayce Jackson-Davis,11,1,2023-2024,2.0,0,4.0,GSW,104,Klay Thompson,Gary Payton II,12:26,Brandin Podziemski,8:17,Cory Joseph,2:33,,,,,,,31:45,Stephen Curry,30:49,Draymond Green,29:22,Andrew Wiggins,26:09,Chris Paul,24:36,Jonathan Kuminga,19:33,Kevon Looney,15:10,Moses Moody,14:17,Dario Šarić,13:25
0,,0,,0,,120,0,0,,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202311060DET.html,Away,109,0:29,0,,DET,Cade Cunningham,,,,,,,,,,,,,39:40,Isaiah Stewart,38:31,Ausar Thompson,37:31,Killian Hayes,34:29,Marcus Sasser,33:11,Marvin Bagley III,24:28,Stanley Umude,15:55,James Wiseman,10:51,Jared Rhoden,5:22,109,0,0,0.0,,0.0,,0.0,,Trayce Jackson-Davis,11,0,2023-2024,0.0,0,0.0,GSW,120,Stephen Curry,Jonathan Kuminga,18:41,Brandin Podziemski,0:29,,,,,,,,,32:37,Klay Thompson,28:11,Draymond Green,27:33,Kevon Looney,25:09,Gary Payton II,23:36,Andrew Wiggins,21:34,Chris Paul,21:24,Dario Šarić,20:54,Moses Moody,19:19
0,,0,0.000,1,,105,0,2,100.0,2,.667,2.0,66.7,3.0,3,4,.800,5,166.667,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202311080DEN.html,Away,108,18:13,0,0.0,DEN,Michael Porter Jr.,Justin Holiday,7:54,Zeke Nnaji,6:29,,,,,,,,,36:54,Nikola Jokić,36:36,Kentavious Caldwell-Pope,35:07,Aaron Gordon,34:25,Reggie Jackson,32:21,Christian Braun,15:45,Collin Gillespie,15:39,Peyton Watson,10:36,Julian Strawther,8:14,108,4,8,4.0,50.0,0.0,0.0,4.0,50.0,Trayce Jackson-Davis,3,0,2023-2024,0.0,0,2.0,GSW,105,Stephen Curry,,,,,,,,,,,,,34:28,Klay Thompson,32:03,Kevon Looney,29:36,Andrew Wiggins,28:36,Chris Paul,26:54,Dario Šarić,26:14,Jonathan Kuminga,18:49,Moses Moody,13:53,Brandin Podziemski,11:14
0,,0,0.000,0,,118,0,0,0.0,0,.000,0.0,0.0,1.0,1,1,.500,2,200.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202311110GSW.html,Home,110,5:34,1,100.0,CLE,Donovan Mitchell,Tristan Thompson,1:32,Emoni Bates,0:46,Damian Jones,0:46,,,,,,,36:06,Caris LeVert,35:52,Darius Garland,35:50,Max Strus,32:52,Evan Mobley,31:04,Jarrett Allen,28:01,Georges Niang,18:59,Dean Wade,16:40,Craig Porter Jr.,1:32,118,1,1,0.0,0.0,0.0,0.0,1.0,100.0,Trayce Jackson-Davis,8,0,2023-2024,0.0,0,1.0,GSW,110,Stephen Curry,Gary Payton II,11:10,Brandin Podziemski,8:21,Cory Joseph,2:12,,,,,,,32:33,Andrew Wiggins,29:08,Klay Thompson,27:49,Chris Paul,26:25,Kevon Looney,23:59,Jonathan Kuminga,20:39,Draymond Green,17:59,Moses Moody,17:45,Dario Šarić,16:26
0,,0,0.000,1,,116,0,0,,1,1.000,1.0,100.0,1.0,1,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202311120GSW.html,Home,110,1:16,0,,MIN,Anthony Edwards,Troy Brown Jr.,1:03,,,,,,,,,,,37:46,Karl-Anthony Towns,37:21,Rudy Gobert,35:13,Jaden McDaniels,34:58,Mike Conley,30:47,Naz Reid,18:41,Nickeil Alexander-Walker,17:13,Kyle Anderson,17:05,Shake Milton,9:50,116,0,2,2.0,100.0,0.0,0.0,0.0,0.0,Trayce Jackson-Davis,6,0,2023-2024,0.0,0,0.0,GSW,110,Stephen Curry,Moses Moody,13:06,Brandin Podziemski,1:16,,,,,,,,,36:07,Klay Thompson,33:16,Dario Šarić,27:16,Andrew Wiggins,25:26,Draymond Green,24:23,Jonathan Kuminga,23:35,Chris Paul,21:43,Kevon Looney,19:03,Gary Payton II,13:30
0,,0,0.000,3,1.50,104,0,2,100.0,0,.000,0.0,0.0,1.0,1,2,1.000,2,200.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202311140GSW.html,Home,101,11:40,0,0.0,MIN,Karl-Anthony Towns,Jaden McDaniels,1:43,,,,,,,,,,,41:41,Anthony Edwards,36:18,Rudy Gobert,35:13,Mike Conley,30:50,Kyle Anderson,27:23,Nickeil Alexander-Walker,25:19,Naz Reid,16:24,Shake Milton,15:25,Troy Brown Jr.,9:43,104,2,2,0.0,0.0,0.0,0.0,2.0,100.0,Trayce Jackson-Davis,3,0,2023-2024,0.0,2,2.0,GSW,101,Brandin Podziemski,Draymond Green,1:43,Klay Thompson,1:43,,,,,,,,,38:57,Chris Paul,36:00,Dario Šarić,32:12,Kevon Looney,31:34,Andrew Wiggins,27:37,Jonathan Kuminga,15:58,Gary Payton II,15:39,Moses Moody,13:41,Cory Joseph,13:14
0,,0,,0,,128,1,0,,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202311160GSW.html,Home,109,4:33,0,,OKC,Shai Gilgeous-Alexander,Aaron Wiggins,11:05,Jaylin Williams,3:52,,,,,,,,,29:16,Jalen Williams,29:03,Chet Holmgren,27:06,Josh Giddey,26:07,Cason Wallace,25:35,Isaiah Joe,25:03,Luguentz Dort,23:56,Vasilije Micić,21:21,Kenrich Williams,17:36,128,0,0,0.0,,0.0,,0.0,,Trayce Jackson-Davis,19,0,2023-2024,1.0,0,0.0,GSW,109,Chris Paul,Gary Payton II,7:35,Lester Quiñones,4:16,Gui Santos,3:52,,,,,,,27:33,Klay Thompson,27:26,Jonathan Kuminga,26:40,Andrew Wiggins,26:16,Brandin Podziemski,25:00,Dario Šarić,24:04,Moses Moody,22:55,Cory Joseph,20:27,Kevon Looney,19:23
