3P,3P%,3PA,3PAr,AST,AST/TOV,Away_Score,BLK,DRB,DRB_Pct_of_TRB,FG,FG%,FG2,FG2%,FG2A,FGA,FT,FT%,FTA,FTr,Game_Date,Game_Result,Game_URL,Home/Away,Home_Score,MP,ORB,ORB_Pct_of_TRB,Opponent,Opponent_1,Opponent_10,Opponent_10_MP,Opponent_11,Opponent_11_MP,Opponent_12,Opponent_12_MP,Opponent_13,Opponent_13_MP,Opponent_14,Opponent_14_MP,Opponent_15,Opponent_15_MP,Opponent_1_MP,Opponent_2,Opponent_2_MP,Opponent_3,Opponent_3_MP,Opponent_4,Opponent_4_MP,Opponent_5,Opponent_5_MP,Opponent_6,Opponent_6_MP,Opponent_7,Opponent_7_MP,Opponent_8,Opponent_8_MP,Opponent_9,Opponent_9_MP,Opponent_Score,PF,PTS,PTS_2P,PTS_2P_Pct,PTS_3P,PTS_3P_Pct,PTS_FT,PTS_FT_Pct,Player,Point_Differential,STL,Season,Stocks,TOV,TRB,Team,Team_Score,Teammate_1,Teammate_10,Teammate_10_MP,Teammate_11,Teammate_11_MP,Teammate_12,Teammate_12_MP,Teammate_13,Teammate_13_MP,Teammate_14,Teammate_14_MP,Teammate_15,Teammate_15_MP,Teammate_1_MP,Teammate_2,Teammate_2_MP,Teammate_3,Teammate_3_MP,Teammate_4,Teammate_4_MP,Teammate_5,Teammate_5_MP,Teammate_6,Teammate_6_MP,Teammate_7,Teammate_7_MP,Teammate_8,Teammate_8_MP,Teammate_9,Teammate_9_MP
1,.500,2,28.571,1,1.00,86,1,0,,4,.571,3.0,60.0,5.0,7,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202110200UTA.html,Away,107,14:54,0,,UTA,Rudy Gobert,Jared Butler,8:45,Elijah Hughes,3:14,Malik Fitts,1:35,Miye Oni,1:35,,,,,29:29,Donovan Mitchell,28:28,Bojan Bogdanović,28:12,Royce O'Neale,28:04,Jordan Clarkson,26:40,Joe Ingles,26:05,Mike Conley,25:09,Hassan Whiteside,18:31,Eric Paschall,14:13,107,0,9,6.0,66.7,3.0,33.3,0.0,0.0,Tre Mann,21,1,2021-2022,2.0,1,0.0,OKC,86,Shai Gilgeous-Alexander,Jeremiah Robinson-Earl,13:18,Vit Krejci,3:14,,,,,,,,,32:40,Darius Bazley,30:23,Luguentz Dort,30:07,Josh Giddey,28:42,Théo Maledon,21:10,Derrick Favors,20:19,Kenrich Williams,15:52,Aleksej Pokusevski,14:56,Isaiah Roby,14:23
2,.667,3,60.000,0,,91,0,0,,3,.600,1.0,50.0,2.0,5,0,.000,2,40.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202110220HOU.html,Away,124,13:02,0,,HOU,Christian Wood,D.J. Augustin,9:15,Armoni Brooks,5:49,Josh Christopher,5:49,Usman Garuba,5:49,KJ Martin,5:49,,,33:25,Kevin Porter Jr.,30:56,Jae'Sean Tate,28:07,Eric Gordon,26:13,Jalen Green,26:01,Daniel Theis,18:03,Alperen Sengun,17:47,David Nwaba,15:50,Danuel House Jr.,11:07,124,2,8,2.0,25.0,6.0,75.0,0.0,0.0,Tre Mann,33,0,2021-2022,0.0,0,0.0,OKC,91,Luguentz Dort,Mike Muscala,11:54,Derrick Favors,9:59,Isaiah Roby,9:49,Gabriel Deck,8:56,Vit Krejci,5:49,,,27:07,Shai Gilgeous-Alexander,26:28,Kenrich Williams,22:13,Jeremiah Robinson-Earl,21:08,Josh Giddey,19:34,Darius Bazley,17:58,Aleksej Pokusevski,16:45,Théo Maledon,14:39,Ty Jerome,14:39
0,.000,2,40.000,0,,115,0,0,0.0,1,.200,1.0,33.3,3.0,5,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202110240OKC.html,Home,103,9:52,1,100.0,PHI,Seth Curry,Paul Reed,9:26,,,,,,,,,,,34:24,Tyrese Maxey,34:03,Joel Embiid,33:17,Tobias Harris,32:54,Danny Green,27:59,Georges Niang,20:23,Matisse Thybulle,20:01,Furkan Korkmaz,16:57,Isaiah Joe,10:36,115,1,2,2.0,100.0,0.0,0.0,0.0,0.0,Tre Mann,12,0,2021-2022,0.0,0,1.0,OKC,103,Shai Gilgeous-Alexander,Aleksej Pokusevski,6:43,,,,,,,,,,,38:39,Luguentz Dort,37:27,Josh Giddey,33:34,Darius Bazley,31:46,Kenrich Williams,20:54,Derrick Favors,18:34,Mike Muscala,15:40,Jeremiah Robinson-Earl,13:46,Théo Maledon,13:05
0,.000,1,25.000,0,,106,1,3,100.0,1,.250,1.0,33.3,3.0,4,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202110260OKC.html,Home,98,9:26,0,0.0,GSW,Stephen Curry,Nemanja Bjelica,7:36,Gary Payton II,4:55,Chris Chiozza,4:32,Moses Moody,0:46,,,,,32:18,Draymond Green,32:05,Andrew Wiggins,30:42,Jordan Poole,29:17,Damion Lee,25:58,Andre Iguodala,19:18,Kevon Looney,18:04,Otto Porter Jr.,17:23,Juan Toscano-Anderson,17:06,106,1,2,2.0,100.0,0.0,0.0,0.0,0.0,Tre Mann,8,0,2021-2022,1.0,0,3.0,OKC,98,Shai Gilgeous-Alexander,Isaiah Roby,2:18,,,,,,,,,,,35:43,Luguentz Dort,32:52,Jeremiah Robinson-Earl,27:12,Josh Giddey,27:11,Kenrich Williams,24:43,Théo Maledon,23:55,Darius Bazley,19:44,Mike Muscala,18:30,Aleksej Pokusevski,18:26
0,.000,1,50.000,0,,115,0,0,0.0,1,.500,1.0,100.0,1.0,2,1,.500,2,100.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202110270OKC.html,Home,123,5:19,1,100.0,LAL,Anthony Davis,DeAndre Jordan,12:41,,,,,,,,,,,36:34,Russell Westbrook,34:50,Malik Monk,32:17,Carmelo Anthony,30:53,Kent Bazemore,27:41,Austin Reaves,17:46,Avery Bradley,16:38,Rajon Rondo,16:23,Dwight Howard,14:17,115,1,3,2.0,66.7,0.0,0.0,1.0,33.3,Tre Mann,8,0,2021-2022,0.0,0,1.0,OKC,123,Shai Gilgeous-Alexander,Aleksej Pokusevski,7:15,Jeremiah Robinson-Earl,5:39,Gabriel Deck,3:00,,,,,,,37:41,Luguentz Dort,33:57,Josh Giddey,32:13,Darius Bazley,31:52,Derrick Favors,25:51,Kenrich Williams,19:06,Isaiah Roby,16:25,Ty Jerome,14:13,Théo Maledon,7:29
0,.000,1,14.286,0,0.00,108,1,3,75.0,3,.429,3.0,50.0,6.0,7,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202111100NOP.html,Away,100,14:02,1,25.0,NOP,Jonas Valančiūnas,Jaxson Hayes,8:57,,,,,,,,,,,39:03,Nickeil Alexander-Walker,34:28,Devonte' Graham,33:46,Herbert Jones,31:32,Garrett Temple,29:24,Tomáš Satoranský,18:59,Trey Murphy III,16:06,Josh Hart,14:55,Kira Lewis Jr.,12:50,100,3,6,6.0,100.0,0.0,0.0,0.0,0.0,Tre Mann,8,0,2021-2022,1.0,1,4.0,OKC,108,Shai Gilgeous-Alexander,Ty Jerome,2:54,Gabriel Deck,2:29,,,,,,,,,36:23,Luguentz Dort,33:58,Darius Bazley,33:38,Josh Giddey,30:42,Kenrich Williams,20:47,Derrick Favors,20:35,Aleksej Pokusevski,20:01,Mike Muscala,13:13,Jeremiah Robinson-Earl,11:18
1,1.000,1,12.500,1,0.50,103,0,1,50.0,5,.625,4.0,57.1,7.0,8,1,.500,2,25.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202111120OKC.html,Home,105,18:58,1,50.0,SAC,De'Aaron Fox,Maurice Harkless,7:32,,,,,,,,,,,35:27,Tyrese Haliburton,35:05,Harrison Barnes,34:29,Richaun Holmes,32:16,Buddy Hield,25:04,Chimezie Metu,24:26,Davion Mitchell,20:35,Tristan Thompson,15:44,Terence Davis,9:20,103,4,12,8.0,66.7,3.0,25.0,1.0,8.3,Tre Mann,2,1,2021-2022,1.0,2,2.0,OKC,105,Shai Gilgeous-Alexander,Ty Jerome,6:16,,,,,,,,,,,34:59,Darius Bazley,33:15,Luguentz Dort,32:38,Jeremiah Robinson-Earl,29:20,Josh Giddey,24:36,Kenrich Williams,18:21,Aleksej Pokusevski,15:45,Derrick Favors,13:50,Mike Muscala,12:00
1,1.000,1,100.000,0,0.00,120,0,0,,1,1.000,0.0,,0.0,1,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202111140OKC.html,Home,96,5:26,0,,BRK,James Harden,James Johnson,7:35,Cam Thomas,2:43,,,,,,,,,36:19,Kevin Durant,34:10,Patty Mills,31:26,Bruce Brown,28:09,Blake Griffin,22:57,LaMarcus Aldridge,22:20,Jevon Carter,21:35,DeAndre' Bembry,19:08,Joe Harris,13:38,120,0,3,0.0,0.0,3.0,100.0,0.0,0.0,Tre Mann,24,0,2021-2022,0.0,1,0.0,OKC,96,Shai Gilgeous-Alexander,Derrick Favors,13:50,Isaiah Roby,12:27,,,,,,,,,30:25,Luguentz Dort,27:17,Darius Bazley,25:31,Josh Giddey,24:49,Jeremiah Robinson-Earl,21:43,Kenrich Williams,21:39,Aaron Wiggins,21:18,Aleksej Pokusevski,19:35,Ty Jerome,16:00
0,.000,1,33.333,0,,103,0,1,50.0,0,.000,0.0,0.0,2.0,3,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202111150OKC.html,Home,90,6:52,1,50.0,MIA,Tyler Herro,Omer Yurtseven,4:38,,,,,,,,,,,36:52,Kyle Lowry,32:51,Duncan Robinson,31:34,P.J. Tucker,30:46,Dewayne Dedmon,29:23,Max Strus,22:02,Gabe Vincent,19:54,Caleb Martin,16:56,KZ Okpala,15:04,103,3,0,0.0,,0.0,,0.0,,Tre Mann,13,0,2021-2022,0.0,0,2.0,OKC,90,Shai Gilgeous-Alexander,Isaiah Roby,11:20,Mike Muscala,8:24,,,,,,,,,34:57,Josh Giddey,31:32,Luguentz Dort,31:04,Jeremiah Robinson-Earl,25:43,Darius Bazley,24:58,Aaron Wiggins,19:37,Kenrich Williams,17:06,Aleksej Pokusevski,16:29,Ty Jerome,11:58
1,.333,3,75.000,0,,89,0,1,100.0,2,.500,1.0,100.0,1.0,4,2,1.000,2,50.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202111170OKC.html,Home,101,10:52,0,0.0,HOU,Eric Gordon,David Nwaba,6:09,Armoni Brooks,5:41,Alperen Sengun,5:02,,,,,,,38:49,Jalen Green,36:01,Jae'Sean Tate,34:11,Christian Wood,28:55,Daniel Theis,24:19,Garrison Mathews,21:25,D.J. Augustin,14:36,Danuel House Jr.,12:27,KJ Martin,12:25,89,0,7,2.0,28.6,3.0,42.9,2.0,28.6,Tre Mann,12,2,2021-2022,2.0,0,1.0,OKC,101,Luguentz Dort,Aleksej Pokusevski,10:05,Aaron Wiggins,0:25,,,,,,,,,36:35,Shai Gilgeous-Alexander,36:35,Josh Giddey,33:36,Darius Bazley,25:58,Jeremiah Robinson-Earl,24:45,Kenrich Williams,18:18,Derrick Favors,17:32,Mike Muscala,14:00,Ty Jerome,11:19
