3P,3P%,3PA,3PAr,AST,AST/TOV,Away_Score,BLK,DRB,DRB_Pct_of_TRB,FG,FG%,FG2,FG2%,FG2A,FGA,FT,FT%,FTA,FTr,Game_Date,Game_Result,Game_URL,Home/Away,Home_Score,MP,ORB,ORB_Pct_of_TRB,Opponent,Opponent_1,Opponent_10,Opponent_10_MP,Opponent_11,Opponent_11_MP,Opponent_12,Opponent_12_MP,Opponent_13,Opponent_13_MP,Opponent_14,Opponent_14_MP,Opponent_15,Opponent_15_MP,Opponent_1_MP,Opponent_2,Opponent_2_MP,Opponent_3,Opponent_3_MP,Opponent_4,Opponent_4_MP,Opponent_5,Opponent_5_MP,Opponent_6,Opponent_6_MP,Opponent_7,Opponent_7_MP,Opponent_8,Opponent_8_MP,Opponent_9,Opponent_9_MP,Opponent_Score,PF,PTS,PTS_2P,PTS_2P_Pct,PTS_3P,PTS_3P_Pct,PTS_FT,PTS_FT_Pct,Player,Point_Differential,STL,Season,Stocks,TOV,TRB,Team,Team_Score,Teammate_1,Teammate_10,Teammate_10_MP,Teammate_11,Teammate_11_MP,Teammate_12,Teammate_12_MP,Teammate_13,Teammate_13_MP,Teammate_14,Teammate_14_MP,Teammate_15,Teammate_15_MP,Teammate_1_MP,Teammate_2,Teammate_2_MP,Teammate_3,Teammate_3_MP,Teammate_4,Teammate_4_MP,Teammate_5,Teammate_5_MP,Teammate_6,Teammate_6_MP,Teammate_7,Teammate_7_MP,Teammate_8,Teammate_8_MP,Teammate_9,Teammate_9_MP
0,.000,2,100.000,0,,116,0,0,,0,.000,0.0,,0.0,2,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202112180DET.html,Away,107,2:46,0,,DET,Saddiq Bey,Luka Garza,9:22,Rodney McGruder,8:45,,,,,,,,,36:44,Cade Cunningham,36:21,Killian Hayes,35:34,Frank Jackson,23:18,Hamidou Diallo,21:47,Isaiah Stewart,20:15,Saben Lee,19:00,Trey Lyles,18:58,Josh Jackson,9:56,107,0,0,0.0,,0.0,,0.0,,Trevelin Queen,9,0,2021-2022,0.0,0,0.0,HOU,116,Garrison Mathews,Usman Garuba,2:46,,,,,,,,,,,35:45,Christian Wood,30:12,Eric Gordon,28:15,Jae'Sean Tate,28:15,Josh Christopher,27:46,KJ Martin,27:45,Alperen Sengun,22:06,David Nwaba,17:25,D.J. Augustin,16:59
0,,0,0.000,1,,118,0,1,100.0,1,1.000,1.0,100.0,1.0,1,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202112200CHI.html,Away,133,3:33,0,0.0,CHI,Lonzo Ball,Alex Caruso,6:04,Marko Simonovic,2:53,,,,,,,,,34:56,DeMar DeRozan,32:18,Coby White,31:46,Nikola Vučević,30:11,Alfonzo McKinnie,29:08,Javonte Green,26:40,Tyler Cook,16:52,Tony Bradley,14:56,Devon Dotson,14:16,133,0,2,2.0,100.0,0.0,0.0,0.0,0.0,Trevelin Queen,15,0,2021-2022,0.0,0,1.0,HOU,118,Armoni Brooks,David Nwaba,15:19,Usman Garuba,3:33,,,,,,,,,32:02,Christian Wood,29:27,Eric Gordon,27:22,Garrison Mathews,26:06,KJ Martin,24:12,Jae'Sean Tate,22:12,Josh Christopher,19:52,Alperen Sengun,19:17,D.J. Augustin,17:05
0,.000,1,50.000,0,,106,0,0,,1,.500,1.0,100.0,1.0,2,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202112220MIL.html,Away,126,4:20,0,,MIL,Pat Connaughton,Thanasis Antetokounmpo,9:02,Javonte Smart,1:07,,,,,,,,,30:50,Jrue Holiday,30:42,Khris Middleton,28:21,DeMarcus Cousins,27:59,Jordan Nwora,26:33,George Hill,26:17,Rodney Hood,21:50,Wesley Matthews,20:25,Semi Ojeleye,16:54,126,0,2,2.0,100.0,0.0,0.0,0.0,0.0,Trevelin Queen,20,0,2021-2022,0.0,0,0.0,HOU,106,KJ Martin,Jae'Sean Tate,14:05,Usman Garuba,4:20,,,,,,,,,30:58,Christian Wood,28:16,Garrison Mathews,27:26,Armoni Brooks,25:37,Eric Gordon,24:13,Alperen Sengun,23:48,Josh Christopher,22:23,D.J. Augustin,19:21,David Nwaba,15:13
4,.400,10,76.923,0,0.00,99,0,5,83.3,6,.462,2.0,66.7,3.0,13,1,1.000,1,7.692,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202112270CHO.html,Away,123,28:32,1,16.7,CHO,Kelly Oubre Jr.,James Bouknight,5:10,JT Thor,3:45,Kai Jones,2:52,,,,,,,29:42,Mason Plumlee,28:52,Gordon Hayward,28:42,Terry Rozier,27:16,Jalen McDaniels,27:05,LaMelo Ball,24:31,Ish Smith,23:29,Cody Martin,22:20,Nick Richards,16:16,123,3,17,4.0,23.5,12.0,70.6,1.0,5.9,Trevelin Queen,24,4,2021-2022,4.0,3,6.0,HOU,99,Armoni Brooks,,,,,,,,,,,,,35:24,Christian Wood,26:20,Daishen Nix,25:30,David Nwaba,24:17,Eric Gordon,23:52,Daniel Theis,21:47,Alperen Sengun,21:10,Josh Christopher,20:37,Usman Garuba,12:31
0,,0,,0,0.00,120,0,0,,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202112310HOU.html,Home,110,4:21,0,,MIA,Tyler Herro,,,,,,,,,,,,,37:36,Caleb Martin,37:32,Kyle Lowry,36:47,Jimmy Butler,35:18,Omer Yurtseven,29:20,Kyle Guy,23:33,Chris Silva,14:37,Haywood Highsmith,14:31,Nik Stauskas,10:46,120,1,0,0.0,,0.0,,0.0,,Trevelin Queen,10,0,2021-2022,0.0,2,0.0,HOU,110,Christian Wood,Alperen Sengun,6:37,Daishen Nix,3:50,,,,,,,,,34:01,Kevin Porter Jr.,30:55,Jalen Green,27:43,Eric Gordon,26:37,Jae'Sean Tate,24:47,Josh Christopher,24:38,Armoni Brooks,22:29,David Nwaba,20:11,KJ Martin,13:51
2,.500,4,66.667,1,0.50,124,0,2,40.0,3,.500,1.0,50.0,2.0,6,2,1.000,2,33.333,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202201010HOU.html,Home,111,14:59,3,60.0,DEN,Facundo Campazzo,Vlatko Čančar,14:46,Petr Cornelie,2:53,Carlik Jones,1:50,,,,,,,34:19,Austin Rivers,32:59,Will Barton,29:02,Nikola Jokić,25:09,Rayjon Tucker,22:00,JaMychal Green,20:48,Aaron Gordon,20:45,Bol Bol,20:09,Davon Reed,15:20,124,1,10,2.0,20.0,6.0,60.0,2.0,20.0,Trevelin Queen,13,1,2021-2022,1.0,2,5.0,HOU,111,KJ Martin,Daishen Nix,11:38,Christian Wood,8:14,,,,,,,,,31:07,Jalen Green,27:57,Daniel Theis,27:12,Josh Christopher,23:18,David Nwaba,23:06,Armoni Brooks,22:18,Jae'Sean Tate,21:51,Kevin Porter Jr.,15:46,Usman Garuba,12:34
1,.500,2,100.000,1,,113,0,0,0.0,1,.500,0.0,,0.0,2,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202201030PHI.html,Away,133,2:56,1,100.0,PHI,Furkan Korkmaz,Paul Reed,6:15,Charles Bassey,1:34,Aaron Henry,1:34,,,,,,,36:11,Tobias Harris,35:13,Seth Curry,29:51,Joel Embiid,29:47,Danny Green,22:59,Isaiah Joe,21:00,Shake Milton,20:41,Georges Niang,18:16,Andre Drummond,16:39,133,0,3,0.0,0.0,3.0,100.0,0.0,0.0,Trevelin Queen,20,0,2021-2022,0.0,0,1.0,HOU,113,Daniel Theis,Daishen Nix,2:56,,,,,,,,,,,34:20,Garrison Mathews,30:11,Eric Gordon,29:18,Jae'Sean Tate,28:06,Jalen Green,27:19,KJ Martin,25:45,David Nwaba,22:42,Josh Christopher,20:33,D.J. Augustin,15:54
1,.333,3,100.000,0,,130,0,1,100.0,1,.333,0.0,,0.0,3,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202201070HOU.html,Home,106,7:30,0,0.0,DAL,Maxi Kleber,Trey Burke,15:49,Moses Brown,11:02,Marquese Chriss,9:06,Theo Pinson,3:07,,,,,25:46,Jalen Brunson,25:29,Josh Green,25:01,Tim Hardaway Jr.,24:07,Dorian Finney-Smith,23:26,Reggie Bullock,23:00,Sterling Brown,19:20,Dwight Powell,18:28,Frank Ntilikina,16:19,130,1,3,0.0,0.0,3.0,100.0,0.0,0.0,Trevelin Queen,24,0,2021-2022,0.0,0,1.0,HOU,106,Kevin Porter Jr.,Armoni Brooks,14:43,Daishen Nix,9:09,,,,,,,,,27:18,Jae'Sean Tate,26:00,Garrison Mathews,25:20,Jalen Green,24:59,Christian Wood,24:01,Eric Gordon,21:23,Josh Christopher,21:21,David Nwaba,20:58,KJ Martin,17:18
1,1.000,1,50.000,0,,101,0,0,0.0,2,1.000,1.0,100.0,1.0,2,1,1.000,1,50.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202203040DEN.html,Away,116,2:21,1,100.0,DEN,Will Barton,Bryn Forbes,18:34,Markus Howard,1:27,,,,,,,,,29:26,Aaron Gordon,29:14,Jeff Green,27:44,Monte Morris,26:23,JaMychal Green,24:27,DeMarcus Cousins,23:33,Davon Reed,20:16,Bones Hyland,19:51,Facundo Campazzo,19:05,116,0,6,2.0,33.3,3.0,50.0,1.0,16.7,Trevelin Queen,15,0,2021-2022,0.0,0,1.0,HOU,101,Jalen Green,Daishen Nix,2:21,,,,,,,,,,,31:43,Kevin Porter Jr.,31:24,Christian Wood,31:20,Eric Gordon,30:06,Garrison Mathews,28:31,Jae'Sean Tate,23:27,Alperen Sengun,22:14,KJ Martin,18:59,Josh Christopher,17:33
0,.000,1,50.000,1,,106,1,0,0.0,0,.000,0.0,0.0,1.0,2,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202203070MIA.html,Away,123,3:08,1,100.0,MIA,Kyle Lowry,Gabe Vincent,3:28,Max Strus,3:28,Kyle Guy,3:08,Haywood Highsmith,3:08,Omer Yurtseven,3:08,,,32:00,Tyler Herro,30:37,Bam Adebayo,29:59,Jimmy Butler,29:17,Duncan Robinson,27:24,P.J. Tucker,24:48,Caleb Martin,21:25,Victor Oladipo,14:38,Dewayne Dedmon,13:32,123,0,0,0.0,,0.0,,0.0,,Trevelin Queen,17,0,2021-2022,1.0,0,1.0,HOU,106,KJ Martin,Bruno Fernando,3:08,,,,,,,,,,,33:17,Jalen Green,30:49,Alperen Sengun,30:03,Kevin Porter Jr.,29:07,Josh Christopher,28:30,Jae'Sean Tate,25:25,Daishen Nix,22:59,Garrison Mathews,20:07,David Nwaba,13:27
