3P,3P%,3PA,3PAr,AST,AST/TOV,Away_Score,BLK,DRB,DRB_Pct_of_TRB,FG,FG%,FG2,FG2%,FG2A,FGA,FT,FT%,FTA,FTr,Game_Date,Game_Result,Game_URL,Home/Away,Home_Score,MP,ORB,ORB_Pct_of_TRB,Opponent,Opponent_1,Opponent_10,Opponent_10_MP,Opponent_11,Opponent_11_MP,Opponent_12,Opponent_12_MP,Opponent_13,Opponent_13_MP,Opponent_14,Opponent_14_MP,Opponent_15,Opponent_15_MP,Opponent_1_MP,Opponent_2,Opponent_2_MP,Opponent_3,Opponent_3_MP,Opponent_4,Opponent_4_MP,Opponent_5,Opponent_5_MP,Opponent_6,Opponent_6_MP,Opponent_7,Opponent_7_MP,Opponent_8,Opponent_8_MP,Opponent_9,Opponent_9_MP,Opponent_Score,PF,PTS,PTS_2P,PTS_2P_Pct,PTS_3P,PTS_3P_Pct,PTS_FT,PTS_FT_Pct,Player,Point_Differential,STL,Season,Stocks,TOV,TRB,Team,Team_Score,Teammate_1,Teammate_10,Teammate_10_MP,Teammate_11,Teammate_11_MP,Teammate_12,Teammate_12_MP,Teammate_13,Teammate_13_MP,Teammate_14,Teammate_14_MP,Teammate_15,Teammate_15_MP,Teammate_1_MP,Teammate_2,Teammate_2_MP,Teammate_3,Teammate_3_MP,Teammate_4,Teammate_4_MP,Teammate_5,Teammate_5_MP,Teammate_6,Teammate_6_MP,Teammate_7,Teammate_7_MP,Teammate_8,Teammate_8_MP,Teammate_9,Teammate_9_MP
0,,0,0.000,0,,116,0,0,,0,.000,0.0,0.0,1.0,1,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202012270SAC.html,Away,100,1:09,0,,SAC,Buddy Hield,Hassan Whiteside,10:24,Kyle Guy,5:45,Jahmi'us Ramsey,2:46,Robert Woodard II,2:46,Justin James,2:46,,,33:55,Harrison Barnes,28:54,Marvin Bagley III,27:28,De'Aaron Fox,26:34,Tyrese Haliburton,26:32,Richaun Holmes,24:53,Cory Joseph,20:16,Glenn Robinson III,15:54,Nemanja Bjelica,11:07,100,0,0,0.0,,0.0,,0.0,,Ty-Shon Alexander,16,0,2020-2021,0.0,0,0.0,PHO,116,Mikal Bridges,Jevon Carter,10:07,Damian Jones,1:09,,,,,,,,,36:18,Devin Booker,35:17,Deandre Ayton,29:18,Chris Paul,27:14,Jae Crowder,25:48,Cameron Johnson,21:03,Cameron Payne,19:37,Frank Kaminsky,18:42,Langston Galloway,14:18
0,.000,1,50.000,1,,86,0,1,100.0,0,.000,0.0,0.0,1.0,2,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202012290PHO.html,Home,111,3:54,0,0.0,NOP,Zion Williamson,Jaxson Hayes,11:46,Kira Lewis Jr.,9:38,Sindarius Thornwell,7:17,Willy Hernangómez,7:07,,,,,28:49,Brandon Ingram,28:14,Eric Bledsoe,24:12,Steven Adams,23:10,Lonzo Ball,23:05,Josh Hart,21:56,Nickeil Alexander-Walker,21:31,JJ Redick,17:34,Nicolò Melli,15:41,86,1,0,0.0,,0.0,,0.0,,Ty-Shon Alexander,25,0,2020-2021,0.0,0,1.0,PHO,111,Mikal Bridges,Langston Galloway,11:51,Frank Kaminsky,7:17,Damian Jones,6:06,E'Twaun Moore,6:06,,,,,30:03,Deandre Ayton,26:27,Devin Booker,25:36,Chris Paul,23:11,Cameron Payne,23:07,Cameron Johnson,22:23,Jae Crowder,20:59,Jevon Carter,18:44,Dario Šarić,14:16
0,,0,,0,,107,0,0,,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202101110WAS.html,Away,128,3:17,0,,WAS,Bradley Beal,Isaac Bonga,12:27,Anthony Gill,3:17,Cassius Winston,2:10,,,,,,,35:03,Rui Hachimura,28:22,Robin Lopez,25:58,Raul Neto,24:36,Dāvis Bertāns,24:29,Moritz Wagner,22:02,Ish Smith,21:14,Garrison Mathews,20:34,Deni Avdija,19:48,128,0,0,0.0,,0.0,,0.0,,Ty-Shon Alexander,21,0,2020-2021,0.0,0,0.0,PHO,107,Chris Paul,Damian Jones,11:36,E'Twaun Moore,3:17,Abdel Nader,3:17,,,,,,,36:12,Devin Booker,32:46,Jae Crowder,30:27,Deandre Ayton,24:54,Mikal Bridges,24:40,Dario Šarić,20:19,Cameron Johnson,18:03,Jevon Carter,17:17,Langston Galloway,13:55
0,.000,1,100.000,0,,110,0,0,,0,.000,0.0,,0.0,1,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202103230MIA.html,Away,100,1:23,0,,MIA,Kendrick Nunn,Precious Achiuwa,12:58,Max Strus,4:02,,,,,,,,,35:14,Bam Adebayo,32:24,Duncan Robinson,31:54,Jimmy Butler,26:52,Tyler Herro,26:01,Trevor Ariza,23:29,Andre Iguodala,17:06,Gabe Vincent,15:15,Kelly Olynyk,14:45,100,0,0,0.0,,0.0,,0.0,,Ty-Shon Alexander,10,0,2020-2021,0.0,0,0.0,PHO,110,Deandre Ayton,Dario Šarić,12:13,Jevon Carter,1:23,Jalen Smith,1:23,,,,,,,34:24,Mikal Bridges,33:39,Chris Paul,27:26,Devin Booker,27:10,Jae Crowder,26:52,Cameron Payne,21:41,Torrey Craig,20:42,Cameron Johnson,18:36,Langston Galloway,13:07
1,1.000,1,100.000,0,,103,0,1,100.0,1,1.000,0.0,,0.0,1,1,.500,2,200.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202104020PHO.html,Home,140,5:19,0,0.0,OKC,Aleksej Pokusevski,Justin Jackson,12:00,Darius Miller,6:56,,,,,,,,,32:54,Théo Maledon,31:02,Tony Bradley,24:14,Moses Brown,23:46,Svi Mykhailiuk,23:17,Isaiah Roby,22:58,Kenrich Williams,22:33,Josh Hall,22:32,Ty Jerome,17:47,103,0,4,0.0,0.0,3.0,75.0,1.0,25.0,Ty-Shon Alexander,37,0,2020-2021,0.0,0,1.0,PHO,140,Devin Booker,Dario Šarić,17:04,Jalen Smith,6:56,,,,,,,,,30:00,Cameron Payne,26:12,Jevon Carter,25:30,Deandre Ayton,24:00,Mikal Bridges,23:27,Jae Crowder,22:40,Chris Paul,21:48,Torrey Craig,19:22,Cameron Johnson,17:42
0,.000,1,100.000,0,,103,0,0,,0,.000,0.0,,0.0,1,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202104080LAC.html,Away,113,1:24,0,,LAC,Kawhi Leonard,Terance Mann,5:12,Amir Coffey,1:24,Luke Kennard,1:17,Daniel Oturu,1:17,,,,,37:46,Paul George,33:58,Marcus Morris,29:46,Nicolas Batum,27:00,Ivica Zubac,23:49,Reggie Jackson,23:38,Rajon Rondo,19:27,Patrick Patterson,18:34,Patrick Beverley,16:52,113,0,0,0.0,,0.0,,0.0,,Ty-Shon Alexander,10,0,2020-2021,0.0,0,0.0,PHO,103,Devin Booker,Jevon Carter,5:27,Jalen Smith,1:24,,,,,,,,,36:36,Mikal Bridges,36:29,Deandre Ayton,32:13,Chris Paul,31:38,Jae Crowder,29:35,Cameron Johnson,20:09,Cameron Payne,16:22,Torrey Craig,15:59,Dario Šarić,12:44
0,.000,1,100.000,0,,106,0,1,100.0,0,.000,0.0,,0.0,1,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202104100PHO.html,Home,134,4:15,0,0.0,WAS,Russell Westbrook,Alex Len,12:14,Cassius Winston,7:13,Anthony Gill,4:15,Isaac Bonga,4:15,,,,,32:39,Deni Avdija,31:17,Raul Neto,28:47,Garrison Mathews,26:59,Rui Hachimura,24:41,Ish Smith,22:24,Daniel Gafford,17:00,Robin Lopez,15:13,Chandler Hutchison,13:03,106,0,0,0.0,,0.0,,0.0,,Ty-Shon Alexander,28,0,2020-2021,0.0,0,1.0,PHO,134,Mikal Bridges,Torrey Craig,14:50,Frank Kaminsky,4:15,Jalen Smith,4:15,,,,,,,33:46,Devin Booker,26:29,Chris Paul,25:00,Deandre Ayton,24:55,Cameron Payne,23:00,Jae Crowder,21:50,Jevon Carter,21:31,Dario Šarić,18:50,Cameron Johnson,17:04
0,.000,1,100.000,0,,86,0,0,,0,.000,0.0,,0.0,1,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202104130PHO.html,Home,106,2:16,0,,MIA,Bam Adebayo,Nemanja Bjelica,5:57,KZ Okpala,3:10,Max Strus,3:10,Gabe Vincent,3:10,,,,,33:08,Jimmy Butler,32:26,Duncan Robinson,29:11,Goran Dragić,27:56,Tyler Herro,27:18,Trevor Ariza,26:01,Kendrick Nunn,20:39,Andre Iguodala,18:59,Precious Achiuwa,8:55,86,0,0,0.0,,0.0,,0.0,,Ty-Shon Alexander,20,0,2020-2021,0.0,0,0.0,PHO,106,Cameron Johnson,Dario Šarić,17:56,Jalen Smith,3:10,,,,,,,,,29:53,Jae Crowder,27:41,Deandre Ayton,26:54,Chris Paul,25:43,Devin Booker,22:32,Cameron Payne,22:17,Jevon Carter,21:10,Torrey Craig,20:19,Mikal Bridges,20:09
0,.000,1,50.000,0,0.00,111,1,1,50.0,1,.500,1.0,100.0,1.0,2,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202104170PHO.html,Home,85,5:46,1,50.0,SAS,Keldon Johnson,Tre Jones,10:54,Quinndary Weatherspoon,3:51,Keita Bates-Diop,3:51,,,,,,,29:12,Dejounte Murray,27:46,Drew Eubanks,27:34,Lonnie Walker IV,26:08,Derrick White,25:45,Devin Vassell,24:54,Rudy Gay,23:20,Gorgui Dieng,20:01,Luka Šamanić,16:44,111,0,2,2.0,100.0,0.0,0.0,0.0,0.0,Ty-Shon Alexander,26,0,2020-2021,1.0,1,2.0,PHO,85,Mikal Bridges,Dario Šarić,9:17,Jalen Smith,5:46,Frank Kaminsky,5:46,,,,,,,27:41,Devin Booker,26:54,Deandre Ayton,26:23,Cameron Payne,25:41,Jevon Carter,24:33,Cameron Johnson,24:33,Chris Paul,22:19,Jae Crowder,19:15,Torrey Craig,16:06
0,,0,,0,,101,0,0,,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202104280PHO.html,Home,109,0:28,0,,LAC,Paul George,Amir Coffey,0:39,Yogi Ferrell,0:39,Daniel Oturu,0:39,,,,,,,36:10,Terance Mann,34:15,Marcus Morris,33:40,Reggie Jackson,30:31,Ivica Zubac,25:12,Rajon Rondo,24:55,Nicolas Batum,23:28,Luke Kennard,17:22,Patrick Patterson,12:30,101,0,0,0.0,,0.0,,0.0,,Ty-Shon Alexander,8,0,2020-2021,0.0,0,0.0,PHO,109,Mikal Bridges,Jalen Smith,0:28,,,,,,,,,,,39:42,Devin Booker,37:22,Chris Paul,32:15,Torrey Craig,29:57,Cameron Johnson,28:57,Deandre Ayton,27:31,Cameron Payne,21:32,Frank Kaminsky,15:18,Jevon Carter,6:30
