3P,3P%,3PA,3PAr,AST,AST/TOV,Away_Score,BLK,DRB,DRB_Pct_of_TRB,FG,FG%,FG2,FG2%,FG2A,FGA,FT,FT%,FTA,FTr,Game_Date,Game_Result,Game_URL,Home/Away,Home_Score,MP,ORB,ORB_Pct_of_TRB,Opponent,Opponent_1,Opponent_10,Opponent_10_MP,Opponent_11,Opponent_11_MP,Opponent_12,Opponent_12_MP,Opponent_13,Opponent_13_MP,Opponent_14,Opponent_14_MP,Opponent_15,Opponent_15_MP,Opponent_1_MP,Opponent_2,Opponent_2_MP,Opponent_3,Opponent_3_MP,Opponent_4,Opponent_4_MP,Opponent_5,Opponent_5_MP,Opponent_6,Opponent_6_MP,Opponent_7,Opponent_7_MP,Opponent_8,Opponent_8_MP,Opponent_9,Opponent_9_MP,Opponent_Score,PF,PTS,PTS_2P,PTS_2P_Pct,PTS_3P,PTS_3P_Pct,PTS_FT,PTS_FT_Pct,Player,Point_Differential,STL,Season,Stocks,TOV,TRB,Team,Team_Score,Teammate_1,Teammate_10,Teammate_10_MP,Teammate_11,Teammate_11_MP,Teammate_12,Teammate_12_MP,Teammate_13,Teammate_13_MP,Teammate_14,Teammate_14_MP,Teammate_15,Teammate_15_MP,Teammate_1_MP,Teammate_2,Teammate_2_MP,Teammate_3,Teammate_3_MP,Teammate_4,Teammate_4_MP,Teammate_5,Teammate_5_MP,Teammate_6,Teammate_6_MP,Teammate_7,Teammate_7_MP,Teammate_8,Teammate_8_MP,Teammate_9,Teammate_9_MP
1,1.000,1,8.333,2,2.00,121,0,3,100.0,4,.333,3.0,27.3,11.0,12,4,1.000,4,33.333,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201801060LAC.html,Home,105,31:28,0,0.0,GSW,Stephen Curry,Zaza Pachulia,13:40,JaVale McGee,13:20,Shaun Livingston,9:35,David West,7:34,,,,,29:51,Draymond Green,28:41,Klay Thompson,25:34,Andre Iguodala,22:44,Patrick McCaw,22:26,Nick Young,19:58,Jordan Bell,16:26,Omri Casspi,15:31,Kevon Looney,14:40,121,3,13,6.0,46.2,3.0,23.1,4.0,30.8,Tyrone Wallace,16,3,2017-2018,3.0,1,3.0,LAC,105,Montrezl Harrell,Sindarius Thornwell,7:24,,,,,,,,,,,31:54,Sam Dekker,28:07,Jawun Evans,27:57,DeAndre Jordan,24:30,Lou Williams,24:15,Willie Reed,22:26,C.J. Williams,21:58,Wesley Johnson,10:12,Blake Griffin,9:49
0,.000,1,14.286,1,1.00,107,2,2,100.0,3,.429,3.0,50.0,6.0,7,5,.714,7,100.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201801080LAC.html,Home,108,19:07,0,0.0,ATL,Taurean Prince,Mike Muscala,10:47,John Collins,8:12,Tyler Dorsey,6:22,,,,,,,35:58,Ersan İlyasova,29:39,Kent Bazemore,29:20,Dennis Schröder,27:12,Malcolm Delaney,26:28,Dewayne Dedmon,20:17,Marco Belinelli,18:40,Miles Plumlee,14:12,Tyler Cavanaugh,12:54,107,2,11,6.0,54.5,0.0,0.0,5.0,45.5,Tyrone Wallace,1,0,2017-2018,2.0,1,2.0,LAC,108,Lou Williams,,,,,,,,,,,,,40:48,Jawun Evans,39:11,C.J. Williams,37:10,DeAndre Jordan,33:54,Wesley Johnson,32:23,Sam Dekker,15:37,Montrezl Harrell,14:06,Sindarius Thornwell,7:45,,
1,1.000,1,9.091,4,,125,0,5,83.3,7,.636,6.0,60.0,10.0,11,7,.778,9,81.818,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201801100GSW.html,Away,106,34:16,1,16.7,GSW,Kevin Durant,David West,11:19,JaVale McGee,6:27,Kevon Looney,4:01,,,,,,,31:13,Draymond Green,29:20,Andre Iguodala,28:34,Nick Young,25:18,Shaun Livingston,25:02,Patrick McCaw,24:31,Omri Casspi,24:03,Zaza Pachulia,15:49,Jordan Bell,14:23,106,3,22,12.0,54.5,3.0,13.6,7.0,31.8,Tyrone Wallace,19,2,2017-2018,2.0,0,6.0,LAC,125,DeAndre Jordan,,,,,,,,,,,,,36:37,Jawun Evans,36:24,Lou Williams,35:07,Montrezl Harrell,25:42,Sam Dekker,20:37,C.J. Williams,19:42,Wesley Johnson,15:18,Willie Reed,11:23,Sindarius Thornwell,4:54
1,.333,3,42.857,2,1.00,121,1,3,100.0,3,.429,2.0,50.0,4.0,7,1,.500,2,28.571,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201801110SAC.html,Away,115,36:37,0,0.0,SAC,George Hill,,,,,,,,,,,,,35:13,Buddy Hield,31:33,Bogdan Bogdanović,30:54,De'Aaron Fox,29:22,Zach Randolph,26:41,Kosta Koufos,24:54,Willie Cauley-Stein,23:09,Skal Labissière,21:06,Garrett Temple,17:08,115,4,8,4.0,50.0,3.0,37.5,1.0,12.5,Tyrone Wallace,6,2,2017-2018,3.0,2,3.0,LAC,121,Lou Williams,,,,,,,,,,,,,34:39,Blake Griffin,32:53,Montrezl Harrell,27:04,Miloš Teodosić,25:32,Wesley Johnson,24:44,Jawun Evans,22:28,Sam Dekker,15:07,DeAndre Jordan,10:54,Willie Reed,10:02
0,.000,1,12.500,1,0.50,105,1,3,100.0,5,.625,5.0,71.4,7.0,8,2,1.000,2,25.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201801130LAC.html,Home,126,32:03,0,0.0,SAC,De'Aaron Fox,Vince Carter,14:27,Justin Jackson,6:26,,,,,,,,,35:21,Willie Cauley-Stein,32:31,Garrett Temple,26:11,Bogdan Bogdanović,25:28,Skal Labissière,21:40,Buddy Hield,21:28,George Hill,19:26,Zach Randolph,19:16,Kosta Koufos,17:46,105,4,12,10.0,83.3,0.0,0.0,2.0,16.7,Tyrone Wallace,21,0,2017-2018,1.0,2,3.0,LAC,126,Lou Williams,,,,,,,,,,,,,35:23,Blake Griffin,28:39,Willie Reed,26:03,Jawun Evans,24:45,Wesley Johnson,23:34,Miloš Teodosić,23:15,Montrezl Harrell,21:57,Sam Dekker,19:21,Sindarius Thornwell,5:00
1,.500,2,28.571,2,2.00,102,1,2,100.0,5,.714,4.0,80.0,5.0,7,1,.500,2,28.571,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201801150LAC.html,Home,113,33:10,0,0.0,HOU,Chris Paul,R.J. Hunter,1:03,,,,,,,,,,,34:33,Eric Gordon,34:10,Trevor Ariza,33:58,Clint Capela,28:06,Luc Mbah a Moute,26:01,Ryan Anderson,25:15,Gerald Green,24:23,P.J. Tucker,21:54,Tarik Black,10:37,102,3,12,8.0,66.7,3.0,25.0,1.0,8.3,Tyrone Wallace,11,3,2017-2018,4.0,1,2.0,LAC,113,Lou Williams,,,,,,,,,,,,,39:32,Blake Griffin,34:37,Montrezl Harrell,32:16,Wesley Johnson,30:54,Miloš Teodosić,29:09,Jawun Evans,20:28,Willie Reed,9:51,Sam Dekker,9:46,Sindarius Thornwell,0:17
1,.333,3,30.000,1,0.50,104,1,5,71.4,4,.400,3.0,42.9,7.0,10,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201801170LAC.html,Home,109,31:38,2,28.6,DEN,Gary Harris,Kenneth Faried,6:43,,,,,,,,,,,35:47,Will Barton,34:57,Nikola Jokić,34:04,Wilson Chandler,32:55,Mason Plumlee,30:38,Trey Lyles,24:34,Emmanuel Mudiay,15:06,Richard Jefferson,15:05,Malik Beasley,10:11,104,1,9,6.0,66.7,3.0,33.3,0.0,0.0,Tyrone Wallace,5,0,2017-2018,1.0,2,7.0,LAC,109,Blake Griffin,,,,,,,,,,,,,36:28,Lou Williams,35:59,Miloš Teodosić,31:24,Montrezl Harrell,30:56,Wesley Johnson,29:00,Willie Reed,16:34,Jawun Evans,15:51,Sam Dekker,11:32,Sindarius Thornwell,0:38
1,.333,3,42.857,1,0.50,113,1,3,75.0,3,.429,2.0,50.0,4.0,7,5,.833,6,85.714,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201801200UTA.html,Away,125,39:24,1,25.0,UTA,Donovan Mitchell,Royce O'Neale,12:29,,,,,,,,,,,35:49,Joe Ingles,32:53,Derrick Favors,31:40,Ricky Rubio,31:11,Rudy Gobert,28:06,Joe Johnson,22:15,Alec Burks,18:19,Raul Neto,14:09,Jonas Jerebko,13:09,125,4,12,4.0,33.3,3.0,25.0,5.0,41.7,Tyrone Wallace,12,0,2017-2018,1.0,2,4.0,LAC,113,Lou Williams,,,,,,,,,,,,,40:01,Blake Griffin,37:40,Miloš Teodosić,31:32,Wesley Johnson,27:03,Jawun Evans,18:50,Montrezl Harrell,18:28,Willie Reed,12:29,Sam Dekker,8:39,Sindarius Thornwell,5:55
0,,0,0.000,5,5.00,126,0,4,100.0,3,.600,3.0,60.0,5.0,5,1,.333,3,60.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201801220LAC.html,Home,118,31:44,0,0.0,MIN,Andrew Wiggins,Aaron Brooks,0:07,,,,,,,,,,,41:02,Taj Gibson,38:11,Nemanja Bjelica,34:48,Jeff Teague,34:18,Karl-Anthony Towns,32:38,Marcus Georges-Hunt,21:12,Gorgui Dieng,15:22,Tyus Jones,13:45,Shabazz Muhammad,8:37,126,5,7,6.0,85.7,0.0,0.0,1.0,14.3,Tyrone Wallace,8,0,2017-2018,0.0,1,4.0,LAC,118,Blake Griffin,,,,,,,,,,,,,36:42,Lou Williams,35:38,Montrezl Harrell,31:25,Wesley Johnson,30:00,Miloš Teodosić,27:56,Sindarius Thornwell,18:55,Willie Reed,16:22,Sam Dekker,11:18,,
1,1.000,1,9.091,1,1.00,113,0,2,100.0,6,.545,5.0,50.0,10.0,11,0,.000,2,18.182,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201801240LAC.html,Home,102,33:51,0,0.0,BOS,Jayson Tatum,Abdel Nader,7:17,Jarell Eddie,2:04,,,,,,,,,33:30,Jaylen Brown,28:29,Kyrie Irving,28:17,Marcus Morris,27:42,Aron Baynes,24:43,Terry Rozier,23:59,Shane Larkin,23:17,Daniel Theis,23:09,Semi Ojeleye,17:33,113,2,13,10.0,76.9,3.0,23.1,0.0,0.0,Tyrone Wallace,11,1,2017-2018,1.0,1,2.0,LAC,102,Wesley Johnson,,,,,,,,,,,,,34:39,Blake Griffin,33:57,Lou Williams,33:00,DeAndre Jordan,30:30,Miloš Teodosić,24:20,Montrezl Harrell,17:30,Sindarius Thornwell,16:06,Sam Dekker,14:03,Willie Reed,2:04
0,.000,1,10.000,3,3.00,109,0,2,50.0,2,.200,2.0,22.2,9.0,10,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201801260MEM.html,Away,100,32:32,2,50.0,MEM,Marc Gasol,,,,,,,,,,,,,36:32,Dillon Brooks,34:45,Mario Chalmers,32:48,Wayne Selden,29:34,Andrew Harrison,25:47,Myke Henry,24:47,Jarell Martin,23:29,Ivan Rabb,20:54,Deyonta Davis,11:24,100,4,4,4.0,100.0,0.0,0.0,0.0,0.0,Tyrone Wallace,9,0,2017-2018,0.0,1,4.0,LAC,109,Wesley Johnson,,,,,,,,,,,,,36:46,Blake Griffin,36:37,Lou Williams,34:02,DeAndre Jordan,30:20,Miloš Teodosić,27:50,Montrezl Harrell,17:40,Sindarius Thornwell,12:50,Sam Dekker,11:23,,
0,.000,2,16.667,6,2.00,112,0,3,50.0,6,.500,6.0,60.0,10.0,12,7,1.000,7,58.333,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201801280NOP.html,Away,103,32:24,3,50.0,NOP,Anthony Davis,Ömer Aşık,7:26,,,,,,,,,,,40:34,Jrue Holiday,37:11,E'Twaun Moore,32:04,Dante Cunningham,28:05,Darius Miller,27:00,Rajon Rondo,23:04,Ian Clark,20:22,DeAndre Liggins,15:56,Jameer Nelson,8:18,103,3,19,12.0,63.2,0.0,0.0,7.0,36.8,Tyrone Wallace,9,1,2017-2018,1.0,3,6.0,LAC,112,Blake Griffin,,,,,,,,,,,,,37:14,Lou Williams,35:25,DeAndre Jordan,34:41,Wesley Johnson,31:16,Miloš Teodosić,27:51,Sindarius Thornwell,17:04,Montrezl Harrell,13:19,Sam Dekker,10:46,,
0,.000,1,7.692,3,1.00,104,0,0,,7,.538,7.0,58.3,12.0,13,1,.500,2,15.385,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201801300LAC.html,Home,96,36:30,0,,POR,Damian Lillard,,,,,,,,,,,,,35:53,CJ McCollum,35:34,Al-Farouq Aminu,31:43,Evan Turner,30:06,Jusuf Nurkić,27:55,Pat Connaughton,21:31,Shabazz Napier,21:14,Ed Davis,20:05,Zach Collins,15:59,104,2,15,14.0,93.3,0.0,0.0,1.0,6.7,Tyrone Wallace,8,1,2017-2018,1.0,3,0.0,LAC,96,Lou Williams,,,,,,,,,,,,,38:58,DeAndre Jordan,33:07,Miloš Teodosić,28:32,Wesley Johnson,27:13,Danilo Gallinari,25:24,Sindarius Thornwell,18:01,Montrezl Harrell,17:08,Sam Dekker,15:07,,
0,,0,0.000,4,2.00,103,0,5,83.3,1,.250,1.0,25.0,4.0,4,6,1.000,6,150.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201802030LAC.html,Home,113,24:49,1,16.7,CHI,Justin Holiday,Ryan Arcidiacono,6:27,,,,,,,,,,,38:29,Jerian Grant,36:36,Robin Lopez,36:18,Zach LaVine,31:07,Paul Zipser,26:14,Bobby Portis,24:52,Denzel Valentine,18:51,David Nwaba,12:30,Cristiano Felício,8:36,103,3,8,2.0,25.0,0.0,0.0,6.0,75.0,Tyrone Wallace,10,0,2017-2018,0.0,2,6.0,LAC,113,Tobias Harris,,,,,,,,,,,,,33:35,Lou Williams,33:15,Avery Bradley,32:02,Danilo Gallinari,29:51,DeAndre Jordan,29:25,Miloš Teodosić,23:23,Montrezl Harrell,18:35,Wesley Johnson,15:05,,
0,,0,0.000,2,1.00,101,0,1,100.0,2,.400,2.0,40.0,5.0,5,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201802050LAC.html,Home,104,13:40,0,0.0,DAL,Dennis Smith Jr.,Jalen Jones,0:00,,,,,,,,,,,34:32,Wesley Matthews,34:27,Yogi Ferrell,32:06,Dwight Powell,29:15,Dirk Nowitzki,25:08,J.J. Barea,22:46,Salah Mejri,22:03,Devin Harris,20:24,Maxi Kleber,19:19,101,4,4,4.0,100.0,0.0,0.0,0.0,0.0,Tyrone Wallace,3,1,2017-2018,1.0,2,1.0,LAC,104,Tobias Harris,Boban Marjanović,0:00,,,,,,,,,,,35:01,Danilo Gallinari,34:03,Lou Williams,33:30,DeAndre Jordan,33:18,Avery Bradley,27:29,Miloš Teodosić,21:51,Wesley Johnson,17:11,Montrezl Harrell,14:42,Sam Dekker,9:15
0,.000,1,33.333,2,,108,1,3,75.0,0,.000,0.0,0.0,2.0,3,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201802090DET.html,Away,95,16:02,1,25.0,DET,Reggie Bullock,,,,,,,,,,,,,39:35,Andre Drummond,37:39,Blake Griffin,35:02,Stanley Johnson,32:25,Ish Smith,31:01,Luke Kennard,24:00,Anthony Tolliver,23:19,Langston Galloway,16:59,,,95,0,0,0.0,,0.0,,0.0,,Tyrone Wallace,13,0,2017-2018,1.0,0,4.0,LAC,108,Austin Rivers,,,,,,,,,,,,,31:58,Tobias Harris,31:25,Lou Williams,30:45,DeAndre Jordan,29:27,Danilo Gallinari,28:02,Avery Bradley,27:39,Montrezl Harrell,18:33,Wesley Johnson,17:15,Sam Dekker,8:54
0,,0,0.000,1,,98,0,1,100.0,1,.250,1.0,25.0,4.0,4,2,1.000,2,50.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201802100PHI.html,Away,112,14:31,0,0.0,PHI,Ben Simmons,,,,,,,,,,,,,35:26,Joel Embiid,34:08,Robert Covington,32:55,Dario Šarić,32:25,JJ Redick,29:16,T.J. McConnell,26:03,Justin Anderson,20:42,Trevor Booker,15:35,Amir Johnson,13:30,112,0,4,2.0,50.0,0.0,0.0,2.0,50.0,Tyrone Wallace,14,1,2017-2018,1.0,0,1.0,LAC,98,Danilo Gallinari,,,,,,,,,,,,,40:09,Tobias Harris,38:14,DeAndre Jordan,37:03,Austin Rivers,33:46,Lou Williams,31:57,Avery Bradley,27:50,Montrezl Harrell,10:57,Wesley Johnson,3:26,Sam Dekker,2:07
0,,0,,0,,114,0,0,,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201802120BRK.html,Away,101,0:12,0,,BRK,Spencer Dinwiddie,Nik Stauskas,5:20,Isaiah Whitehead,2:46,James Webb III,2:46,,,,,,,36:09,DeMarre Carroll,35:15,Allen Crabbe,32:31,Quincy Acy,31:22,Joe Harris,26:23,D'Angelo Russell,24:55,Jarrett Allen,17:34,Jahlil Okafor,12:50,Dante Cunningham,12:09,101,0,0,0.0,,0.0,,0.0,,Tyrone Wallace,13,0,2017-2018,0.0,0,0.0,LAC,114,DeAndre Jordan,Sam Dekker,4:34,Sindarius Thornwell,0:32,,,,,,,,,35:44,Austin Rivers,35:13,Danilo Gallinari,34:52,Tobias Harris,33:06,Lou Williams,29:57,Avery Bradley,27:47,Miloš Teodosić,15:37,Montrezl Harrell,12:10,Wesley Johnson,10:16
0,.000,2,25.000,3,,127,0,2,66.7,3,.375,3.0,50.0,6.0,8,2,1.000,2,25.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201802220GSW.html,Away,134,19:03,1,33.3,GSW,Kevin Durant,Zaza Pachulia,7:28,,,,,,,,,,,38:07,Draymond Green,37:09,Stephen Curry,37:08,Klay Thompson,36:08,Andre Iguodala,25:59,David West,15:01,Shaun Livingston,14:44,Nick Young,14:29,JaVale McGee,13:47,134,3,8,6.0,75.0,0.0,0.0,2.0,25.0,Tyrone Wallace,7,2,2017-2018,2.0,0,3.0,LAC,127,Austin Rivers,Wesley Johnson,1:02,,,,,,,,,,,37:39,Tobias Harris,36:16,Lou Williams,33:44,Danilo Gallinari,32:23,DeAndre Jordan,31:34,Miloš Teodosić,27:50,Montrezl Harrell,16:03,Sam Dekker,3:21,Boban Marjanović,1:05
