3P,3P%,3PA,3PAr,AST,AST/TOV,Away_Score,BLK,DRB,DRB_Pct_of_TRB,FG,FG%,FG2,FG2%,FG2A,FGA,FT,FT%,FTA,FTr,Game_Date,Game_Result,Game_URL,Home/Away,Home_Score,MP,ORB,ORB_Pct_of_TRB,Opponent,Opponent_1,Opponent_10,Opponent_10_MP,Opponent_11,Opponent_11_MP,Opponent_12,Opponent_12_MP,Opponent_13,Opponent_13_MP,Opponent_14,Opponent_14_MP,Opponent_15,Opponent_15_MP,Opponent_1_MP,Opponent_2,Opponent_2_MP,Opponent_3,Opponent_3_MP,Opponent_4,Opponent_4_MP,Opponent_5,Opponent_5_MP,Opponent_6,Opponent_6_MP,Opponent_7,Opponent_7_MP,Opponent_8,Opponent_8_MP,Opponent_9,Opponent_9_MP,Opponent_Score,PF,PTS,PTS_2P,PTS_2P_Pct,PTS_3P,PTS_3P_Pct,PTS_FT,PTS_FT_Pct,Player,Point_Differential,STL,Season,Stocks,TOV,TRB,Team,Team_Score,Teammate_1,Teammate_10,Teammate_10_MP,Teammate_11,Teammate_11_MP,Teammate_12,Teammate_12_MP,Teammate_13,Teammate_13_MP,Teammate_14,Teammate_14_MP,Teammate_15,Teammate_15_MP,Teammate_1_MP,Teammate_2,Teammate_2_MP,Teammate_3,Teammate_3_MP,Teammate_4,Teammate_4_MP,Teammate_5,Teammate_5_MP,Teammate_6,Teammate_6_MP,Teammate_7,Teammate_7_MP,Teammate_8,Teammate_8_MP,Teammate_9,Teammate_9_MP
0,,0,0.000,0,,96,0,0,0.0,0,.000,0.0,0.0,1.0,1,1,.500,2,200.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201311030OKC.html,Away,103,4:34,1,100.0,OKC,Kevin Durant,Perry Jones,10:02,Steven Adams,8:47,,,,,,,,,39:42,Russell Westbrook,32:45,Reggie Jackson,27:46,Serge Ibaka,24:52,Thabo Sefolosha,23:32,Nick Collison,20:34,Derek Fisher,20:04,Kendrick Perkins,16:03,Jeremy Lamb,15:53,103,0,1,0.0,0.0,0.0,0.0,1.0,100.0,Viacheslav Kravtsov,7,0,2013-2014,0.0,0,1.0,PHO,96,Eric Bledsoe,Ish Smith,2:50,,,,,,,,,,,40:02,P.J. Tucker,39:14,Channing Frye,33:44,Gerald Green,33:14,Miles Plumlee,23:45,Goran Dragić,19:54,Markieff Morris,18:55,Marcus Morris,17:58,Dionte Christmas,5:50
0,,0,0.000,0,0.00,104,0,1,50.0,1,1.000,1.0,100.0,1.0,1,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201311050NOP.html,Away,98,4:49,1,50.0,NOP,Anthony Davis,,,,,,,,,,,,,39:42,Eric Gordon,34:13,Brian Roberts,29:35,Al-Farouq Aminu,27:17,Jason Smith,26:26,Jrue Holiday,24:55,Tyreke Evans,21:23,Anthony Morrow,20:40,Greg Stiemsma,15:49,98,1,2,2.0,100.0,0.0,0.0,0.0,0.0,Viacheslav Kravtsov,6,0,2013-2014,0.0,2,2.0,PHO,104,P.J. Tucker,,,,,,,,,,,,,35:16,Eric Bledsoe,31:51,Gerald Green,30:55,Miles Plumlee,29:27,Markieff Morris,29:10,Marcus Morris,26:25,Channing Frye,18:53,Archie Goodwin,17:05,Ish Smith,16:09
0,,0,,0,,94,0,0,,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201311100PHO.html,Home,101,1:42,0,,NOP,Jason Smith,Lance Thomas,7:09,Greg Stiemsma,3:59,,,,,,,,,41:15,Anthony Davis,36:17,Jrue Holiday,35:53,Eric Gordon,32:20,Anthony Morrow,28:05,Al-Farouq Aminu,25:30,Austin Rivers,11:56,Brian Roberts,10:24,Tyreke Evans,7:12,94,0,0,0.0,,0.0,,0.0,,Viacheslav Kravtsov,7,0,2013-2014,0.0,0,0.0,PHO,101,Markieff Morris,Dionte Christmas,5:26,,,,,,,,,,,33:53,Eric Bledsoe,33:21,Goran Dragić,29:34,Miles Plumlee,27:54,Gerald Green,24:59,P.J. Tucker,23:53,Marcus Morris,22:13,Channing Frye,20:24,Archie Goodwin,16:41
0,,0,,0,0.00,100,0,1,100.0,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201311150PHO.html,Home,98,4:48,0,0.0,BRK,Joe Johnson,Mirza Teletović,7:37,Deron Williams,4:40,Reggie Evans,3:42,Tyshawn Taylor,2:01,,,,,44:47,Paul Pierce,40:57,Shaun Livingston,37:00,Brook Lopez,36:03,Kevin Garnett,27:36,Jason Terry,18:13,Andray Blatche,17:47,Mason Plumlee,13:15,Alan Anderson,11:22,100,2,0,0.0,,0.0,,0.0,,Viacheslav Kravtsov,2,0,2013-2014,0.0,1,1.0,PHO,98,Goran Dragić,Ish Smith,1:32,,,,,,,,,,,46:19,Eric Bledsoe,39:44,P.J. Tucker,35:51,Miles Plumlee,35:17,Channing Frye,28:39,Marcus Morris,25:58,Markieff Morris,21:06,Gerald Green,17:56,Archie Goodwin,7:50
0,,0,,0,,92,0,0,,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201311250MIA.html,Away,107,1:10,0,,MIA,Norris Cole,Rashard Lewis,7:44,James Jones,1:19,Joel Anthony,1:10,,,,,,,34:14,LeBron James,33:21,Dwyane Wade,33:04,Chris Bosh,27:22,Ray Allen,25:29,Michael Beasley,22:40,Chris Andersen,19:28,Roger Mason,18:09,Shane Battier,16:00,107,0,0,0.0,,0.0,,0.0,,Viacheslav Kravtsov,15,0,2013-2014,0.0,0,0.0,PHO,92,Goran Dragić,Dionte Christmas,6:26,,,,,,,,,,,39:11,P.J. Tucker,35:52,Gerald Green,32:25,Channing Frye,31:31,Markieff Morris,26:26,Miles Plumlee,24:30,Marcus Morris,22:05,Archie Goodwin,10:55,Ish Smith,9:29
0,,0,0.000,0,,106,0,0,0.0,1,1.000,1.0,100.0,1.0,1,1,.500,2,200.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201311270PHO.html,Home,120,3:10,1,100.0,POR,LaMarcus Aldridge,Will Barton,5:13,Allen Crabbe,5:13,Meyers Leonard,5:13,Earl Watson,5:13,,,,,36:55,Nicolas Batum,33:34,Damian Lillard,32:35,Wesley Matthews,28:33,Mo Williams,23:36,Robin Lopez,22:36,Thomas Robinson,14:26,Dorell Wright,14:14,Joel Freeland,12:39,106,1,3,2.0,66.7,0.0,0.0,1.0,33.3,Viacheslav Kravtsov,14,0,2013-2014,0.0,0,1.0,PHO,120,Channing Frye,Archie Goodwin,3:42,,,,,,,,,,,41:12,Goran Dragić,35:21,Gerald Green,34:04,P.J. Tucker,25:23,Markieff Morris,24:30,Marcus Morris,23:45,Miles Plumlee,22:18,Ish Smith,19:41,Dionte Christmas,6:54
0,,0,,0,,91,0,0,,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201312030MEM.html,Away,110,2:51,0,,MEM,Mike Conley,Jamaal Franklin,7:33,,,,,,,,,,,36:52,Ed Davis,32:31,Kosta Koufos,32:12,Tayshaun Prince,30:55,Jon Leuer,29:52,Tony Allen,23:36,Jerryd Bayless,20:56,Mike Miller,14:25,Nick Calathes,11:08,110,0,0,0.0,,0.0,,0.0,,Viacheslav Kravtsov,19,0,2013-2014,0.0,0,0.0,PHO,91,Goran Dragić,Dionte Christmas,4:01,Ish Smith,2:51,,,,,,,,,36:10,Eric Bledsoe,31:44,Miles Plumlee,30:05,Markieff Morris,25:02,Marcus Morris,24:21,Channing Frye,24:17,Gerald Green,23:51,P.J. Tucker,22:20,Archie Goodwin,12:27
0,,0,,0,,97,0,0,,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201312040HOU.html,Away,88,0:16,0,,HOU,Patrick Beverley,,,,,,,,,,,,,41:54,James Harden,41:08,Dwight Howard,35:55,Aaron Brooks,33:27,Omri Casspi,30:50,Francisco García,27:31,Terrence Jones,23:38,Donatas Motiejūnas,5:37,,,88,0,0,0.0,,0.0,,0.0,,Viacheslav Kravtsov,9,0,2013-2014,0.0,0,0.0,PHO,97,Goran Dragić,,,,,,,,,,,,,40:56,P.J. Tucker,40:25,Eric Bledsoe,40:19,Channing Frye,33:04,Marcus Morris,21:40,Markieff Morris,21:02,Miles Plumlee,20:55,Gerald Green,17:34,Archie Goodwin,3:49
0,,0,0.000,0,,97,0,0,0.0,0,.000,0.0,0.0,1.0,1,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201312060PHO.html,Home,106,2:55,1,100.0,TOR,Kyle Lowry,Tyler Hansbrough,2:34,Quincy Acy,0:13,,,,,,,,,39:25,DeMar DeRozan,38:53,Amir Johnson,33:14,Rudy Gay,32:15,Jonas Valančiūnas,28:53,Steve Novak,19:46,Landry Fields,18:05,Julyan Stone,17:48,Terrence Ross,8:54,97,1,0,0.0,,0.0,,0.0,,Viacheslav Kravtsov,9,0,2013-2014,0.0,0,1.0,PHO,106,P.J. Tucker,,,,,,,,,,,,,38:09,Goran Dragić,38:08,Eric Bledsoe,33:49,Markieff Morris,32:20,Marcus Morris,22:35,Gerald Green,21:53,Miles Plumlee,19:24,Channing Frye,17:37,Archie Goodwin,13:10
0,,0,,0,0.00,107,0,0,,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201312130PHO.html,Home,116,4:10,0,,SAC,Isaiah Thomas,Jimmer Fredette,5:31,,,,,,,,,,,42:29,Rudy Gay,36:28,DeMarcus Cousins,34:09,Derrick Williams,30:29,Ben McLemore,26:54,Marcus Thornton,21:06,Travis Outlaw,15:46,Jason Thompson,13:57,Aaron Gray,13:11,107,1,0,0.0,,0.0,,0.0,,Viacheslav Kravtsov,9,0,2013-2014,0.0,1,0.0,PHO,116,Channing Frye,,,,,,,,,,,,,36:38,Eric Bledsoe,35:04,Goran Dragić,34:56,P.J. Tucker,32:17,Miles Plumlee,26:53,Gerald Green,24:53,Markieff Morris,22:10,Marcus Morris,20:12,Archie Goodwin,2:47
