3P,3P%,3PA,3PAr,AST,AST/TOV,Away_Score,BLK,DRB,DRB_Pct_of_TRB,FG,FG%,FG2,FG2%,FG2A,FGA,FT,FT%,FTA,FTr,Game_Date,Game_Result,Game_URL,Home/Away,Home_Score,MP,ORB,ORB_Pct_of_TRB,Opponent,Opponent_1,Opponent_10,Opponent_10_MP,Opponent_11,Opponent_11_MP,Opponent_12,Opponent_12_MP,Opponent_13,Opponent_13_MP,Opponent_14,Opponent_14_MP,Opponent_15,Opponent_15_MP,Opponent_1_MP,Opponent_2,Opponent_2_MP,Opponent_3,Opponent_3_MP,Opponent_4,Opponent_4_MP,Opponent_5,Opponent_5_MP,Opponent_6,Opponent_6_MP,Opponent_7,Opponent_7_MP,Opponent_8,Opponent_8_MP,Opponent_9,Opponent_9_MP,Opponent_Score,PF,PTS,PTS_2P,PTS_2P_Pct,PTS_3P,PTS_3P_Pct,PTS_FT,PTS_FT_Pct,Player,Point_Differential,STL,Season,Stocks,TOV,TRB,Team,Team_Score,Teammate_1,Teammate_10,Teammate_10_MP,Teammate_11,Teammate_11_MP,Teammate_12,Teammate_12_MP,Teammate_13,Teammate_13_MP,Teammate_14,Teammate_14_MP,Teammate_15,Teammate_15_MP,Teammate_1_MP,Teammate_2,Teammate_2_MP,Teammate_3,Teammate_3_MP,Teammate_4,Teammate_4_MP,Teammate_5,Teammate_5_MP,Teammate_6,Teammate_6_MP,Teammate_7,Teammate_7_MP,Teammate_8,Teammate_8_MP,Teammate_9,Teammate_9_MP
0,,0,,0,,113,0,0,,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201311010DEN.html,Away,98,1:22,0,,DEN,Ty Lawson,Anthony Randolph,14:40,JaVale McGee,12:47,,,,,,,,,35:57,Randy Foye,32:31,Nate Robinson,28:53,Kenneth Faried,24:23,J.J. Hickson,21:46,Timofey Mozgov,21:15,Andre Miller,16:52,Darrell Arthur,15:36,Evan Fournier,15:20,98,0,0,0.0,,0.0,,0.0,,Victor Claver,15,0,2013-2014,0.0,0,0.0,POR,113,Wesley Matthews,Will Barton,1:22,Allen Crabbe,1:22,Meyers Leonard,1:22,,,,,,,35:41,LaMarcus Aldridge,35:39,Nicolas Batum,35:17,Damian Lillard,34:09,Mo Williams,26:36,Joel Freeland,22:24,Robin Lopez,21:41,Thomas Robinson,12:24,Dorell Wright,10:41
0,,0,,0,,116,0,0,,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201311050POR.html,Home,101,1:11,0,,HOU,James Harden,Terrence Jones,1:01,Greg Smith,1:01,,,,,,,,,39:34,Dwight Howard,38:22,Chandler Parsons,32:53,Jeremy Lin,29:08,Patrick Beverley,28:37,Omri Casspi,23:48,Francisco García,22:35,Ömer Aşık,22:00,Aaron Brooks,1:01,116,0,0,0.0,,0.0,,0.0,,Victor Claver,15,0,2013-2014,0.0,0,0.0,POR,101,Damian Lillard,Will Barton,1:11,Allen Crabbe,1:11,,,,,,,,,42:12,Nicolas Batum,37:21,LaMarcus Aldridge,36:24,Wesley Matthews,36:19,Mo Williams,23:33,Dorell Wright,20:44,Robin Lopez,17:35,Meyers Leonard,14:11,Thomas Robinson,8:08
0,,0,,0,0.00,109,0,0,,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201311150BOS.html,Away,96,1:25,0,,BOS,Jared Sullinger,Phil Pressey,11:53,MarShon Brooks,3:09,,,,,,,,,36:05,Jordan Crawford,34:21,Jeff Green,30:40,Brandon Bass,29:09,Gerald Wallace,25:56,Avery Bradley,20:40,Courtney Lee,17:20,Kelly Olynyk,15:56,Vítor Luiz Faverani,14:51,96,0,0,0.0,,0.0,,0.0,,Victor Claver,13,0,2013-2014,0.0,1,0.0,POR,109,Robin Lopez,Will Barton,1:24,Allen Crabbe,1:24,,,,,,,,,35:56,LaMarcus Aldridge,34:07,Nicolas Batum,33:49,Wesley Matthews,31:54,Damian Lillard,30:59,Mo Williams,30:10,Dorell Wright,14:35,Thomas Robinson,12:13,Joel Freeland,12:04
0,.000,2,100.000,1,,111,1,1,100.0,0,.000,0.0,,0.0,2,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201402190POR.html,Home,109,7:13,0,0.0,SAS,Danny Green,Matt Bonner,7:45,Nando De Colo,4:21,,,,,,,,,36:18,Marco Belinelli,35:03,Boris Diaw,30:32,Patty Mills,29:00,Tiago Splitter,25:42,Cory Joseph,24:14,Manu Ginóbili,19:16,Jeff Ayres,14:21,Shannon Brown,13:28,111,0,0,0.0,,0.0,,0.0,,Victor Claver,2,0,2013-2014,1.0,0,1.0,POR,109,Nicolas Batum,,,,,,,,,,,,,39:53,Damian Lillard,38:23,Wesley Matthews,36:58,Robin Lopez,34:21,Mo Williams,26:08,Thomas Robinson,22:35,Dorell Wright,20:24,CJ McCollum,14:05,,
0,,0,0.000,1,0.50,94,1,1,100.0,0,.000,0.0,0.0,1.0,1,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201402210POR.html,Home,102,10:16,0,0.0,UTA,Enes Freedom,Brandon Rush,6:07,,,,,,,,,,,36:26,Gordon Hayward,36:13,Trey Burke,32:48,Marvin Williams,30:52,Richard Jefferson,28:51,Alec Burks,24:49,Jeremy Evans,17:08,Diante Garrett,15:12,Rudy Gobert,11:34,94,1,0,0.0,,0.0,,0.0,,Victor Claver,8,0,2013-2014,1.0,2,1.0,POR,102,Damian Lillard,Allen Crabbe,3:26,,,,,,,,,,,37:03,Robin Lopez,36:46,Wesley Matthews,32:52,Mo Williams,30:18,Nicolas Batum,25:04,Dorell Wright,20:49,Will Barton,17:36,CJ McCollum,14:35,Thomas Robinson,11:15
0,.000,1,33.333,1,1.00,97,1,4,80.0,2,.667,2.0,100.0,2.0,3,1,.500,2,66.667,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201402230POR.html,Home,108,24:02,1,20.0,MIN,Kevin Love,Gorgui Dieng,13:02,A.J. Price,3:37,Alexey Shved,3:37,,,,,,,34:58,Corey Brewer,32:17,Dante Cunningham,24:51,Chase Budinger,23:54,Ricky Rubio,22:58,Luc Mbah a Moute,22:43,Shabazz Muhammad,22:09,J.J. Barea,21:25,Robbie Hummel,14:29,97,1,5,4.0,80.0,0.0,0.0,1.0,20.0,Victor Claver,11,0,2013-2014,1.0,1,5.0,POR,108,Nicolas Batum,Allen Crabbe,1:08,Earl Watson,1:08,,,,,,,,,36:05,Thomas Robinson,33:26,Wesley Matthews,33:22,Damian Lillard,29:46,Robin Lopez,27:55,Mo Williams,27:35,Will Barton,14:46,Dorell Wright,6:32,CJ McCollum,4:15
0,.000,1,33.333,0,0.00,100,0,5,100.0,0,.000,0.0,0.0,2.0,3,2,1.000,2,66.667,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201402250DEN.html,Away,95,12:10,0,0.0,DEN,Randy Foye,,,,,,,,,,,,,41:03,Evan Fournier,30:49,Aaron Brooks,29:54,J.J. Hickson,29:52,Wilson Chandler,25:56,Timofey Mozgov,25:18,Quincy Miller,23:20,Kenneth Faried,21:49,Jan Veselý,11:59,95,2,2,0.0,0.0,0.0,0.0,2.0,100.0,Victor Claver,5,1,2013-2014,1.0,1,5.0,POR,100,Nicolas Batum,,,,,,,,,,,,,38:48,Robin Lopez,38:26,Damian Lillard,37:12,Wesley Matthews,33:07,Dorell Wright,27:01,Mo Williams,25:50,Thomas Robinson,14:14,Will Barton,7:09,CJ McCollum,6:03
1,.333,3,42.857,1,1.00,80,0,4,80.0,5,.714,4.0,100.0,4.0,7,2,1.000,2,28.571,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201402260POR.html,Home,124,21:42,1,20.0,BRK,Marcus Thornton,Mason Plumlee,13:20,Shaun Livingston,12:18,Andrei Kirilenko,11:59,Jason Collins,7:02,,,,,27:00,Joe Johnson,26:26,Deron Williams,24:29,Paul Pierce,24:29,Mirza Teletović,23:31,Alan Anderson,23:31,Marquis Teague,18:17,Kevin Garnett,13:53,Andray Blatche,13:45,80,4,13,8.0,61.5,3.0,23.1,2.0,15.4,Victor Claver,44,0,2013-2014,0.0,1,5.0,POR,124,Nicolas Batum,Earl Watson,6:40,,,,,,,,,,,29:00,Damian Lillard,28:54,Will Barton,28:25,Wesley Matthews,27:40,Mo Williams,26:59,Robin Lopez,26:18,Dorell Wright,24:54,CJ McCollum,12:19,Allen Crabbe,7:09
0,.000,1,33.333,1,,96,0,1,100.0,1,.333,1.0,50.0,2.0,3,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201403010POR.html,Home,102,5:59,0,0.0,DEN,Randy Foye,,,,,,,,,,,,,41:02,Wilson Chandler,34:26,Evan Fournier,32:25,Kenneth Faried,31:49,J.J. Hickson,29:41,Aaron Brooks,25:23,Timofey Mozgov,19:19,Darrell Arthur,15:11,Quincy Miller,10:44,96,0,2,2.0,100.0,0.0,0.0,0.0,0.0,Victor Claver,6,0,2013-2014,0.0,0,1.0,POR,102,Nicolas Batum,,,,,,,,,,,,,36:04,Damian Lillard,35:04,Robin Lopez,31:36,Wesley Matthews,31:36,LaMarcus Aldridge,30:02,Mo Williams,25:52,Meyers Leonard,16:24,Dorell Wright,14:27,Will Barton,12:56
0,.000,1,100.000,0,0.00,78,0,1,100.0,0,.000,0.0,,0.0,1,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201403050POR.html,Home,102,6:08,0,0.0,ATL,Shelvin Mack,Mike Muscala,14:44,Lou Williams,5:12,,,,,,,,,29:52,Mike Scott,29:19,Kyle Korver,28:01,DeMarre Carroll,25:32,Jeff Teague,25:03,Cartier Martin,23:31,Dennis Schröder,23:03,Elton Brand,19:37,Pero Antić,16:06,78,0,0,0.0,,0.0,,0.0,,Victor Claver,24,0,2013-2014,0.0,1,1.0,POR,102,Nicolas Batum,Will Barton,12:00,Allen Crabbe,6:08,,,,,,,,,29:18,LaMarcus Aldridge,29:02,Wesley Matthews,28:37,Mo Williams,25:16,Damian Lillard,24:56,Robin Lopez,23:34,CJ McCollum,21:17,Meyers Leonard,17:25,Dorell Wright,16:19
