3P,3P%,3PA,3PAr,AST,AST/TOV,Away_Score,BLK,DRB,DRB_Pct_of_TRB,FG,FG%,FG2,FG2%,FG2A,FGA,FT,FT%,FTA,FTr,Game_Date,Game_Result,Game_URL,Home/Away,Home_Score,MP,ORB,ORB_Pct_of_TRB,Opponent,Opponent_1,Opponent_10,Opponent_10_MP,Opponent_11,Opponent_11_MP,Opponent_12,Opponent_12_MP,Opponent_13,Opponent_13_MP,Opponent_14,Opponent_14_MP,Opponent_15,Opponent_15_MP,Opponent_1_MP,Opponent_2,Opponent_2_MP,Opponent_3,Opponent_3_MP,Opponent_4,Opponent_4_MP,Opponent_5,Opponent_5_MP,Opponent_6,Opponent_6_MP,Opponent_7,Opponent_7_MP,Opponent_8,Opponent_8_MP,Opponent_9,Opponent_9_MP,Opponent_Score,PF,PTS,PTS_2P,PTS_2P_Pct,PTS_3P,PTS_3P_Pct,PTS_FT,PTS_FT_Pct,Player,Point_Differential,STL,Season,Stocks,TOV,TRB,Team,Team_Score,Teammate_1,Teammate_10,Teammate_10_MP,Teammate_11,Teammate_11_MP,Teammate_12,Teammate_12_MP,Teammate_13,Teammate_13_MP,Teammate_14,Teammate_14_MP,Teammate_15,Teammate_15_MP,Teammate_1_MP,Teammate_2,Teammate_2_MP,Teammate_3,Teammate_3_MP,Teammate_4,Teammate_4_MP,Teammate_5,Teammate_5_MP,Teammate_6,Teammate_6_MP,Teammate_7,Teammate_7_MP,Teammate_8,Teammate_8_MP,Teammate_9,Teammate_9_MP
0,,0,,0,,107,0,0,,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201910310NOP.html,Away,122,1:58,0,,NOP,Brandon Ingram,Jaxson Hayes,9:28,Kenrich Williams,3:22,,,,,,,,,35:34,Jahlil Okafor,33:50,Jrue Holiday,31:51,Lonzo Ball,31:39,Josh Hart,26:52,Frank Jackson,19:18,Nicolò Melli,18:31,JJ Redick,17:15,Nickeil Alexander-Walker,12:20,122,0,0,0.0,,0.0,,0.0,,Vlatko Čančar,15,0,2019-2020,0.0,0,0.0,DEN,107,Gary Harris,Paul Millsap,15:11,Juancho Hernangómez,5:25,Jarred Vanderbilt,5:25,,,,,,,27:57,Malik Beasley,27:34,Nikola Jokić,27:08,Jamal Murray,26:17,Jerami Grant,25:28,Monte Morris,21:43,Michael Porter Jr.,20:52,Torrey Craig,19:35,Mason Plumlee,15:27
0,,0,0.000,1,,128,0,0,0.0,0,.000,0.0,0.0,1.0,1,2,1.000,2,200.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201912220LAL.html,Away,104,2:04,1,100.0,LAL,Anthony Davis,Dwight Howard,16:39,Troy Daniels,10:00,Jared Dudley,4:31,Talen Horton-Tucker,2:51,,,,,33:40,Rajon Rondo,27:54,Kentavious Caldwell-Pope,25:05,Alex Caruso,22:27,Kyle Kuzma,21:48,Avery Bradley,21:02,JaVale McGee,18:29,Danny Green,18:08,Quinn Cook,17:26,104,0,2,0.0,0.0,0.0,0.0,2.0,100.0,Vlatko Čančar,24,0,2019-2020,0.0,0,1.0,DEN,128,Gary Harris,Michael Porter Jr.,5:06,Juancho Hernangómez,2:04,Torrey Craig,2:04,,,,,,,34:16,Will Barton,31:49,Jamal Murray,31:46,Nikola Jokić,27:23,Jerami Grant,22:37,Malik Beasley,21:35,Paul Millsap,20:52,Monte Morris,19:51,Mason Plumlee,18:33
0,,0,,0,,112,0,0,,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201912250DEN.html,Home,100,0:44,0,,NOP,Lonzo Ball,Jaxson Hayes,7:12,Frank Jackson,5:41,,,,,,,,,36:17,Brandon Ingram,35:53,Jrue Holiday,31:25,Derrick Favors,30:29,Josh Hart,29:34,JJ Redick,21:45,E'Twaun Moore,21:34,Jahlil Okafor,10:19,Kenrich Williams,9:51,112,0,0,0.0,,0.0,,0.0,,Vlatko Čančar,12,0,2019-2020,0.0,0,0.0,DEN,100,Gary Harris,Michael Porter Jr.,5:45,Juancho Hernangómez,0:44,,,,,,,,,35:11,Will Barton,32:48,Nikola Jokić,30:55,Jerami Grant,29:07,Jamal Murray,27:58,Monte Morris,22:06,Malik Beasley,21:53,Paul Millsap,16:28,Mason Plumlee,16:21
0,,0,,0,,104,0,0,,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201912310HOU.html,Away,130,1:48,0,,HOU,James Harden,Gary Clark,3:10,Chris Clemons,3:10,,,,,,,,,33:56,P.J. Tucker,33:53,Russell Westbrook,33:49,Danuel House Jr.,30:48,Clint Capela,29:56,Eric Gordon,26:00,Isaiah Hartenstein,18:04,Ben McLemore,17:36,Austin Rivers,9:38,130,0,0,0.0,,0.0,,0.0,,Vlatko Čančar,26,0,2019-2020,0.0,0,0.0,DEN,104,Will Barton,Michael Porter Jr.,10:53,Jarred Vanderbilt,3:45,Juancho Hernangómez,3:45,,,,,,,37:09,Nikola Jokić,31:59,Jamal Murray,30:17,Paul Millsap,26:38,Monte Morris,23:12,Torrey Craig,21:05,Malik Beasley,19:36,Jerami Grant,17:37,Mason Plumlee,12:16
0,,0,,1,,114,0,0,,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202001040WAS.html,Away,128,2:35,0,,WAS,Troy Brown Jr.,Gary Payton II,10:53,,,,,,,,,,,35:42,Ish Smith,34:04,Johnathan Williams,30:58,Jordan McRae,28:48,Anžejs Pasečņiks,22:11,Isaac Bonga,21:13,Garrison Mathews,20:37,Ian Mahinmi,18:51,Isaiah Thomas,16:43,128,0,0,0.0,,0.0,,0.0,,Vlatko Čančar,14,0,2019-2020,0.0,0,0.0,DEN,114,Jamal Murray,Michael Porter Jr.,12:09,Torrey Craig,6:59,Juancho Hernangómez,5:23,,,,,,,34:32,Gary Harris,31:53,Will Barton,30:52,Nikola Jokić,30:20,Paul Millsap,22:46,Malik Beasley,16:24,Jerami Grant,15:51,Monte Morris,15:11,Mason Plumlee,15:05
0,,0,,0,,104,0,0,,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202001120DEN.html,Home,114,0:24,0,,LAC,Kawhi Leonard,Patrick Patterson,12:56,Jerome Robinson,1:41,Terance Mann,0:24,Derrick Walton,0:24,,,,,35:55,Lou Williams,34:56,Montrezl Harrell,29:44,Patrick Beverley,28:01,Landry Shamet,24:50,Maurice Harkless,21:15,Ivica Zubac,17:52,JaMychal Green,17:27,Rodney McGruder,14:35,104,0,0,0.0,,0.0,,0.0,,Vlatko Čančar,10,0,2019-2020,0.0,0,0.0,DEN,114,Jamal Murray,,,,,,,,,,,,,38:00,Jerami Grant,33:00,Will Barton,31:58,Nikola Jokić,31:24,Torrey Craig,27:03,Gary Harris,24:22,Michael Porter Jr.,19:03,Monte Morris,18:10,Mason Plumlee,16:36
0,.000,1,50.000,0,,86,0,0,,1,.500,1.0,100.0,1.0,2,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202001150DEN.html,Home,100,2:15,0,,CHO,Devonte' Graham,Marvin Williams,10:08,Cody Martin,2:15,,,,,,,,,36:37,Terry Rozier,36:08,P.J. Washington,31:16,Miles Bridges,31:07,Dwayne Bacon,23:54,Cody Zeller,21:31,Nicolas Batum,20:35,Bismack Biyombo,15:21,Willy Hernangómez,11:08,86,1,2,2.0,100.0,0.0,0.0,0.0,0.0,Vlatko Čančar,14,0,2019-2020,0.0,0,0.0,DEN,100,Will Barton,PJ Dozier,13:02,Malik Beasley,6:34,,,,,,,,,31:17,Jerami Grant,30:53,Nikola Jokić,29:02,Michael Porter Jr.,27:38,Torrey Craig,26:10,Monte Morris,23:57,Juancho Hernangómez,17:50,Mason Plumlee,16:43,Jamal Murray,14:39
1,1.000,1,100.000,1,1.00,105,0,1,100.0,1,1.000,0.0,,0.0,1,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202001220HOU.html,Away,121,3:19,0,0.0,HOU,Russell Westbrook,Chris Clemons,3:36,Isaiah Hartenstein,3:36,Thabo Sefolosha,3:05,,,,,,,34:20,Clint Capela,33:51,P.J. Tucker,31:29,James Harden,31:24,Eric Gordon,29:17,Danuel House Jr.,24:41,Austin Rivers,21:09,Ben McLemore,17:36,Michael Frazier,5:56,121,0,3,0.0,0.0,3.0,100.0,0.0,0.0,Vlatko Čančar,16,1,2019-2020,1.0,1,1.0,DEN,105,Will Barton,,,,,,,,,,,,,38:23,Jerami Grant,34:40,Nikola Jokić,34:08,Malik Beasley,30:32,Monte Morris,28:56,Torrey Craig,26:51,PJ Dozier,21:18,Juancho Hernangómez,14:02,Jarred Vanderbilt,7:51
0,.000,1,100.000,0,,113,0,1,100.0,0,.000,0.0,,0.0,1,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202001240NOP.html,Away,106,1:05,0,0.0,NOP,Jrue Holiday,Frank Jackson,4:03,Jahlil Okafor,3:29,Nickeil Alexander-Walker,2:18,,,,,,,38:22,Lonzo Ball,35:30,Brandon Ingram,33:32,Josh Hart,27:33,Derrick Favors,27:09,JJ Redick,25:57,Zion Williamson,20:57,E'Twaun Moore,14:28,Jaxson Hayes,6:42,106,0,0,0.0,,0.0,,0.0,,Vlatko Čančar,7,0,2019-2020,0.0,0,1.0,DEN,113,Jerami Grant,Juancho Hernangómez,4:19,Jarred Vanderbilt,4:18,,,,,,,,,37:17,Nikola Jokić,35:29,Will Barton,34:58,Torrey Craig,34:51,Michael Porter Jr.,24:06,Gary Harris,23:45,Malik Beasley,17:53,Monte Morris,14:02,PJ Dozier,7:57
0,,0,0.000,0,,99,0,1,100.0,2,.667,2.0,66.7,3.0,3,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202002040DEN.html,Home,127,5:10,0,0.0,POR,CJ McCollum,Mario Hezonja,12:00,Wenyen Gabriel,11:05,,,,,,,,,31:21,Damian Lillard,30:04,Trevor Ariza,26:52,Carmelo Anthony,26:01,Hassan Whiteside,23:00,Caleb Swanigan,21:09,Anfernee Simons,20:59,Nassir Little,19:24,Gary Trent Jr.,18:05,99,1,4,4.0,100.0,0.0,0.0,0.0,0.0,Vlatko Čančar,28,0,2019-2020,0.0,0,1.0,DEN,127,Nikola Jokić,PJ Dozier,7:38,Jarred Vanderbilt,7:26,,,,,,,,,30:43,Jerami Grant,29:46,Juancho Hernangómez,28:05,Will Barton,24:09,Malik Beasley,23:51,Monte Morris,22:55,Gary Harris,21:43,Jamal Murray,19:55,Torrey Craig,18:39
