3P,3P%,3PA,3PAr,AST,AST/TOV,Away_Score,BLK,DRB,DRB_Pct_of_TRB,FG,FG%,FG2,FG2%,FG2A,FGA,FT,FT%,FTA,FTr,Game_Date,Game_Result,Game_URL,Home/Away,Home_Score,MP,ORB,ORB_Pct_of_TRB,Opponent,Opponent_1,Opponent_10,Opponent_10_MP,Opponent_11,Opponent_11_MP,Opponent_12,Opponent_12_MP,Opponent_13,Opponent_13_MP,Opponent_14,Opponent_14_MP,Opponent_15,Opponent_15_MP,Opponent_1_MP,Opponent_2,Opponent_2_MP,Opponent_3,Opponent_3_MP,Opponent_4,Opponent_4_MP,Opponent_5,Opponent_5_MP,Opponent_6,Opponent_6_MP,Opponent_7,Opponent_7_MP,Opponent_8,Opponent_8_MP,Opponent_9,Opponent_9_MP,Opponent_Score,PF,PTS,PTS_2P,PTS_2P_Pct,PTS_3P,PTS_3P_Pct,PTS_FT,PTS_FT_Pct,Player,Point_Differential,STL,Season,Stocks,TOV,TRB,Team,Team_Score,Teammate_1,Teammate_10,Teammate_10_MP,Teammate_11,Teammate_11_MP,Teammate_12,Teammate_12_MP,Teammate_13,Teammate_13_MP,Teammate_14,Teammate_14_MP,Teammate_15,Teammate_15_MP,Teammate_1_MP,Teammate_2,Teammate_2_MP,Teammate_3,Teammate_3_MP,Teammate_4,Teammate_4_MP,Teammate_5,Teammate_5_MP,Teammate_6,Teammate_6_MP,Teammate_7,Teammate_7_MP,Teammate_8,Teammate_8_MP,Teammate_9,Teammate_9_MP
0,,0,0.000,0,,91,1,2,50.0,3,.750,3.0,75.0,4.0,4,2,.500,4,100.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201512040NYK.html,Away,108,10:44,2,50.0,NYK,Carmelo Anthony,Kevin Séraphin,14:08,Lou Amundson,3:34,,,,,,,,,31:24,Robin Lopez,30:18,Arron Afflalo,29:19,José Calderón,28:32,Kristaps Porziņģis,26:16,Lance Thomas,21:44,Langston Galloway,20:14,Jerian Grant,17:55,Derrick Williams,16:36,108,0,8,6.0,75.0,0.0,0.0,2.0,25.0,Willie Reed,17,0,2015-2016,1.0,0,4.0,BRK,91,Brook Lopez,Markel Brown,8:38,Sergey Karasev,8:28,Donald Sloan,3:34,,,,,,,34:31,Thaddeus Young,32:47,Joe Johnson,31:43,Jarrett Jack,23:38,Shane Larkin,22:36,Bojan Bogdanović,18:54,Rondae Hollis-Jefferson,17:46,Thomas Robinson,13:32,Wayne Ellington,13:09
0,,0,0.000,0,0.00,114,1,2,66.7,2,.667,2.0,66.7,3.0,3,0,.000,2,66.667,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201512060BRK.html,Home,98,9:48,1,33.3,GSW,Draymond Green,Marreese Speights,12:34,Ian Clark,8:35,Jason Thompson,2:11,James Michael McAdoo,2:11,,,,,34:22,Stephen Curry,32:14,Klay Thompson,32:11,Andre Iguodala,24:34,Brandon Rush,21:07,Shaun Livingston,19:52,Festus Ezeli,19:35,Andrew Bogut,15:52,Leandro Barbosa,14:42,114,2,4,4.0,100.0,0.0,0.0,0.0,0.0,Willie Reed,16,0,2015-2016,1.0,1,3.0,BRK,98,Jarrett Jack,Donald Sloan,4:09,,,,,,,,,,,37:23,Joe Johnson,36:25,Thaddeus Young,35:22,Shane Larkin,27:46,Brook Lopez,27:44,Markel Brown,25:49,Bojan Bogdanović,20:08,Wayne Ellington,7:43,Thomas Robinson,7:43
0,,0,0.000,0,0.00,91,0,3,100.0,3,.750,3.0,75.0,4.0,4,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201512100BRK.html,Home,100,12:39,0,0.0,PHI,Jahlil Okafor,Tony Wroten,16:54,,,,,,,,,,,31:16,Nik Stauskas,28:10,Robert Covington,26:52,Isaiah Canaan,25:17,Hollis Thompson,25:05,Jerami Grant,24:19,T.J. McConnell,24:10,Nerlens Noel,20:57,Richaun Holmes,16:59,91,1,6,6.0,100.0,0.0,0.0,0.0,0.0,Willie Reed,9,0,2015-2016,0.0,1,3.0,BRK,100,Joe Johnson,Thomas Robinson,6:43,,,,,,,,,,,33:16,Thaddeus Young,32:54,Bojan Bogdanović,32:37,Jarrett Jack,27:05,Shane Larkin,26:43,Andrea Bargnani,23:15,Brook Lopez,19:03,Markel Brown,16:19,Wayne Ellington,9:27
0,,0,0.000,0,0.00,105,0,2,100.0,1,1.000,1.0,100.0,1.0,1,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201512120BRK.html,Home,100,7:19,0,0.0,LAC,Blake Griffin,Josh Smith,12:11,Lance Stephenson,11:33,,,,,,,,,34:35,DeAndre Jordan,33:36,Chris Paul,31:15,JJ Redick,27:19,Jamal Crawford,25:23,Wesley Johnson,18:01,Austin Rivers,17:14,Luc Mbah a Moute,16:10,Paul Pierce,12:43,105,1,2,2.0,100.0,0.0,0.0,0.0,0.0,Willie Reed,5,0,2015-2016,0.0,1,2.0,BRK,100,Bojan Bogdanović,Shane Larkin,6:04,Thomas Robinson,0:05,,,,,,,,,38:43,Jarrett Jack,37:13,Thaddeus Young,35:43,Joe Johnson,35:38,Brook Lopez,31:35,Markel Brown,17:32,Andrea Bargnani,13:45,Wayne Ellington,9:58,Donald Sloan,6:25
0,,0,0.000,0,,105,0,2,50.0,1,.250,1.0,25.0,4.0,4,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201512140BRK.html,Home,82,4:56,2,50.0,ORL,Elfrid Payton,Jason Smith,16:09,Dewayne Dedmon,4:05,Shabazz Napier,4:05,,,,,,,29:49,Nikola Vučević,27:46,Tobias Harris,25:33,Andrew Nicholson,24:40,Evan Fournier,23:34,Channing Frye,23:20,Aaron Gordon,22:27,Victor Oladipo,20:21,Mario Hezonja,18:11,105,0,2,2.0,100.0,0.0,0.0,0.0,0.0,Willie Reed,23,0,2015-2016,0.0,0,4.0,BRK,82,Thaddeus Young,Sergey Karasev,4:05,Thomas Robinson,4:05,Donald Sloan,4:05,,,,,,,34:17,Bojan Bogdanović,33:53,Brook Lopez,32:20,Joe Johnson,26:24,Jarrett Jack,26:18,Andrea Bargnani,20:22,Wayne Ellington,20:14,Shane Larkin,18:59,Markel Brown,10:02
0,,0,0.000,1,,104,2,3,75.0,1,.500,1.0,50.0,2.0,2,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201512160BRK.html,Home,98,8:08,1,25.0,MIA,Goran Dragić,Tyler Johnson,5:14,,,,,,,,,,,36:24,Luol Deng,35:55,Justise Winslow,33:20,Chris Bosh,30:16,Dwyane Wade,30:09,Hassan Whiteside,29:30,Gerald Green,20:44,Udonis Haslem,12:05,Beno Udrih,6:22,104,0,2,2.0,100.0,0.0,0.0,0.0,0.0,Willie Reed,6,0,2015-2016,2.0,0,4.0,BRK,98,Bojan Bogdanović,Thomas Robinson,1:55,,,,,,,,,,,39:46,Jarrett Jack,35:39,Joe Johnson,32:44,Thaddeus Young,29:49,Brook Lopez,28:09,Wayne Ellington,26:35,Andrea Bargnani,21:03,Donald Sloan,12:21,Markel Brown,3:52
0,,0,,0,0.00,97,1,0,,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201512180IND.html,Away,104,8:39,0,,IND,Paul George,,,,,,,,,,,,,35:44,George Hill,35:11,Monta Ellis,34:05,C.J. Miles,26:33,Rodney Stuckey,25:44,Ian Mahinmi,25:28,Jordan Hill,22:32,Lavoy Allen,21:27,Chase Budinger,13:16,104,2,0,0.0,,0.0,,0.0,,Willie Reed,7,0,2015-2016,1.0,1,0.0,BRK,97,Jarrett Jack,,,,,,,,,,,,,38:55,Thaddeus Young,32:57,Joe Johnson,32:48,Brook Lopez,32:35,Bojan Bogdanović,30:58,Donald Sloan,23:59,Andrea Bargnani,21:49,Wayne Ellington,14:50,Markel Brown,2:30
0,,0,0.000,0,,100,0,0,,1,.500,1.0,50.0,2.0,2,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201512200BRK.html,Home,85,4:08,0,,MIN,Gorgui Dieng,Kevin Garnett,10:00,Andre Miller,9:39,Nemanja Bjelica,3:06,Damjan Rudež,1:35,,,,,36:18,Andrew Wiggins,31:38,Karl-Anthony Towns,28:07,Ricky Rubio,27:57,Tayshaun Prince,24:25,Zach LaVine,22:24,Kevin Martin,17:47,Adreian Payne,16:54,Shabazz Muhammad,10:10,100,1,2,2.0,100.0,0.0,0.0,0.0,0.0,Willie Reed,15,0,2015-2016,0.0,0,0.0,BRK,85,Brook Lopez,,,,,,,,,,,,,39:36,Bojan Bogdanović,37:03,Thaddeus Young,33:14,Joe Johnson,30:57,Jarrett Jack,29:38,Wayne Ellington,20:22,Donald Sloan,19:45,Andrea Bargnani,19:02,Markel Brown,6:15
0,,0,0.000,0,0.00,105,0,2,40.0,4,.800,4.0,80.0,5.0,5,3,1.000,3,60.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201512210CHI.html,Away,102,12:50,3,60.0,CHI,Jimmy Butler,Kirk Hinrich,12:13,,,,,,,,,,,38:29,Pau Gasol,32:59,Taj Gibson,32:49,Derrick Rose,32:31,Doug McDermott,25:21,Nikola Mirotić,21:34,Joakim Noah,15:56,Bobby Portis,14:06,Aaron Brooks,14:03,102,2,11,8.0,72.7,0.0,0.0,3.0,27.3,Willie Reed,3,0,2015-2016,0.0,1,5.0,BRK,105,Joe Johnson,,,,,,,,,,,,,37:24,Brook Lopez,35:10,Jarrett Jack,32:00,Thaddeus Young,31:11,Wayne Ellington,28:00,Bojan Bogdanović,26:53,Andrea Bargnani,19:06,Donald Sloan,17:26,,
0,,0,0.000,0,,119,0,1,50.0,2,.667,2.0,66.7,3.0,3,1,.500,2,66.667,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201512230BRK.html,Home,118,6:37,1,50.0,DAL,Wesley Matthews,Dwight Powell,8:13,Jeremy Evans,0:08,,,,,,,,,45:19,J.J. Barea,41:27,Dirk Nowitzki,36:49,Chandler Parsons,34:29,Zaza Pachulia,26:36,Charlie Villanueva,24:48,Raymond Felton,24:27,John Jenkins,13:15,JaVale McGee,9:29,119,2,5,4.0,80.0,0.0,0.0,1.0,20.0,Willie Reed,1,0,2015-2016,0.0,0,2.0,BRK,118,Jarrett Jack,,,,,,,,,,,,,45:05,Thaddeus Young,43:12,Joe Johnson,36:59,Brook Lopez,35:02,Bojan Bogdanović,26:21,Shane Larkin,24:04,Andrea Bargnani,19:59,Wayne Ellington,17:28,Donald Sloan,10:13
