3P,3P%,3PA,3PAr,AST,AST/TOV,Away_Score,BLK,DRB,DRB_Pct_of_TRB,FG,FG%,FG2,FG2%,FG2A,FGA,FT,FT%,FTA,FTr,Game_Date,Game_Result,Game_URL,Home/Away,Home_Score,MP,ORB,ORB_Pct_of_TRB,Opponent,Opponent_1,Opponent_10,Opponent_10_MP,Opponent_11,Opponent_11_MP,Opponent_12,Opponent_12_MP,Opponent_13,Opponent_13_MP,Opponent_14,Opponent_14_MP,Opponent_15,Opponent_15_MP,Opponent_1_MP,Opponent_2,Opponent_2_MP,Opponent_3,Opponent_3_MP,Opponent_4,Opponent_4_MP,Opponent_5,Opponent_5_MP,Opponent_6,Opponent_6_MP,Opponent_7,Opponent_7_MP,Opponent_8,Opponent_8_MP,Opponent_9,Opponent_9_MP,Opponent_Score,PF,PTS,PTS_2P,PTS_2P_Pct,PTS_3P,PTS_3P_Pct,PTS_FT,PTS_FT_Pct,Player,Point_Differential,STL,Season,Stocks,TOV,TRB,Team,Team_Score,Teammate_1,Teammate_10,Teammate_10_MP,Teammate_11,Teammate_11_MP,Teammate_12,Teammate_12_MP,Teammate_13,Teammate_13_MP,Teammate_14,Teammate_14_MP,Teammate_15,Teammate_15_MP,Teammate_1_MP,Teammate_2,Teammate_2_MP,Teammate_3,Teammate_3_MP,Teammate_4,Teammate_4_MP,Teammate_5,Teammate_5_MP,Teammate_6,Teammate_6_MP,Teammate_7,Teammate_7_MP,Teammate_8,Teammate_8_MP,Teammate_9,Teammate_9_MP
1,1.000,1,100.000,0,,98,0,1,100.0,1,1.000,0.0,,0.0,1,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201903250ORL.html,Away,119,5:34,0,0.0,ORL,Aaron Gordon,Jarell Martin,3:38,Jerian Grant,3:28,Troy Caupain,3:28,Amile Jefferson,3:28,,,,,35:16,Evan Fournier,31:41,Nikola Vučević,28:49,Jonathan Isaac,25:20,Terrence Ross,25:11,D.J. Augustin,24:50,Michael Carter-Williams,19:42,Wes Iwundu,19:26,Khem Birch,15:43,119,0,3,0.0,0.0,3.0,100.0,0.0,0.0,Zhaire Smith,21,1,2018-2019,1.0,0,1.0,PHI,98,Tobias Harris,Jonah Bolden,6:57,Amir Johnson,5:34,,,,,,,,,33:35,Jimmy Butler,32:33,Joel Embiid,30:41,T.J. McConnell,29:28,JJ Redick,28:56,Mike Scott,22:54,Shake Milton,21:47,Jonathon Simmons,12:44,Boban Marjanović,9:17
0,,0,0.000,1,,102,1,0,,0,.000,0.0,0.0,1.0,1,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201904010DAL.html,Away,122,9:45,0,,DAL,Justin Jackson,Ryan Broekhoff,16:22,Dorian Finney-Smith,15:50,,,,,,,,,30:12,Trey Burke,29:05,Maxi Kleber,24:39,Salah Mejri,23:57,Daryl Macon,23:11,Dwight Powell,22:24,Jalen Brunson,18:55,Courtney Lee,18:01,Dirk Nowitzki,17:23,122,1,0,0.0,,0.0,,0.0,,Zhaire Smith,20,0,2018-2019,1.0,0,0.0,PHI,102,Tobias Harris,Haywood Highsmith,5:57,Amir Johnson,4:46,Jonathon Simmons,4:00,,,,,,,33:41,Ben Simmons,31:31,Jonah Bolden,29:58,JJ Redick,28:31,Mike Scott,22:51,James Ennis III,21:47,Shake Milton,17:00,T.J. McConnell,16:57,Boban Marjanović,13:16
1,.500,2,40.000,1,0.50,128,1,3,100.0,1,.200,0.0,0.0,3.0,5,3,.750,4,80.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201904040PHI.html,Home,122,17:39,0,0.0,MIL,Sterling Brown,Eric Bledsoe,2:36,,,,,,,,,,,34:59,Giannis Antetokounmpo,34:58,George Hill,32:50,Pat Connaughton,31:23,Brook Lopez,31:21,Khris Middleton,25:11,Ersan İlyasova,19:13,D.J. Wilson,16:27,Tim Frazier,11:02,128,4,6,0.0,0.0,3.0,50.0,3.0,50.0,Zhaire Smith,6,1,2018-2019,2.0,2,3.0,PHI,122,Joel Embiid,,,,,,,,,,,,,36:54,Ben Simmons,36:19,Mike Scott,35:49,Tobias Harris,30:21,JJ Redick,29:42,Jonah Bolden,20:15,Shake Milton,18:18,T.J. McConnell,11:41,Boban Marjanović,3:02
1,.200,5,83.333,1,1.00,116,0,2,66.7,1,.167,0.0,0.0,1.0,6,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201904060CHI.html,Away,96,16:08,1,33.3,CHI,JaKarr Sampson,Wayne Selden,12:42,,,,,,,,,,,35:18,Walt Lemon Jr.,30:01,Timothé Luwawu-Cabarrot,26:55,Brandon Sampson,25:25,Robin Lopez,24:37,Shaquille Harrison,23:27,Cristiano Felício,23:23,Rawle Alkins,20:13,Ryan Arcidiacono,17:59,96,0,3,0.0,0.0,3.0,100.0,0.0,0.0,Zhaire Smith,20,0,2018-2019,0.0,1,3.0,PHI,116,Tobias Harris,Greg Monroe,10:04,,,,,,,,,,,31:52,Joel Embiid,27:46,Ben Simmons,26:15,Jonah Bolden,24:43,JJ Redick,24:15,Shake Milton,23:45,Mike Scott,23:17,T.J. McConnell,21:45,Boban Marjanović,10:10
1,.333,3,37.500,2,1.00,99,0,2,100.0,4,.500,3.0,60.0,5.0,8,2,1.000,2,25.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201904090MIA.html,Away,122,29:38,0,0.0,MIA,Dwyane Wade,Duncan Robinson,10:57,Udonis Haslem,10:03,Ryan Anderson,1:06,Yante Maten,1:02,,,,,34:43,Goran Dragić,32:01,Derrick Jones Jr.,30:14,James Johnson,24:12,Justise Winslow,23:37,Bam Adebayo,22:28,Kelly Olynyk,18:44,Dion Waiters,17:17,Hassan Whiteside,13:36,122,3,11,6.0,54.5,3.0,27.3,2.0,18.2,Zhaire Smith,23,0,2018-2019,0.0,2,2.0,PHI,99,Jonathon Simmons,Jonah Bolden,12:52,Haywood Highsmith,10:08,Furkan Korkmaz,7:31,,,,,,,26:23,T.J. McConnell,22:41,Ben Simmons,21:03,Tobias Harris,20:22,Boban Marjanović,19:43,Greg Monroe,19:03,Amir Johnson,18:08,Shake Milton,16:30,Jimmy Butler,15:58
2,.400,5,38.462,5,5.00,109,0,2,50.0,7,.538,5.0,62.5,8.0,13,1,.500,2,15.385,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201904100PHI.html,Home,125,31:53,2,50.0,CHI,Ryan Arcidiacono,Antonio Blakeney,14:23,,,,,,,,,,,29:49,Timothé Luwawu-Cabarrot,29:35,Walt Lemon Jr.,28:17,Wayne Selden,27:38,Robin Lopez,25:56,Brandon Sampson,23:05,Cristiano Felício,22:04,Shaquille Harrison,20:00,Rawle Alkins,19:13,109,0,17,10.0,58.8,6.0,35.3,1.0,5.9,Zhaire Smith,16,0,2018-2019,0.0,1,4.0,PHI,125,Jonathon Simmons,,,,,,,,,,,,,29:34,Shake Milton,28:09,Boban Marjanović,24:39,Amir Johnson,24:24,Greg Monroe,23:21,T.J. McConnell,23:19,Mike Scott,21:56,Furkan Korkmaz,17:53,Haywood Highsmith,14:52
0,,0,,0,,111,0,0,,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201904130PHI.html,Home,102,1:19,0,,BRK,DeMarre Carroll,Jarrett Allen,9:39,,,,,,,,,,,33:52,Spencer Dinwiddie,32:15,Joe Harris,29:43,D'Angelo Russell,29:12,Jared Dudley,27:52,Ed Davis,25:07,Caris LeVert,23:02,Treveon Graham,16:43,Rodions Kurucs,12:35,111,0,0,0.0,,0.0,,0.0,,Zhaire Smith,9,0,2018-2019,0.0,0,0.0,PHI,102,Tobias Harris,Jonah Bolden,5:07,,,,,,,,,,,40:31,Jimmy Butler,38:55,Mike Scott,32:28,Ben Simmons,32:10,Joel Embiid,24:15,JJ Redick,22:34,T.J. McConnell,15:49,Boban Marjanović,15:23,Jonathon Simmons,11:25
0,,0,,0,,95,0,0,,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201904270TOR.html,Away,108,4:10,0,,TOR,Kawhi Leonard,Jeremy Lin,3:14,Patrick McCaw,3:14,Malcolm Miller,3:02,Eric Moreland,2:48,,,,,38:12,Kyle Lowry,37:35,Pascal Siakam,34:33,Danny Green,31:45,Marc Gasol,25:49,Fred VanVleet,23:41,Serge Ibaka,19:23,Norman Powell,12:17,Jodie Meeks,4:27,108,0,0,0.0,,0.0,,0.0,,Zhaire Smith,13,1,2018-2019,1.0,0,0.0,PHI,95,Tobias Harris,Greg Monroe,4:10,T.J. McConnell,4:10,,,,,,,,,37:48,Jimmy Butler,37:47,Ben Simmons,33:54,JJ Redick,32:26,Joel Embiid,29:53,James Ennis III,20:55,Jonah Bolden,13:07,Furkan Korkmaz,11:39,Boban Marjanović,10:01
0,,0,,1,,91,0,0,,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202001250PHI.html,Home,108,2:58,0,,LAL,Anthony Davis,Jared Dudley,7:21,,,,,,,,,,,38:38,LeBron James,35:21,Kentavious Caldwell-Pope,32:41,Danny Green,31:04,Kyle Kuzma,26:39,Alex Caruso,19:54,Avery Bradley,17:36,Dwight Howard,16:07,Rajon Rondo,14:39,91,0,0,0.0,,0.0,,0.0,,Zhaire Smith,17,0,2019-2020,0.0,0,0.0,PHI,108,Ben Simmons,Jonah Bolden,0:55,Trey Burke,0:55,,,,,,,,,41:14,Tobias Harris,38:16,Matisse Thybulle,35:35,Al Horford,34:52,Shake Milton,25:00,Furkan Korkmaz,23:00,Raul Neto,18:59,Mike Scott,9:44,James Ennis III,8:32
0,.000,2,40.000,0,,104,0,1,100.0,1,.200,1.0,33.3,3.0,5,1,.500,2,40.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202001280PHI.html,Home,115,9:50,0,0.0,GSW,D'Angelo Russell,Jacob Evans,7:17,,,,,,,,,,,36:52,Glenn Robinson III,33:27,Draymond Green,33:27,Marquese Chriss,31:07,Damion Lee,26:54,Alec Burks,25:55,Omari Spellman,18:35,Jordan Poole,15:06,Eric Paschall,11:20,104,1,3,2.0,66.7,0.0,0.0,1.0,33.3,Zhaire Smith,11,1,2019-2020,1.0,0,1.0,PHI,115,Tobias Harris,James Ennis III,4:59,,,,,,,,,,,36:46,Al Horford,31:29,Ben Simmons,27:16,Joel Embiid,26:15,Shake Milton,25:45,Matisse Thybulle,23:47,Furkan Korkmaz,21:55,Raul Neto,20:44,Mike Scott,11:14
